Bydel nr & navn;bydel_nr;"Bydel
navn";innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers
Nedbrytninger;;;alder_grupper.0_5;alder_grupper.6_15;alder_grupper.16_19;alder_grupper.20_29;alder_grupper.30_54;alder_grupper.55_66;alder_grupper.67+;alder_grupper.0_5;alder_grupper.6_15;alder_grupper.16_19;alder_grupper.20_29;alder_grupper.30_54;alder_grupper.55_66;alder_grupper.67+;alder_grupper.0_5;alder_grupper.6_15;alder_grupper.16_19;alder_grupper.20_29;alder_grupper.30_54;alder_grupper.55_66;alder_grupper.67+;alder_grupper.0_5;alder_grupper.6_15;alder_grupper.16_19;alder_grupper.20_29;alder_grupper.30_54;alder_grupper.55_66;alder_grupper.67+;alder_grupper.0_5;alder_grupper.6_15;alder_grupper.16_19;alder_grupper.20_29;alder_grupper.30_54;alder_grupper.55_66;alder_grupper.67+;alder_grupper.0_5;alder_grupper.6_15;alder_grupper.16_19;alder_grupper.20_29;alder_grupper.30_54;alder_grupper.55_66;alder_grupper.67+;alder_grupper.0_5;alder_grupper.6_15;alder_grupper.16_19;alder_grupper.20_29;alder_grupper.30_54;alder_grupper.55_66;alder_grupper.67+;alder_grupper.0_5;alder_grupper.6_15;alder_grupper.16_19;alder_grupper.20_29;alder_grupper.30_54;alder_grupper.55_66;alder_grupper.67+;alder_grupper.0_5;alder_grupper.6_15;alder_grupper.16_19;alder_grupper.20_29;alder_grupper.30_54;alder_grupper.55_66;alder_grupper.67+
Alder;;;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0
Kjønn;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer
0301 Oslo;301;Oslo;51877;62133;23587;113731;245564;71512;66059;2061;5770;3572;33295;84988;14557;7479;49816;56363;20015;80436;160576;56955;58580;26584;31679;11982;54228;128565;35425;27681;1050;2947;1845;15589;46581;8016;3284;25534;28732;10137;38639;81984;27409;24397;25293;30454;11605;59503;116999;36087;38378;1011;2823;1727;17706;38407;6541;4195;24282;27631;9878;41797;78592;29546;34183
030101 Gamle Oslo;30101;Gamle Oslo;4485;3370;1193;10677;21918;4264;2510;190;463;344;3543;7923;1222;560;4295;2907;849;7134;13995;3042;1950;2266;1690;594;5086;12203;2214;1114;100;210;185;1692;4643;682;281;2166;1480;409;3394;7560;1532;833;2219;1680;599;5591;9715;2050;1396;90;253;159;1851;3280;540;279;2129;1427;440;3740;6435;1510;1117
030102 Grünerløkka;30102;Grünerløkka;4045;2849;1128;14611;23065;3832;2668;202;494;281;4320;7856;1111;451;3843;2355;847;10291;15209;2721;2217;2075;1461;546;6917;12884;2003;1149;103;270;135;2155;4718;648;231;1972;1191;411;4762;8166;1355;918;1970;1388;582;7694;10181;1829;1519;99;224;146;2165;3138;463;220;1871;1164;436;5529;7043;1366;1299
030103 Sagene;30103;Sagene;3187;1859;674;10457;16890;3132;2438;98;250;152;2084;4305;692;312;3089;1609;522;8373;12585;2440;2126;1608;926;310;4688;8934;1551;1003;49;130;70;977;2414;411;148;1559;796;240;3711;6520;1140;855;1579;933;364;5769;7956;1581;1435;49;120;82;1107;1891;281;164;1530;813;282;4662;6065;1300;1271
030104 St. Hanshaugen;30104;St. Hanshaugen;2208;1647;713;11098;14612;2890;2462;124;223;156;2590;4432;564;296;2084;1424;557;8508;10180;2326;2166;1155;845;339;5194;8148;1413;947;70;122;87;1283;2694;305;111;1085;723;252;3911;5454;1108;836;1053;802;374;5904;6464;1477;1515;54;101;69;1307;1738;259;185;999;701;305;4597;4726;1218;1330
030105 Frogner;30105;Frogner;2911;2637;1324;14170;20580;6402;6580;274;392;172;3731;6821;1046;760;2637;2245;1152;10439;13759;5356;5820;1464;1318;624;6674;11186;3136;2755;146;201;79;1733;3766;503;296;1318;1117;545;4941;7420;2633;2459;1447;1319;700;7496;9394;3266;3825;128;191;93;1998;3055;543;464;1319;1128;607;5498;6339;2723;3361
030106 Ullern;30106;Ullern;2579;3491;1244;3412;11230;4627;5073;91;163;74;847;2622;531;441;2488;3328;1170;2565;8608;4096;4632;1355;1747;628;1612;5569;2152;2155;42;82;35;333;1327;270;141;1313;1665;593;1279;4242;1882;2014;1224;1744;616;1800;5661;2475;2918;49;81;39;514;1295;261;300;1175;1663;577;1286;4366;2214;2618
