"aar","fylke_nr","innvkat_3","vreg_3","enhet","tabellvariabel","tabell_navn","bydel_nr","kommune_nr","naringsregion_nr"
"2013","00","alle","alle","personer","81941","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","00","alle","alle","prosent","3.2","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","00","befolkningen_ellers","alle","personer","48690","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","00","befolkningen_ellers","alle","prosent","2.2","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","00","innvandrere","1","personer","12525","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","00","innvandrere","1","prosent","6.1","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","00","innvandrere","2","personer","20726","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","00","innvandrere","2","prosent","12.2","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","00","innvandrere","alle","personer","33251","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","00","innvandrere","alle","prosent","8.8","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","01","alle","alle","personer","6207","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","01","alle","alle","prosent","4.7","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","01","befolkningen_ellers","alle","personer","3572","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","01","befolkningen_ellers","alle","prosent","3.1","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","01","innvandrere","1","personer","798","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","01","innvandrere","1","prosent","8.5","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","01","innvandrere","2","personer","1837","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","01","innvandrere","2","prosent","21.1","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","01","innvandrere","alle","personer","2635","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","01","innvandrere","alle","prosent","14.6","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","02","alle","alle","personer","8581","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","02","alle","alle","prosent","3","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","02","befolkningen_ellers","alle","personer","4751","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","02","befolkningen_ellers","alle","prosent","2","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","02","innvandrere","1","personer","1534","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","02","innvandrere","1","prosent","5.5","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","02","innvandrere","2","personer","2296","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","02","innvandrere","2","prosent","10.4","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","02","innvandrere","alle","personer","3830","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","02","innvandrere","alle","prosent","7.7","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","03","alle","alle","personer","14633","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","03","alle","alle","prosent","4.3","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","03","befolkningen_ellers","alle","personer","5617","arbledige_innvkat_land","NULL","NULL","NULL"
