"aar","bydel_nr","flytting","innvkat_3","vreg_3","enhet","tabellvariabel","tabell_navn","fylke_nr","Fylke","naringsregion_nr","kommune_nr"
"2013","000301","innvandring","alle","alle","personer","16800","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","000301","innvandring","innvandrere","1","personer","8689","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","000301","innvandring","innvandrere","2","personer","5912","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","000301","innvandring","innvandrere","alle","personer","14601","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","000301","innvandring","befolkningen_ellers","alle","personer","2199","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","000301","utvandring","alle","alle","personer","10563","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","000301","utvandring","innvandrere","1","personer","4407","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","000301","utvandring","innvandrere","2","personer","3209","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","000301","utvandring","innvandrere","alle","personer","7616","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","000301","utvandring","befolkningen_ellers","alle","personer","2947","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","000301","nettoinnvandring","alle","alle","personer","6237","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","000301","nettoinnvandring","innvandrere","1","personer","4282","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","000301","nettoinnvandring","innvandrere","2","personer","2703","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","000301","nettoinnvandring","innvandrere","alle","personer","6985","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","000301","nettoinnvandring","befolkningen_ellers","alle","personer","-748","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","000301","innflytting","alle","alle","personer","28840","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","000301","innflytting","innvandrere","1","personer","2463","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","000301","innflytting","innvandrere","2","personer","4058","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","000301","innflytting","innvandrere","alle","personer","6521","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","000301","innflytting","befolkningen_ellers","alle","personer","22319","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","000301","utflytting","alle","alle","personer","30173","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","000301","utflytting","innvandrere","1","personer","3015","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","000301","utflytting","innvandrere","2","personer","3586","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","000301","utflytting","innvandrere","alle","personer","6601","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","000301","utflytting","befolkningen_ellers","alle","personer","23572","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","000301","nettoinnflytting","alle","alle","personer","-1333","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","000301","nettoinnflytting","innvandrere","1","personer","-552","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","000301","nettoinnflytting","innvandrere","2","personer","472","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","000301","nettoinnflytting","innvandrere","alle","personer","-80","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","000301","nettoinnflytting","befolkningen_ellers","alle","personer","-1253","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","000301","innvandring_og_innflytting","alle","alle","personer","45640","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","000301","innvandring_og_innflytting","innvandrere","1","personer","11152","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","000301","innvandring_og_innflytting","innvandrere","2","personer","9970","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","000301","innvandring_og_innflytting","innvandrere","alle","personer","21122","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","000301","innvandring_og_innflytting","befolkningen_ellers","alle","personer","24518","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","000301","utvandring_og_utflytting","alle","alle","personer","40736","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","000301","utvandring_og_utflytting","innvandrere","1","personer","7422","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","000301","utvandring_og_utflytting","innvandrere","2","personer","6795","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","000301","utvandring_og_utflytting","innvandrere","alle","personer","14217","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","000301","utvandring_og_utflytting","befolkningen_ellers","alle","personer","26519","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","000301","nettoinnvandring_og_nettoinnflytting","alle","alle","personer","4904","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","000301","nettoinnvandring_og_nettoinnflytting","innvandrere","1","personer","3730","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","000301","nettoinnvandring_og_nettoinnflytting","innvandrere","2","personer","3175","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","000301","nettoinnvandring_og_nettoinnflytting","innvandrere","alle","personer","6905","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","000301","nettoinnvandring_og_nettoinnflytting","befolkningen_ellers","alle","personer","-2001","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030101","innvandring","alle","alle","personer","1507","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030101","innvandring","innvandrere","1","personer","833","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030101","innvandring","innvandrere","2","personer","486","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030101","innvandring","innvandrere","alle","personer","1319","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030101","innvandring","befolkningen_ellers","alle","personer","188","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030101","utvandring","alle","alle","personer","922","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030101","utvandring","innvandrere","1","personer","384","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030101","utvandring","innvandrere","2","personer","252","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030101","utvandring","innvandrere","alle","personer","636","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030101","utvandring","befolkningen_ellers","alle","personer","286","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030101","nettoinnvandring","alle","alle","personer","585","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030101","nettoinnvandring","innvandrere","1","personer","449","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030101","nettoinnvandring","innvandrere","2","personer","234","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030101","nettoinnvandring","innvandrere","alle","personer","683","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030101","nettoinnvandring","befolkningen_ellers","alle","personer","-98","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030101","innflytting","alle","alle","personer","2958","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030101","innflytting","innvandrere","1","personer","241","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030101","innflytting","innvandrere","2","personer","446","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030101","innflytting","innvandrere","alle","personer","687","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030101","innflytting","befolkningen_ellers","alle","personer","2271","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030101","utflytting","alle","alle","personer","2534","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030101","utflytting","innvandrere","1","personer","239","befolkning_flytting","NULL","NULL","NULL","NULL"
