"aar","bydel_nr","innvgrunn_5","kjonn","enhet","tabellvariabel","tabell_navn","fylke_nr","naringsregion_nr","kommune_nr"
"2014","000301","alle","0","personer","47421","befolkning_innvandringsgrunn","NULL","NULL","NULL"
"2014","000301","alle","1","personer","55774","befolkning_innvandringsgrunn","NULL","NULL","NULL"
"2014","000301","alle","alle","personer","103195","befolkning_innvandringsgrunn","NULL","NULL","NULL"
"2014","000301","arbeid","0","personer","7817","befolkning_innvandringsgrunn","NULL","NULL","NULL"
"2014","000301","arbeid","1","personer","20765","befolkning_innvandringsgrunn","NULL","NULL","NULL"
"2014","000301","arbeid","alle","personer","28582","befolkning_innvandringsgrunn","NULL","NULL","NULL"
"2014","000301","flukt","0","personer","19708","befolkning_innvandringsgrunn","NULL","NULL","NULL"
"2014","000301","flukt","1","personer","21903","befolkning_innvandringsgrunn","NULL","NULL","NULL"
"2014","000301","flukt","alle","personer","41611","befolkning_innvandringsgrunn","NULL","NULL","NULL"
"2014","000301","familie","0","personer","19444","befolkning_innvandringsgrunn","NULL","NULL","NULL"
"2014","000301","familie","1","personer","12688","befolkning_innvandringsgrunn","NULL","NULL","NULL"
"2014","000301","familie","alle","personer","32132","befolkning_innvandringsgrunn","NULL","NULL","NULL"
"2014","000301","annet_uoppgitt","0","personer","452","befolkning_innvandringsgrunn","NULL","NULL","NULL"
"2014","000301","annet_uoppgitt","1","personer","418","befolkning_innvandringsgrunn","NULL","NULL","NULL"
"2014","000301","annet_uoppgitt","alle","personer","870","befolkning_innvandringsgrunn","NULL","NULL","NULL"
"2014","030101","alle","0","personer","4545","befolkning_innvandringsgrunn","NULL","NULL","NULL"
"2014","030101","alle","1","personer","5544","befolkning_innvandringsgrunn","NULL","NULL","NULL"
"2014","030101","alle","alle","personer","10089","befolkning_innvandringsgrunn","NULL","NULL","NULL"
"2014","030101","arbeid","0","personer","664","befolkning_innvandringsgrunn","NULL","NULL","NULL"
"2014","030101","arbeid","1","personer","1746","befolkning_innvandringsgrunn","NULL","NULL","NULL"
"2014","030101","arbeid","alle","personer","2410","befolkning_innvandringsgrunn","NULL","NULL","NULL"
"2014","030101","flukt","0","personer","2176","befolkning_innvandringsgrunn","NULL","NULL","NULL"
"2014","030101","flukt","1","personer","2591","befolkning_innvandringsgrunn","NULL","NULL","NULL"
"2014","030101","flukt","alle","personer","4767","befolkning_innvandringsgrunn","NULL","NULL","NULL"
"2014","030101","familie","0","personer","1666","befolkning_innvandringsgrunn","NULL","NULL","NULL"
"2014","030101","familie","1","personer","1167","befolkning_innvandringsgrunn","NULL","NULL","NULL"
"2014","030101","familie","alle","personer","2833","befolkning_innvandringsgrunn","NULL","NULL","NULL"
"2014","030101","annet_uoppgitt","0","personer","39","befolkning_innvandringsgrunn","NULL","NULL","NULL"
"2014","030101","annet_uoppgitt","1","personer","40","befolkning_innvandringsgrunn","NULL","NULL","NULL"
"2014","030101","annet_uoppgitt","alle","personer","79","befolkning_innvandringsgrunn","NULL","NULL","NULL"
"2014","030102","alle","0","personer","4212","befolkning_innvandringsgrunn","NULL","NULL","NULL"
"2014","030102","alle","1","personer","5663","befolkning_innvandringsgrunn","NULL","NULL","NULL"
"2014","030102","alle","alle","personer","9875","befolkning_innvandringsgrunn","NULL","NULL","NULL"
"2014","030102","arbeid","0","personer","936","befolkning_innvandringsgrunn","NULL","NULL","NULL"
"2014","030102","arbeid","1","personer","2423","befolkning_innvandringsgrunn","NULL","NULL","NULL"
"2014","030102","arbeid","alle","personer","3359","befolkning_innvandringsgrunn","NULL","NULL","NULL"
"2014","030102","flukt","0","personer","1627","befolkning_innvandringsgrunn","NULL","NULL","NULL"
"2014","030102","flukt","1","personer","2069","befolkning_innvandringsgrunn","NULL","NULL","NULL"
"2014","030102","flukt","alle","personer","3696","befolkning_innvandringsgrunn","NULL","NULL","NULL"
"2014","030102","familie","0","personer","1603","befolkning_innvandringsgrunn","NULL","NULL","NULL"
"2014","030102","familie","1","personer","1121","befolkning_innvandringsgrunn","NULL","NULL","NULL"
"2014","030102","familie","alle","personer","2724","befolkning_innvandringsgrunn","NULL","NULL","NULL"
"2014","030102","annet_uoppgitt","0","personer","46","befolkning_innvandringsgrunn","NULL","NULL","NULL"
"2014","030102","annet_uoppgitt","1","personer","50","befolkning_innvandringsgrunn","NULL","NULL","NULL"
"2014","030102","annet_uoppgitt","alle","personer","96","befolkning_innvandringsgrunn","NULL","NULL","NULL"
"2014","030103","alle","0","personer","2389","befolkning_innvandringsgrunn","NULL","NULL","NULL"
"2014","030103","alle","1","personer","2796","befolkning_innvandringsgrunn","NULL","NULL","NULL"
