"aar","fylke_nr","bosetting","enhet","tabellvariabel","tabell_navn","kommune_nr","naringsregion_nr","bydel_nr"
"2012","00","anmodning","personer","8801","bosatt_anmodede","NULL","NULL","NULL"
"2012","00","anmodning","prosent","100","bosatt_anmodede","NULL","NULL","NULL"
"2012","00","bosatt","personer","5757","bosatt_anmodede","NULL","NULL","NULL"
"2012","00","bosatt","prosent","65.41","bosatt_anmodede","NULL","NULL","NULL"
"2012","00","vedtak","personer","6084","bosatt_anmodede","NULL","NULL","NULL"
"2012","00","vedtak","prosent","69.13","bosatt_anmodede","NULL","NULL","NULL"
"2012","01","anmodning","personer","425","bosatt_anmodede","NULL","NULL","NULL"
"2012","01","anmodning","prosent","100","bosatt_anmodede","NULL","NULL","NULL"
"2012","01","bosatt","personer","197","bosatt_anmodede","NULL","NULL","NULL"
"2012","01","bosatt","prosent","46.35","bosatt_anmodede","NULL","NULL","NULL"
"2012","01","vedtak","personer","201","bosatt_anmodede","NULL","NULL","NULL"
"2012","01","vedtak","prosent","47.29","bosatt_anmodede","NULL","NULL","NULL"
"2012","02","anmodning","personer","764","bosatt_anmodede","NULL","NULL","NULL"
"2012","02","anmodning","prosent","100","bosatt_anmodede","NULL","NULL","NULL"
"2012","02","bosatt","personer","426","bosatt_anmodede","NULL","NULL","NULL"
"2012","02","bosatt","prosent","55.76","bosatt_anmodede","NULL","NULL","NULL"
"2012","02","vedtak","personer","525","bosatt_anmodede","NULL","NULL","NULL"
"2012","02","vedtak","prosent","68.72","bosatt_anmodede","NULL","NULL","NULL"
"2012","03","anmodning","personer","450","bosatt_anmodede","NULL","NULL","NULL"
"2012","03","anmodning","prosent","100","bosatt_anmodede","NULL","NULL","NULL"
"2012","03","bosatt","personer","459","bosatt_anmodede","NULL","NULL","NULL"
"2012","03","bosatt","prosent","102","bosatt_anmodede","NULL","NULL","NULL"
"2012","03","vedtak","personer","410","bosatt_anmodede","NULL","NULL","NULL"
"2012","03","vedtak","prosent","91.11","bosatt_anmodede","NULL","NULL","NULL"
"2012","04","anmodning","personer","366","bosatt_anmodede","NULL","NULL","NULL"
"2012","04","anmodning","prosent","100","bosatt_anmodede","NULL","NULL","NULL"
"2012","04","bosatt","personer","187","bosatt_anmodede","NULL","NULL","NULL"
"2012","04","bosatt","prosent","51.09","bosatt_anmodede","NULL","NULL","NULL"
"2012","04","vedtak","personer","265","bosatt_anmodede","NULL","NULL","NULL"
"2012","04","vedtak","prosent","72.40","bosatt_anmodede","NULL","NULL","NULL"
"2012","05","anmodning","personer","427","bosatt_anmodede","NULL","NULL","NULL"
"2012","05","anmodning","prosent","100","bosatt_anmodede","NULL","NULL","NULL"
"2012","05","bosatt","personer","297","bosatt_anmodede","NULL","NULL","NULL"
"2012","05","bosatt","prosent","69.56","bosatt_anmodede","NULL","NULL","NULL"
"2012","05","vedtak","personer","317","bosatt_anmodede","NULL","NULL","NULL"
"2012","05","vedtak","prosent","74.24","bosatt_anmodede","NULL","NULL","NULL"
"2012","06","anmodning","personer","499","bosatt_anmodede","NULL","NULL","NULL"
"2012","06","anmodning","prosent","100","bosatt_anmodede","NULL","NULL","NULL"
"2012","06","bosatt","personer","354","bosatt_anmodede","NULL","NULL","NULL"
"2012","06","bosatt","prosent","70.94","bosatt_anmodede","NULL","NULL","NULL"
"2012","06","vedtak","personer","390","bosatt_anmodede","NULL","NULL","NULL"
"2012","06","vedtak","prosent","78.16","bosatt_anmodede","NULL","NULL","NULL"
"2012","07","anmodning","personer","395","bosatt_anmodede","NULL","NULL","NULL"
"2012","07","anmodning","prosent","100","bosatt_anmodede","NULL","NULL","NULL"
"2012","07","bosatt","personer","192","bosatt_anmodede","NULL","NULL","NULL"
"2012","07","bosatt","prosent","48.61","bosatt_anmodede","NULL","NULL","NULL"
"2012","07","vedtak","personer","216","bosatt_anmodede","NULL","NULL","NULL"
"2012","07","vedtak","prosent","54.68","bosatt_anmodede","NULL","NULL","NULL"
"2012","08","anmodning","personer","445","bosatt_anmodede","NULL","NULL","NULL"
"2012","08","anmodning","prosent","100","bosatt_anmodede","NULL","NULL","NULL"
"2012","08","bosatt","personer","339","bosatt_anmodede","NULL","NULL","NULL"
"2012","08","bosatt","prosent","76.18","bosatt_anmodede","NULL","NULL","NULL"
"2012","08","vedtak","personer","347","bosatt_anmodede","NULL","NULL","NULL"
"2012","08","vedtak","prosent","77.98","bosatt_anmodede","NULL","NULL","NULL"
"2012","09","anmodning","personer","305","bosatt_anmodede","NULL","NULL","NULL"
"2012","09","anmodning","prosent","100","bosatt_anmodede","NULL","NULL","NULL"
"2012","09","bosatt","personer","175","bosatt_anmodede","NULL","NULL","NULL"
"2012","09","bosatt","prosent","57.38","bosatt_anmodede","NULL","NULL","NULL"
"2012","09","vedtak","personer","191","bosatt_anmodede","NULL","NULL","NULL"
"2012","09","vedtak","prosent","62.62","bosatt_anmodede","NULL","NULL","NULL"
