"aar","fylke_nr","bosetting","enhet","tabellvariabel","tabell_navn","kommune_nr","naringsregion_nr","bydel_nr"
"2012","00","bosatt_per_1000","promille","1.14","bosatt_befolkning","NULL","NULL","NULL"
"2012","01","bosatt_per_1000","promille","0.7","bosatt_befolkning","NULL","NULL","NULL"
"2012","02","bosatt_per_1000","promille","0.75","bosatt_befolkning","NULL","NULL","NULL"
"2012","03","bosatt_per_1000","promille","0.74","bosatt_befolkning","NULL","NULL","NULL"
"2012","04","bosatt_per_1000","promille","0.97","bosatt_befolkning","NULL","NULL","NULL"
"2012","05","bosatt_per_1000","promille","1.59","bosatt_befolkning","NULL","NULL","NULL"
"2012","06","bosatt_per_1000","promille","1.32","bosatt_befolkning","NULL","NULL","NULL"
"2012","07","bosatt_per_1000","promille","0.8","bosatt_befolkning","NULL","NULL","NULL"
"2012","08","bosatt_per_1000","promille","1.98","bosatt_befolkning","NULL","NULL","NULL"
"2012","09","bosatt_per_1000","promille","1.55","bosatt_befolkning","NULL","NULL","NULL"
"2012","10","bosatt_per_1000","promille","1.6","bosatt_befolkning","NULL","NULL","NULL"
"2012","11","bosatt_per_1000","promille","1.01","bosatt_befolkning","NULL","NULL","NULL"
"2012","12","bosatt_per_1000","promille","0.93","bosatt_befolkning","NULL","NULL","NULL"
"2012","14","bosatt_per_1000","promille","1","bosatt_befolkning","NULL","NULL","NULL"
"2012","15","bosatt_per_1000","promille","1.09","bosatt_befolkning","NULL","NULL","NULL"
"2012","16","bosatt_per_1000","promille","1.12","bosatt_befolkning","NULL","NULL","NULL"
"2012","17","bosatt_per_1000","promille","1.96","bosatt_befolkning","NULL","NULL","NULL"
"2012","18","bosatt_per_1000","promille","1.96","bosatt_befolkning","NULL","NULL","NULL"
"2012","19","bosatt_per_1000","promille","1.83","bosatt_befolkning","NULL","NULL","NULL"
"2012","20","bosatt_per_1000","promille","2.28","bosatt_befolkning","NULL","NULL","NULL"
"2012","99","bosatt_per_1000","promille",".","bosatt_befolkning","NULL","NULL","NULL"
"2012","NULL","bosatt_per_1000","promille","0.200803213","bosatt_befolkning","0101","NULL","NULL"
"2012","NULL","bosatt_per_1000","promille","1.097198916","bosatt_befolkning","0104","NULL","NULL"
"2012","NULL","bosatt_per_1000","promille","0.81942789","bosatt_befolkning","0105","NULL","NULL"
"2012","NULL","bosatt_per_1000","promille","0.624943039","bosatt_befolkning","0106","NULL","NULL"
"2012","NULL","bosatt_per_1000","promille","1.16713352","bosatt_befolkning","0111","NULL","NULL"
"2012","NULL","bosatt_per_1000","promille","0","bosatt_befolkning","0118","NULL","NULL"
"2012","NULL","bosatt_per_1000","promille","1.393922498","bosatt_befolkning","0119","NULL","NULL"
"2012","NULL","bosatt_per_1000","promille","0","bosatt_befolkning","0121","NULL","NULL"
"2012","NULL","bosatt_per_1000","promille","0.948226816","bosatt_befolkning","0122","NULL","NULL"
"2012","NULL","bosatt_per_1000","promille","2.009499452","bosatt_befolkning","0123","NULL","NULL"
"2012","NULL","bosatt_per_1000","promille","0.587659158","bosatt_befolkning","0124","NULL","NULL"
"2012","NULL","bosatt_per_1000","promille","0.625279142","bosatt_befolkning","0125","NULL","NULL"
"2012","NULL","bosatt_per_1000","promille","2.181025082","bosatt_befolkning","0127","NULL","NULL"
