"aar","bydel_nr","botid_3","forste_bosettingskommune","enhet","tabellvariabel","tabell_navn","fylke_nr","Fylke","kommune_nr","naringsregion_nr"
"2014","000301","alle","alle","personer","44619","flyktning_botid_flytting","NULL","NULL","NULL","NULL"
"2014","000301","alle","alle","prosent","100","flyktning_botid_flytting","NULL","NULL","NULL","NULL"
"2014","000301","0_4","alle","personer","4388","flyktning_botid_flytting","NULL","NULL","NULL","NULL"
"2014","000301","0_4","alle","prosent","9.8","flyktning_botid_flytting","NULL","NULL","NULL","NULL"
"2014","000301","0_4","ja","personer","2377","flyktning_botid_flytting","NULL","NULL","NULL","NULL"
"2014","000301","0_4","ja","prosent","5.3","flyktning_botid_flytting","NULL","NULL","NULL","NULL"
"2014","000301","0_4","nei","personer","716","flyktning_botid_flytting","NULL","NULL","NULL","NULL"
"2014","000301","0_4","nei","prosent","1.6","flyktning_botid_flytting","NULL","NULL","NULL","NULL"
"2014","000301","5+","alle","personer","40231","flyktning_botid_flytting","NULL","NULL","NULL","NULL"
"2014","000301","5+","alle","prosent","90.2","flyktning_botid_flytting","NULL","NULL","NULL","NULL"
"2014","000301","5+","ja","personer","11401","flyktning_botid_flytting","NULL","NULL","NULL","NULL"
"2014","000301","5+","ja","prosent","25.6","flyktning_botid_flytting","NULL","NULL","NULL","NULL"
"2014","000301","5+","nei","personer","17148","flyktning_botid_flytting","NULL","NULL","NULL","NULL"
"2014","000301","5+","nei","prosent","38.4","flyktning_botid_flytting","NULL","NULL","NULL","NULL"
"2014","030101","alle","alle","personer","5109","flyktning_botid_flytting","NULL","NULL","NULL","NULL"
"2014","030101","alle","alle","prosent","100","flyktning_botid_flytting","NULL","NULL","NULL","NULL"
"2014","030101","0_4","alle","personer","484","flyktning_botid_flytting","NULL","NULL","NULL","NULL"
"2014","030101","0_4","alle","prosent","9.5","flyktning_botid_flytting","NULL","NULL","NULL","NULL"
"2014","030101","0_4","ja","personer","224","flyktning_botid_flytting","NULL","NULL","NULL","NULL"
"2014","030101","0_4","ja","prosent","4.4","flyktning_botid_flytting","NULL","NULL","NULL","NULL"
"2014","030101","0_4","nei","personer","93","flyktning_botid_flytting","NULL","NULL","NULL","NULL"
"2014","030101","0_4","nei","prosent","1.8","flyktning_botid_flytting","NULL","NULL","NULL","NULL"
"2014","030101","5+","alle","personer","4625","flyktning_botid_flytting","NULL","NULL","NULL","NULL"
"2014","030101","5+","alle","prosent","90.5","flyktning_botid_flytting","NULL","NULL","NULL","NULL"
"2014","030101","5+","ja","personer","1258","flyktning_botid_flytting","NULL","NULL","NULL","NULL"
"2014","030101","5+","ja","prosent","24.6","flyktning_botid_flytting","NULL","NULL","NULL","NULL"
"2014","030101","5+","nei","personer","2182","flyktning_botid_flytting","NULL","NULL","NULL","NULL"
"2014","030101","5+","nei","prosent","42.7","flyktning_botid_flytting","NULL","NULL","NULL","NULL"
"2014","030102","alle","alle","personer","3961","flyktning_botid_flytting","NULL","NULL","NULL","NULL"
"2014","030102","alle","alle","prosent","100","flyktning_botid_flytting","NULL","NULL","NULL","NULL"
"2014","030102","0_4","alle","personer","475","flyktning_botid_flytting","NULL","NULL","NULL","NULL"
"2014","030102","0_4","alle","prosent","12","flyktning_botid_flytting","NULL","NULL","NULL","NULL"
"2014","030102","0_4","ja","personer","244","flyktning_botid_flytting","NULL","NULL","NULL","NULL"
"2014","030102","0_4","ja","prosent","6.2","flyktning_botid_flytting","NULL","NULL","NULL","NULL"
"2014","030102","0_4","nei","personer","95","flyktning_botid_flytting","NULL","NULL","NULL","NULL"
"2014","030102","0_4","nei","prosent","2.4","flyktning_botid_flytting","NULL","NULL","NULL","NULL"
"2014","030102","5+","alle","personer","3486","flyktning_botid_flytting","NULL","NULL","NULL","NULL"
"2014","030102","5+","alle","prosent","88","flyktning_botid_flytting","NULL","NULL","NULL","NULL"
"2014","030102","5+","ja","personer","864","flyktning_botid_flytting","NULL","NULL","NULL","NULL"
"2014","030102","5+","ja","prosent","21.8","flyktning_botid_flytting","NULL","NULL","NULL","NULL"
"2014","030102","5+","nei","personer","1751","flyktning_botid_flytting","NULL","NULL","NULL","NULL"
"2014","030102","5+","nei","prosent","44.2","flyktning_botid_flytting","NULL","NULL","NULL","NULL"
"2014","030103","alle","alle","personer","2360","flyktning_botid_flytting","NULL","NULL","NULL","NULL"
"2014","030103","alle","alle","prosent","100","flyktning_botid_flytting","NULL","NULL","NULL","NULL"
