"aar","bydel_nr","innvkat_3","aldersinndeling_etter_grskole","enhet","tabellvariabel","tabell_navn","fylke_nr","naringsregion_nr","kommune_nr"
"2013","000301","alle","alle","personer","88461","ikke_arbutd_innvkat_alder","NULL","NULL","NULL"
"2013","000301","alle","alle","prosent","19.5","ikke_arbutd_innvkat_alder","NULL","NULL","NULL"
"2013","000301","alle","16_25","personer","11211","ikke_arbutd_innvkat_alder","NULL","NULL","NULL"
"2013","000301","alle","16_25","prosent","13.6","ikke_arbutd_innvkat_alder","NULL","NULL","NULL"
"2013","000301","alle","26_66","personer","77250","ikke_arbutd_innvkat_alder","NULL","NULL","NULL"
"2013","000301","alle","26_66","prosent","20.8","ikke_arbutd_innvkat_alder","NULL","NULL","NULL"
"2013","000301","befolkningen_ellers","alle","personer","45349","ikke_arbutd_innvkat_alder","NULL","NULL","NULL"
"2013","000301","befolkningen_ellers","alle","prosent","14.3","ikke_arbutd_innvkat_alder","NULL","NULL","NULL"
"2013","000301","befolkningen_ellers","16_25","personer","6223","ikke_arbutd_innvkat_alder","NULL","NULL","NULL"
"2013","000301","befolkningen_ellers","16_25","prosent","9.7","ikke_arbutd_innvkat_alder","NULL","NULL","NULL"
"2013","000301","befolkningen_ellers","26_66","personer","39126","ikke_arbutd_innvkat_alder","NULL","NULL","NULL"
"2013","000301","befolkningen_ellers","26_66","prosent","15.4","ikke_arbutd_innvkat_alder","NULL","NULL","NULL"
"2013","000301","innvandrere","alle","personer","43112","ikke_arbutd_innvkat_alder","NULL","NULL","NULL"
"2013","000301","innvandrere","alle","prosent","31.7","ikke_arbutd_innvkat_alder","NULL","NULL","NULL"
"2013","000301","innvandrere","16_25","personer","4988","ikke_arbutd_innvkat_alder","NULL","NULL","NULL"
"2013","000301","innvandrere","16_25","prosent","27.3","ikke_arbutd_innvkat_alder","NULL","NULL","NULL"
"2013","000301","innvandrere","26_66","personer","38124","ikke_arbutd_innvkat_alder","NULL","NULL","NULL"
"2013","000301","innvandrere","26_66","prosent","32.3","ikke_arbutd_innvkat_alder","NULL","NULL","NULL"
"2013","030101","alle","alle","personer","8211","ikke_arbutd_innvkat_alder","NULL","NULL","NULL"
"2013","030101","alle","alle","prosent","21.7","ikke_arbutd_innvkat_alder","NULL","NULL","NULL"
