"aar","bydel_nr","innvkat_3","vreg_3","enhet","tabellvariabel","tabell_navn","fylke_nr","kommune_nr","naringsregion_nr"
"2013","000301","alle","alle","personer","88461","ikke_arbutd_innvkat_land","NULL","NULL","NULL"
"2013","000301","alle","alle","prosent","19.5","ikke_arbutd_innvkat_land","NULL","NULL","NULL"
"2013","000301","befolkningen_ellers","alle","personer","45349","ikke_arbutd_innvkat_land","NULL","NULL","NULL"
"2013","000301","befolkningen_ellers","alle","prosent","14.3","ikke_arbutd_innvkat_land","NULL","NULL","NULL"
"2013","000301","innvandrere","1","personer","10886","ikke_arbutd_innvkat_land","NULL","NULL","NULL"
"2013","000301","innvandrere","1","prosent","21.5","ikke_arbutd_innvkat_land","NULL","NULL","NULL"
"2013","000301","innvandrere","2","personer","32226","ikke_arbutd_innvkat_land","NULL","NULL","NULL"
"2013","000301","innvandrere","2","prosent","37.7","ikke_arbutd_innvkat_land","NULL","NULL","NULL"
"2013","000301","innvandrere","alle","personer","43112","ikke_arbutd_innvkat_land","NULL","NULL","NULL"
"2013","000301","innvandrere","alle","prosent","31.7","ikke_arbutd_innvkat_land","NULL","NULL","NULL"
"2013","030101","alle","alle","personer","8211","ikke_arbutd_innvkat_land","NULL","NULL","NULL"
"2013","030101","alle","alle","prosent","21.7","ikke_arbutd_innvkat_land","NULL","NULL","NULL"
"2013","030101","befolkningen_ellers","alle","personer","3653","ikke_arbutd_innvkat_land","NULL","NULL","NULL"
"2013","030101","befolkningen_ellers","alle","prosent","14.7","ikke_arbutd_innvkat_land","NULL","NULL","NULL"
"2013","030101","innvandrere","1","personer","902","ikke_arbutd_innvkat_land","NULL","NULL","NULL"
"2013","030101","innvandrere","1","prosent","20.4","ikke_arbutd_innvkat_land","NULL","NULL","NULL"
"2013","030101","innvandrere","2","personer","3656","ikke_arbutd_innvkat_land","NULL","NULL","NULL"
"2013","030101","innvandrere","2","prosent","43.1","ikke_arbutd_innvkat_land","NULL","NULL","NULL"
"2013","030101","innvandrere","alle","personer","4558","ikke_arbutd_innvkat_land","NULL","NULL","NULL"
"2013","030101","innvandrere","alle","prosent","35.3","ikke_arbutd_innvkat_land","NULL","NULL","NULL"
