"aar","fylke_nr","kjonn","enhet","tabellvariabel","tabell_navn","bydel_nr","kommune_nr","naringsregion_nr"
"2015","00","0","personer","5230","intro_deltakere","NULL","NULL","NULL"
"2015","00","1","personer","5732","intro_deltakere","NULL","NULL","NULL"
"2015","00","alle","personer","10962","intro_deltakere","NULL","NULL","NULL"
"2015","01","0","personer","167","intro_deltakere","NULL","NULL","NULL"
"2015","01","1","personer","193","intro_deltakere","NULL","NULL","NULL"
"2015","01","alle","personer","360","intro_deltakere","NULL","NULL","NULL"
"2015","02","0","personer","411","intro_deltakere","NULL","NULL","NULL"
"2015","02","1","personer","487","intro_deltakere","NULL","NULL","NULL"
"2015","02","alle","personer","898","intro_deltakere","NULL","NULL","NULL"
"2015","03","0","personer","416","intro_deltakere","NULL","NULL","NULL"
"2015","03","1","personer","367","intro_deltakere","NULL","NULL","NULL"
"2015","03","alle","personer","783","intro_deltakere","NULL","NULL","NULL"
"2015","04","0","personer","220","intro_deltakere","NULL","NULL","NULL"
"2015","04","1","personer","202","intro_deltakere","NULL","NULL","NULL"
"2015","04","alle","personer","422","intro_deltakere","NULL","NULL","NULL"
"2015","05","0","personer","296","intro_deltakere","NULL","NULL","NULL"
"2015","05","1","personer","247","intro_deltakere","NULL","NULL","NULL"
"2015","05","alle","personer","543","intro_deltakere","NULL","NULL","NULL"
"2015","06","0","personer","246","intro_deltakere","NULL","NULL","NULL"
"2015","06","1","personer","262","intro_deltakere","NULL","NULL","NULL"
"2015","06","alle","personer","508","intro_deltakere","NULL","NULL","NULL"
"2015","07","0","personer","182","intro_deltakere","NULL","NULL","NULL"
"2015","07","1","personer","162","intro_deltakere","NULL","NULL","NULL"
"2015","07","alle","personer","344","intro_deltakere","NULL","NULL","NULL"
"2015","08","0","personer","251","intro_deltakere","NULL","NULL","NULL"
"2015","08","1","personer","264","intro_deltakere","NULL","NULL","NULL"
"2015","08","alle","personer","515","intro_deltakere","NULL","NULL","NULL"
"2015","09","0","personer","141","intro_deltakere","NULL","NULL","NULL"
"2015","09","1","personer","200","intro_deltakere","NULL","NULL","NULL"
"2015","09","alle","personer","341","intro_deltakere","NULL","NULL","NULL"
"2015","10","0","personer","286","intro_deltakere","NULL","NULL","NULL"
"2015","10","1","personer","370","intro_deltakere","NULL","NULL","NULL"
"2015","10","alle","personer","656","intro_deltakere","NULL","NULL","NULL"
"2015","11","0","personer","455","intro_deltakere","NULL","NULL","NULL"
"2015","11","1","personer","477","intro_deltakere","NULL","NULL","NULL"
"2015","11","alle","personer","932","intro_deltakere","NULL","NULL","NULL"
"2015","12","0","personer","401","intro_deltakere","NULL","NULL","NULL"
"2015","12","1","personer","547","intro_deltakere","NULL","NULL","NULL"
"2015","12","alle","personer","948","intro_deltakere","NULL","NULL","NULL"
"2015","14","0","personer","161","intro_deltakere","NULL","NULL","NULL"
"2015","14","1","personer","170","intro_deltakere","NULL","NULL","NULL"
"2015","14","alle","personer","331","intro_deltakere","NULL","NULL","NULL"
"2015","15","0","personer","285","intro_deltakere","NULL","NULL","NULL"
"2015","15","1","personer","324","intro_deltakere","NULL","NULL","NULL"
"2015","15","alle","personer","609","intro_deltakere","NULL","NULL","NULL"
"2015","16","0","personer","276","intro_deltakere","NULL","NULL","NULL"
"2015","16","1","personer","337","intro_deltakere","NULL","NULL","NULL"
"2015","16","alle","personer","613","intro_deltakere","NULL","NULL","NULL"
"2015","17","0","personer","245","intro_deltakere","NULL","NULL","NULL"
"2015","17","1","personer","268","intro_deltakere","NULL","NULL","NULL"
"2015","17","alle","personer","513","intro_deltakere","NULL","NULL","NULL"
"2015","18","0","personer","428","intro_deltakere","NULL","NULL","NULL"
"2015","18","1","personer","440","intro_deltakere","NULL","NULL","NULL"
"2015","18","alle","personer","868","intro_deltakere","NULL","NULL","NULL"
"2015","19","0","personer","235","intro_deltakere","NULL","NULL","NULL"
"2015","19","1","personer","305","intro_deltakere","NULL","NULL","NULL"
"2015","19","alle","personer","540","intro_deltakere","NULL","NULL","NULL"
"2015","20","0","personer","128","intro_deltakere","NULL","NULL","NULL"
"2015","20","1","personer","110","intro_deltakere","NULL","NULL","NULL"
"2015","20","alle","personer","238","intro_deltakere","NULL","NULL","NULL"
"2015","99","0","personer","0","intro_deltakere","NULL","NULL","NULL"
"2015","99","1","personer","0","intro_deltakere","NULL","NULL","NULL"
"2015","99","alle","personer","0","intro_deltakere","NULL","NULL","NULL"
"2015","NULL","0","personer","416","intro_deltakere","000301","NULL","NULL"
"2015","NULL","1","personer","367","intro_deltakere","000301","NULL","NULL"
"2015","NULL","alle","personer","783","intro_deltakere","000301","NULL","NULL"
"2015","NULL","0","personer","30","intro_deltakere","030101","NULL","NULL"
"2015","NULL","1","personer","25","intro_deltakere","030101","NULL","NULL"
"2015","NULL","alle","personer","55","intro_deltakere","030101","NULL","NULL"
"2015","NULL","0","personer","40","intro_deltakere","030102","NULL","NULL"
"2015","NULL","1","personer","46","intro_deltakere","030102","NULL","NULL"
"2015","NULL","alle","personer","86","intro_deltakere","030102","NULL","NULL"
"2015","NULL","0","personer","30","intro_deltakere","030103","NULL","NULL"
"2015","NULL","1","personer","19","intro_deltakere","030103","NULL","NULL"
"2015","NULL","alle","personer","49","intro_deltakere","030103","NULL","NULL"
"2015","NULL","0","personer","18","intro_deltakere","030104","NULL","NULL"
"2015","NULL","1","personer","26","intro_deltakere","030104","NULL","NULL"
"2015","NULL","alle","personer","44","intro_deltakere","030104","NULL","NULL"
"2015","NULL","0","personer","20","intro_deltakere","030105","NULL","NULL"
"2015","NULL","1","personer","28","intro_deltakere","030105","NULL","NULL"
"2015","NULL","alle","personer","48","intro_deltakere","030105","NULL","NULL"
"2015","NULL","0","personer","18","intro_deltakere","030106","NULL","NULL"
"2015","NULL","1","personer","15","intro_deltakere","030106","NULL","NULL"
"2015","NULL","alle","personer","33","intro_deltakere","030106","NULL","NULL"
"2015","NULL","0","personer","27","intro_deltakere","030107","NULL","NULL"
"2015","NULL","1","personer","25","intro_deltakere","030107","NULL","NULL"
"2015","NULL","alle","personer","52","intro_deltakere","030107","NULL","NULL"
"2015","NULL","0","personer","23","intro_deltakere","030108","NULL","NULL"
"2015","NULL","1","personer","17","intro_deltakere","030108","NULL","NULL"
"2015","NULL","alle","personer","40","intro_deltakere","030108","NULL","NULL"
"2015","NULL","0","personer","18","intro_deltakere","030109","NULL","NULL"
"2015","NULL","1","personer","20","intro_deltakere","030109","NULL","NULL"
"2015","NULL","alle","personer","38","intro_deltakere","030109","NULL","NULL"
"2015","NULL","0","personer","23","intro_deltakere","030110","NULL","NULL"
"2015","NULL","1","personer","16","intro_deltakere","030110","NULL","NULL"
"2015","NULL","alle","personer","39","intro_deltakere","030110","NULL","NULL"
"2015","NULL","0","personer","30","intro_deltakere","030111","NULL","NULL"
