"aar","bydel_nr","innvkat_5","kjonn","enhet","tabellvariabel","tabell_navn","fylke_nr","naringsregion_nr","kommune_nr"
"2013","000301","alle","0","personer","7501","sosialhjelp","NULL","NULL","NULL"
"2013","000301","alle","0","prosent","100","sosialhjelp","NULL","NULL","NULL"
"2013","000301","alle","1","personer","9411","sosialhjelp","NULL","NULL","NULL"
"2013","000301","alle","1","prosent","100","sosialhjelp","NULL","NULL","NULL"
"2013","000301","alle","alle","personer","16912","sosialhjelp","NULL","NULL","NULL"
"2013","000301","alle","alle","prosent","100","sosialhjelp","NULL","NULL","NULL"
"2013","000301","innvandrere","0","personer","4587","sosialhjelp","NULL","NULL","NULL"
"2013","000301","innvandrere","0","prosent","61.2","sosialhjelp","NULL","NULL","NULL"
"2013","000301","innvandrere","1","personer","5296","sosialhjelp","NULL","NULL","NULL"
"2013","000301","innvandrere","1","prosent","56.3","sosialhjelp","NULL","NULL","NULL"
"2013","000301","innvandrere","alle","personer","9883","sosialhjelp","NULL","NULL","NULL"
"2013","000301","innvandrere","alle","prosent","58.4","sosialhjelp","NULL","NULL","NULL"
"2013","000301","befolkningen_ellers","0","personer","2914","sosialhjelp","NULL","NULL","NULL"
"2013","000301","befolkningen_ellers","0","prosent","38.8","sosialhjelp","NULL","NULL","NULL"
"2013","000301","befolkningen_ellers","1","personer","4115","sosialhjelp","NULL","NULL","NULL"
"2013","000301","befolkningen_ellers","1","prosent","43.7","sosialhjelp","NULL","NULL","NULL"
"2013","000301","befolkningen_ellers","alle","personer","7029","sosialhjelp","NULL","NULL","NULL"
"2013","000301","befolkningen_ellers","alle","prosent","41.6","sosialhjelp","NULL","NULL","NULL"
"2013","000301","norskfodte_m_innvf","0","personer","214","sosialhjelp","NULL","NULL","NULL"
"2013","000301","norskfodte_m_innvf","0","prosent","2.9","sosialhjelp","NULL","NULL","NULL"
"2013","000301","norskfodte_m_innvf","1","personer","330","sosialhjelp","NULL","NULL","NULL"
"2013","000301","norskfodte_m_innvf","1","prosent","3.5","sosialhjelp","NULL","NULL","NULL"
"2013","000301","norskfodte_m_innvf","alle","personer","544","sosialhjelp","NULL","NULL","NULL"
"2013","000301","norskfodte_m_innvf","alle","prosent","3.2","sosialhjelp","NULL","NULL","NULL"
"2013","000301","bef_u_innv_og_norskf","0","personer","2700","sosialhjelp","NULL","NULL","NULL"
"2013","000301","bef_u_innv_og_norskf","0","prosent","36","sosialhjelp","NULL","NULL","NULL"
"2013","000301","bef_u_innv_og_norskf","1","personer","3785","sosialhjelp","NULL","NULL","NULL"
"2013","000301","bef_u_innv_og_norskf","1","prosent","40.2","sosialhjelp","NULL","NULL","NULL"
"2013","000301","bef_u_innv_og_norskf","alle","personer","6485","sosialhjelp","NULL","NULL","NULL"
"2013","000301","bef_u_innv_og_norskf","alle","prosent","38.3","sosialhjelp","NULL","NULL","NULL"
"2013","030101","alle","0","personer","1121","sosialhjelp","NULL","NULL","NULL"
"2013","030101","alle","0","prosent","100","sosialhjelp","NULL","NULL","NULL"
"2013","030101","alle","1","personer","1337","sosialhjelp","NULL","NULL","NULL"
"2013","030101","alle","1","prosent","100","sosialhjelp","NULL","NULL","NULL"
"2013","030101","alle","alle","personer","2458","sosialhjelp","NULL","NULL","NULL"
"2013","030101","alle","alle","prosent","100","sosialhjelp","NULL","NULL","NULL"
"2013","030101","innvandrere","0","personer","716","sosialhjelp","NULL","NULL","NULL"
"2013","030101","innvandrere","0","prosent","63.9","sosialhjelp","NULL","NULL","NULL"
"2013","030101","innvandrere","1","personer","795","sosialhjelp","NULL","NULL","NULL"
"2013","030101","innvandrere","1","prosent","59.5","sosialhjelp","NULL","NULL","NULL"
"2013","030101","innvandrere","alle","personer","1511","sosialhjelp","NULL","NULL","NULL"
"2013","030101","innvandrere","alle","prosent","61.5","sosialhjelp","NULL","NULL","NULL"
"2013","030101","befolkningen_ellers","0","personer","405","sosialhjelp","NULL","NULL","NULL"
"2013","030101","befolkningen_ellers","0","prosent","36.1","sosialhjelp","NULL","NULL","NULL"
"2013","030101","befolkningen_ellers","1","personer","542","sosialhjelp","NULL","NULL","NULL"
"2013","030101","befolkningen_ellers","1","prosent","40.5","sosialhjelp","NULL","NULL","NULL"
"2013","030101","befolkningen_ellers","alle","personer","947","sosialhjelp","NULL","NULL","NULL"
"2013","030101","befolkningen_ellers","alle","prosent","38.5","sosialhjelp","NULL","NULL","NULL"
"2013","030101","norskfodte_m_innvf","0","personer","34","sosialhjelp","NULL","NULL","NULL"
"2013","030101","norskfodte_m_innvf","0","prosent","3","sosialhjelp","NULL","NULL","NULL"
"2013","030101","norskfodte_m_innvf","1","personer","41","sosialhjelp","NULL","NULL","NULL"
"2013","030101","norskfodte_m_innvf","1","prosent","3.1","sosialhjelp","NULL","NULL","NULL"
"2013","030101","norskfodte_m_innvf","alle","personer","75","sosialhjelp","NULL","NULL","NULL"
"2013","030101","norskfodte_m_innvf","alle","prosent","3.1","sosialhjelp","NULL","NULL","NULL"
"2013","030101","bef_u_innv_og_norskf","0","personer","371","sosialhjelp","NULL","NULL","NULL"
"2013","030101","bef_u_innv_og_norskf","0","prosent","33.1","sosialhjelp","NULL","NULL","NULL"
"2013","030101","bef_u_innv_og_norskf","1","personer","501","sosialhjelp","NULL","NULL","NULL"
"2013","030101","bef_u_innv_og_norskf","1","prosent","37.5","sosialhjelp","NULL","NULL","NULL"
"2013","030101","bef_u_innv_og_norskf","alle","personer","872","sosialhjelp","NULL","NULL","NULL"
"2013","030101","bef_u_innv_og_norskf","alle","prosent","35.5","sosialhjelp","NULL","NULL","NULL"
"2013","030102","alle","0","personer","907","sosialhjelp","NULL","NULL","NULL"
"2013","030102","alle","0","prosent","100","sosialhjelp","NULL","NULL","NULL"
"2013","030102","alle","1","personer","1036","sosialhjelp","NULL","NULL","NULL"
"2013","030102","alle","1","prosent","100","sosialhjelp","NULL","NULL","NULL"
"2013","030102","alle","alle","personer","1943","sosialhjelp","NULL","NULL","NULL"
"2013","030102","alle","alle","prosent","100","sosialhjelp","NULL","NULL","NULL"
"2013","030102","innvandrere","0","personer","536","sosialhjelp","NULL","NULL","NULL"
"2013","030102","innvandrere","0","prosent","59.1","sosialhjelp","NULL","NULL","NULL"
"2013","030102","innvandrere","1","personer","628","sosialhjelp","NULL","NULL","NULL"
"2013","030102","innvandrere","1","prosent","60.6","sosialhjelp","NULL","NULL","NULL"
"2013","030102","innvandrere","alle","personer","1164","sosialhjelp","NULL","NULL","NULL"
"2013","030102","innvandrere","alle","prosent","59.9","sosialhjelp","NULL","NULL","NULL"
"2013","030102","befolkningen_ellers","0","personer","371","sosialhjelp","NULL","NULL","NULL"
"2013","030102","befolkningen_ellers","0","prosent","40.9","sosialhjelp","NULL","NULL","NULL"
"2013","030102","befolkningen_ellers","1","personer","408","sosialhjelp","NULL","NULL","NULL"
"2013","030102","befolkningen_ellers","1","prosent","39.4","sosialhjelp","NULL","NULL","NULL"
"2013","030102","befolkningen_ellers","alle","personer","779","sosialhjelp","NULL","NULL","NULL"
"2013","030102","befolkningen_ellers","alle","prosent","40.1","sosialhjelp","NULL","NULL","NULL"
"2013","030102","norskfodte_m_innvf","0","personer","21","sosialhjelp","NULL","NULL","NULL"
"2013","030102","norskfodte_m_innvf","0","prosent","2.3","sosialhjelp","NULL","NULL","NULL"
"2013","030102","norskfodte_m_innvf","1","personer","34","sosialhjelp","NULL","NULL","NULL"
"2013","030102","norskfodte_m_innvf","1","prosent","3.3","sosialhjelp","NULL","NULL","NULL"
"2013","030102","norskfodte_m_innvf","alle","personer","55","sosialhjelp","NULL","NULL","NULL"
"2013","030102","norskfodte_m_innvf","alle","prosent","2.8","sosialhjelp","NULL","NULL","NULL"
"2013","030102","bef_u_innv_og_norskf","0","personer","350","sosialhjelp","NULL","NULL","NULL"
"2013","030102","bef_u_innv_og_norskf","0","prosent","38.6","sosialhjelp","NULL","NULL","NULL"
"2013","030102","bef_u_innv_og_norskf","1","personer","374","sosialhjelp","NULL","NULL","NULL"
"2013","030102","bef_u_innv_og_norskf","1","prosent","36.1","sosialhjelp","NULL","NULL","NULL"
"2013","030102","bef_u_innv_og_norskf","alle","personer","724","sosialhjelp","NULL","NULL","NULL"
"2013","030102","bef_u_innv_og_norskf","alle","prosent","37.3","sosialhjelp","NULL","NULL","NULL"
"2013","030103","alle","0","personer","699","sosialhjelp","NULL","NULL","NULL"
"2013","030103","alle","0","prosent","100","sosialhjelp","NULL","NULL","NULL"
"2013","030103","alle","1","personer","916","sosialhjelp","NULL","NULL","NULL"
"2013","030103","alle","1","prosent","100","sosialhjelp","NULL","NULL","NULL"
"2013","030103","alle","alle","personer","1615","sosialhjelp","NULL","NULL","NULL"
