"aar","bydel_nr","innvgrunn_5","kjonn","enhet","tabellvariabel","tabell_navn","fylke_nr","naringsregion_nr","kommune_nr"
"2013","000301","alle","0","personer","36736","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","000301","alle","0","prosent","58.7","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","000301","alle","1","personer","48843","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","000301","alle","1","prosent","69.7","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","000301","alle","alle","personer","85579","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","000301","alle","alle","prosent","64.5","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","000301","arbeid","0","personer","5902","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","000301","arbeid","0","prosent","77.3","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","000301","arbeid","1","personer","15864","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","000301","arbeid","1","prosent","77.8","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","000301","arbeid","alle","personer","21766","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","000301","arbeid","alle","prosent","77.6","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","000301","familie","0","personer","7697","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","000301","familie","0","prosent","51.3","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","000301","familie","1","personer","5996","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","000301","familie","1","prosent","71.9","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","000301","familie","alle","personer","13693","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","000301","familie","alle","prosent","58.6","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","000301","flukt","0","personer","9111","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","000301","flukt","0","prosent","49.7","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","000301","flukt","1","personer","12114","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","000301","flukt","1","prosent","58.8","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","000301","flukt","alle","personer","21225","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","000301","flukt","alle","prosent","54.5","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","000301","annet_uoppgitt","0","personer","14026","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","000301","annet_uoppgitt","0","prosent","64.9","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","000301","annet_uoppgitt","1","personer","14869","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","000301","annet_uoppgitt","1","prosent","71.9","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","000301","annet_uoppgitt","alle","personer","28895","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","000301","annet_uoppgitt","alle","prosent","68.3","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030101","alle","0","personer","3075","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030101","alle","0","prosent","54.8","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030101","alle","1","personer","4567","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030101","alle","1","prosent","65.8","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030101","alle","alle","personer","7642","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030101","alle","alle","prosent","60.9","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030101","arbeid","0","personer","485","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030101","arbeid","0","prosent","75.1","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030101","arbeid","1","personer","1337","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030101","arbeid","1","prosent","78.9","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030101","arbeid","alle","personer","1822","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030101","arbeid","alle","prosent","77.8","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030101","familie","0","personer","646","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030101","familie","0","prosent","50.6","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030101","familie","1","personer","498","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030101","familie","1","prosent","64.4","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030101","familie","alle","personer","1144","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030101","familie","alle","prosent","55.8","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030101","flukt","0","personer","785","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030101","flukt","0","prosent","39.2","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030101","flukt","1","personer","1328","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030101","flukt","1","prosent","53.2","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030101","flukt","alle","personer","2113","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030101","flukt","alle","prosent","47","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030101","annet_uoppgitt","0","personer","1159","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030101","annet_uoppgitt","0","prosent","68.8","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030101","annet_uoppgitt","1","personer","1404","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030101","annet_uoppgitt","1","prosent","71.2","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030101","annet_uoppgitt","alle","personer","2563","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030101","annet_uoppgitt","alle","prosent","70.1","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030102","alle","0","personer","3515","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030102","alle","0","prosent","61.9","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030102","alle","1","personer","5207","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030102","alle","1","prosent","70.3","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030102","alle","alle","personer","8722","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030102","alle","alle","prosent","66.6","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030102","arbeid","0","personer","704","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030102","arbeid","0","prosent","77.9","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030102","arbeid","1","personer","1838","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030102","arbeid","1","prosent","78","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030102","arbeid","alle","personer","2542","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030102","arbeid","alle","prosent","78","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030102","familie","0","personer","608","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030102","familie","0","prosent","50.8","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030102","familie","1","personer","478","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030102","familie","1","prosent","68.4","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030102","familie","alle","personer","1086","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030102","familie","alle","prosent","57.2","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
