"aar","fylke_nr","tilskudd_til_kommuner","enhet","tabellvariabel","tabell_navn","kommune_nr","naringsregion_nr"
"2011","00","totalt","kroner","4517229795","tilskudd","NULL","NULL"
"2011","00","inttilsk_1_5","kroner","3936037772","tilskudd","NULL","NULL"
"2011","00","inttilsk_1","kroner","1139251435","tilskudd","NULL","NULL"
"2011","00","inttilsk_2_5","kroner","2796786338","tilskudd","NULL","NULL"
"2011","00","funkhem","kroner","191616454","tilskudd","NULL","NULL"
"2011","00","norsk_samf_tilsk","kroner","0","tilskudd","NULL","NULL"
"2011","00","em_tilsk","kroner","303072468.5","tilskudd","NULL","NULL"
"2011","00","barnehage_tilsk","kroner","13140900","tilskudd","NULL","NULL"
"2011","00","eldre_tilsk","kroner","10768600","tilskudd","NULL","NULL"
"2011","00","skole_tilsk","kroner","62593600","tilskudd","NULL","NULL"
"2011","01","totalt","kroner","182774235","tilskudd","NULL","NULL"
"2011","01","inttilsk_1_5","kroner","157844400","tilskudd","NULL","NULL"
"2011","01","inttilsk_1","kroner","41070000","tilskudd","NULL","NULL"
"2011","01","inttilsk_2_5","kroner","116774400","tilskudd","NULL","NULL"
"2011","01","funkhem","kroner","8430048","tilskudd","NULL","NULL"
"2011","01","norsk_samf_tilsk","kroner","0","tilskudd","NULL","NULL"
"2011","01","em_tilsk","kroner","12614187","tilskudd","NULL","NULL"
"2011","01","barnehage_tilsk","kroner","393300","tilskudd","NULL","NULL"
"2011","01","eldre_tilsk","kroner","550800","tilskudd","NULL","NULL"
"2011","01","skole_tilsk","kroner","2941500","tilskudd","NULL","NULL"
"2011","02","totalt","kroner","371602196","tilskudd","NULL","NULL"
"2011","02","inttilsk_1_5","kroner","317229375","tilskudd","NULL","NULL"
"2011","02","inttilsk_1","kroner","91923200","tilskudd","NULL","NULL"
"2011","02","inttilsk_2_5","kroner","225306175","tilskudd","NULL","NULL"
"2011","02","funkhem","kroner","23232625","tilskudd","NULL","NULL"
"2011","02","norsk_samf_tilsk","kroner","0","tilskudd","NULL","NULL"
"2011","02","em_tilsk","kroner","23889896","tilskudd","NULL","NULL"
"2011","02","barnehage_tilsk","kroner","683100","tilskudd","NULL","NULL"
"2011","02","eldre_tilsk","kroner","1513700","tilskudd","NULL","NULL"
