"aar","bydel_nr","innvkat_5","kjonn","enhet","tabellvariabel","tabell_navn","fylke_nr","naringsregion_nr","kommune_nr"
"2013","000301","alle","0","personer","7887","ungdom_utenfor_opplaring","NULL","NULL","NULL"
"2013","000301","alle","0","prosent","18.5","ungdom_utenfor_opplaring","NULL","NULL","NULL"
"2013","000301","alle","1","personer","9253","ungdom_utenfor_opplaring","NULL","NULL","NULL"
"2013","000301","alle","1","prosent","23.4","ungdom_utenfor_opplaring","NULL","NULL","NULL"
"2013","000301","alle","alle","personer","17140","ungdom_utenfor_opplaring","NULL","NULL","NULL"
"2013","000301","alle","alle","prosent","20.9","ungdom_utenfor_opplaring","NULL","NULL","NULL"
"2013","000301","innvandrere","0","personer","4171","ungdom_utenfor_opplaring","NULL","NULL","NULL"
"2013","000301","innvandrere","0","prosent","43.1","ungdom_utenfor_opplaring","NULL","NULL","NULL"
"2013","000301","innvandrere","1","personer","4100","ungdom_utenfor_opplaring","NULL","NULL","NULL"
"2013","000301","innvandrere","1","prosent","49.2","ungdom_utenfor_opplaring","NULL","NULL","NULL"
"2013","000301","innvandrere","alle","personer","8271","ungdom_utenfor_opplaring","NULL","NULL","NULL"
"2013","000301","innvandrere","alle","prosent","45.9","ungdom_utenfor_opplaring","NULL","NULL","NULL"
"2013","000301","befolkningen_ellers","0","personer","3716","ungdom_utenfor_opplaring","NULL","NULL","NULL"
"2013","000301","befolkningen_ellers","0","prosent","11.3","ungdom_utenfor_opplaring","NULL","NULL","NULL"
"2013","000301","befolkningen_ellers","1","personer","5153","ungdom_utenfor_opplaring","NULL","NULL","NULL"
"2013","000301","befolkningen_ellers","1","prosent","16.5","ungdom_utenfor_opplaring","NULL","NULL","NULL"
"2013","000301","befolkningen_ellers","alle","personer","8869","ungdom_utenfor_opplaring","NULL","NULL","NULL"
"2013","000301","befolkningen_ellers","alle","prosent","13.8","ungdom_utenfor_opplaring","NULL","NULL","NULL"
"2013","000301","norskfodte_m_innvf","0","personer","912","ungdom_utenfor_opplaring","NULL","NULL","NULL"
"2013","000301","norskfodte_m_innvf","0","prosent","17.6","ungdom_utenfor_opplaring","NULL","NULL","NULL"
"2013","000301","norskfodte_m_innvf","1","personer","1478","ungdom_utenfor_opplaring","NULL","NULL","NULL"
"2013","000301","norskfodte_m_innvf","1","prosent","27.4","ungdom_utenfor_opplaring","NULL","NULL","NULL"
"2013","000301","norskfodte_m_innvf","alle","personer","2390","ungdom_utenfor_opplaring","NULL","NULL","NULL"
"2013","000301","norskfodte_m_innvf","alle","prosent","22.6","ungdom_utenfor_opplaring","NULL","NULL","NULL"
"2013","000301","bef_u_innv_og_norskf","0","personer","2804","ungdom_utenfor_opplaring","NULL","NULL","NULL"
"2013","000301","bef_u_innv_og_norskf","0","prosent","10.1","ungdom_utenfor_opplaring","NULL","NULL","NULL"
"2013","000301","bef_u_innv_og_norskf","1","personer","3675","ungdom_utenfor_opplaring","NULL","NULL","NULL"
"2013","000301","bef_u_innv_og_norskf","1","prosent","14.3","ungdom_utenfor_opplaring","NULL","NULL","NULL"
"2013","000301","bef_u_innv_og_norskf","alle","personer","6479","ungdom_utenfor_opplaring","NULL","NULL","NULL"
"2013","000301","bef_u_innv_og_norskf","alle","prosent","12.1","ungdom_utenfor_opplaring","NULL","NULL","NULL"
"2013","030101","alle","0","personer","836","ungdom_utenfor_opplaring","NULL","NULL","NULL"
"2013","030101","alle","0","prosent","26.2","ungdom_utenfor_opplaring","NULL","NULL","NULL"
"2013","030101","alle","1","personer","946","ungdom_utenfor_opplaring","NULL","NULL","NULL"
"2013","030101","alle","1","prosent","33","ungdom_utenfor_opplaring","NULL","NULL","NULL"
"2013","030101","alle","alle","personer","1782","ungdom_utenfor_opplaring","NULL","NULL","NULL"
"2013","030101","alle","alle","prosent","29.4","ungdom_utenfor_opplaring","NULL","NULL","NULL"
"2013","030101","innvandrere","0","personer","480","ungdom_utenfor_opplaring","NULL","NULL","NULL"
"2013","030101","innvandrere","0","prosent","48.4","ungdom_utenfor_opplaring","NULL","NULL","NULL"
"2013","030101","innvandrere","1","personer","513","ungdom_utenfor_opplaring","NULL","NULL","NULL"
"2013","030101","innvandrere","1","prosent","56.7","ungdom_utenfor_opplaring","NULL","NULL","NULL"
"2013","030101","innvandrere","alle","personer","993","ungdom_utenfor_opplaring","NULL","NULL","NULL"
"2013","030101","innvandrere","alle","prosent","52.3","ungdom_utenfor_opplaring","NULL","NULL","NULL"
"2013","030101","befolkningen_ellers","0","personer","356","ungdom_utenfor_opplaring","NULL","NULL","NULL"
"2013","030101","befolkningen_ellers","0","prosent","16.2","ungdom_utenfor_opplaring","NULL","NULL","NULL"
"2013","030101","befolkningen_ellers","1","personer","433","ungdom_utenfor_opplaring","NULL","NULL","NULL"
"2013","030101","befolkningen_ellers","1","prosent","22.1","ungdom_utenfor_opplaring","NULL","NULL","NULL"
"2013","030101","befolkningen_ellers","alle","personer","789","ungdom_utenfor_opplaring","NULL","NULL","NULL"
"2013","030101","befolkningen_ellers","alle","prosent","18.9","ungdom_utenfor_opplaring","NULL","NULL","NULL"
"2013","030101","norskfodte_m_innvf","0","personer","119","ungdom_utenfor_opplaring","NULL","NULL","NULL"
"2013","030101","norskfodte_m_innvf","0","prosent","27.2","ungdom_utenfor_opplaring","NULL","NULL","NULL"
