"aar","fylke_nr","innvkat_4","kjonn","enhet","tabellvariabel","tabell_navn","bydel_nr","naringsregion_nr","kommune_nr"
"2013","00","alle","0","personer","296614","videregaende_deltakelse","NULL","NULL","NULL"
"2013","00","alle","0","prosent","100","videregaende_deltakelse","NULL","NULL","NULL"
"2013","00","alle","1","personer","326347","videregaende_deltakelse","NULL","NULL","NULL"
"2013","00","alle","1","prosent","100","videregaende_deltakelse","NULL","NULL","NULL"
"2013","00","alle","alle","personer","622961","videregaende_deltakelse","NULL","NULL","NULL"
"2013","00","alle","alle","prosent","100","videregaende_deltakelse","NULL","NULL","NULL"
"2013","00","innvandrere","0","personer","18219","videregaende_deltakelse","NULL","NULL","NULL"
"2013","00","innvandrere","0","prosent","6.142326391","videregaende_deltakelse","NULL","NULL","NULL"
"2013","00","innvandrere","1","personer","20838","videregaende_deltakelse","NULL","NULL","NULL"
"2013","00","innvandrere","1","prosent","6.385227994","videregaende_deltakelse","NULL","NULL","NULL"
"2013","00","innvandrere","alle","personer","39057","videregaende_deltakelse","NULL","NULL","NULL"
"2013","00","innvandrere","alle","prosent","6.269573858","videregaende_deltakelse","NULL","NULL","NULL"
"2013","00","bef_u_innv_og_norskf","0","personer","266620","videregaende_deltakelse","NULL","NULL","NULL"
"2013","00","bef_u_innv_og_norskf","0","prosent","89.88786773","videregaende_deltakelse","NULL","NULL","NULL"
"2013","00","bef_u_innv_og_norskf","1","personer","292816","videregaende_deltakelse","NULL","NULL","NULL"
"2013","00","bef_u_innv_og_norskf","1","prosent","89.72535369","videregaende_deltakelse","NULL","NULL","NULL"
"2013","00","bef_u_innv_og_norskf","alle","personer","559436","videregaende_deltakelse","NULL","NULL","NULL"
"2013","00","bef_u_innv_og_norskf","alle","prosent","89.80273243","videregaende_deltakelse","NULL","NULL","NULL"
"2013","00","norskfodte_m_innvf","0","personer","11775","videregaende_deltakelse","NULL","NULL","NULL"
"2013","00","norskfodte_m_innvf","0","prosent","3.969805876","videregaende_deltakelse","NULL","NULL","NULL"
"2013","00","norskfodte_m_innvf","1","personer","12693","videregaende_deltakelse","NULL","NULL","NULL"
"2013","00","norskfodte_m_innvf","1","prosent","3.889418319","videregaende_deltakelse","NULL","NULL","NULL"
"2013","00","norskfodte_m_innvf","alle","personer","24468","videregaende_deltakelse","NULL","NULL","NULL"
