bydel_nr;spraak.alle_bhgalder.1/5_enhet.personer;spraak.alle_bhgalder.1_enhet.personer;spraak.alle_bhgalder.2_enhet.personer;spraak.alle_bhgalder.3_enhet.personer;spraak.alle_bhgalder.4_enhet.personer;spraak.alle_bhgalder.5_enhet.personer;spraak.alle_bhgalder.1/5_enhet.prosent;spraak.alle_bhgalder.1_enhet.prosent;spraak.alle_bhgalder.2_enhet.prosent;spraak.alle_bhgalder.3_enhet.prosent;spraak.alle_bhgalder.4_enhet.prosent;spraak.alle_bhgalder.5_enhet.prosent;spraak.minoritet_bhgalder.1/5_enhet.personer;spraak.minoritet_bhgalder.1_enhet.personer;spraak.minoritet_bhgalder.2_enhet.personer;spraak.minoritet_bhgalder.3_enhet.personer;spraak.minoritet_bhgalder.4_enhet.personer;spraak.minoritet_bhgalder.5_enhet.personer;spraak.minoritet_bhgalder.1/5_enhet.prosent;spraak.minoritet_bhgalder.1_enhet.prosent;spraak.minoritet_bhgalder.2_enhet.prosent;spraak.minoritet_bhgalder.3_enhet.prosent;spraak.minoritet_bhgalder.4_enhet.prosent;spraak.minoritet_bhgalder.5_enhet.prosent;spraak.ikke/minoritet_bhgalder.1/5_enhet.personer;spraak.ikke/minoritet_bhgalder.1_enhet.personer;spraak.ikke/minoritet_bhgalder.2_enhet.personer;spraak.ikke/minoritet_bhgalder.3_enhet.personer;spraak.ikke/minoritet_bhgalder.4_enhet.personer;spraak.ikke/minoritet_bhgalder.5_enhet.personer;spraak.ikke/minoritet_bhgalder.1/5_enhet.prosent;spraak.ikke/minoritet_bhgalder.1_enhet.prosent;spraak.ikke/minoritet_bhgalder.2_enhet.prosent;spraak.ikke/minoritet_bhgalder.3_enhet.prosent;spraak.ikke/minoritet_bhgalder.4_enhet.prosent;spraak.ikke/minoritet_bhgalder.5_enhet.prosent;barnikommune.alle_bhgalder.1/5_enhet.personer;barnikommune.alle_bhgalder.1_enhet.personer;barnikommune.alle_bhgalder.2_enhet.personer;barnikommune.alle_bhgalder.3_enhet.personer;barnikommune.alle_bhgalder.4_enhet.personer;barnikommune.alle_bhgalder.5_enhet.personer;barnikommune.alle_bhgalder.1/5_enhet.prosent;barnikommune.alle_bhgalder.1_enhet.prosent;barnikommune.alle_bhgalder.2_enhet.prosent;barnikommune.alle_bhgalder.3_enhet.prosent;barnikommune.alle_bhgalder.4_enhet.prosent;barnikommune.alle_bhgalder.5_enhet.prosent;barnikommune.innvandrerbakgr_bhgalder.1/5_enhet.personer;barnikommune.innvandrerbakgr_bhgalder.1_enhet.personer;barnikommune.innvandrerbakgr_bhgalder.2_enhet.personer;barnikommune.innvandrerbakgr_bhgalder.3_enhet.personer;barnikommune.innvandrerbakgr_bhgalder.4_enhet.personer;barnikommune.innvandrerbakgr_bhgalder.5_enhet.personer;barnikommune.innvandrerbakgr_bhgalder.1/5_enhet.prosent;barnikommune.innvandrerbakgr_bhgalder.1_enhet.prosent;barnikommune.innvandrerbakgr_bhgalder.2_enhet.prosent;barnikommune.innvandrerbakgr_bhgalder.3_enhet.prosent;barnikommune.innvandrerbakgr_bhgalder.4_enhet.prosent;barnikommune.innvandrerbakgr_bhgalder.5_enhet.prosent;barnikommune.barn/ellers_bhgalder.1/5_enhet.personer;barnikommune.barn/ellers_bhgalder.1_enhet.personer;barnikommune.barn/ellers_bhgalder.2_enhet.personer;barnikommune.barn/ellers_bhgalder.3_enhet.personer;barnikommune.barn/ellers_bhgalder.4_enhet.personer;barnikommune.barn/ellers_bhgalder.5_enhet.personer;barnikommune.barn/ellers_bhgalder.1/5_enhet.prosent;barnikommune.barn/ellers_bhgalder.1_enhet.prosent;barnikommune.barn/ellers_bhgalder.2_enhet.prosent;barnikommune.barn/ellers_bhgalder.3_enhet.prosent;barnikommune.barn/ellers_bhgalder.4_enhet.prosent;barnikommune.barn/ellers_bhgalder.5_enhet.prosent
30101;2805;503;651;565;604;482;79,23728814;57,35461802;83,67609254;84,20268256;90,82706767;87,79599271;946;76;188;201;261;220;71,39622642;26,48083624;69,88847584;74,1697417;95,95588235;97,34513274;1859;427;463;364;343;262;83,92776524;72,37288136;90,96267191;91;87,27735369;81,11455108;3540;877;778;671;665;549;100;100;100;100;100;100;1325;287;269;271;272;226;37,42937853;32,72519954;34,57583548;40,38748137;40,90225564;41,16575592;2215;590;509;400;393;323;62,57062147;67,27480046;65,42416452;59,61251863;59,09774436;58,83424408
30102;2665;468;672;523;528;474;85,63624679;56,31768953;89,00662252;94,23423423;102,5242718;103,9473684;706;62;154;154;168;168;68,61030126;27,19298246;67,2489083;76,23762376;88,42105263;93,33333333;1959;406;518;369;360;306;94,04704753;67,33001658;98,47908745;104,5325779;110,7692308;110,8695652;3112;831;755;555;515;456;100;100;100;100;100;100;1029;228;229;202;190;180;33,0655527;27,4368231;30,33112583;36,3963964;36,89320388;39,47368421;2083;603;526;353;325;276;66,9344473;72,5631769;69,66887417;63,6036036;63,10679612;60,52631579
30103;2141;488;533;459;364;297;90,52854123;73,60482655;94,5035461;103,8461538;98,11320755;91,38461538;423;43;86;104;92;98;69,00489396;34,12698413;63,7037037;83,2;77,96610169;89,90825688;1718;445;447;355;272;199;98,05936073;82,86778399;104,1958042;111,9873817;107,5098814;92,12962963;2365;663;564;442;371;325;100;100;100;100;100;100;613;126;135;125;118;109;25,91966173;19,00452489;23,93617021;28,28054299;31,80592992;33,53846154;1752;537;429;317;253;216;74,08033827;80,99547511;76,06382979;71,71945701;68,19407008;66,46153846
30104;1995;435;469;416;347;328;121,6463415;106,097561;123,7467018;128;126,1818182;130,6772908;352;49;84;81;71;67;98,32402235;60,49382716;107,6923077;108;112,6984127;109,8360656;1643;386;385;335;276;261;128,1591264;117,325228;127,9069767;134;130,1886792;137,3684211;1640;410;379;325;275;251;100;100;100;100;100;100;358;81;78;75;63;61;21,82926829;19,75609756;20,58047493;23,07692308;22,90909091;24,30278884;1282;329;301;250;212;190;78,17073171;80,24390244;79,41952507;76,92307692;77,09090909;75,69721116
30105;2386;457;483;518;472;456;106,3279857;80,45774648;103,2051282;116,1434978;118,2957393;125,6198347;430;49;77;105;85;114;85,48707753;42,60869565;75,49019608;102,9411765;103,6585366;111,7647059;1956;408;406;413;387;342;112,3492246;90,06622517;110,9289617;120,0581395;122,0820189;131,0344828;2244;568;468;446;399;363;100;100;100;100;100;100;503;115;102;102;82;102;22,41532977;20,24647887;21,79487179;22,86995516;20,55137845;28,09917355;1741;453;366;344;317;261;77,58467023;79,75352113;78,20512821;77,13004484;79,44862155;71,90082645
30106;2153;383;466;435;479;390;99,81455726;88,86310905;106,6361556;101,635514;105,2747253;96,0591133;188;20;44;42;49;33;78,33333333;41,66666667;70,96774194;95,45454545;106,5217391;82,5;1965;363;422;393;430;357;102,5039124;94,77806789;112,5333333;102,34375;105,1344743;97,54098361;2157;431;437;428;455;406;100;100;100;100;100;100;240;48;62;44;46;40;11,12656467;11,13689095;14,18764302;10,28037383;10,10989011;9,852216749;1917;383;375;384;409;366;88,87343533;88,86310905;85,81235698;89,71962617;89,89010989;90,14778325
30107;2894;470;552;594;626;652;85,14268903;68,21480406;84,53292496;87,61061947;93,85307346;91,57303371;204;27;44;50;45;38;64,3533123;37,5;65,67164179;71,42857143;90;65,51724138;2690;443;508;544;581;614;87,28098637;71,79902755;86,6894198;89,47368421;94,16531605;93,88379205;3399;689;653;678;667;712;100;100;100;100;100;100;317;72;67;70;50;58;9,326272433;10,44992743;10,26033691;10,32448378;7,496251874;8,146067416;3082;617;586;608;617;654;90,67372757;89,55007257;89,73966309;89,67551622;92,50374813;91,85393258
30108;3748;698;801;786;732;731;108,7006961;111,5015974;115,5844156;109,3184979;102,3776224;105,1798561;406;67;97;80;86;76;106,5616798;103,0769231;107,7777778;101,2658228;107,5;113,4328358;3342;631;704;706;646;655;108,9664167;112,4777184;116,7495854;110,3125;101,7322835;104,2993631;3448;626;693;719;715;695;100;100;100;100;100;100;381;65;90;79;80;67;11,04988399;10,38338658;12,98701299;10,98748261;11,18881119;9,64028777;3067;561;603;640;635;628;88,95011601;89,61661342;87,01298701;89,01251739;88,81118881;90,35971223
30109;1961;325;356;434;424;422;75,27831094;58,34829443;68,59344894;79,48717949;82,65107212;89,78723404;726;59;125;178;169;195;69,54022989;28,7804878;60,38647343;77,39130435;82,03883495;99,48979592;1235;266;231;256;255;227;79,11595131;75,56818182;74,03846154;81,01265823;83,06188925;82,84671533;2605;557;519;546;513;470;100;100;100;100;100;100;1044;205;207;230;206;196;40,07677543;36,8043088;39,88439306;42,12454212;40,15594542;41,70212766;1561;352;312;316;307;274;59,92322457;63,1956912;60,11560694;57,87545788;59,84405458;58,29787234
30110;1346;172;257;299;296;322;69,63269529;42,89276808;68,16976127;73,46437346;78,51458886;86,79245283;753;69;122;176;182;204;75,75452716;35,38461538;64,89361702;81,48148148;93,81443299;101,4925373;593;103;135;123;114;118;63,15228967;50;71,42857143;64,39790576;62,29508197;69,41176471;1933;401;377;407;377;371;100;100;100;100;100;100;994;195;188;216;194;201;51,42265908;48,62842893;49,86737401;53,07125307;51,45888594;54,17789757;939;206;189;191;183;170;48,57734092;51,37157107;50,13262599;46,92874693;48,54111406;45,82210243
30111;1336;100;206;303;353;374;63,07837583;23,4741784;50,36674817;71,80094787;81,9025522;86,97674419;929;48;133;214;254;280;75,1618123;20,51282051;56,59574468;83,26848249;104,9586777;104,4776119;407;52;73;89;99;94;46,14512472;27,08333333;41,95402299;53,93939394;52,38095238;58,02469136;2118;426;409;422;431;430;100;100;100;100;100;100;1236;234;235;257;242;268;58,35694051;54,92957746;57,45721271;60,90047393;56,14849188;62,3255814;882;192;174;165;189;162;41,64305949;45,07042254;42,54278729;39,09952607;43,85150812;37,6744186
30112;2543;249;507;530;637;620;73,34871647;35,67335244;71,30801688;75,71428571;91,78674352;93,37349398;1512;94;269;309;428;412;81,50943396;26,55367232;73,29700272;82,62032086;109,1836735;111,9565217;1031;155;238;221;209;208;63,95781638;45,05813953;69,18604651;67,79141104;69,20529801;70,27027027;3467;698;711;700;694;664;100;100;100;100;100;100;1855;354;367;374;392;368;53,50447072;50,71633238;51,61744023;53,42857143;56,48414986;55,42168675;1612;344;344;326;302;296;46,49552928;49,28366762;48,38255977;46,57142857;43,51585014;44,57831325
30113;2912;444;564;617;654;633;77,90262172;56,63265306;79,32489451;81,2911726;84,49612403;89,15492958;677;65;122;144;184;162;78,9044289;38,92215569;76,25;88,34355828;94,35897436;93,6416185;2235;379;442;473;470;471;77,60416667;61,42625608;80,21778584;79,36241611;81,17443869;87,70949721;3738;784;711;759;774;710;100;100;100;100;100;100;858;167;160;163;195;173;22,95345104;21,30102041;22,50351617;21,47562582;25,19379845;24,36619718;2880;617;551;596;579;537;77,04654896;78,69897959;77,49648383;78,52437418;74,80620155;75,63380282
30114;3003;470;578;643;649;663;87,55102041;67,52873563;89,47368421;90,81920904;95,3010279;94,84978541;288;28;62;58;67;73;74,41860465;36,84210526;76,54320988;90,625;79,76190476;89,02439024;2715;442;516;585;582;590;89,22116333;71,29032258;91,32743363;90,83850932;97,48743719;95,62398703;3430;696;646;708;681;699;100;100;100;100;100;100;387;76;81;64;84;82;11,28279883;10,91954023;12,53869969;9,039548023;12,33480176;11,73104435;3043;620;565;644;597;617;88,71720117;89,08045977;87,46130031;90,96045198;87,66519824;88,26895565
30115;2117;209;392;465;528;523;72,72414978;37,1886121;65,88235294;79,62328767;88,7394958;90,95652174;1108;51;186;252;312;307;84,19452888;21,98275862;66,19217082;96,55172414;116,4179104;112,0437956;1009;158;206;213;216;216;63,26018809;47,87878788;65,60509554;65,94427245;66,05504587;71,76079734;2911;562;595;584;595;575;100;100;100;100;100;100;1316;232;281;261;268;274;45,20783236;41,28113879;47,22689076;44,69178082;45,04201681;47,65217391;1595;330;314;323;327;301;54,79216764;58,71886121;52,77310924;55,30821918;54,95798319;52,34782609
30116;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
30117;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
30199;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
