bydel_nr;spraak.alle_bhgalder.1.5_enhet.personer;spraak.alle_bhgalder.1_enhet.personer;spraak.alle_bhgalder.2_enhet.personer;spraak.alle_bhgalder.3_enhet.personer;spraak.alle_bhgalder.4_enhet.personer;spraak.alle_bhgalder.5_enhet.personer;spraak.alle_bhgalder.1.5_enhet.prosent;spraak.alle_bhgalder.1_enhet.prosent;spraak.alle_bhgalder.2_enhet.prosent;spraak.alle_bhgalder.3_enhet.prosent;spraak.alle_bhgalder.4_enhet.prosent;spraak.alle_bhgalder.5_enhet.prosent;spraak.minoritet_bhgalder.1.5_enhet.personer;spraak.minoritet_bhgalder.1_enhet.personer;spraak.minoritet_bhgalder.2_enhet.personer;spraak.minoritet_bhgalder.3_enhet.personer;spraak.minoritet_bhgalder.4_enhet.personer;spraak.minoritet_bhgalder.5_enhet.personer;spraak.minoritet_bhgalder.1.5_enhet.prosent;spraak.minoritet_bhgalder.1_enhet.prosent;spraak.minoritet_bhgalder.2_enhet.prosent;spraak.minoritet_bhgalder.3_enhet.prosent;spraak.minoritet_bhgalder.4_enhet.prosent;spraak.minoritet_bhgalder.5_enhet.prosent;spraak.ikke.minoritet_bhgalder.1.5_enhet.personer;spraak.ikke.minoritet_bhgalder.1_enhet.personer;spraak.ikke.minoritet_bhgalder.2_enhet.personer;spraak.ikke.minoritet_bhgalder.3_enhet.personer;spraak.ikke.minoritet_bhgalder.4_enhet.personer;spraak.ikke.minoritet_bhgalder.5_enhet.personer;spraak.ikke.minoritet_bhgalder.1.5_enhet.prosent;spraak.ikke.minoritet_bhgalder.1_enhet.prosent;spraak.ikke.minoritet_bhgalder.2_enhet.prosent;spraak.ikke.minoritet_bhgalder.3_enhet.prosent;spraak.ikke.minoritet_bhgalder.4_enhet.prosent;spraak.ikke.minoritet_bhgalder.5_enhet.prosent;barnikommune.alle_bhgalder.1.5_enhet.personer;barnikommune.alle_bhgalder.1_enhet.personer;barnikommune.alle_bhgalder.2_enhet.personer;barnikommune.alle_bhgalder.3_enhet.personer;barnikommune.alle_bhgalder.4_enhet.personer;barnikommune.alle_bhgalder.5_enhet.personer;barnikommune.alle_bhgalder.1.5_enhet.prosent;barnikommune.alle_bhgalder.1_enhet.prosent;barnikommune.alle_bhgalder.2_enhet.prosent;barnikommune.alle_bhgalder.3_enhet.prosent;barnikommune.alle_bhgalder.4_enhet.prosent;barnikommune.alle_bhgalder.5_enhet.prosent;barnikommune.innvandrerbakgr_bhgalder.1.5_enhet.personer;barnikommune.innvandrerbakgr_bhgalder.1_enhet.personer;barnikommune.innvandrerbakgr_bhgalder.2_enhet.personer;barnikommune.innvandrerbakgr_bhgalder.3_enhet.personer;barnikommune.innvandrerbakgr_bhgalder.4_enhet.personer;barnikommune.innvandrerbakgr_bhgalder.5_enhet.personer;barnikommune.innvandrerbakgr_bhgalder.1.5_enhet.prosent;barnikommune.innvandrerbakgr_bhgalder.1_enhet.prosent;barnikommune.innvandrerbakgr_bhgalder.2_enhet.prosent;barnikommune.innvandrerbakgr_bhgalder.3_enhet.prosent;barnikommune.innvandrerbakgr_bhgalder.4_enhet.prosent;barnikommune.innvandrerbakgr_bhgalder.5_enhet.prosent;barnikommune.barn.ellers_bhgalder.1.5_enhet.personer;barnikommune.barn.ellers_bhgalder.1_enhet.personer;barnikommune.barn.ellers_bhgalder.2_enhet.personer;barnikommune.barn.ellers_bhgalder.3_enhet.personer;barnikommune.barn.ellers_bhgalder.4_enhet.personer;barnikommune.barn.ellers_bhgalder.5_enhet.personer;barnikommune.barn.ellers_bhgalder.1.5_enhet.prosent;barnikommune.barn.ellers_bhgalder.1_enhet.prosent;barnikommune.barn.ellers_bhgalder.2_enhet.prosent;barnikommune.barn.ellers_bhgalder.3_enhet.prosent;barnikommune.barn.ellers_bhgalder.4_enhet.prosent;barnikommune.barn.ellers_bhgalder.5_enhet.prosent
30101;2935;503;656;648;563;565;82,00614697;58,89929742;82,10262829;93,10344828;91,54471545;91,8699187;1059;91;204;243;260;261;76,85050798;30,13245033;66,4495114;96,04743083;102,3622047;99,61832061;1876;412;452;405;303;304;85,23398455;74,63768116;91,8699187;91,4221219;83,93351801;86,11898017;3579;854;799;696;615;615;100;100;100;100;100;100;1378;302;307;253;254;262;38,50237497;35,36299766;38,42302879;36,35057471;41,30081301;42,60162602;2201;552;492;443;361;353;61,49762503;64,63700234;61,57697121;63,64942529;58,69918699;57,39837398
30102;2786;542;628;646;491;479;87,72040302;68,00501882;86,14540466;98,77675841;96,65354331;98,1557377;755;74;151;192;167;171;71,02539981;36,63366337;65,0862069;86,48648649;81,46341463;84,65346535;2031;468;477;454;324;308;96,11926171;78,65546218;95,97585513;105,0925926;106,9306931;107,6923077;3176;797;729;654;508;488;100;100;100;100;100;100;1063;202;232;222;205;202;33,4697733;25,34504391;31,82441701;33,94495413;40,35433071;41,39344262;2113;595;497;432;303;286;66,5302267;74,65495609;68,17558299;66,05504587;59,64566929;58,60655738
30103;2219;509;528;461;399;322;89,5841744;72,19858156;92,95774648;93,50912779;102,5706941;100;407;35;90;83;112;87;69,21768707;28,22580645;75;66,93548387;94,91525424;85,29411765;1812;474;438;378;287;235;95,92376919;81,58347676;97,76785714;102,4390244;105,904059;106,8181818;2477;705;568;493;389;322;100;100;100;100;100;100;588;124;120;124;118;102;23,73839322;17,58865248;21,12676056;25,15212982;30,33419023;31,67701863;1889;581;448;369;271;220;76,26160678;82,41134752;78,87323944;74,84787018;69,66580977;68,32298137
30104;2005;440;467;426;359;313;118,7092954;95,23809524;135,3623188;128,313253;125,9649123;118,1132075;361;51;77;100;68;65;92,09183673;65,38461538;102,6666667;111,1111111;89,47368421;89,04109589;1644;389;390;326;291;248;126,7540478;101,3020833;144,4444444;134,7107438;139,2344498;129,1666667;1689;462;345;332;285;265;100;100;100;100;100;100;392;78;75;90;76;73;23,20899941;16,88311688;21,73913043;27,10843373;26,66666667;27,54716981;1297;384;270;242;209;192;76,79100059;83,11688312;78,26086957;72,89156627;73,33333333;72,45283019
30105;2374;415;525;470;491;473;102,3717119;72,55244755;103,960396;106,0948081;117,7458034;123,8219895;477;45;96;112;119;105;87,04379562;39,82300885;76,19047619;93,33333333;111,2149533;128,0487805;1897;370;429;358;372;368;107,1146245;80,61002179;113,1926121;110,8359133;120;122,6666667;2319;572;505;443;417;382;100;100;100;100;100;100;548;113;126;120;107;82;23,63087538;19,75524476;24,95049505;27,08803612;25,65947242;21,46596859;1771;459;379;323;310;300;76,36912462;80,24475524;75,04950495;72,91196388;74,34052758;78,53403141
30106;2146;368;428;474;429;447;99,44392956;88,6746988;99,30394432;106,9977427;102,1428571;99,5545657;204;29;33;49;47;46;79,37743191;51,78571429;86,84210526;76,5625;104,4444444;85,18518519;1942;339;395;425;382;401;102,1567596;94,42896936;100,5089059;112,1372032;101,8666667;101,5189873;2158;415;431;443;420;449;100;100;100;100;100;100;257;56;38;64;45;54;11,90917516;13,4939759;8,816705336;14,4469526;10,71428571;12,02672606;1901;359;393;379;375;395;88,09082484;86,5060241;91,18329466;85,5530474;89,28571429;87,97327394
30107;2878;456;600;571;610;641;84,92180584;68,16143498;85,47008547;87,84615385;90,37037037;92,4963925;250;36;59;50;49;56;71,22507123;49,31506849;74,6835443;71,42857143;71,01449275;93,33333333;2628;420;541;521;561;585;86,50427913;70,46979866;86,83788122;89,82758621;92,57425743;92,41706161;3389;669;702;650;675;693;100;100;100;100;100;100;351;73;79;70;69;60;10,35703747;10,91180867;11,25356125;10,76923077;10,22222222;8,658008658;3038;596;623;580;606;633;89,64296253;89,08819133;88,74643875;89,23076923;89,77777778;91,34199134
30108;3704;672;750;769;776;737;106,8667051;99,55555556;116,4596273;110,4885057;105,8663029;102,6462396;445;66;102;113;80;84;110,1485149;65,34653465;147,826087;122,826087;114,2857143;116,6666667;3259;606;648;656;696;653;106,4337035;105,5749129;112,6956522;108,6092715;104,9773756;101,0835913;3466;675;644;696;733;718;100;100;100;100;100;100;404;101;69;92;70;72;11,65608771;14,96296296;10,71428571;13,2183908;9,549795362;10,02785515;3062;574;575;604;663;646;88,34391229;85,03703704;89,28571429;86,7816092;90,45020464;89,97214485
30109;1939;261;414;389;442;433;79,11056712;57,23684211;80,859375;80,87318087;85,9922179;88,7295082;747;51;152;157;194;193;76,53688525;29,31034483;76,76767677;81,77083333;88,99082569;99,48453608;1192;210;262;232;248;240;80,81355932;74,46808511;83,43949045;80,27681661;83,78378378;81,63265306;2451;456;512;481;514;488;100;100;100;100;100;100;976;174;198;192;218;194;39,82048144;38,15789474;38,671875;39,91683992;42,41245136;39,75409836;1475;282;314;289;296;294;60,17951856;61,84210526;61,328125;60,08316008;57,58754864;60,24590164
30110;1347;142;275;295;319;316;72,53634895;40;70,33248082;79,72972973;85,98382749;85,40540541;786;56;152;166;206;206;79,63525836;29,62962963;74,50980392;88,29787234;99,03846154;104,040404;561;86;123;129;113;110;64,48275862;51,80722892;65,77540107;70,87912088;69,32515337;63,95348837;1857;355;391;370;371;370;100;100;100;100;100;100;987;189;204;188;208;198;53,15024233;53,23943662;52,17391304;50,81081081;56,06469003;53,51351351;870;166;187;182;163;172;46,84975767;46,76056338;47,82608696;49,18918919;43,93530997;46,48648649
30111;1328;74;236;287;360;371;63,96917148;18,73417722;52,91479821;72,84263959;86,12440191;87,70685579;952;33;170;213;265;271;78,35390947;14,47368421;66,14785992;91,81034483;105,1587302;110,1626016;376;41;66;74;95;100;43,67015099;24,5508982;34,92063492;45,67901235;57,22891566;56,49717514;2076;395;446;394;418;423;100;100;100;100;100;100;1215;228;257;232;252;246;58,52601156;57,72151899;57,62331839;58,88324873;60,28708134;58,15602837;861;167;189;162;166;177;41,47398844;42,27848101;42,37668161;41,11675127;39,71291866;41,84397163
30112;2645;296;497;582;621;649;75,76625609;40,65934066;72,44897959;83,62068966;87,58815233;96,57738095;1608;114;293;343;408;450;84,98942918;29,6875;82,07282913;93,71584699;103,8167939;114,7959184;1037;182;204;239;213;199;64,85303315;52,90697674;62,00607903;72,42424242;67,40506329;71,07142857;3491;728;686;696;709;672;100;100;100;100;100;100;1892;384;357;366;393;392;54,1965053;52,74725275;52,04081633;52,5862069;55,43018336;58,33333333;1599;344;329;330;316;280;45,8034947;47,25274725;47,95918367;47,4137931;44,56981664;41,66666667
30113;2905;374;631;579;651;670;80,07166483;57,62711864;81,94805195;83,07030129;87,03208556;87,69633508;662;53;124;135;151;199;81,02815177;38,97058824;75,6097561;82,31707317;94,375;103,1088083;2243;321;507;444;500;471;79,79366773;62,57309942;83,66336634;83,30206379;85,03401361;82,48686515;3628;649;770;697;748;764;100;100;100;100;100;100;817;136;164;164;160;193;22,51929438;20,95531587;21,2987013;23,52941176;21,39037433;25,2617801;2811;513;606;533;588;571;77,48070562;79,04468413;78,7012987;76,47058824;78,60962567;74,7382199
30114;3031;452;636;587;685;671;89,59503399;69,43164363;92,30769231;92,00626959;95,67039106;97,38751814;281;21;59;65;53;83;75,94594595;29,16666667;90,76923077;80,24691358;82,8125;94,31818182;2750;431;577;522;632;588;91,27115831;74,43868739;92,46794872;93,71633752;96,93251534;97,83693844;3383;651;689;638;716;689;100;100;100;100;100;100;370;72;65;81;64;88;10,93703813;11,05990783;9,433962264;12,69592476;8,938547486;12,77213353;3013;579;624;557;652;601;89,06296187;88,94009217;90,56603774;87,30407524;91,06145251;87,22786647
30115;2103;204;380;472;495;552;71,1916046;36,49373882;64,95726496;77,12418301;83,75634518;90,93904448;1124;63;165;269;297;330;83,19763138;25,71428571;65,73705179;91,80887372;107,6086957;115,3846154;979;141;215;203;198;222;61,07298815;44,9044586;64,37125749;63,63636364;62,85714286;69,1588785;2954;559;585;612;591;607;100;100;100;100;100;100;1351;245;251;293;276;286;45,73459716;43,82826476;42,90598291;47,87581699;46,70050761;47,1169687;1603;314;334;319;315;321;54,26540284;56,17173524;57,09401709;52,12418301;53,29949239;52,8830313
30116;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
30117;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
30199;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
