fylke_nr;spraak.alle_bhgalder.1.5_enhet.personer;spraak.alle_bhgalder.1_enhet.personer;spraak.alle_bhgalder.2_enhet.personer;spraak.alle_bhgalder.3_enhet.personer;spraak.alle_bhgalder.4_enhet.personer;spraak.alle_bhgalder.5_enhet.personer;spraak.alle_bhgalder.1.5_enhet.prosent;spraak.alle_bhgalder.1_enhet.prosent;spraak.alle_bhgalder.2_enhet.prosent;spraak.alle_bhgalder.3_enhet.prosent;spraak.alle_bhgalder.4_enhet.prosent;spraak.alle_bhgalder.5_enhet.prosent;spraak.minoritet_bhgalder.1.5_enhet.personer;spraak.minoritet_bhgalder.1_enhet.personer;spraak.minoritet_bhgalder.2_enhet.personer;spraak.minoritet_bhgalder.3_enhet.personer;spraak.minoritet_bhgalder.4_enhet.personer;spraak.minoritet_bhgalder.5_enhet.personer;spraak.minoritet_bhgalder.1.5_enhet.prosent;spraak.minoritet_bhgalder.1_enhet.prosent;spraak.minoritet_bhgalder.2_enhet.prosent;spraak.minoritet_bhgalder.3_enhet.prosent;spraak.minoritet_bhgalder.4_enhet.prosent;spraak.minoritet_bhgalder.5_enhet.prosent;spraak.ikke.minoritet_bhgalder.1.5_enhet.personer;spraak.ikke.minoritet_bhgalder.1_enhet.personer;spraak.ikke.minoritet_bhgalder.2_enhet.personer;spraak.ikke.minoritet_bhgalder.3_enhet.personer;spraak.ikke.minoritet_bhgalder.4_enhet.personer;spraak.ikke.minoritet_bhgalder.5_enhet.personer;spraak.ikke.minoritet_bhgalder.1.5_enhet.prosent;spraak.ikke.minoritet_bhgalder.1_enhet.prosent;spraak.ikke.minoritet_bhgalder.2_enhet.prosent;spraak.ikke.minoritet_bhgalder.3_enhet.prosent;spraak.ikke.minoritet_bhgalder.4_enhet.prosent;spraak.ikke.minoritet_bhgalder.5_enhet.prosent;barnikommune.alle_bhgalder.1.5_enhet.personer;barnikommune.alle_bhgalder.1_enhet.personer;barnikommune.alle_bhgalder.2_enhet.personer;barnikommune.alle_bhgalder.3_enhet.personer;barnikommune.alle_bhgalder.4_enhet.personer;barnikommune.alle_bhgalder.5_enhet.personer;barnikommune.alle_bhgalder.1.5_enhet.prosent;barnikommune.alle_bhgalder.1_enhet.prosent;barnikommune.alle_bhgalder.2_enhet.prosent;barnikommune.alle_bhgalder.3_enhet.prosent;barnikommune.alle_bhgalder.4_enhet.prosent;barnikommune.alle_bhgalder.5_enhet.prosent;barnikommune.innvandrerbakgr_bhgalder.1.5_enhet.personer;barnikommune.innvandrerbakgr_bhgalder.1_enhet.personer;barnikommune.innvandrerbakgr_bhgalder.2_enhet.personer;barnikommune.innvandrerbakgr_bhgalder.3_enhet.personer;barnikommune.innvandrerbakgr_bhgalder.4_enhet.personer;barnikommune.innvandrerbakgr_bhgalder.5_enhet.personer;barnikommune.innvandrerbakgr_bhgalder.1.5_enhet.prosent;barnikommune.innvandrerbakgr_bhgalder.1_enhet.prosent;barnikommune.innvandrerbakgr_bhgalder.2_enhet.prosent;barnikommune.innvandrerbakgr_bhgalder.3_enhet.prosent;barnikommune.innvandrerbakgr_bhgalder.4_enhet.prosent;barnikommune.innvandrerbakgr_bhgalder.5_enhet.prosent;barnikommune.barn.ellers_bhgalder.1.5_enhet.personer;barnikommune.barn.ellers_bhgalder.1_enhet.personer;barnikommune.barn.ellers_bhgalder.2_enhet.personer;barnikommune.barn.ellers_bhgalder.3_enhet.personer;barnikommune.barn.ellers_bhgalder.4_enhet.personer;barnikommune.barn.ellers_bhgalder.5_enhet.personer;barnikommune.barn.ellers_bhgalder.1.5_enhet.prosent;barnikommune.barn.ellers_bhgalder.1_enhet.prosent;barnikommune.barn.ellers_bhgalder.2_enhet.prosent;barnikommune.barn.ellers_bhgalder.3_enhet.prosent;barnikommune.barn.ellers_bhgalder.4_enhet.prosent;barnikommune.barn.ellers_bhgalder.5_enhet.prosent
0;284783;42324;56334;60921;62958;62246;90,00470909;68,88671875;90,59243535;95,20988966;96,90766081;97,5153528;37642;4015;7181;8653;9094;8699;76,77496992;39,49439307;72,2579996;85,97118728;93,45391018;95,28973601;247141;38309;49153;52268;53864;53547;92,43062308;74,71428014;94,07992956;96,93440404;97,51611268;97,88677038;316409;61440;62184;63986;64967;63832;100;100;100;100;100;100;49029;10166;9938;10065;9731;9129;15,49545051;16,54622396;15,98160298;15,73000344;14,97837364;14,30160421;267380;51274;52246;53921;55236;54703;84,50454949;83,45377604;84,01839702;84,26999656;85,02162636;85,69839579
1;14273;1905;2724;3029;3393;3222;87,48927302;63,01687066;86,14800759;92,43210253;95,92875318;97,19457014;1935;124;317;446;552;496;67,49215208;21,71628722;57,42753623;76,76419966;88,6035313;91,85185185;12338;1781;2407;2583;2841;2726;91,75280732;72,63458401;92,22222222;95,80860534;97,49485244;98,23423423;16314;3023;3162;3277;3537;3315;100;100;100;100;100;100;2867;571;552;581;623;540;17,57386294;18,88852134;17,4573055;17,72963076;17,613797;16,28959276;13447;2452;2610;2696;2914;2775;82,42613706;81,11147866;82,5426945;82,27036924;82,386203;83,71040724
2;34894;5161;6667;7444;7805;7817;91,31925362;73,16416218;91,24127549;95,59522281;97,0891902;97,42023928;4641;486;889;1065;1170;1031;79,00919305;40,53377815;76,44024076;87,87128713;96,2962963;95,02304147;30253;4675;5778;6379;6635;6786;93,55537001;79,84628523;94,04296875;97,01901141;97,23036342;97,79507134;38211;7054;7307;7787;8039;8024;100;100;100;100;100;100;5874;1199;1163;1212;1215;1085;15,3725367;16,99744826;15,9162447;15,56440221;15,11382013;13,5219342;32337;5855;6144;6575;6824;6939;84,6274633;83,00255174;84,0837553;84,43559779;84,88617987;86,4780658
3;36005;5871;7487;7587;7693;7367;85,01168748;63,43598055;85,46803653;89,88271532;94,02346615;95,48930655;9648;807;1793;2148;2453;2447;77,00534759;32,34468938;69,92979719;84,23529412;98,08076769;101,1575031;26357;5064;5694;5439;5240;4920;88,37513412;74,9112426;91,89799871;92,3272789;92,23728217;92,90030211;42353;9255;8760;8441;8182;7715;100;100;100;100;100;100;12529;2495;2564;2550;2501;2419;29,58232002;26,95840086;29,26940639;30,20969079;30,56709851;31,35450421;29824;6760;6196;5891;5681;5296;70,41767998;73,04159914;70,73059361;69,79030921;69,43290149;68,64549579
4;9164;1348;1747;1932;2100;2037;91,47534438;70,24491923;93,12366738;96,55172414;97,81089893;98,1686747;815;102;149;179;204;181;76,74199623;44,54148472;73,76237624;82,87037037;96,22641509;89,16256158;8349;1246;1598;1753;1896;1856;93,22242072;73,72781065;95,45997611;98,20728291;97,98449612;99,14529915;10018;1919;1876;2001;2147;2075;100;100;100;100;100;100;1062;229;202;216;212;203;10,60091835;11,93329859;10,76759062;10,7946027;9,87424313;9,78313253;8956;1690;1674;1785;1935;1872;89,39908165;88,06670141;89,23240938;89,2053973;90,12575687;90,21686747
5;8852;1273;1669;1936;1934;2040;91,22951664;69,94505495;90,26500811;97,53148615;97,72612431;98,55072464;831;103;164;187;191;186;76,0989011;44,01709402;69,78723404;88,20754717;90,09433962;93,46733668;8021;1170;1505;1749;1743;1854;93,14829869;73,7704918;93,24659232;98,6463621;98,6417657;99,09139498;9703;1820;1849;1985;1979;2070;100;100;100;100;100;100;1092;234;235;212;212;199;11,25425126;12,85714286;12,70957274;10,68010076;10,71248105;9,61352657;8611;1586;1614;1773;1767;1871;88,74574874;87,14285714;87,29042726;89,31989924;89,28751895;90,38647343
6;14567;2101;2847;3083;3201;3335;89,60999016;68,19214541;89,44392083;94,89073561;96,56108597;97,28704784;2568;280;486;608;570;624;81,03502682;43,34365325;77,88461538;90,61102832;95,15859766;99,20508744;11999;1821;2361;2475;2631;2711;91,68640636;74,78439425;92,26260258;96,00465477;96,87039764;96,85602001;16256;3081;3183;3249;3315;3428;100;100;100;100;100;100;3169;646;624;671;599;629;19,49434055;20,96721844;19,60414703;20,65250846;18,0693816;18,34889148;13087;2435;2559;2578;2716;2799;80,50565945;79,03278156;80,39585297;79,34749154;81,9306184;81,65110852
7;12285;1681;2405;2679;2730;2790;89,28701214;66,39020537;89,87294469;95,13494318;96,02532536;96,47302905;1338;123;254;315;323;323;71,1323764;31,53846154;69,02173913;83,11345646;82,60869565;91,50141643;10947;1558;2151;2364;2407;2467;92,16198013;72,73576097;93,19757366;97,00451375;98,16476346;97,16423789;13759;2532;2676;2816;2843;2892;100;100;100;100;100;100;1881;390;368;379;391;353;13,67105168;15,4028436;13,75186846;13,45880682;13,75307773;12,20608575;11878;2142;2308;2437;2452;2539;86,32894832;84,5971564;86,24813154;86,54119318;86,24692227;87,79391425
8;8365;1217;1657;1826;1794;1871;90,05275057;68,48621272;89,7616468;95,25299948;96,92058347;98,57744995;1038;121;189;252;234;242;78,22155237;41,86851211;73,54085603;88,11188811;91,05058366;101,6806723;7327;1096;1468;1574;1560;1629;92,02461693;73,65591398;92,38514789;96,50521153;97,86700125;98,13253012;9289;1777;1846;1917;1851;1898;100;100;100;100;100;100;1327;289;257;286;257;238;14,28571429;16,26336522;13,9219935;14,9191445;13,88438682;12,53951528;7962;1488;1589;1631;1594;1660;85,71428571;83,73663478;86,0780065;85,0808555;86,11561318;87,46048472
9;6423;900;1264;1390;1452;1417;90,27406887;66,86478455;91,06628242;96,32709633;97,05882353;98,26629681;671;63;124;148;158;178;79,22077922;37,05882353;80;87,05882353;90,8045977;100;5752;837;1140;1242;1294;1239;91,767709;71,17346939;92,45742092;97,56480754;97,88199697;98,0221519;7115;1346;1388;1443;1496;1442;100;100;100;100;100;100;847;170;155;170;174;178;11,90442727;12,63001486;11,16714697;11,78101178;11,63101604;12,34396671;6268;1176;1233;1273;1322;1264;88,09557273;87,36998514;88,83285303;88,21898822;88,36898396;87,65603329
10;10385;1363;2012;2227;2436;2347;87,73337839;59,3124456;87,40225891;95,00853242;97,36211031;98,15976579;1145;96;194;264;305;286;72,23974763;28,40236686;66,89655172;83,01886792;90,77380952;94,38943894;9240;1267;1818;1963;2131;2061;90,12875536;64,64285714;90,35785288;96,89042448;98,38411819;98,70689655;11837;2298;2302;2344;2502;2391;100;100;100;100;100;100;1585;338;290;318;336;303;13,39021712;14,70844212;12,59774109;13,5665529;13,42925659;12,67252196;10252;1960;2012;2026;2166;2088;86,60978288;85,29155788;87,40225891;86,4334471;86,57074341;87,32747804
11;29271;4184;5874;6507;6423;6283;88,76993995;64,50817145;90,03678725;95,42454905;96,64459825;96,67641176;3820;476;770;947;829;798;74,58024209;43,27272727;71,69459963;85,0853549;89,62162162;87,69230769;25451;3708;5104;5560;5594;5485;91,37943415;68,8451541;93,65137615;97,44128987;97,78010837;98,139202;32974;6486;6524;6819;6646;6499;100;100;100;100;100;100;5122;1100;1074;1113;925;910;15,5334506;16,9596053;16,46229307;16,32204136;13,91814625;14,00215418;27852;5386;5450;5706;5721;5589;84,4665494;83,0403947;83,53770693;83,67795864;86,08185375;85,99784582
12;29640;4483;5886;6341;6525;6405;90,78657192;69,74175482;91,91130543;96,36778116;97,54821348;97,83106766;3047;374;575;691;746;661;74,08217846;42,25988701;65,94036697;86,05230386;91,42156863;89,68792402;26593;4109;5311;5650;5779;5744;93,19432276;74,12953274;96,00506146;97,80162714;98,39945513;98,86402754;32648;6428;6404;6580;6689;6547;100;100;100;100;100;100;4113;885;872;803;816;737;12,59801519;13,76789048;13,61648969;12,20364742;12,1991329;11,2570643;28535;5543;5532;5777;5873;5810;87,40198481;86,23210952;86,38351031;87,79635258;87,8008671;88,7429357
14;5928;833;1236;1278;1274;1307;91,86424919;68,72937294;95,66563467;97,33434882;97,54977029;98,27067669;558;77;101;122;139;119;78,92503536;46,10778443;77,69230769;91,72932331;90,25974026;96,74796748;5370;756;1135;1156;1135;1188;93,45631744;72,34449761;97,67641997;97,96610169;98,52430556;98,42584921;6453;1212;1292;1313;1306;1330;100;100;100;100;100;100;707;167;130;133;154;123;10,95614443;13,77887789;10,0619195;10,12947449;11,79173047;9,248120301;5746;1045;1162;1180;1152;1207;89,04385557;86,22112211;89,9380805;89,87052551;88,20826953;90,7518797
15;14396;2176;2889;2975;3263;3093;92,61451364;73,51351351;94,22700587;97,22222222;98,43137255;98,40916322;1324;170;274;301;320;259;75,57077626;45,45454545;75,69060773;83,61111111;88,88888889;87,5;13072;2006;2615;2674;2943;2834;94,77958237;77,57153906;96,70857988;99,03703704;99,59390863;99,543379;15544;2960;3066;3060;3315;3143;100;100;100;100;100;100;1752;374;362;360;360;296;11,27123006;12,63513514;11,80691455;11,76470588;10,85972851;9,417753738;13792;2586;2704;2700;2955;2847;88,72876994;87,36486486;88,19308545;88,23529412;89,14027149;90,58224626
16;17641;2788;3578;3813;3754;3708;93,82013508;76,48834019;95,95065701;98,60356866;98,65965834;98,6957679;1617;212;364;372;353;316;82,54211332;52,86783042;81,79775281;93,93939394;92,40837696;94,32835821;16024;2576;3214;3441;3401;3392;95,13179767;79,4081381;97,86845311;99,13569576;99,35728893;99,1233197;18803;3645;3729;3867;3805;3757;100;100;100;100;100;100;1959;401;445;396;382;335;10,41855023;11,00137174;11,93349423;10,24049651;10,03942181;8,916688847;16844;3244;3284;3471;3423;3422;89,58144977;88,99862826;88,06650577;89,75950349;89,96057819;91,08331115
17;7567;1144;1494;1585;1670;1674;94,44583125;77,2972973;95,83066068;98,08168317;99,64200477;99,5835812;531;70;120;123;111;107;83,75394322;53,4351145;82,75862069;96,8503937;93,27731092;95,53571429;7036;1074;1374;1462;1559;1567;95,36459745;79,61452928;97,17114569;98,18670248;100,1284522;99,87253027;8012;1480;1559;1616;1676;1681;100;100;100;100;100;100;634;131;145;127;119;112;7,913130305;8,851351351;9,300833868;7,858910891;7,100238663;6,662700773;7378;1349;1414;1489;1557;1569;92,0868697;91,14864865;90,69916613;92,14108911;92,89976134;93,33729923
18;12355;1916;2430;2566;2712;2731;91,98183443;74,66874513;92,67734554;96,35749155;96,7189729;98,34353619;1019;162;193;220;217;227;83,45618346;60;80,41666667;88;91,56118143;101,3392857;11336;1754;2237;2346;2495;2504;92,8343297;76,39372822;93,91267842;97,22337339;97,19516946;98,08068939;13432;2566;2622;2663;2804;2777;100;100;100;100;100;100;1221;270;240;250;237;224;9,090232281;10,52221356;9,153318078;9,387908374;8,452211127;8,066258552;12211;2296;2382;2413;2567;2553;90,90976772;89,47778644;90,84668192;90,61209163;91,54778887;91,93374145
19;8898;1374;1715;1925;1921;1963;94,20857597;78,24601367;94,75138122;97,9145473;99,53367876;98,99142713;717;106;145;177;146;143;85,35714286;60,57142857;86,30952381;92,1875;102,8169014;87,73006135;8181;1268;1570;1748;1775;1820;95,07263219;80,20240354;95,61510353;98,53438557;99,27293065;100;9445;1756;1810;1966;1930;1983;100;100;100;100;100;100;840;175;168;192;142;163;8,893594494;9,965831435;9,281767956;9,76602238;7,357512953;8,219868886;8605;1581;1642;1774;1788;1820;91,10640551;90,03416856;90,71823204;90,23397762;92,64248705;91,78013111
20;3874;606;753;798;878;839;91,30332312;75,56109726;90,83232811;94,77434679;97,01657459;96,99421965;379;63;80;88;73;75;84,59821429;61,76470588;86,95652174;91,66666667;96,05263158;91,46341463;3495;543;673;710;805;764;92,09486166;77,57142857;91,31614654;95,17426273;97,10494572;97,5734355;4243;802;829;842;905;865;100;100;100;100;100;100;448;102;92;96;76;82;10,55856705;12,71820449;11,09770808;11,40142518;8,397790055;9,479768786;3795;700;737;746;829;783;89,44143295;87,28179551;88,90229192;88,59857482;91,60220994;90,52023121
