Fylke nr & navn;fylke_nr;"Fylke
navn";spraak.alle;spraak.minoritet;spraak.ikke_minoritet;barnikommune.alle;barnikommune.innvandrerbakgr;barnikommune.barn_ellers;spraak.alle;spraak.minoritet;spraak.ikke_minoritet;barnikommune.alle;barnikommune.innvandrerbakgr;barnikommune.barn_ellers;spraak.minoritet;spraak.minoritet;spraak.minoritet;spraak.minoritet;spraak.minoritet;barnikommune.innvandrerbakgr;barnikommune.innvandrerbakgr;barnikommune.innvandrerbakgr;barnikommune.innvandrerbakgr;barnikommune.innvandrerbakgr;spraak.minoritet;spraak.minoritet;spraak.minoritet;spraak.minoritet;spraak.minoritet;barnikommune.innvandrerbakgr;barnikommune.innvandrerbakgr;barnikommune.innvandrerbakgr;barnikommune.innvandrerbakgr;barnikommune.innvandrerbakgr
Nedbrytninger;;;bhgalder.1_5;bhgalder.1_5;bhgalder.1_5;bhgalder.1_5;bhgalder.1_5;bhgalder.1_5;bhgalder.1_5;bhgalder.1_5;bhgalder.1_5;bhgalder.1_5;bhgalder.1_5;bhgalder.1_5;bhgalder.1;bhgalder.2;bhgalder.3;bhgalder.4;bhgalder.5;bhgalder.1;bhgalder.2;bhgalder.3;bhgalder.4;bhgalder.5;bhgalder.1;bhgalder.2;bhgalder.3;bhgalder.4;bhgalder.5;bhgalder.1;bhgalder.2;bhgalder.3;bhgalder.4;bhgalder.5
;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
00 Hele landet;0;Hele landet;284783;37642;247141;316409;49 029;267 380;90;76,8;92,4;100;15;85;4 016;7 185;8 660;9 099;8 702;10 166;9 938;10 065;9 731;9 129;39,50422979;72,29824914;86,04073522;93,50529236;95,32259831;3,2129301;3,140871467;3,18100939;3,075449813;2,885189739
01 Østfold;1;Østfold;14273;1935;12338;16314;2 867;13 447;87,5;67,5;91,8;100;18;82;124;317;446;552;496;571;552;581;623;540;21,71628722;57,42753623;76,76419966;88,6035313;91,85185185;3,500061297;3,383596911;3,561358343;3,818805934;3,310040456
02 Akershus;2;Akershus;34894;4641;30253;38211;5 874;32 337;91,3;79;93,6;100;15;85;486;889;1 065;1 170;1 031;1 199;1 163;1 212;1 215;1 085;40,53377815;76,44024076;87,87128713;96,2962963;95,02304147;3,137839889;3,043626181;3,171861506;3,179712648;2,83949648
03 Oslo;3;Oslo;36005;9648;26357;42353;12 529;29 824;85;77;88,4;100;30;70;807;1 793;2 148;2 453;2 447;2 495;2 564;2 550;2 501;2 419;32,34468938;69,92979719;84,23529412;98,08076769;101,1575031;5,89096404;6,053880481;6,020824971;5,905130687;5,711519845
04 Hedmark;4;Hedmark;9164;815;8349;10018;1 062;8 956;91,5;76,7;93,2;100;11;89;102;149;179;204;181;229;202;216;212;203;44,54148472;73,76237624;82,87037037;96,22641509;89,16256158;2,285885406;2,016370533;2,156118986;2,116190856;2,026352565
05 Oppland;5;Oppland;8852;831;8021;9703;1 092;8 611;91,2;76,1;93,1;100;11;89;103;164;187;191;186;234;235;212;212;199;44,01709402;69,78723404;88,20754717;90,09433962;93,46733668;2,411625271;2,421931361;2,184891271;2,184891271;2,050912089
06 Buskerud;6;Buskerud;14567;2568;11999;16256;3 169;13 087;89,6;81;91,7;100;19;81;280;486;608;570;624;646;624;671;599;629;43,34365325;77,88461538;90,61102832;95,15859766;99,20508744;3,973917323;3,838582677;4,127706693;3,684793307;3,869340551
07 Vestfold;7;Vestfold;12285;1338;10947;13759;1 881;11 878;89,3;71,1;92,2;100;14;86;123;254;315;323;323;390;368;379;391;353;31,53846154;69,02173913;83,11345646;82,60869565;91,50141643;2,834508322;2,674612981;2,754560651;2,841776292;2,56559343
