kommune_nr;spraak.alle_bhgalder.1.5_enhet.personer;spraak.alle_bhgalder.1_enhet.personer;spraak.alle_bhgalder.2_enhet.personer;spraak.alle_bhgalder.3_enhet.personer;spraak.alle_bhgalder.4_enhet.personer;spraak.alle_bhgalder.5_enhet.personer;spraak.alle_bhgalder.1.5_enhet.prosent;spraak.alle_bhgalder.1_enhet.prosent;spraak.alle_bhgalder.2_enhet.prosent;spraak.alle_bhgalder.3_enhet.prosent;spraak.alle_bhgalder.4_enhet.prosent;spraak.alle_bhgalder.5_enhet.prosent;spraak.minoritet_bhgalder.1.5_enhet.personer;spraak.minoritet_bhgalder.1_enhet.personer;spraak.minoritet_bhgalder.2_enhet.personer;spraak.minoritet_bhgalder.3_enhet.personer;spraak.minoritet_bhgalder.4_enhet.personer;spraak.minoritet_bhgalder.5_enhet.personer;spraak.minoritet_bhgalder.1.5_enhet.prosent;spraak.minoritet_bhgalder.1_enhet.prosent;spraak.minoritet_bhgalder.2_enhet.prosent;spraak.minoritet_bhgalder.3_enhet.prosent;spraak.minoritet_bhgalder.4_enhet.prosent;spraak.minoritet_bhgalder.5_enhet.prosent;spraak.ikke.minoritet_bhgalder.1.5_enhet.personer;spraak.ikke.minoritet_bhgalder.1_enhet.personer;spraak.ikke.minoritet_bhgalder.2_enhet.personer;spraak.ikke.minoritet_bhgalder.3_enhet.personer;spraak.ikke.minoritet_bhgalder.4_enhet.personer;spraak.ikke.minoritet_bhgalder.5_enhet.personer;spraak.ikke.minoritet_bhgalder.1.5_enhet.prosent;spraak.ikke.minoritet_bhgalder.1_enhet.prosent;spraak.ikke.minoritet_bhgalder.2_enhet.prosent;spraak.ikke.minoritet_bhgalder.3_enhet.prosent;spraak.ikke.minoritet_bhgalder.4_enhet.prosent;spraak.ikke.minoritet_bhgalder.5_enhet.prosent;barnikommune.alle_bhgalder.1.5_enhet.personer;barnikommune.alle_bhgalder.1_enhet.personer;barnikommune.alle_bhgalder.2_enhet.personer;barnikommune.alle_bhgalder.3_enhet.personer;barnikommune.alle_bhgalder.4_enhet.personer;barnikommune.alle_bhgalder.5_enhet.personer;barnikommune.alle_bhgalder.1.5_enhet.prosent;barnikommune.alle_bhgalder.1_enhet.prosent;barnikommune.alle_bhgalder.2_enhet.prosent;barnikommune.alle_bhgalder.3_enhet.prosent;barnikommune.alle_bhgalder.4_enhet.prosent;barnikommune.alle_bhgalder.5_enhet.prosent;barnikommune.innvandrerbakgr_bhgalder.1.5_enhet.personer;barnikommune.innvandrerbakgr_bhgalder.1_enhet.personer;barnikommune.innvandrerbakgr_bhgalder.2_enhet.personer;barnikommune.innvandrerbakgr_bhgalder.3_enhet.personer;barnikommune.innvandrerbakgr_bhgalder.4_enhet.personer;barnikommune.innvandrerbakgr_bhgalder.5_enhet.personer;barnikommune.innvandrerbakgr_bhgalder.1.5_enhet.prosent;barnikommune.innvandrerbakgr_bhgalder.1_enhet.prosent;barnikommune.innvandrerbakgr_bhgalder.2_enhet.prosent;barnikommune.innvandrerbakgr_bhgalder.3_enhet.prosent;barnikommune.innvandrerbakgr_bhgalder.4_enhet.prosent;barnikommune.innvandrerbakgr_bhgalder.5_enhet.prosent;barnikommune.barn.ellers_bhgalder.1.5_enhet.personer;barnikommune.barn.ellers_bhgalder.1_enhet.personer;barnikommune.barn.ellers_bhgalder.2_enhet.personer;barnikommune.barn.ellers_bhgalder.3_enhet.personer;barnikommune.barn.ellers_bhgalder.4_enhet.personer;barnikommune.barn.ellers_bhgalder.5_enhet.personer;barnikommune.barn.ellers_bhgalder.1.5_enhet.prosent;barnikommune.barn.ellers_bhgalder.1_enhet.prosent;barnikommune.barn.ellers_bhgalder.2_enhet.prosent;barnikommune.barn.ellers_bhgalder.3_enhet.prosent;barnikommune.barn.ellers_bhgalder.4_enhet.prosent;barnikommune.barn.ellers_bhgalder.5_enhet.prosent
101;1466;195;273;321;332;345;85,28214078;61,12852665;84,7826087;90,93484419;92,47910864;94,26229508;126;8;15;34;31;38;51,85185185;18,18181818;33,33333333;70,83333333;63,26530612;66,66666667;1340;187;258;287;301;307;90,78590786;68;93,14079422;94,09836066;97,09677419;99,35275081;1719;319;322;353;359;366;100;100;100;100;100;100;243;44;45;48;49;57;14,13612565;13,79310345;13,97515528;13,59773371;13,64902507;15,57377049;1476;275;277;305;310;309;85,86387435;86,20689655;86,02484472;86,40226629;86,35097493;84,42622951
104;1552;188;324;324;359;357;87,53525099;60,64516129;84,375;93,37175793;96,24664879;99,44289694;270;23;51;52;61;83;70,12987013;27,38095238;60,71428571;71,23287671;92,42424242;106,4102564;1282;165;273;272;298;274;92,36311239;73,00884956;91;99,27007299;97,06840391;97,5088968;1773;310;384;347;373;359;100;100;100;100;100;100;385;84;84;73;66;78;21,71460801;27,09677419;21,875;21,03746398;17,69436997;21,7270195;1388;226;300;274;307;281;78,28539199;72,90322581;78,125;78,96253602;82,30563003;78,2729805
105;2745;362;505;556;686;636;85,94239198;60,63651591;82,78688525;90,8496732;95,67642957;96,65653495;462;36;63;105;145;113;68,04123711;25,35211268;52,5;79,54545455;91,7721519;88,97637795;2283;326;442;451;541;523;90,77534791;71,64835165;90,20408163;93,95833333;96,77996422;98,49340866;3194;597;610;612;717;658;100;100;100;100;100;100;679;142;120;132;158;127;21,25860989;23,78559464;19,67213115;21,56862745;22,0362622;19,30091185;2515;455;490;480;559;531;78,74139011;76,21440536;80,32786885;78,43137255;77,9637378;80,69908815
106;3886;522;732;826;949;857;89,02634593;64,76426799;89,70588235;93,54473386;96,05263158;98,27981651;566;25;86;131;165;159;68,27503016;16,02564103;55,84415584;75,72254335;88,23529412;100;3320;497;646;695;784;698;93,89140271;76,46153846;97,58308157;97,88732394;97,87765293;97,89621318;4365;806;816;883;988;872;100;100;100;100;100;100;829;156;154;173;187;159;18,99198167;19,35483871;18,87254902;19,59229898;18,92712551;18,23394495;3536;650;662;710;801;713;81,00801833;80,64516129;81,12745098;80,40770102;81,07287449;81,76605505
111;183;23;27;43;41;49;89,70588235;74,19354839;79,41176471;95,55555556;97,61904762;94,23076923;8;:;:;:;:;:;133,3333333;.;.;.;.;.;175;:;:;:;:;:;88,38383838;.;.;.;.;.;204;31;34;45;42;52;100;100;100;100;100;100;6;:;:;:;:;:;2,941176471;.;.;.;.;.;198;31;32;44;40;51;97,05882353;100;94,11764706;97,77777778;95,23809524;98,07692308
118;58;:;10;21;12;13;87,87878788;.;100;91,30434783;92,30769231;100;:;:;:;:;:;:;.;.;.;.;.;.;:;:;:;:;:;:;.;.;.;.;.;.;66;7;10;23;13;13;100;100;100;100;100;100;:;:;:;:;:;:;.;.;.;.;.;.;66;7;10;23;13;13;100;100;100;100;100;100
119;161;16;29;39;38;39;82,98969072;44,44444444;93,5483871;86,66666667;95;92,85714286;11;:;:;4;:;:;84,61538462;.;.;100;.;.;150;:;:;35;:;:;82,87292818;.;.;85,36585366;.;.;194;36;31;45;40;42;100;100;100;100;100;100;13;:;:;4;:;:;6,701030928;.;.;8,888888889;.;.;181;33;30;41;37;40;93,29896907;91,66666667;96,77419355;91,11111111;92,5;95,23809524
121;33;5;7;6;9;6;94,28571429;71,42857143;100;100;100;100;6;:;:;:;:;:;85,71428571;.;.;.;.;.;27;:;:;:;:;:;96,42857143;.;.;.;.;.;35;7;7;6;9;6;100;100;100;100;100;100;7;:;:;:;:;:;20;.;.;.;.;.;28;5;6;5;7;5;80;71,42857143;85,71428571;83,33333333;77,77777778;83,33333333
122;260;43;56;49;54;58;85,24590164;63,23529412;83,58208955;94,23076923;94,73684211;95,08196721;19;6;:;5;:;4;65,51724138;66,66666667;.;83,33333333;.;80;241;37;:;44;:;54;87,31884058;62,71186441;.;95,65217391;.;96,42857143;305;68;67;52;57;61;100;100;100;100;100;100;29;9;6;6;:;5;9,508196721;13,23529412;8,955223881;11,53846154;.;8,196721311;276;59;61;46;54;56;90,49180328;86,76470588;91,04477612;88,46153846;94,73684211;91,80327869
123;300;43;49;73;68;67;89,55223881;71,66666667;90,74074074;93,58974359;100;89,33333333;20;:;:;5;9;:;68,96551724;.;.;83,33333333;81,81818182;.;280;:;:;68;59;:;91,50326797;.;.;94,44444444;103,5087719;.;335;60;54;78;68;75;100;100;100;100;100;100;29;:;4;6;11;6;8,656716418;.;7,407407407;7,692307692;16,17647059;8;306;58;50;72;57;69;91,34328358;96,66666667;92,59259259;92,30769231;83,82352941;92
