naringsregion_nr;spraak.alle_bhgalder.1.5_enhet.personer;spraak.alle_bhgalder.1_enhet.personer;spraak.alle_bhgalder.2_enhet.personer;spraak.alle_bhgalder.3_enhet.personer;spraak.alle_bhgalder.4_enhet.personer;spraak.alle_bhgalder.5_enhet.personer;spraak.alle_bhgalder.1.5_enhet.prosent;spraak.alle_bhgalder.1_enhet.prosent;spraak.alle_bhgalder.2_enhet.prosent;spraak.alle_bhgalder.3_enhet.prosent;spraak.alle_bhgalder.4_enhet.prosent;spraak.alle_bhgalder.5_enhet.prosent;spraak.minoritet_bhgalder.1.5_enhet.personer;spraak.minoritet_bhgalder.1_enhet.personer;spraak.minoritet_bhgalder.2_enhet.personer;spraak.minoritet_bhgalder.3_enhet.personer;spraak.minoritet_bhgalder.4_enhet.personer;spraak.minoritet_bhgalder.5_enhet.personer;spraak.minoritet_bhgalder.1.5_enhet.prosent;spraak.minoritet_bhgalder.1_enhet.prosent;spraak.minoritet_bhgalder.2_enhet.prosent;spraak.minoritet_bhgalder.3_enhet.prosent;spraak.minoritet_bhgalder.4_enhet.prosent;spraak.minoritet_bhgalder.5_enhet.prosent;spraak.ikke.minoritet_bhgalder.1.5_enhet.personer;spraak.ikke.minoritet_bhgalder.1_enhet.personer;spraak.ikke.minoritet_bhgalder.2_enhet.personer;spraak.ikke.minoritet_bhgalder.3_enhet.personer;spraak.ikke.minoritet_bhgalder.4_enhet.personer;spraak.ikke.minoritet_bhgalder.5_enhet.personer;spraak.ikke.minoritet_bhgalder.1.5_enhet.prosent;spraak.ikke.minoritet_bhgalder.1_enhet.prosent;spraak.ikke.minoritet_bhgalder.2_enhet.prosent;spraak.ikke.minoritet_bhgalder.3_enhet.prosent;spraak.ikke.minoritet_bhgalder.4_enhet.prosent;spraak.ikke.minoritet_bhgalder.5_enhet.prosent;barnikommune.alle_bhgalder.1.5_enhet.personer;barnikommune.alle_bhgalder.1_enhet.personer;barnikommune.alle_bhgalder.2_enhet.personer;barnikommune.alle_bhgalder.3_enhet.personer;barnikommune.alle_bhgalder.4_enhet.personer;barnikommune.alle_bhgalder.5_enhet.personer;barnikommune.alle_bhgalder.1.5_enhet.prosent;barnikommune.alle_bhgalder.1_enhet.prosent;barnikommune.alle_bhgalder.2_enhet.prosent;barnikommune.alle_bhgalder.3_enhet.prosent;barnikommune.alle_bhgalder.4_enhet.prosent;barnikommune.alle_bhgalder.5_enhet.prosent;barnikommune.innvandrerbakgr_bhgalder.1.5_enhet.personer;barnikommune.innvandrerbakgr_bhgalder.1_enhet.personer;barnikommune.innvandrerbakgr_bhgalder.2_enhet.personer;barnikommune.innvandrerbakgr_bhgalder.3_enhet.personer;barnikommune.innvandrerbakgr_bhgalder.4_enhet.personer;barnikommune.innvandrerbakgr_bhgalder.5_enhet.personer;barnikommune.innvandrerbakgr_bhgalder.1.5_enhet.prosent;barnikommune.innvandrerbakgr_bhgalder.1_enhet.prosent;barnikommune.innvandrerbakgr_bhgalder.2_enhet.prosent;barnikommune.innvandrerbakgr_bhgalder.3_enhet.prosent;barnikommune.innvandrerbakgr_bhgalder.4_enhet.prosent;barnikommune.innvandrerbakgr_bhgalder.5_enhet.prosent;barnikommune.barn.ellers_bhgalder.1.5_enhet.personer;barnikommune.barn.ellers_bhgalder.1_enhet.personer;barnikommune.barn.ellers_bhgalder.2_enhet.personer;barnikommune.barn.ellers_bhgalder.3_enhet.personer;barnikommune.barn.ellers_bhgalder.4_enhet.personer;barnikommune.barn.ellers_bhgalder.5_enhet.personer;barnikommune.barn.ellers_bhgalder.1.5_enhet.prosent;barnikommune.barn.ellers_bhgalder.1_enhet.prosent;barnikommune.barn.ellers_bhgalder.2_enhet.prosent;barnikommune.barn.ellers_bhgalder.3_enhet.prosent;barnikommune.barn.ellers_bhgalder.4_enhet.prosent;barnikommune.barn.ellers_bhgalder.5_enhet.prosent
1;1466;195;273;321;332;345;85,28214078;61,12852665;84,7826087;90,93484419;92,47910864;94,26229508;126;8;15;34;31;38;51,85185185;18,18181818;33,33333333;70,83333333;63,26530612;66,66666667;1340;187;258;287;301;307;90,78590786;68;93,14079422;94,09836066;97,09677419;99,35275081;1719;319;322;353;359;366;100;100;100;100;100;100;243;44;45;48;49;57;14,13612565;13,79310345;13,97515528;13,59773371;13,64902507;15,57377049;1476;275;277;305;310;309;85,86387435;86,20689655;86,02484472;86,40226629;86,35097493;84,42622951
2;3064;415;604;668;696;681;87,04545455;63,16590563;86,40915594;91,75824176;96,26556017;95,51192146;383;28;73;99;109;74;68,51520572;24,34782609;66,36363636;78,57142857;90,83333333;84,09090909;2681;387;531;569;587;607;90,54373522;71,40221402;90,15280136;94,51827243;97,34660033;97,12;3520;657;699;728;723;713;100;100;100;100;100;100;559;115;110;126;120;88;15,88068182;17,50380518;15,73676681;17,30769231;16,59751037;12,34221599;2961;542;589;602;603;625;84,11931818;82,49619482;84,26323319;82,69230769;83,40248963;87,65778401
3;2929;388;583;615;689;654;88,43599034;63,29526917;85,60939794;93,75;97,31638418;100;390;27;77;75;100;111;70,78039927;23,68421053;63,63636364;74,25742574;93,45794393;102,7777778;2539;361;506;540;589;543;91,95943499;72,34468938;90,35714286;97,2972973;98,00332779;99,45054945;3312;613;681;656;708;654;100;100;100;100;100;100;551;114;121;101;107;108;16,63647343;18,59706362;17,76798825;15,39634146;15,11299435;16,51376147;2761;499;560;555;601;546;83,36352657;81,40293638;82,23201175;84,60365854;84,88700565;83,48623853
4;6814;907;1264;1425;1676;1542;87,77534458;63,24965132;86,57534247;92,53246753;95,9358901;97,47155499;1036;61;152;238;312;273;68,42800528;20,46979866;55,07246377;77,77777778;89,91354467;95,12195122;5778;846;1112;1187;1364;1269;92,46279405;74,47183099;93,91891892;96,19124797;97,42857143;97,99227799;7763;1434;1460;1540;1747;1582;100;100;100;100;100;100;1514;298;276;306;347;287;19,50276955;20,78103208;18,90410959;19,87012987;19,86262164;18,14159292;6249;1136;1184;1234;1400;1295;80,49723045;79,21896792;81,09589041;80,12987013;80,13737836;81,85840708
5;10791;1619;2044;2283;2473;2372;90,35418237;71,10232762;90,24282561;95,20433695;96,98039216;96,69792091;1485;158;294;345;376;312;77,30348777;38,91625616;73,5;89,14728682;95,43147208;93,41317365;9306;1461;1750;1938;2097;2060;92,85571742;78,08658471;93,83378016;96,36996519;97,26345083;97,21566777;11943;2277;2265;2398;2550;2453;100;100;100;100;100;100;1921;406;400;387;394;334;16,08473583;17,8304787;17,66004415;16,13844871;15,45098039;13,61598043;10022;1871;1865;2011;2156;2119;83,91526417;82,1695213;82,33995585;83,86155129;84,54901961;86,38401957
6;8247;1179;1600;1735;1833;1900;91,87834225;73,27532629;93,40338587;96,0154953;96,98412698;97,08737864;869;101;173;193;208;194;79,36073059;42,43697479;80,46511628;86,5470852;96,74418605;95,09803922;7378;1078;1427;1542;1625;1706;93,61756122;78,62873815;95,26034713;97,34848485;97,01492537;97,31888192;8976;1609;1713;1807;1890;1957;100;100;100;100;100;100;1095;238;215;223;215;204;12,19919786;14,79179615;12,55107998;12,34089651;11,37566138;10,42411855;7881;1371;1498;1584;1675;1753;87,80080214;85,20820385;87,44892002;87,65910349;88,62433862;89,57588145
7;9940;1427;1908;2181;2156;2268;90,9340408;72,14357937;89,28404305;95,32342657;97,16088328;98,22433954;1620;157;316;375;404;368;80,83832335;41,09947644;76,32850242;90,79903148;98,29683698;95,83333333;8320;1270;1592;1806;1752;1900;93,20040327;79,57393484;92,39698201;96,32;96,90265487;98,7012987;10931;1978;2137;2288;2219;2309;100;100;100;100;100;100;2004;382;414;413;411;384;18,33318086;19,3124368;19,37295274;18,0506993;18,52185669;16,63057601;8927;1596;1723;1875;1808;1925;81,66681914;80,6875632;80,62704726;81,9493007;81,47814331;83,36942399
8;5916;936;1115;1245;1343;1277;93,00424462;78,65546218;93,54026846;96,21329212;97,31884058;97,85440613;667;70;106;152;182;157;78,1030445;40,46242775;79,10447761;80,42328042;93,33333333;96,3190184;5249;866;1009;1093;1161;1120;95,31505357;85,15240905;95,36862004;98,91402715;97,97468354;98,07355517;6361;1190;1192;1294;1380;1305;100;100;100;100;100;100;854;173;134;189;195;163;13,42556202;14,53781513;11,24161074;14,60587326;14,13043478;12,49042146;5507;1017;1058;1105;1185;1142;86,57443798;85,46218487;88,75838926;85,39412674;85,86956522;87,50957854
9;36005;5871;7487;7587;7693;7367;85,01168748;63,43598055;85,46803653;89,88271532;94,02346615;95,48930655;9648;807;1793;2148;2453;2447;77,00534759;32,34468938;69,92979719;84,23529412;98,08076769;101,1575031;26357;5064;5694;5439;5240;4920;88,37513412;74,9112426;91,89799871;92,3272789;92,23728217;92,90030211;42353;9255;8760;8441;8182;7715;100;100;100;100;100;100;12529;2495;2564;2550;2501;2419;29,58232002;26,95840086;29,26940639;30,20969079;30,56709851;31,35450421;29824;6760;6196;5891;5681;5296;70,41767998;73,04159914;70,73059361;69,79030921;69,43290149;68,64549579
10;768;106;142;159;192;169;93,31713244;71,62162162;99,3006993;96,95121951;98,46153846;97,68786127;68;13;16;10;13;16;93,15068493;65;114,2857143;83,33333333;108,3333333;106,6666667;700;93;126;149;179;153;93,33333333;72,65625;97,6744186;98,02631579;97,81420765;96,83544304;823;148;143;164;195;173;100;100;100;100;100;100;73;20;14;12;12;15;8,869987849;13,51351351;9,79020979;7,317073171;6,153846154;8,670520231;750;128;129;152;183;158;91,13001215;86,48648649;90,20979021;92,68292683;93,84615385;91,32947977
