bydel_nr;innvkat.3.alle_vreg.3.alle_enhet.kroner_aar.2014;innvkat.3.innvandrere_vreg.3.1_enhet.kroner_aar.2014;innvkat.3.innvandrere_vreg.3.2_enhet.kroner_aar.2014;innvkat.3.befolkningen.ellers_vreg.3.alle_enhet.kroner_aar.2014
30101;316 300;280 800;224 500;348 100
30102;327 900;274 400;233 700;359 400
30103;351 700;297 600;230 200;371 300
30104;345 500;290 600;230 300;372 200
30105;379 200;330 600;265 100;406 500
30106;462 000;367 400;294 200;482 600
30107;463 500;337 900;234 000;488 200
30108;424 100;298 500;220 100;446 900
30109;324 300;267 600;246 800;356 600
30110;298 800;268 000;256 000;321 000
30111;300 600;267 900;248 300;328 200
30112;304 300;278 000;259 200;326 200
30113;358 400;301 300;264 600;373 700
30114;410 500;312 500;253 300;427 000
30115;307 400;276 800;250 600;336 000
30116;262 700;275 000;225 900;292 400
30117;393 700;253 500;312 100;403 700
30199;199 500;190 800;183 500;204 900
