fylke_nr;innvkat.3.alle_vreg.3.alle_enhet.kroner_aar.2014;innvkat.3.innvandrere_vreg.3.1_enhet.kroner_aar.2014;innvkat.3.innvandrere_vreg.3.2_enhet.kroner_aar.2014;innvkat.3.befolkningen.ellers_vreg.3.alle_enhet.kroner_aar.2014
00;348 800;289 700;245 500;358 800
01;327 900;278 900;229 300;337 100
02;379 600;309 700;272 500;392 200
03;353 400;294 800;246 600;382 400
04;324 200;263 000;214 000;330 200
05;328 400;261 500;208 900;334 700
06;345 600;279 600;244 500;357 400
07;338 300;275 000;235 000;346 900
08;330 800;266 300;212 300;338 800
09;331 200;273 100;221 000;338 700
10;335 700;286 400;231 100;344 200
11;374 200;316 600;280 600;384 600
12;357 100;288 900;253 000;366 300
14;344 800;281 100;224 500;352 200
15;349 000;279 400;251 100;357 200
16;347 100;286 400;243 700;353 900
17;330 300;265 100;204 300;335 200
18;338 400;277 800;215 300;344 200
19;347 500;289 500;230 100;353 600
20;350 900;293 100;261 400;358 500
