kommune_nr;innvkat.3.alle_vreg.3.alle_enhet.kroner_aar.2014;innvkat.3.innvandrere_vreg.3.1_enhet.kroner_aar.2014;innvkat.3.innvandrere_vreg.3.2_enhet.kroner_aar.2014;innvkat.3.befolkningen.ellers_vreg.3.alle_enhet.kroner_aar.2014;
0101;322 100;265 500;217 100;329 800;
0104;330 800;275 100;225 000;342 800;
0105;318 200;268 400;227 600;328 300;
0106;328 300;292 500;222 400;337 600;
0111;353 700;298 200;248 700;357 200;
0118;322 400;288 200;250 700;322 600;
0119;321 600;269 500;234 800;326 400;
0121;319 800;:;:;322 900;
0122;331 800;274 600;241 200;337 400;
0123;346 800;289 800;240 300;353 400;
0124;325 800;295 200;250 000;336 000;
0125;312 800;258 000;231 300;321 800;
0127;324 500;254 800;243 300;330 400;
0128;322 000;264 500;214 800;330 300;
0135;343 300;278 800;235 300;351 000;
0136;348 100;277 500;266 800;355 800;
0137;352 200;283 600;285 600;360 200;
0138;341 900;299 400;266 100;348 600;
0211;368 400;318 000;275 800;375 000;
0213;374 800;313 400;261 700;384 700;
0214;358 900;295 400;245 600;373 100;
0215;391 200;322 700;266 100;400 200;
0216;375 500;338 500;276 400;381 800;
0217;409 900;336 800;254 800;421 600;
0219;426 400;336 200;273 200;447 200;
0220;413 800;322 800;267 300;432 600;
0221;330 200;268 400;242 800;336 100;
0226;366 600;284 000;290 900;376 700;
0227;374 200;305 700;292 300;384 100;
0228;365 000;317 000;286 600;377 000;
0229;356 300;307 000;279 800;363 000;
0230;374 800;293 000;291 600;391 600;
0231;365 300;302 300;272 000;379 800;
0233;381 900;307 900;294 700;391 700;
0234;389 300;281 100;276 700;401 400;
0235;355 800;289 600;271 100;367 100;
0236;347 000;286 400;269 200;352 900;
0237;340 300;278 700;261 500;347 200;
0238;349 400;285 400;266 900;360 000;
0239;320 300;311 400;235 500;324 600;
0301;353 400;294 800;246 600;382 400;
0402;317 200;289 300;208 000;324 000;
0403;345 100;285 800;217 400;354 000;
