naringsregion_nr;innvkat.3.alle_vreg.3.alle_enhet.kroner_aar.2014;innvkat.3.innvandrere_vreg.3.1_enhet.kroner_aar.2014;innvkat.3.innvandrere_vreg.3.2_enhet.kroner_aar.2014;innvkat.3.befolkningen.ellers_vreg.3.alle_enhet.kroner_aar.2014
01;322 100;265 500;217 100;329 800
02;326 500;277 000;239 400;334 900
03;338 800;276 900;238 100;349 100
04;325 100;282 800;225 000;334 700
05;422 500;332 700;271 600;442 300
06;377 800;317 600;261 100;387 600
07;366 600;296 300;281 200;378 700
08;350 000;285 800;267 600;359 300
09;353 400;294 800;246 600;382 400
10;322 100;258 700;196 100;328 500
11;314 300;264 200;212 500;318 900
12;331 800;263 900;221 900;338 000
13;321 000;262 000;196 300;327 500
14;324 500;273 100;213 900;330 600
15;340 500;267 100;210 800;347 400
16;340 900;276 600;220 700;348 000
17;323 900;244 300;184 500;329 400
18;316 300;239 100;174 000;321 200
19;317 200;238 000;182 700;323 000
20;347 400;280 100;245 500;361 000
21;332 800;268 100;210 700;345 000
22;365 800;314 000;254 100;375 300
23;327 700;263 000;230 200;333 600
24;337 100;275 600;245 600;345 600
25;342 800;274 000;235 000;351 000
26;330 500;273 500;234 900;339 300
27;333 500;271 000;216 800;341 900
28;322 100;226 300;195 400;331 000
29;324 600;273 900;193 700;331 100
30;328 800;255 400;217 400;333 400
31;331 500;260 100;206 200;339 700
32;329 500;271 500;221 200;337 400
33;337 000;283 600;222 200;343 600
34;327 800;271 000;202 500;336 000
35;337 400;292 700;236 400;346 100
36;350 100;312 300;260 000;356 500
37;349 800;270 800;244 400;358 400
38;357 500;287 500;246 000;366 500
39;387 600;331 500;290 800;398 900
40;360 000;293 200;253 600;371 800
41;358 600;280 000;286 200;365 600
42;344 100;275 200;227 000;352 000
43;341 000;261 900;204 300;347 600
44;356 300;285 600;265 100;362 800
45;335 100;281 600;245 100;340 200
46;352 600;284 400;249 700;359 900
47;363 600;291 600;259 300;370 100
48;342 500;276 200;216 500;349 300
49;336 300;279 400;225 300;344 000
50;345 000;278 900;218 500;351 400
51;354 200;292 300;228 500;360 400
52;342 900;270 300;227 600;350 000
53;351 700;283 500;258 000;359 500
54;332 800;277 100;265 700;342 200
55;352 100;288 300;241 100;360 000
56;353 900;276 800;267 200;363 000
57;326 800;273 800;253 500;330 300
58;334 400;287 700;288 300;345 100
59;323 700;270 500;214 900;328 700
60;331 700;268 000;226 300;336 100
61;353 000;289 800;243 600;360 400
62;333 700;277 500;257 300;337 500
63;336 300;277 200;221 000;341 000
64;327 900;256 000;203 600;332 700
65;325 600;264 900;152 700;331 400
66;329 300;254 800;213 000;337 500
67;332 300;277 200;193 600;336 600
68;329 800;263 500;213 600;333 700
69;334 500;272 900;186 200;343 500
70;319 800;274 300;303 100;323 700
71;333 300;280 200;194 000;337 100
72;334 600;289 600;219 500;338 300
73;349 700;294 100;228 800;355 200
74;340 200;273 300;202 300;347 400
75;326 900;265 700;206 000;335 100
76;329 300;251 300;210 200;335 800
77;339 500;287 000;208 300;346 000
78;341 500;277 800;192 600;346 400
79;355 900;291 300;254 100;363 400
80;334 900;289 200;230 100;338 900
81;357 500;299 100;261 400;364 300
82;333 300;288 300;287 900;336 300
83;350 500;286 200;254 900;361 800
