bydel_nr;innvkat.3.alle_vreg.3.alle_enhet.prosent_aar.2012;innvkat.3.innvandrere_vreg.3.1_enhet.prosent_aar.2012;innvkat.3.innvandrere_vreg.3.2_enhet.prosent_aar.2012;innvkat.3.innvandrere_vreg.3.alle_enhet.prosent_aar.2012;innvkat.3.befolkningen.ellers_vreg.3.alle_enhet.prosent_aar.2012
000301;12,9;19,3;29,8;26,5;9,3
030101;19,9;23,6;39,5;35,3;14,3
030102;17,3;24,8;36,1;31,9;12,6
030103;14,8;18,3;36,6;30,2;11,3
030104;15,4;21,2;36,6;28,8;12,3
030105;13,1;16,8;28,8;21,8;11,1
030106;6,8;14,5;22,6;17,8;5,3
030107;7,4;17,5;29,2;22,1;5,6
030108;7,8;21,9;37,1;29,4;5,1
030109;15,0;23,1;30,2;28,7;9,8
030110;14,5;20,4;24,6;24,0;10,5
030111;16,0;18,3;27,6;26,5;11,3
030112;14,7;16,9;24,1;23,2;10,7
030113;8,3;14,0;25,7;22,3;5,7
030114;7,2;16,2;28,1;22,2;5,4
030115;16,4;18,6;26,8;25,5;12,2
030116;26,4;25,8;44,3;34,4;20,3
030117;9,0;29,1;:;31,2;7,3
030199;43,1;:;58,3;57,9;39,4
