fylke_nr;innvkat.3.alle_vreg.3.alle_enhet.prosent_aar.2014;innvkat.3.innvandrere_vreg.3.1_enhet.prosent_aar.2014;innvkat.3.innvandrere_vreg.3.2_enhet.prosent_aar.2014;innvkat.3.innvandrere_vreg.3.alle_enhet.prosent_aar.2014;innvkat.3.befolkningen.ellers_vreg.3.alle_enhet.prosent_aar.2014
00;9,0;19,8;32,1;26,3;6,8
01;10,6;22,4;39,0;31,9;7,9
02;6,9;17,8;24,3;21,1;4,8
03;13,9;20,6;32,0;28,1;9,9
04;10,1;24,9;42,9;33,6;8,4
05;9,7;25,7;43,1;34,2;7,9
06;9,1;20,5;31,9;26,4;6,6
07;9,5;23,1;36,3;29,4;7,4
08;10,3;25,3;44,0;35,8;7,9
09;9,4;23,9;39,6;31,2;7,3
10;9,2;19,1;34,8;28,1;7,1
11;6,3;14,5;23,7;18,7;4,6
12;7,8;18,6;30,5;24,2;6,1
14;7,1;18,8;32,5;23,6;5,8
15;7,3;19,3;28,7;22,9;5,9
16;8,9;19,5;33,3;26,7;7,4
17;8,2;23,5;44,9;34,6;6,8
18;7,9;22,3;38,5;30,7;6,5
19;7,7;19,2;34,6;26,8;6,3
20;7,4;17,6;26,2;21,9;6,0
