kommune_nr;innvkat.3.alle_vreg.3.alle_enhet.prosent_aar.2012;innvkat.3.innvandrere_vreg.3.1_enhet.prosent_aar.2012;innvkat.3.innvandrere_vreg.3.2_enhet.prosent_aar.2012;innvkat.3.innvandrere_vreg.3.alle_enhet.prosent_aar.2012;innvkat.3.befolkningen.ellers_vreg.3.alle_enhet.prosent_aar.2012
0101;10,3;22,4;42,1;33,4;8,2
0104;9,3;20,3;32,2;27,8;6,7
0105;10,0;21,9;38,1;32,6;7,2
0106;10,1;17,4;39,2;31,6;7,6
0111;5,6;15,4;23,2;18,4;5,1
0118;7,8;:;:;:;7,4
0119;9,5;25,2;42,9;32,2;7,8
0121;6,3;:;:;:;5,9
0122;7,7;22,4;30,0;24,6;6,6
0123;6,3;13,9;22,3;18,1;5,4
0124;10,0;15,7;29,3;25,0;7,8
0125;10,7;28,3;34,8;31,9;8,2
0127;7,5;22,8;21,2;22,2;6,3
0128;8,9;23,5;37,8;32,3;6,8
0135;6,0;18,0;16,8;17,6;5,1
0136;5,5;16,3;18,3;17,3;4,5
0137;5,4;19,6;12,6;18,0;4,3
0138;6,8;17,0;15,7;16,7;5,7
0211;5,5;10,3;22,2;16,5;4,3
0213;5,4;14,9;19,8;17,7;4,0
0214;8,2;18,4;28,9;23,9;5,9
0215;5,2;15,5;24,5;18,8;4,1
0216;6,0;12,2;19,4;14,8;5,0
0217;4,4;9,0;23,9;16,9;3,1
0219;5,8;16,1;20,5;18,2;3,9
0220;6,1;16,4;24,1;19,9;4,1
0221;7,6;22,2;26,1;23,4;6,4
0226;5,4;19,7;19,3;19,6;3,8
0227;4,8;18,5;16,1;17,5;3,6
0228;5,2;14,4;17,9;16,7;3,5
0229;5,2;15,5;18,8;17,1;4,1
0230;6,3;14,9;18,8;17,6;4,3
0231;6,7;17,8;20,9;19,9;4,4
0233;4,6;14,8;16,3;15,5;3,5
0234;4,1;12,8;27,0;17,2;2,9
0235;6,4;15,1;21,2;18,7;4,7
0236;5,8;15,1;22,5;18,6;4,8
0237;6,8;14,5;23,8;19,1;5,7
0238;5,7;18,8;20,0;19,3;4,2
0239;8,1;13,0;37,2;20,7;7,4
0301;12,87;19,3;29,8;26,5;9,3
0402;10,2;16,6;37,1;29,8;8,5
0403;8,5;15,5;39,8;30,4;6,7
0412;7,4;20,5;26,9;23,2;6,6
0415;7,9;26,1;44,7;35,3;6,5
0417;8,8;24,6;37,2;31,2;7,5
0418;9,2;35,5;37,3;36,1;8,4
0419;7,4;27,9;21,1;25,2;6,6
0420;11,6;17,9;37,0;26,1;10,8
0423;11,5;25,0;34,1;29,5;10,4
0425;10,7;26,8;31,1;28,7;9,9
0426;8,6;24,3;28,2;25,4;7,9
0427;8,3;23,4;40,2;33,7;6,6
0428;10,4;18,1;44,0;25,3;9,5
0429;10,4;31,0;43,3;34,9;9,2
0430;11,7;31,8;52,0;39,1;10,0
0432;10,1;:;:;24,4;9,7
0434;10,3;:;:;27,4;9,4
0436;12,2;29,7;49,1;37,8;9,9
0437;7,2;19,9;33,9;25,8;6,0
0438;7,9;19,6;47,9;32,7;6,7
0439;10,7;30,8;43,3;36,2;9,4
0441;9,9;20,0;33,3;25,0;8,8
0501;8,2;15,9;36,9;27,9;6,6
0502;8,7;18,4;31,9;27,4;7,2
0511;9,6;37,9;36,8;37,6;8,0
0512;9,5;46,3;:;43,4;7,7
0513;9,3;31,4;51,5;39,3;8,1
0514;9,2;30,0;52,9;40,5;8,1
0515;9,2;30,4;41,3;36,7;8,3
0516;9,3;27,5;50,0;37,0;8,2
0517;9,2;22,7;45,5;35,0;8,4
0519;10,6;26,0;29,3;27,0;9,8
0520;10,2;34,6;46,7;37,7;8,5
0521;8,1;25,9;49,7;37,2;5,9
0522;8,9;34,8;33,0;34,0;7,8
0528;8,0;22,2;32,6;26,6;7,1
