naringsregion_nr;innvkat.3.alle_vreg.3.alle_enhet.prosent_aar.2012;innvkat.3.innvandrere_vreg.3.1_enhet.prosent_aar.2012;innvkat.3.innvandrere_vreg.3.2_enhet.prosent_aar.2012;innvkat.3.innvandrere_vreg.3.alle_enhet.prosent_aar.2012;innvkat.3.befolkningen.ellers_vreg.3.alle_enhet.prosent_aar.2012
01;10,3;22,4;42,1;33,4;8,2
02;8,9;20,6;30,7;26,1;7,1
03;7,6;19,0;28,3;24,1;5,7
04;9,9;19,2;38,7;31,9;7,4
05;5,9;16,2;21,6;18,8;4,0
06;5,6;13,5;22,7;18,1;4,2
07;6,0;17,2;19,5;18,6;4,3
08;6,2;15,3;22,1;18,8;4,9
09;12,9;19,3;29,8;26,5;9,3
10;9,0;23,1;38,6;29,4;7,7
11;9,9;22,3;34,7;28,8;8,8
12;8,1;20,1;36,3;28,6;6,8
13;9,2;23,4;41,9;32,4;7,8
14;8,4;20,9;34,1;28,7;7,1
15;6,9;22,1;34,1;28,3;5,6
16;8,3;19,9;38,1;29,8;6,7
17;9,9;30,4;44,4;34,9;8,7
18;9,3;34,2;44,0;38,2;8,1
19;10,2;34,0;41,2;36,3;8,7
20;8,2;16,7;29,3;24,2;5,9
21;9,0;22,5;35,4;26,7;7,2
22;6,3;15,6;24,5;20,0;5,1
23;8,0;22,4;32,8;26,5;6,7
24;8,6;22,7;28,6;25,6;7,1
25;7,9;20,4;32,5;26,3;6,3
26;9,0;18,8;34,9;27,8;7,2
27;8,6;19,6;35,8;29,8;6,7
28;10,6;26,5;51,2;40,0;8,5
29;8,6;26,4;35,0;30,8;7,1
30;8,1;23,0;33,0;26,0;7,0
31;9,3;26,5;43,9;35,6;6,8
32;8,6;24,2;36,1;30,0;6,8
33;7,4;19,9;31,5;25,2;6,1
34;8,0;21,3;36,1;28,0;6,5
35;8,1;17,5;29,4;25,0;6,3
36;5,5;11,3;22,2;16,2;4,7
37;7,0;20,1;28,4;23,9;5,6
38;5,7;17,0;22,8;18,9;4,6
39;5,4;12,4;20,7;16,5;3,9
40;8,0;18,1;29,6;24,6;6,2
41;6,0;19,2;18,8;19,0;5,1
42;6,4;18,5;24,7;20,8;5,4
43;6,9;26,3;37,0;31,6;5,8
44;5,5;16,5;20,1;17,6;4,7
45;6,6;17,7;23,2;19,1;5,9
46;5,9;17,7;27,4;21,5;4,9
47;4,9;14,9;23,4;18,6;4,0
48;7,4;21,5;14,8;19,7;6,7
49;6,9;16,0;27,2;19,5;5,9
50;6,2;17,8;26,2;20,7;5,3
51;5,8;15,1;27,5;20,9;4,8
52;7,3;21,6;33,4;27,1;6,2
53;5,9;19,5;23,1;20,9;4,9
54;6,5;17,9;17,0;17,7;5,4
55;6,6;19,4;30,0;23,8;5,4
56;6,2;19,3;22,5;20,6;5,0
57;7,6;20,0;17,8;19,3;7,2
58;9,1;18,4;14,9;17,8;7,9
59;8,7;20,2;35,8;27,0;7,8
60;6,8;24,2;30,7;27,6;5,9
61;7,5;18,1;31,4;26,0;6,1
62;6,5;14,4;29,4;20,3;5,9
63;6,6;20,7;36,4;30,2;5,5
64;7,4;22,9;45,2;34,5;6,2
65;7,5;15,7;50,6;26,0;6,8
66;7,1;23,6;21,7;23,0;6,4
67;6,8;16,9;45,6;32,6;5,7
68;8,0;23,4;34,7;29,3;7,2
69;8,2;23,0;42,7;34,6;6,7
70;9,7;15,5;35,6;21,8;9,2
71;6,2;18,3;28,9;24,4;5,5
72;5,8;13,9;34,7;25,3;5,0
73;5,9;17,5;25,8;22,2;5,1
74;6,4;13,6;34,6;25,2;5,3
75;8,2;17,9;31,7;24,8;7,2
76;8,4;21,3;37,0;30,7;7,2
77;6,8;12,9;39,7;29,2;5,5
78;6,6;19,0;35,4;27,2;5,7
79;6,9;18,2;27,4;22,5;5,7
80;7,0;19,5;16,6;18,3;6,6
81;5,5;13,4;20,6;17,1;4,6
82;9,3;12,4;13,3;12,7;9,1
83;6,0;15,1;20,8;18,4;4,8
