kommune_nr;spraak.alle_bhgalder.1.5_enhet.personer;spraak.alle_bhgalder.1_enhet.personer;spraak.alle_bhgalder.2_enhet.personer;spraak.alle_bhgalder.3_enhet.personer;spraak.alle_bhgalder.4_enhet.personer;spraak.alle_bhgalder.5_enhet.personer;spraak.alle_bhgalder.1.5_enhet.prosent;spraak.alle_bhgalder.1_enhet.prosent;spraak.alle_bhgalder.2_enhet.prosent;spraak.alle_bhgalder.3_enhet.prosent;spraak.alle_bhgalder.4_enhet.prosent;spraak.alle_bhgalder.5_enhet.prosent;spraak.minoritet_bhgalder.1.5_enhet.personer;spraak.minoritet_bhgalder.1_enhet.personer;spraak.minoritet_bhgalder.2_enhet.personer;spraak.minoritet_bhgalder.3_enhet.personer;spraak.minoritet_bhgalder.4_enhet.personer;spraak.minoritet_bhgalder.5_enhet.personer;spraak.minoritet_bhgalder.1.5_enhet.prosent;spraak.minoritet_bhgalder.1_enhet.prosent;spraak.minoritet_bhgalder.2_enhet.prosent;spraak.minoritet_bhgalder.3_enhet.prosent;spraak.minoritet_bhgalder.4_enhet.prosent;spraak.minoritet_bhgalder.5_enhet.prosent;spraak.ikke.minoritet_bhgalder.1.5_enhet.personer;spraak.ikke.minoritet_bhgalder.1_enhet.personer;spraak.ikke.minoritet_bhgalder.2_enhet.personer;spraak.ikke.minoritet_bhgalder.3_enhet.personer;spraak.ikke.minoritet_bhgalder.4_enhet.personer;spraak.ikke.minoritet_bhgalder.5_enhet.personer;spraak.ikke.minoritet_bhgalder.1.5_enhet.prosent;spraak.ikke.minoritet_bhgalder.1_enhet.prosent;spraak.ikke.minoritet_bhgalder.2_enhet.prosent;spraak.ikke.minoritet_bhgalder.3_enhet.prosent;spraak.ikke.minoritet_bhgalder.4_enhet.prosent;spraak.ikke.minoritet_bhgalder.5_enhet.prosent;barnikommune.alle_bhgalder.1.5_enhet.personer;barnikommune.alle_bhgalder.1_enhet.personer;barnikommune.alle_bhgalder.2_enhet.personer;barnikommune.alle_bhgalder.3_enhet.personer;barnikommune.alle_bhgalder.4_enhet.personer;barnikommune.alle_bhgalder.5_enhet.personer;barnikommune.alle_bhgalder.1.5_enhet.prosent;barnikommune.alle_bhgalder.1_enhet.prosent;barnikommune.alle_bhgalder.2_enhet.prosent;barnikommune.alle_bhgalder.3_enhet.prosent;barnikommune.alle_bhgalder.4_enhet.prosent;barnikommune.alle_bhgalder.5_enhet.prosent;barnikommune.innvandrerbakgr_bhgalder.1.5_enhet.personer;barnikommune.innvandrerbakgr_bhgalder.1_enhet.personer;barnikommune.innvandrerbakgr_bhgalder.2_enhet.personer;barnikommune.innvandrerbakgr_bhgalder.3_enhet.personer;barnikommune.innvandrerbakgr_bhgalder.4_enhet.personer;barnikommune.innvandrerbakgr_bhgalder.5_enhet.personer;barnikommune.innvandrerbakgr_bhgalder.1.5_enhet.prosent;barnikommune.innvandrerbakgr_bhgalder.1_enhet.prosent;barnikommune.innvandrerbakgr_bhgalder.2_enhet.prosent;barnikommune.innvandrerbakgr_bhgalder.3_enhet.prosent;barnikommune.innvandrerbakgr_bhgalder.4_enhet.prosent;barnikommune.innvandrerbakgr_bhgalder.5_enhet.prosent;barnikommune.barn.ellers_bhgalder.1.5_enhet.personer;barnikommune.barn.ellers_bhgalder.1_enhet.personer;barnikommune.barn.ellers_bhgalder.2_enhet.personer;barnikommune.barn.ellers_bhgalder.3_enhet.personer;barnikommune.barn.ellers_bhgalder.4_enhet.personer;barnikommune.barn.ellers_bhgalder.5_enhet.personer;barnikommune.barn.ellers_bhgalder.1.5_enhet.prosent;barnikommune.barn.ellers_bhgalder.1_enhet.prosent;barnikommune.barn.ellers_bhgalder.2_enhet.prosent;barnikommune.barn.ellers_bhgalder.3_enhet.prosent;barnikommune.barn.ellers_bhgalder.4_enhet.prosent;barnikommune.barn.ellers_bhgalder.5_enhet.prosent
101;1499;207;291;311;341;349;89,54599761;66,99029126;89,81481481;96,58385093;95,51820728;96,40883978;157;13;26;37;42;39;68,85964912;30,95238095;59,09090909;84,09090909;85,71428571;79,59183673;1342;194;265;274;299;310;92,8077455;72,65917603;94,64285714;98,56115108;97,07792208;99,04153355;1674;309;324;322;357;362;100;100;100;100;100;100;228;42;44;44;49;49;13,62007168;13,59223301;13,58024691;13,66459627;13,7254902;13,5359116;1446;267;280;278;308;313;86,37992832;86,40776699;86,41975309;86,33540373;86,2745098;86,4640884
104;1568;209;272;358;348;381;87,59776536;62,01780415;85,53459119;91,32653061;96,66666667;99,47780679;328;25;63;84;73;83;80,19559902;31,25;72,4137931;95,45454545;92,40506329;110,6666667;1240;184;209;274;275;298;89,79000724;71,59533074;90,47619048;90,13157895;97,86476868;96,75324675;1790;337;318;392;360;383;100;100;100;100;100;100;409;80;87;88;79;75;22,84916201;23,7388724;27,35849057;22,44897959;21,94444444;19,58224543;1381;257;231;304;281;308;77,15083799;76,2611276;72,64150943;77,55102041;78,05555556;80,41775457
105;2752;382;523;567;583;697;87,50397456;65,97582038;85,31810767;92,64705882;94,18416801;96,53739612;496;47;87;108;102;152;70,55476529;34,55882353;58,38926174;89,25619835;76,11940299;93,25153374;2256;335;436;459;481;545;92,38329238;75,62076749;93,96551724;93,48268839;99,17525773;97,49552773;3145;579;613;612;619;722;100;100;100;100;100;100;703;136;149;121;134;163;22,35294118;23,48877375;24,30668842;19,77124183;21,64781906;22,57617729;2442;443;464;491;485;559;77,64705882;76,51122625;75,69331158;80,22875817;78,35218094;77,42382271
106;3872;518;720;796;868;970;88,40182648;63,40269278;86,85162847;94,64922711;96,875;97,29187563;578;37;93;115;157;176;65,90649943;21,14285714;56,36363636;66,86046512;89,71428571;92,63157895;3294;481;627;681;711;794;94,03368541;74,92211838;94,42771084;101,793722;98,61303745;98,38909542;4380;817;829;841;896;997;100;100;100;100;100;100;877;175;165;172;175;190;20,02283105;21,41982864;19,90349819;20,45184304;19,53125;19,05717151;3503;642;664;669;721;807;79,97716895;78,58017136;80,09650181;79,54815696;80,46875;80,94282849
111;177;29;30;31;47;40;93,65079365;87,87878788;85,71428571;88,57142857;102,173913;100;12;.;.;5;.;.;120;.;.;.;.;.;165;28;30;26;44;37;92,17877095;.;.;.;.;.;189;33;35;35;46;40;100;100;100;100;100;100;10;.;.;.;.;.;5,291005291;.;.;.;.;.;179;.;.;.;.;.;94,70899471;.;.;.;.;.
118;60;7;5;9;26;13;84,50704225;53,84615385;62,5;75;108,3333333;92,85714286;.;.;.;.;.;.;.;.;.;.;.;.;60;7;5;9;26;13;.;.;.;.;.;.;71;13;8;12;24;14;100;100;100;100;100;100;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
119;154;10;32;32;40;40;86,51685393;47,61904762;86,48648649;91,42857143;90,90909091;97,56097561;13;.;.;.;.;4;76,47058824;.;.;.;.;100;141;10;29;29;37;36;87,57763975;.;87,87878788;.;92,5;97,2972973;178;21;37;35;44;41;100;100;100;100;100;100;17;.;4;.;4;4;9,550561798;.;10,81081081;.;9,090909091;9,756097561;161;.;33;.;40;37;90,4494382;.;89,18918919;.;90,90909091;90,24390244
121;31;.;7;7;5;9;88,57142857;.;100;87,5;100;90;6;.;.;.;.;.;66,66666667;.;.;.;.;.;25;.;5;6;4;7;96,15384615;.;.;.;.;.;35;5;7;8;5;10;100;100;100;100;100;100;9;.;.;.;.;.;25,71428571;.;.;.;.;.;26;.;.;.;.;.;74,28571429;.;.;.;.;.
122;264;34;64;59;52;55;87,41721854;60,71428571;94,11764706;89,39393939;100;91,66666667;23;.;7;6;5;.;71,875;.;100;85,71428571;83,33333333;.;241;31;57;53;47;53;89,25925926;64,58333333;93,44262295;89,83050847;102,173913;94,64285714;302;56;68;66;52;60;100;100;100;100;100;100;32;8;7;7;6;4;10,59602649;14,28571429;10,29411765;10,60606061;11,53846154;6,666666667;270;48;61;59;46;56;89,40397351;85,71428571;89,70588235;89,39393939;88,46153846;93,33333333
123;317;47;62;63;77;68;96,06060606;73,4375;100;106,779661;98,71794872;101,4925373;25;4;.;5;4;11;92,59259259;80;.;100;80;110;292;43;61;58;73;57;96,36963696;72,88135593;.;107,4074074;100;100;330;64;62;59;78;67;100;100;100;100;100;100;27;5;.;5;5;10;8,181818182;7,8125;.;8,474576271;6,41025641;14,92537313;303;59;.;54;73;57;91,81818182;92,1875;.;91,52542373;93,58974359;85,07462687
