fylke_nr;anmodning_2015_personer;vedtak_2015_personer;bosatt_2015_personer;anmodning_2016_personer;vedtak_2016_personer;bosatt_2016_personer;anmodning_2017_personer;vedtak_2017_personer;bosatt_2017_personer;anmodning_2015_prosent;vedtak_2015_prosent;bosatt_2015_prosent;anmodning_2016_prosent;vedtak_2016_prosent;bosatt_2016_prosent;anmodning_2017_prosent;vedtak_2017_prosent;bosatt_2017_prosent
2;777,00;910,00;;1410,00;1114,00;;1650,00;392,00;;100,00;117,12;;100,00;79,01;;100,00;23,76;
9;395,00;401,00;;580,00;492,00;;685,00;431,00;;100,00;101,52;;100,00;84,83;;100,00;62,92;
6;564,00;648,00;;1037,00;729,00;;1242,00;303,00;;100,00;114,89;;100,00;70,30;;100,00;24,40;
20;425,00;334,00;;612,00;417,00;;714,00;152,00;;100,00;78,59;;100,00;68,14;;100,00;21,29;
4;445,00;377,00;;760,00;494,00;;905,00;314,00;;100,00;84,72;;100,00;65,00;;100,00;34,70;
12;897,00;872,00;;1792,00;1121,00;;2065,00;405,00;;100,00;97,21;;100,00;62,56;;100,00;19,61;
15;739,00;686,00;;1078,00;812,00;;1211,00;392,00;;100,00;92,83;;100,00;75,32;;100,00;32,37;
18;925,00;871,00;;1531,00;913,00;;1785,00;500,00;;100,00;94,16;;100,00;59,63;;100,00;28,01;
17;420,00;457,00;;656,00;541,00;;723,00;67,00;;100,00;108,81;;100,00;82,47;;100,00;9,27;
5;472,00;546,00;;775,00;598,00;;890,00;253,00;;100,00;115,68;;100,00;77,16;;100,00;28,43;
3;720,00;811,00;;1000,00;1000,00;;1150,00;0,00;;100,00;112,64;;100,00;100,00;;100,00;0,00;
11;774,00;791,00;;1541,00;1273,00;;1782,00;716,00;;100,00;102,20;;100,00;82,61;;100,00;40,18;
14;367,00;474,00;;685,00;560,00;;788,00;432,00;;100,00;129,16;;100,00;81,75;;100,00;54,82;
16;670,00;832,00;;1193,00;1048,00;;1328,00;121,00;;100,00;124,18;;100,00;87,85;;100,00;9,11;
8;552,00;500,00;;755,00;697,00;;960,00;435,00;;100,00;90,58;;100,00;92,32;;100,00;45,31;
0;11185,00;11719,00;;18521,00;14556,00;;21498,00;5944,00;;100,00;104,77;;100,00;78,59;;100,00;27,65;
19;620,00;595,00;;741,00;658,00;;830,00;407,00;;100,00;95,97;;100,00;88,80;;100,00;49,04;
10;595,00;647,00;;855,00;728,00;;1015,00;430,00;;100,00;108,74;;100,00;85,15;;100,00;42,36;
7;393,00;553,00;;740,00;672,00;;875,00;0,00;;100,00;140,71;;100,00;90,81;;100,00;0,00;
1;435,00;414,00;;780,00;689,00;;900,00;194,00;;100,00;95,17;;100,00;88,33;;100,00;21,56;
