kommune_nr;bosatt_2014;anmodning_2014;vedtak_2014
0101;22;35;21
0104;20;45;20
0105;59;60;65
0106;59;100;69
0111;12;15;15
0118;.;15;.
0119;5;10;4
0121;.;10;.
0122;.;10;3
0123;8;15;10
0124;10;20;11
0125;6;20;11
0127;2;10;5
0128;4;15;6
0135;6;15;5
0136;11;20;10
0137;5;10;10
0138;.;10;0
0211;18;20;17
0213;54;57;57
0214;18;22;20
0215;17;22;20
0216;24;20;.
0217;43;40;40
0219;99;160;140
0220;65;75;65
0221;10;15;13
0226;11;20;15
0227;2;15;15
0228;20;20;20
0229;7;15;5
0230;29;47;27
0231;68;75;75
0233;13;25;15
0234;7;9;7
0235;22;35;20
0236;25;25;25
0237;19;25;15
0238;15;15;15
0239;4;10;10
0301;495;500;500
0402;33;40;25
0403;41;70;40
0412;34;55;34
0415;9;15;9
0417;39;35;30
0418;6;10;6
0419;6;10;10
0420;6;10;5
0423;2;10;5
0425;2;15;1
0426;.;10;0
0427;34;50;40
0428;10;15;10
0429;7;10;10
0430;2;10;8
0432;11;10;11
0434;7;10;0
0436;5;15;7
0437;16;20;20
0438;4;10;3
0439;6;10;6
0441;9;10;7
0501;47;55;55
0502;52;55;55
0511;6;10;5
0512;5;10;5
0513;5;10;5
0514;12;10;10
0515;11;12;12
0516;18;20;15
0517;20;15;10
0519;2;10;5
0520;10;10;10
0521;11;15;15
0522;5;15;5
0528;16;25;20
0529;15;25;15
0532;17;20;20
0533;28;40;30
0534;38;40;40
0536;8;15;10
0538;20;20;20
0540;1;10;8
0541;3;10;5
0542;10;15;10
0543;5;10;5
0544;7;10;7
0545;5;10;3
0602;124;130;130
0604;28;50;27
0605;33;50;50
0612;1;15;10
0615;10;10;10
0616;3;15;5
0617;16;15;10
0618;7;15;7
0619;15;15;15
0620;5;15;5
0621;2;10;0
0622;.;10;.
0623;22;35;26
0624;20;35;20
0625;22;45;20
0626;29;45;22
0627;31;40;20
0628;19;20;20
0631;10;10;10
0632;7;10;8
0633;8;10;6
0701;29;40;20
0702;13;15;8
0704;46;50;50
0706;38;50;40
0709;53;50;70
0711;6;15;6
0713;10;15;10
0714;.;15;5
0716;11;25;15
0719;8;15;5
0720;24;25;25
0722;30;30;30
0723;6;15;5
0728;8;15;5
0805;54;85;50
0806;88;120;68
0807;52;45;45
0811;11;15;10
0814;40;45;35
0815;37;45;35
0817;10;15;15
0819;11;20;10
0821;17;25;18
0822;19;20;20
0826;16;25;13
0827;9;10;11
0828;11;15;17
0829;.;10;0
0830;.;10;0
0831;7;10;10
0833;.;10;4
0834;6;15;7
0901;17;30;25
0904;57;55;55
0906;85;95;95
0911;17;15;10
0912;12;15;10
0914;5;25;5
0919;1;15;3
0926;27;40;30
0928;9;20;12
0929;6;15;10
0935;10;10;10
0937;14;15;10
0938;1;10;5
0940;12;10;10
0941;3;10;5
1001;213;200;200
1002;45;45;45
1003;22;40;20
1004;21;35;20
1014;36;40;35
1017;14;30;25
1018;23;40;20
1021;11;15;10
1026;4;10;5
1027;3;10;5
1029;10;20;10
1032;18;35;20
1034;5;10;5
1037;27;30;30
1046;4;10;5
1101;32;35;35
1102;75;70;70
1103;112;120;120
1106;50;60;50
1111;.;10;10
1112;10;25;10
1114;9;10;10
1119;23;35;25
1120;25;35;25
1121;29;35;28
1122;17;30;15
1124;18;40;27
1127;27;30;21
1129;.;8;5
1130;22;30;15
1133;8;25;9
1134;17;25;15
1135;10;25;10
1141;.;10;.
1142;12;25;10
1144;3;8;4
1145;.;8;0
1146;16;30;20
1149;42;60;30
1151;.;8;8
1160;7;25;10
1201;323;350;350
1211;5;10;10
1216;4;20;20
1219;28;30;24
1221;22;35;20
1222;.;10;.
1223;7;10;7
1224;15;25;10
1227;.;10;.
1228;13;20;10
1231;16;20;15
1232;.;10;0
1233;12;10;10
1234;.;10;0
1235;34;30;30
1238;7;20;15
1241;4;10;10
1242;.;15;0
1243;13;25;10
1244;5;10;10
1245;10;15;10
1246;20;40;20
1247;24;40;25
1251;5;15;6
1252;.;8;0
1253;7;15;7
1256;10;25;10
1259;19;20;15
1260;9;20;6
1263;17;25;25
1264;22;15;11
1265;1;8;.
1266;.;10;0
1401;45;35;45
1411;8;10;10
1412;.;8;.
1413;9;10;7
1416;11;20;20
1417;3;15;0
1418;.;10;.
1419;1;10;10
1420;33;30;35
1421;.;10;0
1422;6;10;15
1424;8;15;15
1426;11;15;15
1428;.;10;0
1429;.;10;10
1430;.;10;.
1431;8;15;7
1432;13;35;20
1433;.;10;.
1438;15;15;0
1439;6;10;10
1441;.;10;7
1443;20;30;30
1444;.;8;0
1445;5;20;20
1449;27;25;25
1502;105;60;60
1504;48;90;50
1505;47;50;50
1511;9;15;0
1514;.;10;.
1515;9;30;10
1516;15;20;20
1517;4;15;10
1519;31;30;30
1520;19;30;21
1523;7;10;0
1524;.;10;0
1525;.;10;0
1526;.;10;0
1528;2;20;19
1529;6;10;10
1531;7;25;12
1532;10;15;10
1534;24;30;24
