Kommunenummer;Kommunenavn;Anmodning;Vedtak;Bosatte;;;;
0101;Halden;35;21;22;;;;
0104;Moss;45;20;20;;;;
0105;Sarpsborg;60;65;59;;;;
0106;Fredrikstad;100;69;59;;;;
0111;Hvaler;15;15;12;;;;
0118;Aremark;15;.;.;;;;
0119;Marker;10;4;5;;;;
0121;Rømskog;10;.;.;;;;
0122;Trøgstad;10;3;.;;;;
0123;Spydeberg;15;10;8;;;;
0124;Askim;20;11;10;;;;
0125;Eidsberg;20;11;6;;;;
0127;Skiptvet;10;5;:;;;;
0128;Rakkestad;15;6;4;;;;
0135;Råde;15;5;6;;;;
0136;Rygge;20;10;11;;;;
0137;Våler;10;10;5;;;;
0138;Hobøl;10;0;.;;;;
0211;Vestby;20;17;18;;;;
0213;Ski;57;57;54;;;;
0214;Ås;22;20;18;;;;
0215;Frogn;22;20;17;;;;
0216;Nesodden;20;.;24;;;;
0217;Oppegård;40;40;43;;;;
0219;Bærum;160;140;99;;;;
0220;Asker;75;65;65;;;;
0221;Aurskog-Høland;15;13;10;;;;
0226;Sørum;20;15;11;;;;
0227;Fet;15;15;:;;;;
0228;Rælingen;20;20;20;;;;
0229;Enebakk;15;5;7;;;;
0230;Lørenskog;47;27;29;;;;
0231;Skedsmo;75;75;68;;;;
0233;Nittedal;25;15;13;;;;
0234;Gjerdrum;9;7;7;;;;
0235;Ullensaker;35;20;22;;;;
0236;Nes;25;25;25;;;;
0237;Eidsvoll;25;15;19;;;;
0238;Nannestad;15;15;15;;;;
0239;Hurdal;10;10;4;;;;
0301;Oslo;500;500;495;;;;
0402;Kongsvinger;40;25;33;;;;
0403;Hamar;70;40;41;;;;
0412;Ringsaker;55;34;34;;;;
0415;Løten;15;9;9;;;;
0417;Stange;35;30;39;;;;
0418;Nord-Odal;10;6;6;;;;
0419;Sør-Odal;10;10;6;;;;
0420;Eidskog;10;5;6;;;;
0423;Grue;10;5;:;;;;
0425;Åsnes;15;1;:;;;;
0426;Våler;10;0;.;;;;
0427;Elverum;50;40;34;;;;
0428;Trysil;15;10;10;;;;
0429;Åmot;10;10;7;;;;
0430;Stor-Elvdal;10;8;:;;;;
0432;Rendalen;10;11;11;;;;
0434;Engerdal;10;0;7;;;;
0436;Tolga;15;7;5;;;;
0437;Tynset;20;20;16;;;;
0438;Alvdal;10;3;4;;;;
0439;Folldal;10;6;6;;;;
0441;Os;10;7;9;;;;
0501;Lillehammer;55;55;47;;;;
0502;Gjøvik;55;55;52;;;;
0511;Dovre;10;5;6;;;;
0512;Lesja;10;5;5;;;;
0513;Skjåk;10;5;5;;;;
0514;Lom;10;10;12;;;;
0515;Vågå;12;12;11;;;;
0516;Nord-Fron;20;15;18;;;;
0517;Sel;15;10;20;;;;
0519;Sør-Fron;10;5;:;;;;
0520;Ringebu;10;10;10;;;;
0521;Øyer;15;15;11;;;;
0522;Gausdal;15;5;5;;;;
0528;Østre Toten;25;20;16;;;;
0529;Vestre Toten;25;15;15;;;;
0532;Jevnaker;20;20;17;;;;
0533;Lunner;40;30;28;;;;
0534;Gran;40;40;38;;;;
0536;Søndre Land;15;10;8;;;;
0538;Nordre Land;20;20;20;;;;
0540;Sør-Aurdal;10;8;:;;;;
0541;Etnedal;10;5;:;;;;
0542;Nord-Aurdal;15;10;10;;;;
0543;Vestre Slidre;10;5;5;;;;
0544;Øystre Slidre;10;7;7;;;;
0545;Vang;10;3;5;;;;
0602;Drammen;130;130;124;;;;
0604;Kongsberg;50;27;28;;;;
0605;Ringerike;50;50;33;;;;
0612;Hole;15;10;:;;;;
0615;Flå;10;10;10;;;;
0616;Nes;15;5;:;;;;
0617;Gol;15;10;16;;;;
0618;Hemsedal;15;7;7;;;;
0619;Ål;15;15;15;;;;
0620;Hol;15;5;5;;;;
0621;Sigdal;10;0;:;;;;
0622;Krødsherad;10;.;.;;;;
0623;Modum;35;26;22;;;;
0624;Øvre Eiker;35;20;20;;;;
0625;Nedre Eiker;45;20;22;;;;
0626;Lier;45;22;29;;;;
0627;Røyken;40;20;31;;;;
0628;Hurum;20;20;19;;;;
0631;Flesberg;10;10;10;;;;
0632;Rollag;10;8;7;;;;
0633;Nore og Uvdal;10;6;8;;;;
0701;Horten;40;20;29;;;;
0702;Holmestrand;15;8;13;;;;
0704;Tønsberg;50;50;46;;;;
0706;Sandefjord;50;40;38;;;;
0709;Larvik;50;70;53;;;;
0711;Svelvik;15;6;6;;;;
0713;Sande;15;10;10;;;;
0714;Hof;15;5;.;;;;
0716;Re;25;15;11;;;;
0719;Andebu;15;5;8;;;;
0720;Stokke;25;25;24;;;;
0722;Nøtterøy;30;30;30;;;;
0723;Tjøme;15;5;6;;;;
0728;Lardal;15;5;8;;;;
0805;Porsgrunn;85;50;54;;;;
0806;Skien;120;68;88;;;;
0807;Notodden;45;45;52;;;;
0811;Siljan;15;10;11;;;;
0814;Bamble;45;35;40;;;;
0815;Kragerø;45;35;37;;;;
0817;Drangedal;15;15;10;;;;
0819;Nome;20;10;11;;;;
0821;Bø;25;18;17;;;;
0822;Sauherad;20;20;19;;;;
0826;Tinn;25;13;16;;;;
0827;Hjartdal;10;11;9;;;;
0828;Seljord;15;17;11;;;;
0829;Kviteseid;10;0;.;;;;
0830;Nissedal;10;0;.;;;;
0831;Fyresdal;10;10;7;;;;
0833;Tokke;10;4;.;;;;
0834;Vinje;15;7;6;;;;
0901;Risør;30;25;17;;;;
0904;Grimstad;55;55;57;;;;
0906;Arendal;95;95;85;;;;
0911;Gjerstad;15;10;17;;;;
0912;Vegårshei;15;10;12;;;;
0914;Tvedestrand;25;5;5;;;;
0919;Froland;15;3;:;;;;
0926;Lillesand;40;30;27;;;;
0928;Birkenes;20;12;9;;;;
0929;Åmli;15;10;6;;;;
0935;Iveland;10;10;10;;;;
0937;Evje og Hornnes;15;10;14;;;;
0938;Bygland;10;5;:;;;;
0940;Valle;10;10;12;;;;
0941;Bykle;10;5;:;;;;
1001;Kristiansand;200;200;213;;;;
1002;Mandal;45;45;45;;;;
1003;Farsund;40;20;22;;;;
1004;Flekkefjord;35;20;21;;;;
1014;Vennesla;40;35;36;;;;
1017;Songdalen;30;25;14;;;;
1018;Søgne;40;20;23;;;;
1021;Marnardal;15;10;11;;;;
1026;Åseral;10;5;4;;;;
1027;Audnedal;10;5;:;;;;
1029;Lindesnes;20;10;10;;;;
1032;Lyngdal;35;20;18;;;;
1034;Hægebostad;10;5;5;;;;
1037;Kvinesdal;30;30;27;;;;
1046;Sirdal;10;5;4;;;;
1101;Eigersund;35;35;32;;;;
1102;Sandnes;70;70;75;;;;
1103;Stavanger;120;120;112;;;;
1106;Haugesund;60;50;50;;;;
1111;Sokndal;10;10;.;;;;
1112;Lund;25;10;10;;;;
1114;Bjerkreim;10;10;9;;;;
1119;Hå;35;25;23;;;;
1120;Klepp;35;25;25;;;;
1121;Time;35;28;29;;;;
1122;Gjesdal;30;15;17;;;;
1124;Sola;40;27;18;;;;
1127;Randaberg;30;21;27;;;;
1129;Forsand;8;5;.;;;;
1130;Strand;30;15;22;;;;
1133;Hjelmeland;25;9;8;;;;
1134;Suldal;25;15;17;;;;
1135;Sauda;25;10;10;;;;
1141;Finnøy;10;.;.;;;;
1142;Rennesøy;25;10;12;;;;
1144;Kvitsøy;8;4;:;;;;
1145;Bokn;8;0;.;;;;
1146;Tysvær;30;20;16;;;;
1149;Karmøy;60;30;42;;;;
1151;Utsira;8;8;.;;;;
1160;Vindafjord;25;10;7;;;;
1201;Bergen;350;350;323;;;;
1211;Etne;10;10;5;;;;
1216;Sveio;20;20;4;;;;
1219;Bømlo;30;24;28;;;;
1221;Stord;35;20;22;;;;
1222;Fitjar;10;.;.;;;;
1223;Tysnes;10;7;7;;;;
1224;Kvinnherad;25;10;15;;;;
1227;Jondal;10;.;.;;;;
1228;Odda;20;10;13;;;;
1231;Ullensvang;20;15;16;;;;
1232;Eidfjord;10;0;.;;;;
1233;Ulvik;10;10;12;;;;
1234;Granvin;10;0;.;;;;
1235;Voss;30;30;34;;;;
1238;Kvam;20;15;7;;;;
1241;Fusa;10;10;4;;;;
1242;Samnanger;15;0;.;;;;
1243;Os;25;10;13;;;;
1244;Austevoll;10;10;5;;;;
1245;Sund;15;10;10;;;;
1246;Fjell;40;20;20;;;;
1247;Askøy;40;25;24;;;;
1251;Vaksdal;15;6;5;;;;
1252;Modalen;8;0;.;;;;
1253;Osterøy;15;7;7;;;;
1256;Meland;25;10;10;;;;
1259;Øygarden;20;15;19;;;;
1260;Radøy;20;6;9;;;;
1263;Lindås;25;25;17;;;;
1264;Austrheim;15;11;22;;;;
1265;Fedje;8;.;:;;;;
1266;Masfjorden;10;0;.;;;;
1401;Flora;35;45;45;;;;
1411;Gulen;10;10;8;;;;
1412;Solund;8;.;.;;;;
1413;Hyllestad;10;7;9;;;;
1416;Høyanger;20;20;11;;;;
1417;Vik;15;0;:;;;;
1418;Balestrand;10;.;.;;;;
1419;Leikanger;10;10;:;;;;
1420;Sogndal;30;35;33;;;;
1421;Aurland;10;0;.;;;;
1422;Lærdal;10;15;6;;;;
1424;Årdal;15;15;8;;;;
1426;Luster;15;15;11;;;;
1428;Askvoll;10;0;.;;;;
1429;Fjaler;10;10;.;;;;
1430;Gaular;10;.;.;;;;
1431;Jølster;15;7;8;;;;
1432;Førde;35;20;13;;;;
1433;Naustdal;10;.;.;;;;
1438;Bremanger;15;0;15;;;;
1439;Vågsøy;10;10;6;;;;
1441;Selje;10;7;.;;;;
1443;Eid;30;30;20;;;;
1444;Hornindal;8;0;.;;;;
1445;Gloppen;20;20;5;;;;
1449;Stryn;25;25;27;;;;
1502;Molde;60;60;105;;;;
1504;Ålesund;90;50;48;;;;
1505;Kristiansund;50;50;47;;;;
1511;Vanylven;15;0;9;;;;
1514;Sande;10;.;.;;;;
1515;Herøy;30;10;9;;;;
1516;Ulstein;20;20;15;;;;
1517;Hareid;15;10;4;;;;
1519;Volda;30;30;31;;;;
1520;Ørsta;30;21;19;;;;
1523;Ørskog;10;0;7;;;;
1524;Norddal;10;0;.;;;;
1525;Stranda;10;0;.;;;;
1526;Stordal;10;0;.;;;;
1528;Sykkylven;20;19;:;;;;
1529;Skodje;10;10;6;;;;
1531;Sula;25;12;7;;;;
1532;Giske;15;10;10;;;;
1534;Haram;30;24;24;;;;
1535;Vestnes;15;10;7;;;;
1539;Rauma;15;.;.;;;;
1543;Nesset;10;10;10;;;;
1545;Midsund;10;0;.;;;;
1546;Sandøy;10;0;.;;;;
1547;Aukra;15;.;:;;;;
1548;Fræna;30;.;6;;;;
1551;Eide;10;5;.;;;;
1554;Averøy;15;10;6;;;;
1557;Gjemnes;15;0;.;;;;
1560;Tingvoll;10;5;12;;;;
1563;Sunndal;35;37;24;;;;
1566;Surnadal;15;15;25;;;;
1567;Rindal;10;10;.;;;;
1571;Halsa;10;5;5;;;;
1573;Smøla;10;0;.;;;;
1576;Aure;10;10;11;;;;
1601;Trondheim;300;300;314;;;;
1612;Hemne;10;5;7;;;;
1613;Snillfjord;10;0;.;;;;
1617;Hitra;15;10;10;;;;
1620;Frøya;15;15;.;;;;
1621;Ørland;15;15;10;;;;
1622;Agdenes;10;.;.;;;;
1624;Rissa;20;14;16;;;;
1627;Bjugn;15;15;7;;;;
1630;Åfjord;10;5;7;;;;
1632;Roan;10;0;.;;;;
1633;Osen;10;0;.;;;;
1634;Oppdal;20;20;18;;;;
1635;Rennebu;10;10;:;;;;
1636;Meldal;10;10;11;;;;
1638;Orkdal;30;20;20;;;;
1640;Røros;15;5;16;;;;
1644;Holtålen;10;0;.;;;;
1648;Midtre Gauldal;15;8;8;;;;
1653;Melhus;35;15;7;;;;
1657;Skaun;20;6;7;;;;
1662;Klæbu;15;10;9;;;;
1663;Malvik;30;15;7;;;;
1664;Selbu;10;10;10;;;;
1665;Tydal;10;10;9;;;;
1702;Steinkjer;45;35;34;;;;
1703;Namsos;40;40;41;;;;
1711;Meråker;15;10;13;;;;
1714;Stjørdal;45;45;50;;;;
1717;Frosta;10;10;10;;;;
1718;Leksvik;10;10;6;;;;
1719;Levanger;45;45;48;;;;
1721;Verdal;35;35;35;;;;
1724;Verran;10;10;10;;;;
1725;Namdalseid;10;0;.;;;;
1736;Snåase Snåsa;10;10;11;;;;
1738;Lierne;10;10;14;;;;
1739;Raarvihke Røyrvik ;10;0;.;;;;
1740;Namsskogan;10;0;.;;;;
1742;Grong;15;15;15;;;;
1743;Høylandet;10;0;.;;;;
1744;Overhalla;10;10;9;;;;
1748;Fosnes;10;0;.;;;;
1749;Flatanger;10;0;.;;;;
1750;Vikna;15;15;16;;;;
1751;Nærøy;20;20;18;;;;
1755;Leka;10;0;.;;;;
1756;Inderøy;20;13;13;;;;
1804;Bodø;90;90;78;;;;
1805;Narvik;40;40;36;;;;
1811;Bindal;10;0;.;;;;
1812;Sømna;15;10;8;;;;
1813;Brønnøy;30;20;25;;;;
1815;Vega;15;.;.;;;;
1816;Vevelstad;10;7;10;;;;
1818;Herøy;10;0;.;;;;
1820;Alstahaug;35;30;29;;;;
1822;Leirfjord;20;20;20;;;;
1824;Vefsn;30;30;26;;;;
1825;Grane;15;.;.;;;;
1826;Hattfjelldal;15;15;8;;;;
1827;Dønna;10;0;.;;;;
1828;Nesna;20;20;20;;;;
1832;Hemnes;10;.;.;;;;
1833;Rana;50;50;33;;;;
1834;Lurøy;15;.;.;;;;
1835;Træna;10;.;.;;;;
1836;Rødøy;15;0;.;;;;
1837;Meløy;15;15;17;;;;
1838;Gildeskål;15;15;7;;;;
1839;Beiarn;10;5;6;;;;
1840;Saltdal;20;15;14;;;;
1841;Fauske;25;30;23;;;;
1845;Sørfold;10;.;.;;;;
1848;Steigen;10;10;9;;;;
1849;Hábmer Hamarøy;20;16;21;;;;
1850;Divtasvuodna Tysfjord;15;.;.;;;;
1851;Lødingen;15;10;9;;;;
1852;Tjeldsund;15;.;.;;;;
1853;Evenes;15;15;15;;;;
1854;Ballangen;15;10;13;;;;
1856;Røst;10;.;.;;;;
1857;Værøy;10;.;.;;;;
1859;Flakstad;15;.;.;;;;
1860;Vestvågøy;40;42;40;;;;
1865;Vågan;40;50;45;;;;
1866;Hadsel;25;15;17;;;;
1867;Bø;15;15;17;;;;
1868;Øksnes;15;.;:;;;;
1870;Sortland;35;25;31;;;;
1871;Andøy;30;30;20;;;;
1874;Moskenes;15;0;.;;;;
1902;Tromsø;120;120;112;;;;
1903;Harstad;70;60;60;;;;
1911;Kvæfjord;10;5;6;;;;
1913;Skånland;10;10;7;;;;
1917;Ibestad;15;2;5;;;;
1919;Gratangen;10;6;5;;;;
1920;Lavangen;15;15;4;;;;
1922;Bardu;15;15;11;;;;
1923;Salangen;20;20;22;;;;
1924;Målselv;20;10;12;;;;
1925;Sørreisa;20;18;12;;;;
1926;Dyrøy;15;.;.;;;;
1927;Tranøy;15;15;21;;;;
1928;Torsken;10;10;10;;;;
1929;Berg;10;10;10;;;;
1931;Lenvik;40;40;27;;;;
1933;Balsfjord;20;20;.;;;;
1936;Karlsøy;10;0;.;;;;
1938;Lyngen;15;0;.;;;;
1939;Omasvuotna Storfjord Omasvuonon ;10;2;:;;;;
1940;Gáivuotna Kåfjord;10;10;.;;;;
1941;Skjervøy;10;10;5;;;;
1942;Nordreisa;20;10;11;;;;
1943;Kvænangen;15;.;.;;;;
2002;Vardø;20;.;.;;;;
2003;Vadsø;90;90;93;;;;
2004;Hammerfest;30;32;34;;;;
2011;Guovdageaidnu Kautokeino;20;0;.;;;;
2012;Alta;40;40;40;;;;
2014;Loppa;15;.;.;;;;
2015;Hasvik;15;0;.;;;;
2017;Kvalsund;10;0;.;;;;
2018;Måsøy;15;0;.;;;;
2019;Nordkapp;10;10;12;;;;
2020;Porsanger Porsángu Porsanki;20;15;13;;;;
2021;Kárásjohka Karasjok;20;0;.;;;;
2022;Lebesby;15;.;.;;;;
2023;Gamvik;15;.;.;;;;
2024;Berlevåg;15;0;.;;;;
2025;Deatnu Tana;15;15;14;;;;
2027;Unjárga Nesseby;10;10;11;;;;
2028;Båtsfjord;10;0;.;;;;
2030;Sør-Varanger;40;30;34;;;;
9999;Uoppgitt;;;112;;;;
