"kommune_nr","aar","bosatt.anmodede","bosatt.vedtak","bosatt.bosatt"
101,2015,30,"48","."
104,2015,40,"43","."
105,2015,65,"70","."
106,2015,90,"105","."
111,2015,15,"15","."
118,2015,15,"15","."
119,2015,10,"6","."
121,2015,10,"0","."
122,2015,10,"5","."
123,2015,15,"15","."
124,2015,25,"15","."
125,2015,25,"10","."
127,2015,10,"10","."
128,2015,15,"15","."
135,2015,15,"12","."
136,2015,20,"20","."
137,2015,15,"10","."
138,2015,10,".","."
211,2015,18,"18","."
213,2015,58,"91","."
214,2015,18,"21","."
215,2015,18,"28","."
216,2015,20,"32","."
217,2015,40,"50","."
219,2015,155,"192","."
220,2015,90,"87","."
221,2015,15,"23","."
226,2015,15,"15","."
227,2015,15,"20","."
228,2015,25,"30","."
229,2015,15,"10","."
230,2015,55,"36","."
231,2015,75,"118","."
233,2015,20,"32","."
234,2015,10,"17","."
235,2015,35,"35","."
236,2015,30,"15","."
237,2015,25,"15","."
238,2015,15,"15","."
239,2015,10,"10","."
301,2015,720,"811","."
402,2015,40,"25","."
403,2015,60,"55","."
412,2015,55,"30","."
415,2015,15,"8","."
417,2015,30,"35","."
418,2015,10,"6","."
419,2015,15,"15","."
420,2015,10,"5","."
423,2015,10,"5","."
425,2015,15,"11","."
426,2015,10,"6","."
427,2015,50,"50","."
428,2015,15,"20","."
429,2015,10,"14","."
430,2015,10,"5","."
432,2015,10,"7","."
434,2015,10,"1","."
436,2015,15,"11","."
437,2015,20,"32","."
438,2015,15,"20","."
439,2015,10,"6","."
441,2015,10,"10","."
501,2015,55,"60","."
502,2015,55,"86","."
511,2015,10,"8","."
512,2015,10,"5","."
513,2015,10,"5","."
514,2015,10,"17","."
515,2015,12,"12","."
516,2015,20,"32","."
517,2015,15,"24","."
519,2015,10,"8","."
520,2015,10,"15","."
521,2015,15,"24","."
522,2015,15,"9","."
528,2015,25,"20","."
529,2015,25,"25","."
532,2015,15,"15","."
533,2015,35,"34","."
534,2015,35,"40","."
536,2015,10,"10","."
538,2015,15,"24","."
540,2015,10,"10","."
541,2015,10,"10","."
542,2015,15,"20","."
543,2015,10,"5","."
544,2015,10,"17","."
545,2015,10,"11","."
602,2015,130,"170","."
604,2015,50,"48","."
605,2015,45,"71","."
612,2015,15,"10","."
615,2015,10,"10","."
616,2015,10,"4","."
617,2015,10,"15","."
618,2015,10,"8","."
619,2015,10,"15","."
620,2015,10,"10","."
621,2015,10,"17","."
622,2015,10,"14","."
623,2015,25,"40","."
624,2015,35,"30","."
625,2015,45,"45","."
626,2015,45,"40","."
627,2015,40,"33","."
628,2015,20,"32","."
631,2015,14,"14","."
632,2015,10,"10","."
633,2015,10,"12","."
701,2015,40,"60","."
702,2015,18,"16","."
704,2015,55,"86","."
706,2015,55,"86","."
709,2015,55,"86","."
711,2015,15,"15","."
713,2015,15,"24","."
714,2015,15,"5","."
716,2015,25,"40","."
719,2015,15,"24","."
720,2015,25,"40","."
722,2015,30,"48","."
723,2015,15,"15","."
728,2015,15,"8","."
805,2015,90,"50","."
806,2015,120,"78","."
807,2015,45,"60","."
811,2015,10,"10","."
814,2015,50,"50","."
815,2015,50,"55","."
817,2015,15,"24","."
819,2015,25,"25","."
821,2015,25,"26","."
822,2015,27,"27","."
826,2015,20,"15","."
827,2015,10,"17","."
828,2015,15,"12","."
829,2015,10,".","."
830,2015,10,"15","."
831,2015,10,"10","."
833,2015,10,"14","."
834,2015,10,"12","."
901,2015,30,"35","."
904,2015,45,"71","."
906,2015,125,"125","."
911,2015,15,"15","."
912,2015,10,"18","."
914,2015,20,"10","."
919,2015,15,"5","."
926,2015,40,"35","."
928,2015,20,"21","."
929,2015,15,"15","."
935,2015,10,"6","."
937,2015,20,"15","."
938,2015,10,"10","."
940,2015,10,"10","."
941,2015,10,"10","."
1001,2015,210,"210","."
1002,2015,40,"63","."
1003,2015,45,"50","."
1004,2015,40,"63","."
1014,2015,45,"56","."
1017,2015,35,"35","."
1018,2015,45,"20","."
1021,2015,10,"10","."
1026,2015,10,"5","."
1027,2015,10,"14","."
1029,2015,20,"15","."
1032,2015,35,"56","."
1034,2015,10,"5","."
1037,2015,30,"30","."
1046,2015,10,"15","."
1101,2015,35,"35","."
1102,2015,70,"73","."
1103,2015,120,"120","."
1106,2015,60,"95","."
1111,2015,10,"20","."
1112,2015,20,"15","."
1114,2015,10,"10","."
1119,2015,30,"30","."
1120,2015,35,"37","."
1121,2015,35,"30","."
1122,2015,30,"30","."
1124,2015,35,"35","."
1127,2015,30,"48","."
1129,2015,6,"5","."
1130,2015,30,"25","."
1133,2015,20,"15","."
1134,2015,20,"20","."
1135,2015,20,"20","."
1141,2015,10,"17","."
1142,2015,20,"20","."
1144,2015,6,".","."
1145,2015,6,".","."
1146,2015,30,"30","."
1149,2015,60,"45","."
1151,2015,6,"6","."
1160,2015,20,"10","."
1201,2015,350,"350","."
1211,2015,10,"10","."
