kommune_nr;bosatt_2015_personer;anmodning_2015_personer;vedtak_2015_personer;anmodning_2016_personer;vedtak_2016_personer;bosatt_2016_personer;anmodning_2017_personer;vedtak_2017_personer;bosatt_2017_personer;bosatt_2015_prosent;anmodning_2015_prosent;vedtak_2015_prosent;anmodning_2016_prosent;vedtak_2016_prosent;bosatt_2016_prosent;anmodning_2017_prosent;vedtak_2017_prosent;bosatt_2017_prosent
0101;;30;48;70;57;;80;.;;;100;160;100;81,42857143;;100;.;
0104;;40;43;80;80;;100;100;;;100;107,5;100;100;;100;100;
0105;;65;70;130;130;;150;.;;;100;107,6923077;100;100;;100;.;
0106;;90;105;180;180;;205;.;;;100;116,6666667;100;100;;100;.;
0111;;15;15;30;15;;30;15;;;100;100;100;50;;100;50;
0118;;15;15;20;24;;20;.;;;100;100;100;120;;100;.;
0119;;10;6;15;15;;15;10;;;100;60;100;100;;100;66,66666667;
0121;;10;0;10;10;;15;.;;;100;0;100;100;;100;.;
0122;;10;5;15;15;;15;3;;;100;50;100;100;;100;20;
0123;;15;15;30;.;;35;.;;;100;100;100;.;;100;.;
0124;;25;15;40;30;;50;.;;;100;60;100;75;;100;.;
0125;;25;10;40;36;;50;36;;;100;40;100;90;;100;72;
0127;;10;10;20;5;;25;.;;;100;100;100;25;;100;.;
0128;;15;15;20;20;;25;20;;;100;100;100;100;;100;80;
0135;;15;12;20;20;;25;.;;;100;80;100;100;;100;.;
0136;;20;20;30;30;;30;.;;;100;100;100;100;;100;.;
0137;;15;10;15;12;;15;10;;;100;66,66666667;100;80;;100;66,66666667;
0138;;10;.;15;10;;15;.;;;100;.;100;66,66666667;;100;.;
0211;;18;18;35;25;;40;25;;;100;100;100;71,42857143;;100;62,5;
0213;;58;91;95;76;;115;.;;;100;156,8965517;100;80;;100;.;
0214;;18;21;40;23;;45;.;;;100;116,6666667;100;57,5;;100;.;
0215;;18;28;35;35;;40;.;;;100;155,5555556;100;100;;100;.;
0216;;20;32;35;.;;45;.;;;100;160;100;.;;100;.;
0217;;40;50;75;75;;90;90;;;100;125;100;100;;100;100;
0219;;155;192;280;280;;330;.;;;100;123,8709677;100;100;;100;.;
0220;;90;87;135;135;;160;65;;;100;96,66666667;100;100;;100;40,625;
0221;;15;23;35;21;;40;24;;;100;153,3333333;100;60;;100;60;
0226;;15;15;35;35;;40;.;;;100;100;100;100;;100;.;
0227;;15;20;25;25;;30;.;;;100;133,3333333;100;100;;100;.;
0228;;25;30;40;40;;50;.;;;100;120;100;100;;100;.;
0229;;15;10;25;.;;30;.;;;100;66,66666667;100;.;;100;.;
0230;;55;36;85;75;;95;48;;;100;65,45454545;100;88,23529412;;100;50,52631579;
0231;;75;118;130;100;;150;85;;;100;157,3333333;100;76,92307692;;100;56,66666667;
0233;;20;32;55;55;;60;.;;;100;160;100;100;;100;.;
0234;;10;17;20;14;;25;.;;;100;170;100;70;;100;.;
0235;;35;35;80;25;;100;25;;;100;100;100;31,25;;100;25;
0236;;30;15;50;15;;55;.;;;100;50;100;30;;100;.;
0237;;25;15;55;20;;60;.;;;100;60;100;36,36363636;;100;.;
0238;;15;15;25;20;;30;.;;;100;100;100;80;;100;.;
0239;;10;10;20;20;;20;30;;;100;100;100;100;;100;150;
0301;;720;811;1000;1000;;1150;.;;;100;112,6388889;100;100;;100;.;
0402;;40;25;65;25;;80;.;;;100;62,5;100;38,46153846;;100;.;
0403;;60;55;105;75;;130;75;;;100;91,66666667;100;71,42857143;;100;57,69230769;
0412;;55;30;115;64;;150;64;;;100;54,54545455;100;55,65217391;;100;42,66666667;
0415;;15;8;30;15;;35;15;;;100;53,33333333;100;50;;100;42,85714286;
0417;;30;35;70;35;;90;.;;;100;116,6666667;100;50;;100;.;
0418;;10;6;20;4;;20;.;;;100;60;100;20;;100;.;
0419;;15;15;25;15;;35;.;;;100;100;100;60;;100;.;
0420;;10;5;20;20;;30;5;;;100;50;100;100;;100;16,66666667;
0423;;10;5;20;5;;20;5;;;100;50;100;25;;100;25;
0425;;15;11;30;29;;30;29;;;100;73,33333333;100;96,66666667;;100;96,66666667;
0426;;10;6;15;6;;15;6;;;100;60;100;40;;100;40;
0427;;50;50;70;50;;90;.;;;100;100;100;71,42857143;;100;.;
0428;;15;20;25;25;;30;30;;;100;133,3333333;100;100;;100;100;
0429;;10;14;20;14;;20;.;;;100;140;100;70;;100;.;
0430;;10;5;13;13;;13;13;;;100;50;100;100;;100;100;
0432;;10;7;15;15;;15;15;;;100;70;100;100;;100;100;
0434;;10;1;13;.;;13;.;;;100;10;100;.;;100;.;
0436;;15;11;17;12;;17;12;;;100;73,33333333;100;70,58823529;;100;70,58823529;
0437;;20;32;27;27;;27;.;;;100;160;100;100;;100;.;
0438;;15;20;20;20;;20;20;;;100;133,3333333;100;100;;100;100;
0439;;10;6;12;12;;12;12;;;100;60;100;100;;100;100;
0441;;10;10;13;13;;13;13;;;100;100;100;100;;100;100;
0501;;55;60;95;95;;120;.;;;100;109,0909091;100;100;;100;.;
0502;;55;86;105;105;;135;.;;;100;156,3636364;100;100;;100;.;
0511;;10;8;15;8;;15;.;;;100;80;100;53,33333333;;100;.;
0512;;10;5;15;10;;15;.;;;100;50;100;66,66666667;;100;.;
