kommune_nr;aar;bosetting.anmodning;bosetting.vedtak;bosetting.bosatt
0101;2016;70;57;.
0104;2016;80;80;.
0105;2016;130;130;.
0106;2016;180;180;.
0111;2016;30;15;.
0118;2016;20;24;.
0119;2016;15;15;.
0121;2016;10;10;.
0122;2016;15;15;.
0123;2016;30;;.
0124;2016;40;30;.
0125;2016;40;36;.
0127;2016;20;5;.
0128;2016;20;20;.
0135;2016;20;20;.
0136;2016;30;30;.
0137;2016;15;12;.
0138;2016;15;10;.
0211;2016;35;25;.
0213;2016;95;95;.
0214;2016;40;40;.
0215;2016;35;35;.
0216;2016;35;35;.
0217;2016;75;75;.
0219;2016;280;280;.
0220;2016;135;135;.
0221;2016;35;21;.
0226;2016;35;35;.
0227;2016;25;25;.
0228;2016;40;40;.
0229;2016;25;25;.
0230;2016;85;75;.
0231;2016;130;130;.
0233;2016;55;55;.
0234;2016;20;14;.
0235;2016;80;60;.
0236;2016;50;50;.
0237;2016;55;40;.
0238;2016;25;20;.
0239;2016;20;20;.
0301;2016;1000;1000;.
0402;2016;65;25;.
0403;2016;105;75;.
0412;2016;115;64;.
0415;2016;30;15;.
0417;2016;70;35;.
0418;2016;20;20;.
0419;2016;25;15;.
0420;2016;20;20;.
0423;2016;20;5;.
0425;2016;30;29;.
0426;2016;15;6;.
0427;2016;70;50;.
0428;2016;25;25;.
0429;2016;20;14;.
0430;2016;13;13;.
0432;2016;15;15;.
0434;2016;13;;.
0436;2016;17;12;.
0437;2016;27;27;.
0438;2016;20;20;.
0439;2016;12;12;.
0441;2016;13;13;.
0501;2016;95;95;.
0502;2016;105;105;.
0511;2016;15;8;.
0512;2016;15;10;.
0513;2016;15;15;.
0514;2016;15;14;.
0515;2016;18;12;.
0516;2016;27;27;.
0517;2016;25;28;.
0519;2016;15;14;.
0520;2016;15;15;.
0521;2016;25;25;.
0522;2016;25;;.
0528;2016;55;20;.
0529;2016;50;27;.
0532;2016;25;20;.
0533;2016;40;40;.
0534;2016;50;50;.
0536;2016;20;20;.
0538;2016;25;21;.
0540;2016;15;11;.
0541;2016;15;13;.
0542;2016;25;;.
0543;2016;15;13;.
0544;2016;15;15;.
0545;2016;15;3;.
0602;2016;230;170;.
0604;2016;95;79;.
0605;2016;100;100;.
0612;2016;25;20;.
0615;2016;15;15;.
0616;2016;15;13;.
0617;2016;15;20;.
0618;2016;15;5;.
0619;2016;20;25;.
0620;2016;20;10;.
0621;2016;17;17;.
0622;2016;15;;.
0623;2016;50;33;.
0624;2016;70;50;.
0625;2016;85;55;.
0626;2016;90;56;.
0627;2016;80;37;.
0628;2016;35;32;.
0631;2016;15;14;.
0632;2016;15;15;.
0633;2016;15;15;.
0701;2016;70;70;.
0702;2016;40;29;.
0704;2016;110;110;.
0706;2016;110;110;.
0709;2016;110;110;.
0711;2016;25;20;.
0713;2016;35;35;.
0714;2016;25;15;.
0716;2016;40;30;.
0719;2016;25;21;.
0720;2016;40;33;.
0722;2016;60;60;.
0723;2016;25;25;.
0728;2016;25;10;.
0805;2016;110;110;.
0806;2016;150;200;.
0807;2016;65;64;.
0811;2016;25;20;.
0814;2016;60;50;.
0815;2016;60;40;.
0817;2016;30;21;.
0819;2016;35;35;.
0821;2016;35;35;.
0822;2016;30;30;.
0826;2016;35;;.
0827;2016;15;14;.
0828;2016;20;8;.
0829;2016;20;10;.
0830;2016;15;15;.
0831;2016;15;10;.
0833;2016;15;15;.
0834;2016;20;20;.
0901;2016;40;40;.
0904;2016;90;90;.
0906;2016;150;150;.
0911;2016;30;15;.
0912;2016;25;20;.
0914;2016;35;30;.
0919;2016;30;15;.
0926;2016;50;50;.
0928;2016;30;12;.
0929;2016;15;15;.
0935;2016;15;7;.
0937;2016;35;20;.
0938;2016;10;10;.
0940;2016;10;13;.
0941;2016;15;15;.
1001;2016;260;230;.
1002;2016;75;75;.
1003;2016;60;50;.
1004;2016;60;60;.
1014;2016;75;60;.
1017;2016;40;40;.
1018;2016;65;40;.
1021;2016;25;20;.
1026;2016;10;;.
1027;2016;20;15;.
1029;2016;35;35;.
1032;2016;60;58;.
1034;2016;15;5;.
1037;2016;40;35;.
1046;2016;15;10;.
1101;2016;50;35;.
1102;2016;170;170;.
1103;2016;370;364;.
1106;2016;105;95;.
1111;2016;25;20;.
1112;2016;30;15;.
1114;2016;20;10;.
1119;2016;55;40;.
1120;2016;55;32;.
1121;2016;55;40;.
1122;2016;45;45;.
1124;2016;75;50;.
1127;2016;50;40;.
1129;2016;20;15;.
1130;2016;45;25;.
1133;2016;30;25;.
1134;2016;30;30;.
1135;2016;30;20;.
1141;2016;20;14;.
1142;2016;35;20;.
1144;2016;12;;.
1145;2016;12;;.
1146;2016;45;30;.
1149;2016;115;80;.
1151;2016;12;6;.
1160;2016;35;57;.
1201;2016;720;720;.
1211;2016;20;20;.
1216;2016;25;25;.
1219;2016;50;42;.
1221;2016;60;42;.
1222;2016;25;16;.
1223;2016;14;14;.
1224;2016;50;50;.
1227;2016;15;15;.
1228;2016;40;20;.
1231;2016;30;15;.
1232;2016;15;10;.
1233;2016;20;13;.
1234;2016;15;10;.
1235;2016;60;50;.
1238;2016;40;30;.
1241;2016;30;20;.
1242;2016;25;20;.
1243;2016;65;45;.
1244;2016;25;20;.
1245;2016;35;10;.
1246;2016;75;53;.
1247;2016;80;80;.
1251;2016;25;25;.
1252;2016;12;10;.
1253;2016;28;15;.
1256;2016;35;30;.
1259;2016;35;10;.
1260;2016;25;6;.
1263;2016;55;20;.
1264;2016;12;10;.
1265;2016;12;10;.
1266;2016;19;15;.
