kommune_nr;bosetting.bosatt_enhet.personer_maned.alle;bosetting.bosatt_enhet.personer_maned.januar;bosetting.bosatt_enhet.personer_maned.februar;bosetting.bosatt_enhet.personer_maned.mars;bosetting.bosatt_enhet.personer_maned.april;bosetting.bosatt_enhet.personer_maned.mai;bosetting.bosatt_enhet.personer_maned.juni;bosetting.bosatt_enhet.personer_maned.juli;bosetting.bosatt_enhet.personer_maned.august;bosetting.bosatt_enhet.personer_maned.september;bosetting.bosatt_enhet.personer_maned.oktober;bosetting.bosatt_enhet.personer_maned.november;bosetting.bosatt_enhet.personer_maned.desember
101;42;5;6;2;6;4;1;0;1;4;6;4;3
104;211;15;22;34;0;20;26;23;26;4;10;26;5
105;269;28;8;11;11;23;39;7;39;3;25;41;34
106;374;33;37;27;19;0;41;36;46;12;48;27;48
111;32;4;0;0;0;2;5;4;5;2;4;5;1
118;0;0;0;0;0;0;0;0;0;0;0;0;0
119;27;2;2;3;1;0;3;3;4;1;0;5;3
121;0;0;0;0;0;0;0;0;0;0;0;0;0
122;21;2;5;2;1;0;0;5;1;1;2;0;2
123;67;1;4;8;4;9;6;4;2;10;5;9;5
124;50;0;7;1;6;3;2;3;7;8;6;6;1
125;37;4;5;0;2;0;5;3;5;1;4;5;3
127;48;6;1;7;2;3;0;5;6;7;7;4;0
128;0;0;0;0;0;0;0;0;0;0;0;0;0
135;67;9;3;2;3;11;9;1;9;2;0;7;11
136;22;2;2;0;4;2;2;0;0;3;1;2;4
137;0;0;0;0;0;0;0;0;0;0;0;0;0
138;0;0;0;0;0;0;0;0;0;0;0;0;0
211;70;3;10;11;2;6;4;3;9;5;3;2;12
213;120;28;13;1;27;0;4;6;0;20;5;16;0
214;56;0;9;8;3;0;10;7;0;5;5;8;1
215;33;6;0;6;2;0;4;2;4;3;1;2;3
216;74;10;5;3;12;1;11;12;3;9;1;5;2
217;46;7;6;6;0;1;5;5;8;2;3;3;0
219;638;34;50;34;89;72;42;49;69;53;6;98;42
220;268;16;18;16;10;26;20;31;48;20;1;20;42
221;70;2;6;6;9;7;8;8;7;1;9;2;5
226;54;7;5;0;0;1;7;5;1;7;9;9;3
227;62;3;6;7;0;10;6;13;0;4;6;6;1
228;75;12;8;1;10;15;1;1;0;14;3;1;9
229;25;1;0;3;5;1;5;4;1;1;0;2;2
230;169;5;3;18;10;13;21;16;18;20;20;15;10
231;352;18;17;12;16;34;17;35;20;33;51;52;47
233;67;1;10;6;4;1;3;8;5;10;10;8;1
234;15;2;0;0;2;0;2;2;2;1;0;2;2
235;42;0;4;0;6;1;10;8;4;1;5;1;2
236;96;14;8;16;17;8;10;1;2;3;0;15;2
237;77;1;5;12;9;12;8;6;6;11;1;2;4
238;47;5;1;5;2;1;6;7;6;6;8;0;0
239;0;0;0;0;0;0;0;0;0;0;0;0;0
301;3357;336;177;23;273;269;383;290;418;247;348;400;193
402;53;4;6;4;7;1;4;1;8;7;4;0;7
403;237;27;4;4;20;22;20;24;29;13;34;6;34
412;33;2;2;0;4;3;4;0;4;3;7;0;4
415;42;7;0;5;5;6;6;6;0;3;2;0;2
417;177;12;13;19;7;17;26;16;11;1;11;18;26
418;6;0;1;1;0;1;0;1;0;0;1;0;1
419;40;6;6;4;3;4;0;0;5;3;0;5;4
420;6;0;0;1;1;0;1;0;1;1;0;1;0
423;21;1;2;2;3;0;2;0;4;4;1;2;0
425;100;14;5;6;11;8;10;7;6;5;7;11;10
426;0;0;0;0;0;0;0;0;0;0;0;0;0
427;158;11;4;22;0;26;2;15;16;19;2;14;27
428;60;7;1;7;9;5;5;8;4;2;1;8;3
429;0;0;0;0;0;0;0;0;0;0;0;0;0
430;21;3;0;2;2;1;2;3;1;3;0;3;1
432;0;0;0;0;0;0;0;0;0;0;0;0;0
434;29;4;3;1;2;4;2;1;5;1;3;1;2
436;48;4;6;5;5;7;5;0;5;3;2;4;2
437;98;9;9;4;15;11;7;12;7;8;6;3;7
438;34;5;4;3;1;0;5;5;0;5;1;2;3
439;0;0;0;0;0;0;0;0;0;0;0;0;0
441;7;0;1;1;0;1;1;1;1;0;0;0;1
501;332;33;23;15;21;37;37;17;29;26;44;23;27
502;227;13;33;6;32;41;21;10;35;10;19;6;1
511;38;6;3;3;3;0;4;2;1;2;6;2;6
512;0;0;0;0;0;0;0;0;0;0;0;0;0
513;15;1;0;1;3;0;3;0;0;3;0;3;1
514;0;0;0;0;0;0;0;0;0;0;0;0;0
515;59;6;4;1;4;7;10;5;0;3;8;6;5
516;64;7;3;5;1;13;6;0;7;8;3;1;10
517;37;2;1;4;0;1;5;5;3;4;3;6;3
519;4;0;0;0;1;0;0;0;0;1;1;0;1
520;45;3;0;0;1;6;9;2;2;4;9;2;7
521;81;14;0;13;0;2;11;0;2;16;13;8;2
522;32;5;1;2;2;5;1;3;5;2;0;4;2
528;73;6;0;9;6;8;8;1;7;11;2;5;10
529;96;9;5;7;11;10;6;12;6;1;12;11;6
