;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf
;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0
;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
00 Hele landet;4299167;169175;4129992;23920;4106072;100;3,93506463;96,06493537;0,556386854;95,50854852;2126420;87249;2039171;12229;2026942;49,46120958;2,029439657;47,43176992;0,284450453;47,14731947;2172747;81926;2090821;11691;2079130;50,53879042;1,905624973;48,63316545;0,271936401;48,36122905
01 ùstfold;238648;8515;230133;1290;228843;100;3,568016493;96,43198351;0,540545071;95,89143844;117265;4287;112978;701;112277;49,13722302;1,796369548;47,34085347;0,293738058;47,04711542;121383;4228;117155;589;116566;50,86277698;1,771646944;49,09113003;0,246807013;48,84432302
02 Akershus;424935;19497;405438;2468;402970;100;4,588231141;95,41176886;0,58079471;94,83097415;210803;9167;201636;1229;200407;49,60829303;2,157271112;47,45102192;0,289220704;47,16180122;214132;10330;203802;1239;202563;50,39170697;2,430960029;47,96074694;0,291574005;47,66917293
03 Oslo;473454;54695;418759;11608;407151;100;11,55233666;88,44766334;2,451769338;85,995894;224714;29386;195328;5949;189379;47,46268909;6,206727581;41,25596151;1,256510664;39,99945084;248740;25309;223431;5659;217772;52,53731091;5,345609077;47,19170183;1,195258673;45,99644316
04 Hedmark;187321;4317;183004;379;182625;100;2,304600125;97,69539988;0,202326488;97,49307339;92755;2052;90703;167;90536;49,51660519;1,095445786;48,4211594;0,089151777;48,33200762;94566;2265;92301;212;92089;50,48339481;1,209154339;49,27424047;0,113174711;49,16106576
05 Oppland;182617;3865;178752;315;178437;100;2,116451371;97,88354863;0,172492156;97,71105647;90912;1948;88964;170;88794;49,78287892;1,066713395;48,71616553;0,093091005;48,62307452;91705;1917;89788;145;89643;50,21712108;1,049737976;49,1673831;0,079401151;49,08798195
06 Buskerud;226453;8943;217510;1714;215796;100;3,949163844;96,05083616;0,756889951;95,29394621;111521;4449;107072;864;106208;49,24686359;1,964646086;47,2822175;0,381536124;46,90068138;114932;4494;110438;850;109588;50,75313641;1,984517759;48,76861865;0,375353826;48,39326483
07 Vestfold;200917;6040;194877;620;194257;100;3,006216497;96,9937835;0,308585137;96,68519837;98320;2838;95482;309;95173;48,93563014;1,412523579;47,52310656;0,153794851;47,36931171;102597;3202;99395;311;99084;51,06436986;1,593692918;49,47067695;0,154790287;49,31588666
