fylke_nr;avslutta.ettaar_kjonn.alle_avslutning.status.4.alle_aar.2014_enhet.personer;avslutta.ettaar_kjonn.alle_avslutning.status.4.alle_aar.2014_enhet.prosent;avslutta.ettaar_kjonn.alle_avslutning.status.4.arbutd_aar.2014_enhet.personer;avslutta.ettaar_kjonn.alle_avslutning.status.4.ledig.tiltak_aar.2014_enhet.personer;avslutta.ettaar_kjonn.alle_avslutning.status.4.annet_aar.2014_enhet.personer;avslutta.ettaar_kjonn.alle_avslutning.status.4.arbutd_aar.2014_enhet.prosent;avslutta.ettaar_kjonn.alle_avslutning.status.4.ledig.tiltak_aar.2014_enhet.prosent;avslutta.ettaar_kjonn.alle_avslutning.status.4.annet_aar.2014_enhet.prosent;avslutta.ettaar_kjonn.1_avslutning.status.4.alle_aar.2014_enhet.personer;avslutta.ettaar_kjonn.1_avslutning.status.4.alle_aar.2014_enhet.prosent;avslutta.ettaar_kjonn.1_avslutning.status.4.arbutd_aar.2014_enhet.personer;avslutta.ettaar_kjonn.1_avslutning.status.4.ledig.tiltak_aar.2014_enhet.personer;avslutta.ettaar_kjonn.1_avslutning.status.4.annet_aar.2014_enhet.personer;avslutta.ettaar_kjonn.1_avslutning.status.4.arbutd_aar.2014_enhet.prosent;avslutta.ettaar_kjonn.1_avslutning.status.4.ledig.tiltak_aar.2014_enhet.prosent;avslutta.ettaar_kjonn.1_avslutning.status.4.annet_aar.2014_enhet.prosent;avslutta.ettaar_kjonn.0_avslutning.status.4.alle_aar.2014_enhet.personer;avslutta.ettaar_kjonn.0_avslutning.status.4.alle_aar.2014_enhet.prosent;avslutta.ettaar_kjonn.0_avslutning.status.4.arbutd_aar.2014_enhet.personer;avslutta.ettaar_kjonn.0_avslutning.status.4.ledig.tiltak_aar.2014_enhet.personer;avslutta.ettaar_kjonn.0_avslutning.status.4.annet_aar.2014_enhet.personer;avslutta.ettaar_kjonn.0_avslutning.status.4.arbutd_aar.2014_enhet.prosent;avslutta.ettaar_kjonn.0_avslutning.status.4.ledig.tiltak_aar.2014_enhet.prosent;avslutta.ettaar_kjonn.0_avslutning.status.4.annet_aar.2014_enhet.prosent;avslutta.toaar_kjonn.alle_avslutning.status.4.alle_aar.2014_enhet.personer;avslutta.toaar_kjonn.alle_avslutning.status.4.alle_aar.2014_enhet.prosent;avslutta.toaar_kjonn.alle_avslutning.status.4.arbutd_aar.2014_enhet.personer;avslutta.toaar_kjonn.alle_avslutning.status.4.ledig.tiltak_aar.2014_enhet.personer;avslutta.toaar_kjonn.alle_avslutning.status.4.annet_aar.2014_enhet.personer;avslutta.toaar_kjonn.alle_avslutning.status.4.arbutd_aar.2014_enhet.prosent;avslutta.toaar_kjonn.alle_avslutning.status.4.ledig.tiltak_aar.2014_enhet.prosent;avslutta.toaar_kjonn.alle_avslutning.status.4.annet_aar.2014_enhet.prosent;avslutta.toaar_kjonn.1_avslutning.status.4.alle_aar.2014_enhet.personer;avslutta.toaar_kjonn.1_avslutning.status.4.alle_aar.2014_enhet.prosent;avslutta.toaar_kjonn.1_avslutning.status.4.arbutd_aar.2014_enhet.personer;avslutta.toaar_kjonn.1_avslutning.status.4.ledig.tiltak_aar.2014_enhet.personer;avslutta.toaar_kjonn.1_avslutning.status.4.annet_aar.2014_enhet.personer;avslutta.toaar_kjonn.1_avslutning.status.4.arbutd_aar.2014_enhet.prosent;avslutta.toaar_kjonn.1_avslutning.status.4.ledig.tiltak_aar.2014_enhet.prosent;avslutta.toaar_kjonn.1_avslutning.status.4.annet_aar.2014_enhet.prosent;avslutta.toaar_kjonn.0_avslutning.status.4.alle_aar.2014_enhet.personer;avslutta.toaar_kjonn.0_avslutning.status.4.alle_aar.2014_enhet.prosent;avslutta.toaar_kjonn.0_avslutning.status.4.arbutd_aar.2014_enhet.personer;avslutta.toaar_kjonn.0_avslutning.status.4.ledig.tiltak_aar.2014_enhet.personer;avslutta.toaar_kjonn.0_avslutning.status.4.annet_aar.2014_enhet.personer;avslutta.toaar_kjonn.0_avslutning.status.4.arbutd_aar.2014_enhet.prosent;avslutta.toaar_kjonn.0_avslutning.status.4.ledig.tiltak_aar.2014_enhet.prosent;avslutta.toaar_kjonn.0_avslutning.status.4.annet_aar.2014_enhet.prosent;avslutta.treaar_kjonn.alle_avslutning.status.4.alle_aar.2014_enhet.personer;avslutta.treaar_kjonn.alle_avslutning.status.4.alle_aar.2014_enhet.prosent;avslutta.treaar_kjonn.alle_avslutning.status.4.arbutd_aar.2014_enhet.personer;avslutta.treaar_kjonn.alle_avslutning.status.4.ledig.tiltak_aar.2014_enhet.personer;avslutta.treaar_kjonn.alle_avslutning.status.4.annet_aar.2014_enhet.personer;avslutta.treaar_kjonn.alle_avslutning.status.4.arbutd_aar.2014_enhet.prosent;avslutta.treaar_kjonn.alle_avslutning.status.4.ledig.tiltak_aar.2014_enhet.prosent;avslutta.treaar_kjonn.alle_avslutning.status.4.annet_aar.2014_enhet.prosent;avslutta.treaar_kjonn.1_avslutning.status.4.alle_aar.2014_enhet.personer;avslutta.treaar_kjonn.1_avslutning.status.4.alle_aar.2014_enhet.prosent;avslutta.treaar_kjonn.1_avslutning.status.4.arbutd_aar.2014_enhet.personer;avslutta.treaar_kjonn.1_avslutning.status.4.ledig.tiltak_aar.2014_enhet.personer;avslutta.treaar_kjonn.1_avslutning.status.4.annet_aar.2014_enhet.personer;avslutta.treaar_kjonn.1_avslutning.status.4.arbutd_aar.2014_enhet.prosent;avslutta.treaar_kjonn.1_avslutning.status.4.ledig.tiltak_aar.2014_enhet.prosent;avslutta.treaar_kjonn.1_avslutning.status.4.annet_aar.2014_enhet.prosent;avslutta.treaar_kjonn.0_avslutning.status.4.alle_aar.2014_enhet.personer;avslutta.treaar_kjonn.0_avslutning.status.4.alle_aar.2014_enhet.prosent;avslutta.treaar_kjonn.0_avslutning.status.4.arbutd_aar.2014_enhet.personer;avslutta.treaar_kjonn.0_avslutning.status.4.ledig.tiltak_aar.2014_enhet.personer;avslutta.treaar_kjonn.0_avslutning.status.4.annet_aar.2014_enhet.personer;avslutta.treaar_kjonn.0_avslutning.status.4.arbutd_aar.2014_enhet.prosent;avslutta.treaar_kjonn.0_avslutning.status.4.ledig.tiltak_aar.2014_enhet.prosent;avslutta.treaar_kjonn.0_avslutning.status.4.annet_aar.2014_enhet.prosent;avslutta.fireaar_kjonn.alle_avslutning.status.4.alle_aar.2014_enhet.personer;avslutta.fireaar_kjonn.alle_avslutning.status.4.alle_aar.2014_enhet.prosent;avslutta.fireaar_kjonn.alle_avslutning.status.4.arbutd_aar.2014_enhet.personer;avslutta.fireaar_kjonn.alle_avslutning.status.4.ledig.tiltak_aar.2014_enhet.personer;avslutta.fireaar_kjonn.alle_avslutning.status.4.annet_aar.2014_enhet.personer;avslutta.fireaar_kjonn.alle_avslutning.status.4.arbutd_aar.2014_enhet.prosent;avslutta.fireaar_kjonn.alle_avslutning.status.4.ledig.tiltak_aar.2014_enhet.prosent;avslutta.fireaar_kjonn.alle_avslutning.status.4.annet_aar.2014_enhet.prosent;avslutta.fireaar_kjonn.1_avslutning.status.4.alle_aar.2014_enhet.personer;avslutta.fireaar_kjonn.1_avslutning.status.4.alle_aar.2014_enhet.prosent;avslutta.fireaar_kjonn.1_avslutning.status.4.arbutd_aar.2014_enhet.personer;avslutta.fireaar_kjonn.1_avslutning.status.4.ledig.tiltak_aar.2014_enhet.personer;avslutta.fireaar_kjonn.1_avslutning.status.4.annet_aar.2014_enhet.personer;avslutta.fireaar_kjonn.1_avslutning.status.4.arbutd_aar.2014_enhet.prosent;avslutta.fireaar_kjonn.1_avslutning.status.4.ledig.tiltak_aar.2014_enhet.prosent;avslutta.fireaar_kjonn.1_avslutning.status.4.annet_aar.2014_enhet.prosent;avslutta.fireaar_kjonn.0_avslutning.status.4.alle_aar.2014_enhet.personer;avslutta.fireaar_kjonn.0_avslutning.status.4.alle_aar.2014_enhet.prosent;avslutta.fireaar_kjonn.0_avslutning.status.4.arbutd_aar.2014_enhet.personer;avslutta.fireaar_kjonn.0_avslutning.status.4.ledig.tiltak_aar.2014_enhet.personer;avslutta.fireaar_kjonn.0_avslutning.status.4.annet_aar.2014_enhet.personer;avslutta.fireaar_kjonn.0_avslutning.status.4.arbutd_aar.2014_enhet.prosent;avslutta.fireaar_kjonn.0_avslutning.status.4.ledig.tiltak_aar.2014_enhet.prosent;avslutta.fireaar_kjonn.0_avslutning.status.4.annet_aar.2014_enhet.prosent;avslutta.femaar_kjonn.alle_avslutning.status.4.alle_aar.2014_enhet.personer;avslutta.femaar_kjonn.alle_avslutning.status.4.alle_aar.2014_enhet.prosent;avslutta.femaar_kjonn.alle_avslutning.status.4.arbutd_aar.2014_enhet.personer;avslutta.femaar_kjonn.alle_avslutning.status.4.ledig.tiltak_aar.2014_enhet.personer;avslutta.femaar_kjonn.alle_avslutning.status.4.annet_aar.2014_enhet.personer;avslutta.femaar_kjonn.alle_avslutning.status.4.arbutd_aar.2014_enhet.prosent;avslutta.femaar_kjonn.alle_avslutning.status.4.ledig.tiltak_aar.2014_enhet.prosent;avslutta.femaar_kjonn.alle_avslutning.status.4.annet_aar.2014_enhet.prosent;avslutta.femaar_kjonn.1_avslutning.status.4.alle_aar.2014_enhet.personer;avslutta.femaar_kjonn.1_avslutning.status.4.alle_aar.2014_enhet.prosent;avslutta.femaar_kjonn.1_avslutning.status.4.arbutd_aar.2014_enhet.personer;avslutta.femaar_kjonn.1_avslutning.status.4.ledig.tiltak_aar.2014_enhet.personer;avslutta.femaar_kjonn.1_avslutning.status.4.annet_aar.2014_enhet.personer;avslutta.femaar_kjonn.1_avslutning.status.4.arbutd_aar.2014_enhet.prosent;avslutta.femaar_kjonn.1_avslutning.status.4.ledig.tiltak_aar.2014_enhet.prosent;avslutta.femaar_kjonn.1_avslutning.status.4.annet_aar.2014_enhet.prosent;avslutta.femaar_kjonn.0_avslutning.status.4.alle_aar.2014_enhet.personer;avslutta.femaar_kjonn.0_avslutning.status.4.alle_aar.2014_enhet.prosent;avslutta.femaar_kjonn.0_avslutning.status.4.arbutd_aar.2014_enhet.personer;avslutta.femaar_kjonn.0_avslutning.status.4.ledig.tiltak_aar.2014_enhet.personer;avslutta.femaar_kjonn.0_avslutning.status.4.annet_aar.2014_enhet.personer;avslutta.femaar_kjonn.0_avslutning.status.4.arbutd_aar.2014_enhet.prosent;avslutta.femaar_kjonn.0_avslutning.status.4.ledig.tiltak_aar.2014_enhet.prosent;avslutta.femaar_kjonn.0_avslutning.status.4.annet_aar.2014_enhet.prosent
00;3842;100;2388;421;1033;62;11;27;2056;100;1487;225;344;72;11;17;1786;100;901;196;689;50;11;39;3802;100;2446;393;963;64;10;25;2080;100;1527;195;358;73;9;17;1722;100;919;198;605;53;11;35;3412;100;2182;364;866;64;11;25;1833;100;1315;200;318;72;11;17;1579;100;867;164;548;55;10;35;2786;100;1733;308;745;62;11;27;1445;100;1002;163;280;69;11;19;1341;100;731;145;465;55;11;35;2311;100;1418;246;647;61;11;28;1153;100;763;133;257;66;12;22;1158;100;655;113;390;57;10;34
01;136;100;59;39;38;43;29;28;66;100;41;15;10;62;23;15;70;100;18;24;28;26;34;40;129;100;68;14;47;53;11;36;64;100;39;5;20;61;8;31;65;100;29;9;27;45;14;42;131;100;72;19;40;55;15;31;69;100;47;9;13;68;13;19;62;100;25;10;27;40;16;44;100;100;42;21;37;42;21;37;53;100;28;10;15;53;19;28;47;100;14;11;22;30;23;47;89;100;48;9;32;54;10;36;49;100;28;:;:;57;:;:;40;100;20;:;:;50;:;:
02;321;100;208;13;100;65;4;31;167;100;133;4;30;80;2;18;154;100;75;9;70;49;6;45;260;100;164;22;74;63;8;28;141;100;104;12;25;74;9;18;119;100;60;10;49;50;8;41;256;100;174;16;66;68;6;26;127;100;98;7;22;77;6;17;129;100;76;9;44;59;7;34;180;100;111;16;53;62;9;29;87;100;63;7;17;72;8;20;93;100;48;9;36;52;10;39;180;100;121;19;40;67;11;22;79;100;60;6;13;76;8;16;101;100;61;13;27;60;13;27
03;251;100;140;11;100;56;4;40;112;100;80;:;:;71;:;:;139;100;60;:;:;43;:;:;269;100;160;22;87;59;8;32;115;100;86;6;23;75;5;20;154;100;74;16;64;48;10;42;260;100;157;26;77;60;10;30;114;100;86;10;18;75;9;16;146;100;71;16;59;49;11;40;230;100;137;30;63;60;13;27;81;100;56;7;18;69;9;22;149;100;81;23;45;54;15;30;218;100;124;24;70;57;11;32;87;100;58;9;20;67;10;23;131;100;66;15;50;50;11;38
04;152;100;76;25;51;50;16;34;62;100;38;12;12;61;19;19;90;100;38;13;39;42;14;43;132;100;87;11;34;66;8;26;75;100;56;7;12;75;9;16;57;100;31;4;22;54;7;39;135;100;82;15;38;61;11;28;78;100;47;9;22;60;12;28;57;100;35;6;16;61;11;28;66;100;39;4;23;59;6;35;34;100;22;:;:;65;:;:;32;100;17;:;:;53;:;:;57;100;26;8;23;46;14;40;34;100;19;:;:;56;:;:;23;100;7;:;:;30;:;:
05;192;100;121;37;34;63;19;18;98;100;71;21;6;72;21;6;94;100;50;16;28;53;17;30;216;100;138;29;49;64;13;23;116;100;83;15;18;72;13;16;100;100;55;14;31;55;14;31;169;100;105;18;46;62;11;27;91;100;59;11;21;65;12;23;78;100;46;7;25;59;9;32;186;100;129;19;38;69;10;20;95;100;76;10;9;80;11;9;91;100;53;9;29;58;10;32;130;100;90;11;29;69;8;22;71;100;53;6;12;75;8;17;59;100;37;5;17;63;8;29
06;194;100;103;26;65;53;13;34;95;100;62;14;19;65;15;20;99;100;41;12;46;41;12;46;192;100;130;20;42;68;10;22;115;100;83;9;23;72;8;20;77;100;47;11;19;61;14;25;192;100;125;21;46;65;11;24;90;100;67;9;14;74;10;16;102;100;58;12;32;57;12;31;153;100;104;12;37;68;8;24;83;100;67;5;11;81;6;13;70;100;37;7;26;53;10;37;150;100;101;9;40;67;6;27;79;100;53;:;:;67;:;:;71;100;48;:;:;68;:;:
07;113;100;72;13;28;64;12;25;54;100;44;5;5;81;9;9;59;100;28;8;23;47;14;39;102;100;58;15;29;57;15;28;58;100;43;9;6;74;16;10;44;100;15;6;23;34;14;52;98;100;49;10;39;50;10;40;44;100;28;5;11;64;11;25;54;100;21;5;28;39;9;52;89;100;50;12;27;56;13;30;45;100;31;6;8;69;13;18;44;100;19;6;19;43;14;43;74;100;43;8;23;58;11;31;32;100;21;3;8;66;9;25;42;100;22;5;15;52;12;36
08;245;100;130;36;79;53;15;32;132;100;82;16;34;62;12;26;113;100;48;20;45;42;18;40;189;100;110;25;54;58;13;29;106;100;72;14;20;68;13;19;83;100;38;11;34;46;13;41;208;100;125;23;60;60;11;29;113;100;78;13;22;69;12;19;95;100;47;10;38;49;11;40;120;100;74;14;32;62;12;27;53;100;37;8;8;70;15;15;67;100;37;6;24;55;9;36;99;100;59;9;31;60;9;31;53;100;28;9;16;53;17;30;46;100;31;0;15;67;0;33
09;110;100;67;9;34;61;8;31;55;100;38;4;13;69;7;24;55;100;29;5;21;53;9;38;114;100;69;19;26;61;17;23;69;100;48;8;13;70;12;19;45;100;21;11;13;47;24;29;91;100;67;9;15;74;10;16;51;100;41;:;:;80;:;:;40;100;26;:;:;65;:;:;63;100;39;5;19;62;8;30;29;100;20;:;:;69;:;:;34;100;19;:;:;56;:;:;67;100;38;10;19;57;15;28;29;100;17;5;7;59;17;24;38;100;21;5;12;55;13;32
10;235;100;159;18;58;68;8;25;132;100;98;10;24;74;8;18;103;100;61;8;34;59;8;33;227;100;150;26;51;66;11;22;126;100;92;15;19;73;12;15;101;100;58;11;32;57;11;32;183;100;116;24;43;63;13;23;98;100;62;12;24;63;12;24;85;100;54;12;19;64;14;22;146;100;92;21;33;63;14;23;62;100;39;11;12;63;18;19;84;100;53;10;21;63;12;25;112;100;69;13;30;62;12;27;63;100;34;9;20;54;14;32;49;100;35;4;10;71;8;20
11;297;100;213;24;60;72;8;20;158;100;126;16;16;80;10;10;139;100;87;8;44;63;6;32;309;100;221;31;57;72;10;18;165;100;125;18;22;76;11;13;144;100;96;13;35;67;9;24;201;100;143;17;41;71;8;20;110;100;87;11;12;79;10;11;91;100;56;6;29;62;7;32;227;100;147;15;65;65;7;29;125;100;91;7;27;73;6;22;102;100;56;8;38;55;8;37;203;100;138;13;52;68;6;26;93;100;68;7;18;73;8;19;110;100;70;6;34;64;5;31
12;318;100;199;28;91;63;9;29;179;100;125;20;34;70;11;19;139;100;74;8;57;53;6;41;305;100;186;33;86;61;11;28;160;100;115;17;28;72;11;18;145;100;71;16;58;49;11;40;329;100;210;34;85;64;10;26;175;100;127;23;25;73;13;14;154;100;83;11;60;54;7;39;332;100;185;35;112;56;11;34;194;100;112;26;56;58;13;29;138;100;73;9;56;53;7;41;202;100;111;17;74;55;8;37;102;100;63;10;29;62;10;28;100;100;48;7;45;48;7;45
14;98;100;61;14;23;62;14;23;52;100;37;6;9;71;12;17;46;100;24;8;14;52;17;30;98;100;65;6;27;66;6;28;52;100;37;:;:;71;:;:;46;100;28;:;:;61;:;:;90;100;65;6;19;72;7;21;55;100;44;:;:;80;:;:;35;100;21;:;:;60;:;:;69;100;44;11;14;64;16;20;27;100;21;:;:;78;:;:;42;100;23;:;:;55;:;:;52;100;34;3;15;65;6;29;30;100;25;0;5;83;0;17;22;100;9;3;10;41;14;45
15;179;100;122;15;42;68;8;23;93;100;70;8;15;75;9;16;86;100;52;7;27;60;8;31;187;100;126;17;44;67;9;24;109;100;86;7;16;79;6;15;78;100;40;10;28;51;13;36;149;100;97;14;38;65;9;26;81;100;56;8;17;69;10;21;68;100;41;6;21;60;9;31;115;100;83;10;22;72;9;19;67;100;53;6;8;79;9;12;48;100;30;4;14;63;8;29;109;100;71;14;24;65;13;22;59;100;42;10;7;71;17;12;50;100;29;4;17;58;8;34
16;235;100;137;25;73;58;11;31;136;100;91;18;27;67;13;20;99;100;46;7;46;46;7;46;217;100;132;16;69;61;7;32;120;100;82;8;30;68;7;25;97;100;50;8;39;52;8;40;215;100;132;17;66;61;8;31;120;100;82;11;27;68;9;23;95;100;50;6;39;53;6;41;170;100;103;24;43;61;14;25;90;100;60;13;17;67;14;19;80;100;43;11;26;54;14;33;124;100;77;18;29;62;15;23;58;100;45;7;6;78;12;10;66;100;32;11;23;48;17;35
17;174;100;125;18;31;72;10;18;105;100;81;8;16;77;8;15;69;100;44;10;15;64;14;22;203;100;147;15;41;72;7;20;122;100;100;7;15;82;6;12;81;100;47;8;26;58;10;32;147;100;99;15;33;67;10;22;87;100;65;9;13;75;10;15;60;100;34;6;20;57;10;33;98;100;74;9;15;76;9;15;62;100;46;9;7;74;15;11;36;100;28;0;8;78;0;22;75;100;52;8;15;69;11;20;40;100;29;3;8;73;8;20;35;100;23;5;7;66;14;20
18;331;100;214;51;66;65;15;20;206;100;150;32;24;73;16;12;125;100;64;19;42;51;15;34;343;100;226;40;77;66;12;22;189;100;139;20;30;74;11;16;154;100;87;20;47;56;13;31;314;100;198;50;66;63;16;21;185;100;135;27;23;73;15;12;129;100;63;23;43;49;18;33;240;100;146;29;65;61;12;27;143;100;97;17;29;68;12;20;97;100;49;12;36;51;12;37;212;100;114;33;65;54;16;31;108;100;62;18;28;57;17;26;104;100;52;15;37;50;14;36
19;198;100;138;15;45;70;8;23;117;100;91;10;16;78;9;14;81;100;47;5;29;58;6;36;231;100;162;22;47;70;10;20;144;100;112;12;20;78;8;14;87;100;50;10;27;57;11;31;151;100;106;13;32;70;9;21;93;100;70;10;13;75;11;14;58;100;36;3;19;62;5;33;131;100;89;12;30;68;9;23;75;100;55;9;11;73;12;15;56;100;34;3;19;61;5;34;96;100;65;8;23;68;8;24;53;100;33;:;:;62;:;:;43;100;32;:;:;74;:;:
20;63;100;44;4;15;70;6;24;37;100;29;:;:;78;:;:;26;100;15;:;:;58;:;:;79;100;47;10;22;59;13;28;34;100;25;:;:;74;:;:;45;100;22;:;:;49;:;:;93;100;60;17;16;65;18;17;52;100;36;10;6;69;19;12;41;100;24;7;10;59;17;24;71;100;45;9;17;63;13;24;40;100;28;5;7;70;13;18;31;100;17;4;10;55;13;32;62;100;37;12;13;60;19;21;34;100;25;6;3;74;18;9;28;100;12;6;10;43;21;36
