;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf
;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0
;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
0101 Halden;27582;1791;25791;401;25390;100;6,493365238;93,50663476;1,453846712;92,05278805;13675;847;12828;211;12617;49,57943586;3,070843304;46,50859256;0,764991661;45,7436009;13907;944;12963;190;12773;50,42056414;3,422521935;46,9980422;0,68885505;46,30918715
0102 Sarpsborg (-1991);0;0;0;0;0;.;.;.;.;.;0;0;0;0;0;.;.;.;.;.;0;0;0;0;0;.;.;.;.;.
0103 Fredrikstad (-1993);0;0;0;0;0;.;.;.;.;.;0;0;0;0;0;.;.;.;.;.;0;0;0;0;0;.;.;.;.;.
0104 Moss;28040;2441;25599;722;24877;100;8,705420827;91,29457917;2,57489301;88,71968616;13669;1211;12458;387;12071;48,74821683;4,318830243;44,42938659;1,380171184;43,04921541;14371;1230;13141;335;12806;51,25178317;4,386590585;46,86519258;1,194721826;45,67047076
0105 Sarpsborg;49753;3331;46422;640;45782;100;6,695073664;93,30492634;1,286354592;92,01857174;24476;1650;22826;331;22495;49,19502342;3,316382932;45,87864048;0,665286515;45,21335397;25277;1681;23596;309;23287;50,80497658;3,378690732;47,42628585;0,621068076;46,80521778
0106 Fredrikstad;70418;4689;65729;834;64895;100;6,658808827;93,34119117;1,184356273;92,1568349;34367;2283;32084;437;31647;48,804283;3,242068789;45,56221421;0,620579965;44,94163424;36051;2406;33645;397;33248;51,195717;3,416740038;47,77897697;0,563776307;47,21520066
0111 Hvaler;3773;104;3669;11;3658;100;2,756427246;97,24357275;0,29154519;96,95202756;1895;49;1846;6;1840;50,22528492;1,298701299;48,92658362;0,159024649;48,76755897;1878;55;1823;5;1818;49,77471508;1,457725948;48,31698913;0,132520541;48,18446859
0113 Borge (-1993);0;0;0;0;0;.;.;.;.;.;0;0;0;0;0;.;.;.;.;.;0;0;0;0;0;.;.;.;.;.
