;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf
;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0
;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
01 Halden;26417;1282;25135;201;24934;100;4,85293561;95,14706439;0,76087368;94,38619071;12941;597;12344;99;12245;48,98739448;2,259908392;46,72748609;0,374758678;46,35272741;13476;685;12791;102;12689;51,01260552;2,593027217;48,4195783;0,386115002;48,0334633
02 Indre ùstfold;51552;1902;49650;348;49302;100;3,689478585;96,31052142;0,675046555;95,63547486;25579;945;24634;189;24445;49,61786158;1,833100559;47,78476102;0,366620112;47,41814091;25973;957;25016;159;24857;50,38213842;1,856378026;48,5257604;0,308426443;48,21733395
03 Mosseregionen;48718;2617;46101;706;45395;100;5,371731188;94,62826881;1,449156369;93,17911244;24000;1300;22700;386;22314;49,26310604;2,668418244;46,5946878;0,792314955;45,80237284;24718;1317;23401;320;23081;50,73689396;2,703312944;48,03358102;0,656841414;47,3767396
04 Nedre Glomma;116898;4441;112457;642;111815;100;3,799038478;96,20096152;0,549196736;95,65176479;57097;2133;54964;351;54613;48,84343616;1,824667659;47,0187685;0,300261767;46,71850673;59801;2308;57493;291;57202;51,15656384;1,974370819;49,18219302;0,248934969;48,93325805
05 Akershus Vest;147182;10639;136543;1525;135018;100;7,228465437;92,77153456;1,036132136;91,73540243;71753;4746;67007;763;66244;48,75120599;3,224579093;45,5266269;0,518405783;45,00822111;75429;5893;69536;762;68774;51,24879401;4,003886345;47,24490767;0,517726352;46,72718131
06 Follo;107617;5690;101927;793;101134;100;5,28726874;94,71273126;0,736872427;93,97585883;53452;2644;50808;431;50377;49,66873264;2,456860905;47,21187173;0,400494346;46,81137738;54165;3046;51119;362;50757;50,33126736;2,830407835;47,50085953;0,336378082;47,16448145
07 Nedre Romerike;131353;6295;125058;1335;123723;100;4,79242956;95,20757044;1,016345268;94,19122517;65456;2991;62465;678;61787;49,83213174;2,277070185;47,55506155;0,516166361;47,03889519;65897;3304;62593;657;61936;50,16786826;2,515359375;47,65250889;0,500178907;47,15232998
08 ùvre Romerike;67338;1607;65731;164;65567;100;2,386468265;97,61353174;0,243547477;97,36998426;33720;737;32983;76;32907;50,07573733;1,0944786;48,98125872;0,112863465;48,86839526;33618;870;32748;88;32660;49,92426267;1,291989664;48,63227301;0,130684012;48,501589
