fylke_nr;spraaknivaa.alle_provetype.muntlig_enhet.personer_aar.2015;spraaknivaa.alle_provetype.lytting_enhet.personer_aar.2015;spraaknivaa.alle_provetype.lese_enhet.personer_aar.2015;spraaknivaa.alle_provetype.skriftlig_enhet.personer_aar.2015;spraaknivaa.b1_provetype.muntlig_enhet.personer_aar.2015;spraaknivaa.b1_provetype.lytting_enhet.personer_aar.2015;spraaknivaa.b1_provetype.lese_enhet.personer_aar.2015;spraaknivaa.b1_provetype.skriftlig_enhet.personer_aar.2015;spraaknivaa.a2_provetype.muntlig_enhet.personer_aar.2015;spraaknivaa.a2_provetype.lytting_enhet.personer_aar.2015;spraaknivaa.a2_provetype.lese_enhet.personer_aar.2015;spraaknivaa.a2_provetype.skriftlig_enhet.personer_aar.2015;spraaknivaa.a1_provetype.muntlig_enhet.personer_aar.2015;spraaknivaa.a1_provetype.lytting_enhet.personer_aar.2015;spraaknivaa.a1_provetype.lese_enhet.personer_aar.2015;spraaknivaa.a1_provetype.skriftlig_enhet.personer_aar.2015;spraaknivaa.under.a1_provetype.muntlig_enhet.personer_aar.2015;spraaknivaa.under.a1_provetype.lytting_enhet.personer_aar.2015;spraaknivaa.under.a1_provetype.lese_enhet.personer_aar.2015;spraaknivaa.under.a1_provetype.skriftlig_enhet.personer_aar.2015;spraaknivaa.ikke.vurdert_provetype.muntlig_enhet.personer_aar.2015;spraaknivaa.ikke.vurdert_provetype.lytting_enhet.personer_aar.2015;spraaknivaa.ikke.vurdert_provetype.lese_enhet.personer_aar.2015;spraaknivaa.ikke.vurdert_provetype.skriftlig_enhet.personer_aar.2015;spraaknivaa.b1_provetype.muntlig_enhet.prosent_aar.2015;spraaknivaa.b1_provetype.lytting_enhet.prosent_aar.2015;spraaknivaa.b1_provetype.lese_enhet.prosent_aar.2015;spraaknivaa.b1_provetype.skriftlig_enhet.prosent_aar.2015;spraaknivaa.a2_provetype.muntlig_enhet.prosent_aar.2015;spraaknivaa.a2_provetype.lytting_enhet.prosent_aar.2015;spraaknivaa.a2_provetype.lese_enhet.prosent_aar.2015;spraaknivaa.a2_provetype.skriftlig_enhet.prosent_aar.2015;spraaknivaa.a1_provetype.muntlig_enhet.prosent_aar.2015;spraaknivaa.a1_provetype.lytting_enhet.prosent_aar.2015;spraaknivaa.a1_provetype.lese_enhet.prosent_aar.2015;spraaknivaa.a1_provetype.skriftlig_enhet.prosent_aar.2015;spraaknivaa.under.a1_provetype.muntlig_enhet.prosent_aar.2015;spraaknivaa.under.a1_provetype.lytting_enhet.prosent_aar.2015;spraaknivaa.under.a1_provetype.lese_enhet.prosent_aar.2015;spraaknivaa.under.a1_provetype.skriftlig_enhet.prosent_aar.2015;spraaknivaa.ikke.vurdert_provetype.muntlig_enhet.prosent_aar.2015;spraaknivaa.ikke.vurdert_provetype.lytting_enhet.prosent_aar.2015;spraaknivaa.ikke.vurdert_provetype.lese_enhet.prosent_aar.2015;spraaknivaa.ikke.vurdert_provetype.skriftlig_enhet.prosent_aar.2015
00;7970;8097;8034;8946;3188;4777;4820;2326;3985;2510;1848;4473;717;810;1205;1879;0;81;161;179;0;:;:;89;40;59;60;26;50;31;23;50;9;10;15;21;0;1;2;2;0;.;.;1
01;234;232;234;259;115;148;150;80;110;70;54;119;9;14;28;57;0;0;2;0;0;:;:;3;49;64;64;31;47;30;23;46;4;6;12;22;0;0;1;0;0;.;.;1
02;1062;1148;1129;1281;478;758;779;397;520;298;226;679;53;80;113;179;0;23;11;13;0;:;:;13;45;66;69;31;49;26;20;53;5;7;10;14;0;2;1;1;0;.;.;1
03;1559;1549;1516;1812;686;1038;1061;598;780;418;303;960;78;93;136;236;0;0;15;18;16;:;:;18;44;67;70;33;50;27;20;53;5;6;9;13;0;0;1;1;1;.;.;1
04;193;193;198;216;79;104;97;48;89;56;46;95;23;31;48;63;0;2;8;6;0;:;:;4;41;54;49;22;46;29;23;44;12;16;24;29;0;1;4;3;0;.;.;2
05;266;259;254;299;88;127;122;57;141;98;71;150;35;34;53;78;0;0;8;12;3;:;:;3;33;49;48;19;53;38;28;50;13;13;21;26;0;0;3;4;1;.;.;1
06;406;400;400;448;203;244;240;130;162;112;96;206;32;36;56;94;8;4;8;13;0;:;:;4;50;61;60;29;40;28;24;46;8;9;14;21;2;1;2;3;0;.;.;1
07;188;201;198;219;96;125;123;70;73;50;42;92;19;24;26;46;0;2;8;9;0;:;:;2;51;62;62;32;39;25;21;42;10;12;13;21;0;1;4;4;0;.;.;1
08;283;293;288;314;76;147;115;44;173;108;98;157;34;38;66;97;0;0;9;9;0;:;:;9;27;50;40;14;61;37;34;50;12;13;23;31;0;0;3;3;0;.;.;3
09;167;159;162;179;47;86;84;36;99;52;42;98;22;17;32;38;0;2;2;7;2;:;:;2;28;54;52;20;59;33;26;55;13;11;20;21;0;1;1;4;1;.;.;1
10;263;270;270;276;95;143;140;61;155;95;73;132;13;32;51;72;0;0;5;8;0;:;:;3;36;53;52;22;59;35;27;48;5;12;19;26;0;0;2;3;0;.;.;1
11;812;800;810;864;341;504;527;259;374;232;162;423;89;64;105;164;0;0;8;9;0;:;:;0;42;63;65;30;46;29;20;49;11;8;13;19;0;0;1;1;0;.;.;0
12;697;684;675;749;237;410;392;195;376;205;176;367;84;68;101;172;0;0;7;7;0;:;:;0;34;60;58;26;54;30;26;49;12;10;15;23;0;0;1;1;0;.;.;0
14;149;144;145;153;79;66;75;24;54;63;41;73;15;14;29;49;0;1;1;5;1;:;:;2;53;46;52;16;36;44;28;48;10;10;20;32;0;1;1;3;1;.;.;1
15;337;339;335;367;131;186;181;77;185;119;97;187;20;31;54;95;0;0;3;4;0;:;:;4;39;55;54;21;55;35;29;51;6;9;16;26;0;0;1;1;0;.;.;1
16;352;373;372;389;95;190;201;74;204;138;100;191;53;45;63;117;0;0;4;8;4;:;:;0;27;51;54;19;58;37;27;49;15;12;17;30;0;0;1;2;1;.;.;0
17;203;206;204;215;83;95;100;45;95;72;47;90;24;37;51;71;0;0;4;6;0;:;:;2;41;46;49;21;47;35;23;42;12;18;25;33;0;0;2;3;0;.;.;1
18;321;362;361;380;112;177;184;76;154;119;76;160;51;62;79;118;3;0;22;23;0;:;:;4;35;49;51;20;48;33;21;42;16;17;22;31;1;0;6;6;0;.;.;1
19;316;315;319;334;79;154;153;43;183;120;89;164;51;38;64;114;0;3;16;10;3;:;:;3;25;49;48;13;58;38;28;49;16;12;20;34;0;1;5;3;1;.;.;1
20;162;170;164;192;60;88;79;42;87;58;46;92;15;24;33;52;0;0;8;4;0;:;:;2;37;52;48;22;54;34;28;48;9;14;20;27;0;0;5;2;0;.;.;1
