fylke_nr;spraaknivaa.alle_provetype.alle_enhet.personer;spraaknivaa.alle_provetype.muntlig_enhet.personer;spraaknivaa.alle_provetype.lytting_enhet.personer;spraaknivaa.alle_provetype.lese_enhet.personer;spraaknivaa.alle_provetype.skriftlig_enhet.personer;spraaknivaa.alle_provetype.alle_enhet.prosent;spraaknivaa.alle_provetype.muntlig_enhet.prosent;spraaknivaa.alle_provetype.lytting_enhet.prosent;spraaknivaa.alle_provetype.lese_enhet.prosent;spraaknivaa.alle_provetype.skriftlig_enhet.prosent;spraaknivaa.b1_provetype.alle_enhet.prosent;spraaknivaa.b1_provetype.muntlig_enhet.prosent;spraaknivaa.b1_provetype.lytting_enhet.prosent;spraaknivaa.b1_provetype.lese_enhet.prosent;spraaknivaa.b1_provetype.skriftlig_enhet.prosent;spraaknivaa.b1_provetype.alle_enhet.personer;spraaknivaa.b1_provetype.muntlig_enhet.personer;spraaknivaa.b1_provetype.lytting_enhet.personer;spraaknivaa.b1_provetype.lese_enhet.personer;spraaknivaa.b1_provetype.skriftlig_enhet.personer;spraaknivaa.a2_provetype.alle_enhet.prosent;spraaknivaa.a2_provetype.muntlig_enhet.prosent;spraaknivaa.a2_provetype.lytting_enhet.prosent;spraaknivaa.a2_provetype.lese_enhet.prosent;spraaknivaa.a2_provetype.skriftlig_enhet.prosent;spraaknivaa.a2_provetype.alle_enhet.personer;spraaknivaa.a2_provetype.muntlig_enhet.personer;spraaknivaa.a2_provetype.lytting_enhet.personer;spraaknivaa.a2_provetype.lese_enhet.personer;spraaknivaa.a2_provetype.skriftlig_enhet.personer;spraaknivaa.a1_provetype.alle_enhet.prosent;spraaknivaa.a1_provetype.muntlig_enhet.prosent;spraaknivaa.a1_provetype.lytting_enhet.prosent;spraaknivaa.a1_provetype.lese_enhet.prosent;spraaknivaa.a1_provetype.skriftlig_enhet.prosent;spraaknivaa.a1_provetype.alle_enhet.personer;spraaknivaa.a1_provetype.muntlig_enhet.personer;spraaknivaa.a1_provetype.lytting_enhet.personer;spraaknivaa.a1_provetype.lese_enhet.personer;spraaknivaa.a1_provetype.skriftlig_enhet.personer;spraaknivaa.under.a1_provetype.alle_enhet.prosent;spraaknivaa.under.a1_provetype.muntlig_enhet.prosent;spraaknivaa.under.a1_provetype.lytting_enhet.prosent;spraaknivaa.under.a1_provetype.lese_enhet.prosent;spraaknivaa.under.a1_provetype.skriftlig_enhet.prosent;spraaknivaa.under.a1_provetype.alle_enhet.personer;spraaknivaa.under.a1_provetype.muntlig_enhet.personer;spraaknivaa.under.a1_provetype.lytting_enhet.personer;spraaknivaa.under.a1_provetype.lese_enhet.personer;spraaknivaa.under.a1_provetype.skriftlig_enhet.personer;spraaknivaa.ikke.vurdert_provetype.alle_enhet.prosent;spraaknivaa.ikke.vurdert_provetype.muntlig_enhet.prosent;spraaknivaa.ikke.vurdert_provetype.lytting_enhet.prosent;spraaknivaa.ikke.vurdert_provetype.lese_enhet.prosent;spraaknivaa.ikke.vurdert_provetype.skriftlig_enhet.prosent;spraaknivaa.ikke.vurdert_provetype.alle_enhet.personer;spraaknivaa.ikke.vurdert_provetype.muntlig_enhet.personer;spraaknivaa.ikke.vurdert_provetype.lytting_enhet.personer;spraaknivaa.ikke.vurdert_provetype.lese_enhet.personer;spraaknivaa.ikke.vurdert_provetype.skriftlig_enhet.personer
0;37139;8050;9694;9698;9697;100;100;100;100;100;44;35;56;62;20;16199;2818;5429;6013;1939;41,3;52;36;24;55;15337;4186;3490;2328;5333;13,2;9;8;12;23;4895;725;776;1164;2230;0,8;0;0;2;1;291;0;0;194;97;0,9;3;0;0;1;339;242;0;0;97
1;1262;259;334;335;334;100;100;100;100;100;43;42;55;55;19;540;109;184;184;63;40,7;51;34;28;52;514;132;114;94;174;14,5;5;10;15;26;183;13;33;50;87;1,3;1;1;2;1;16;3;3;7;3;0,6;2;0;0;1;8;5;0;0;3
2;4585;969;1204;1206;1206;100;100;100;100;100;49;44;62;68;23;2269;426;746;820;277;38,7;45;33;22;56;1773;436;397;265;675;10,6;8;5;10;19;488;78;60;121;229;0,3;0;0;1;0;12;0;0;12;0;1,2;3;0;0;2;53;29;0;0;24
3;9275;1882;2464;2465;2464;100;100;100;100;100;49;40;61;69;23;4524;753;1503;1701;567;40,6;51;33;22;59;3769;960;813;542;1454;9,2;6;5;8;17;852;113;123;197;419;0,5;0;0;1;1;50;0;0;25;25;0,9;3;0;0;1;81;56;0;0;25
4;787;158;209;210;210;100;100;100;100;100;36;34;46;52;13;286;54;96;109;27;44,5;53;44;32;51;350;84;92;67;107;16,1;10;11;11;31;127;16;23;23;65;2,2;1;0;5;2;17;2;0;11;4;1,1;2;0;0;3;9;3;0;0;6
5;1474;316;385;386;387;100;100;100;100;100;39;35;49;53;17;571;111;189;205;66;40,6;49;40;27;48;599;155;154;104;186;17,2;13;10;16;29;254;41;39;62;112;2,6;0;1;4;5;38;0;4;15;19;1,2;3;0;0;2;17;9;0;0;8
6;2024;468;518;519;519;100;100;100;100;100;47;35;60;65;28;957;164;311;337;145;40,4;54;34;23;52;818;253;176;119;270;10,5;8;6;10;18;213;37;31;52;93;0,7;0;0;2;1;15;0;0;10;5;0,7;2;0;0;1;14;9;0;0;5
7;786;167;207;208;204;100;100;100;100;100;53;40;70;73;24;413;67;145;152;49;34,9;51;24;14;54;274;85;50;29;110;10,9;7;6;10;20;86;12;12;21;41;1,5;1;0;3;2;12;2;0;6;4;0,3;1;0;0;0;2;2;0;0;0
8;1241;295;315;315;316;100;100;100;100;100;32;22;45;50;12;403;65;142;158;38;45,5;61;44;28;50;565;180;139;88;158;20,1;14;11;21;34;249;41;35;66;107;0,7;0;0;1;2;9;0;0;3;6;1;2;0;0;2;12;6;0;0;6
9;839;186;218;218;217;100;100;100;100;100;40;31;56;57;16;339;58;122;124;35;40,9;57;35;24;50;343;106;76;52;109;17,8;10;10;18;32;149;19;22;39;69;0,7;1;0;1;1;6;2;0;2;2;0,2;1;0;0;0;2;2;0;0;0
10;870;196;225;225;224;100;100;100;100;100;48;44;61;64;23;419;86;137;144;52;36,8;42;29;22;55;320;82;65;50;123;14;13;10;12;21;122;25;23;27;47;0,7;1;0;1;1;6;2;0;2;2;0,2;1;0;0;0;2;2;0;0;0
11;3064;674;796;797;797;100;100;100;100;100;44;36;52;65;23;1358;243;414;518;183;41,6;50;39;23;56;1276;337;310;183;446;12,9;10;9;12;20;394;67;72;96;159;0,5;0;0;1;1;16;0;0;8;8;0,9;3;0;0;1;28;20;0;0;8
