kommune_nr;spraaknivaa.alle_provetype.muntlig_enhet.personer_aar.2015;spraaknivaa.alle_provetype.lytting_enhet.personer_aar.2015;spraaknivaa.alle_provetype.lese_enhet.personer_aar.2015;spraaknivaa.alle_provetype.skriftlig_enhet.personer_aar.2015;spraaknivaa.b1_provetype.muntlig_enhet.personer_aar.2015;spraaknivaa.b1_provetype.lytting_enhet.personer_aar.2015;spraaknivaa.b1_provetype.lese_enhet.personer_aar.2015;spraaknivaa.b1_provetype.skriftlig_enhet.personer_aar.2015;spraaknivaa.a2_provetype.muntlig_enhet.personer_aar.2015;spraaknivaa.a2_provetype.lytting_enhet.personer_aar.2015;spraaknivaa.a2_provetype.lese_enhet.personer_aar.2015;spraaknivaa.a2_provetype.skriftlig_enhet.personer_aar.2015;spraaknivaa.a1_provetype.muntlig_enhet.personer_aar.2015;spraaknivaa.a1_provetype.lytting_enhet.personer_aar.2015;spraaknivaa.a1_provetype.lese_enhet.personer_aar.2015;spraaknivaa.a1_provetype.skriftlig_enhet.personer_aar.2015;spraaknivaa.under.a1_provetype.muntlig_enhet.personer_aar.2015;spraaknivaa.under.a1_provetype.lytting_enhet.personer_aar.2015;spraaknivaa.under.a1_provetype.lese_enhet.personer_aar.2015;spraaknivaa.under.a1_provetype.skriftlig_enhet.personer_aar.2015;spraaknivaa.ikke.vurdert_provetype.muntlig_enhet.personer_aar.2015;spraaknivaa.ikke.vurdert_provetype.lytting_enhet.personer_aar.2015;spraaknivaa.ikke.vurdert_provetype.lese_enhet.personer_aar.2015;spraaknivaa.ikke.vurdert_provetype.skriftlig_enhet.personer_aar.2015;spraaknivaa.b1_provetype.muntlig_enhet.prosent_aar.2015;spraaknivaa.b1_provetype.lytting_enhet.prosent_aar.2015;spraaknivaa.b1_provetype.lese_enhet.prosent_aar.2015;spraaknivaa.b1_provetype.skriftlig_enhet.prosent_aar.2015;spraaknivaa.a2_provetype.muntlig_enhet.prosent_aar.2015;spraaknivaa.a2_provetype.lytting_enhet.prosent_aar.2015;spraaknivaa.a2_provetype.lese_enhet.prosent_aar.2015;spraaknivaa.a2_provetype.skriftlig_enhet.prosent_aar.2015;spraaknivaa.a1_provetype.muntlig_enhet.prosent_aar.2015;spraaknivaa.a1_provetype.lytting_enhet.prosent_aar.2015;spraaknivaa.a1_provetype.lese_enhet.prosent_aar.2015;spraaknivaa.a1_provetype.skriftlig_enhet.prosent_aar.2015;spraaknivaa.under.a1_provetype.muntlig_enhet.prosent_aar.2015;spraaknivaa.under.a1_provetype.lytting_enhet.prosent_aar.2015;spraaknivaa.under.a1_provetype.lese_enhet.prosent_aar.2015;spraaknivaa.under.a1_provetype.skriftlig_enhet.prosent_aar.2015;spraaknivaa.ikke.vurdert_provetype.muntlig_enhet.prosent_aar.2015;spraaknivaa.ikke.vurdert_provetype.lytting_enhet.prosent_aar.2015;spraaknivaa.ikke.vurdert_provetype.lese_enhet.prosent_aar.2015;spraaknivaa.ikke.vurdert_provetype.skriftlig_enhet.prosent_aar.2015
101;29;28;26;31;17;18;19;10;12;8;4;13;0;2;3;7;0;0;:;0;0;:;:;1;59;64;73;32;41;29;15;42;0;7;12;23;0;0;:;0;0;:;:;3
104;35;35;34;38;13;24;23;16;22;9;7;12;0;2;4;10;0;0;:;0;0;:;:;0;37;69;68;42;63;26;21;32;0;6;12;26;0;0;:;0;0;:;:;0
105;51;49;49;54;27;31;30;12;23;13;12;28;0;5;7;14;0;0;:;0;1;:;:;0;53;63;61;22;45;27;24;52;0;10;14;26;0;0;:;0;2;:;:;0
106;84;84;89;99;40;51;56;36;38;31;22;44;6;2;9;18;0;0;:;1;0;:;:;0;48;61;63;36;45;37;25;44;7;2;10;18;0;0;:;1;0;:;:;0
124;35;36;36;37;17;25;21;6;14;8;9;22;4;3;6;8;0;0;:;0;0;:;:;1;49;69;58;16;40;22;25;59;11;8;17;22;0;0;:;0;0;:;:;3
213;47;52;54;56;20;31;27;13;24;13;14;34;3;8;13;7;0;0;:;1;0;:;:;1;43;60;50;23;51;25;26;61;6;15;24;12;0;0;:;2;0;:;:;2
214;79;88;86;88;45;61;66;35;29;17;16;42;2;9;3;10;3;1;:;0;0;:;:;1;57;69;77;40;37;19;19;48;3;10;3;11;4;1;:;0;0;:;:;1
216;16;22;22;25;9;16;14;8;7;6;6;13;0;0;2;4;0;0;:;0;0;:;:;0;56;73;64;32;44;27;27;52;0;0;9;16;0;0;:;0;0;:;:;0
217;31;33;35;40;9;17;16;8;20;11;10;16;2;5;9;15;0;0;:;0;0;:;:;1;29;52;46;20;65;33;29;40;6;15;26;38;0;0;:;0;0;:;:;2
219;256;301;273;334;118;196;210;107;125;69;41;190;13;12;19;37;0;21;:;0;0;:;:;3;46;65;77;32;49;23;15;57;5;4;7;11;0;7;:;0;0;:;:;1
220;132;137;135;146;48;105;107;55;73;25;18;73;13;7;11;18;0;0;:;0;0;:;:;0;36;77;79;38;55;18;13;50;10;5;8;12;0;0;:;0;0;:;:;0
221;21;19;19;20;14;16;17;10;7;3;2;9;0;0;0;0;0;0;:;0;0;:;:;1;67;84;89;50;33;16;11;45;0;0;0;0;0;0;:;0;0;:;:;5
226;22;19;20;22;14;9;13;8;8;9;2;4;0;1;5;10;0;0;:;0;0;:;:;0;64;47;65;36;36;47;10;18;0;5;25;45;0;0;:;0;0;:;:;0
228;6;7;7;6;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
230;172;209;203;234;84;123;134;75;72;69;47;119;14;17;22;35;0;0;:;0;0;:;:;2;49;59;66;32;42;33;23;51;8;8;11;15;0;0;:;0;0;:;:;1
231;162;153;162;183;62;92;92;35;96;46;45;102;5;14;19;38;2;2;:;4;0;:;:;4;38;60;57;19;59;30;28;56;3;9;12;21;1;1;:;2;0;:;:;2
