kommune_nr;spraaknivaa.alle_provetype.alle_enhet.personer;spraaknivaa.alle_provetype.muntlig_enhet.personer;spraaknivaa.alle_provetype.lytting_enhet.personer;spraaknivaa.alle_provetype.lese_enhet.personer;spraaknivaa.alle_provetype.skriftlig_enhet.personer;spraaknivaa.alle_provetype.alle_enhet.prosent;spraaknivaa.alle_provetype.muntlig_enhet.prosent;spraaknivaa.alle_provetype.lytting_enhet.prosent;spraaknivaa.alle_provetype.lese_enhet.prosent;spraaknivaa.alle_provetype.skriftlig_enhet.prosent;spraaknivaa.b1_provetype.alle_enhet.prosent;spraaknivaa.b1_provetype.muntlig_enhet.prosent;spraaknivaa.b1_provetype.lytting_enhet.prosent;spraaknivaa.b1_provetype.lese_enhet.prosent;spraaknivaa.b1_provetype.skriftlig_enhet.prosent;spraaknivaa.b1_provetype.alle_enhet.personer;spraaknivaa.b1_provetype.muntlig_enhet.personer;spraaknivaa.b1_provetype.lytting_enhet.personer;spraaknivaa.b1_provetype.lese_enhet.personer;spraaknivaa.b1_provetype.skriftlig_enhet.personer;spraaknivaa.a2_provetype.alle_enhet.prosent;spraaknivaa.a2_provetype.muntlig_enhet.prosent;spraaknivaa.a2_provetype.lytting_enhet.prosent;spraaknivaa.a2_provetype.lese_enhet.prosent;spraaknivaa.a2_provetype.skriftlig_enhet.prosent;spraaknivaa.a2_provetype.alle_enhet.personer;spraaknivaa.a2_provetype.muntlig_enhet.personer;spraaknivaa.a2_provetype.lytting_enhet.personer;spraaknivaa.a2_provetype.lese_enhet.personer;spraaknivaa.a2_provetype.skriftlig_enhet.personer;spraaknivaa.a1_provetype.alle_enhet.prosent;spraaknivaa.a1_provetype.muntlig_enhet.prosent;spraaknivaa.a1_provetype.lytting_enhet.prosent;spraaknivaa.a1_provetype.lese_enhet.prosent;spraaknivaa.a1_provetype.skriftlig_enhet.prosent;spraaknivaa.a1_provetype.alle_enhet.personer;spraaknivaa.a1_provetype.muntlig_enhet.personer;spraaknivaa.a1_provetype.lytting_enhet.personer;spraaknivaa.a1_provetype.lese_enhet.personer;spraaknivaa.a1_provetype.skriftlig_enhet.personer;spraaknivaa.under.a1_provetype.alle_enhet.prosent;spraaknivaa.under.a1_provetype.muntlig_enhet.prosent;spraaknivaa.under.a1_provetype.lytting_enhet.prosent;spraaknivaa.under.a1_provetype.lese_enhet.prosent;spraaknivaa.under.a1_provetype.skriftlig_enhet.prosent;spraaknivaa.under.a1_provetype.alle_enhet.personer;spraaknivaa.under.a1_provetype.muntlig_enhet.personer;spraaknivaa.under.a1_provetype.lytting_enhet.personer;spraaknivaa.under.a1_provetype.lese_enhet.personer;spraaknivaa.under.a1_provetype.skriftlig_enhet.personer;spraaknivaa.ikke.vurdert_provetype.alle_enhet.prosent;spraaknivaa.ikke.vurdert_provetype.muntlig_enhet.prosent;spraaknivaa.ikke.vurdert_provetype.lytting_enhet.prosent;spraaknivaa.ikke.vurdert_provetype.lese_enhet.prosent;spraaknivaa.ikke.vurdert_provetype.skriftlig_enhet.prosent;spraaknivaa.ikke.vurdert_provetype.alle_enhet.personer;spraaknivaa.ikke.vurdert_provetype.muntlig_enhet.personer;spraaknivaa.ikke.vurdert_provetype.lytting_enhet.personer;spraaknivaa.ikke.vurdert_provetype.lese_enhet.personer;spraaknivaa.ikke.vurdert_provetype.skriftlig_enhet.personer
101;100;100;100;100;100;135;27;36;36;36;36,2962963;30;50;50;14;49;8;18;18;5;46,66666667;63;36;36;56;63;17;13;13;20;17,03703704;7;14;14;31;23;2;5;5;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
104;100;100;100;100;100;183;33;50;50;50;45,35519126;48;52;54;28;83;16;26;27;14;30,05464481;27;32;24;36;55;9;16;12;18;18,57923497;15;14;14;30;34;5;7;7;15;4,371584699;6;2;8;2;8;2;1;4;1;1,092896175;3;0;0;2;2;1;0;0;1
105;100;100;100;100;100;403;96;102;103;102;37,22084367;40;48;49;13;150;38;49;50;13;45,40942928;57;40;32;53;183;55;41;33;54;14,88833747;0;12;17;29;60;0;12;18;30;1,488833747;0;0;2;4;6;0;0;2;4;1,240694789;3;0;0;2;5;3;0;0;2
106;100;100;100;100;100;447;84;121;121;121;45,1901566;42;61;58;19;202;35;74;70;23;41,38702461;55;31;28;55;185;46;38;34;67;13,19910515;4;7;14;26;59;3;8;17;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
111;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
118;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
119;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
121;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
122;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
123;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
124;100;100;100;100;100;94;19;25;25;25;59,57446809;63;72;76;28;56;12;18;19;7;30,85106383;26;20;12;64;29;5;5;3;16;5,319148936;11;4;8;0;5;2;1;2;0;2,127659574;0;4;4;0;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0
125;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
127;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
128;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
135;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
136;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
137;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
138;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
