"Fylke nr & navn";"fylke_nr";"Fylke
navn";"innvkat_5.alle";"innvkat_5.innvandrere";"innvkat_5.befolkningen_ellers";"innvkat_5.norskfodte_m_innvf";"innvkat_5.bef_u_innv_og_norskf";"innvkat_5.alle";"innvkat_5.innvandrere";"innvkat_5.befolkningen_ellers";"innvkat_5.norskfodte_m_innvf";"innvkat_5.bef_u_innv_og_norskf";"innvkat_5.alle";"innvkat_5.innvandrere";"innvkat_5.befolkningen_ellers";"innvkat_5.norskfodte_m_innvf";"innvkat_5.bef_u_innv_og_norskf";"innvkat_5.alle";"innvkat_5.innvandrere";"innvkat_5.befolkningen_ellers";"innvkat_5.norskfodte_m_innvf";"innvkat_5.bef_u_innv_og_norskf";"innvkat_5.alle";"innvkat_5.innvandrere";"innvkat_5.befolkningen_ellers";"innvkat_5.norskfodte_m_innvf";"innvkat_5.bef_u_innv_og_norskf";"innvkat_5.alle";"innvkat_5.innvandrere";"innvkat_5.befolkningen_ellers";"innvkat_5.norskfodte_m_innvf";"innvkat_5.bef_u_innv_og_norskf"
"Nedbrytninger";"";"";"kjonn.alle";"kjonn.alle";"kjonn.alle";"kjonn.alle";"kjonn.alle";"kjonn.alle";"kjonn.alle";"kjonn.alle";"kjonn.alle";"kjonn.alle";"kjonn.1";"kjonn.1";"kjonn.1";"kjonn.1";"kjonn.1";"kjonn.1";"kjonn.1";"kjonn.1";"kjonn.1";"kjonn.1";"kjonn.0";"kjonn.0";"kjonn.0";"kjonn.0";"kjonn.0";"kjonn.0";"kjonn.0";"kjonn.0";"kjonn.0";"kjonn.0"
"";"";"";"enhet.personer";"enhet.personer";"enhet.personer";"enhet.personer";"enhet.personer";"enhet.prosent";"enhet.prosent";"enhet.prosent";"enhet.prosent";"enhet.prosent";"enhet.personer";"enhet.personer";"enhet.personer";"enhet.personer";"enhet.personer";"enhet.prosent";"enhet.prosent";"enhet.prosent";"enhet.prosent";"enhet.prosent";"enhet.personer";"enhet.personer";"enhet.personer";"enhet.personer";"enhet.personer";"enhet.prosent";"enhet.prosent";"enhet.prosent";"enhet.prosent";"enhet.prosent"
"00 Hele landet";"0";"Hele landet";"4681134";"341830";"4339304";"73488";"4265816";"100";"7,302290428";"92,69770957";"1,569876017";"91,12783355";"2325788";"169121";"2156667";"37649";"2119018";"49,6842859";"3,612821167";"46,07146473";"0,804270931";"45,2671938";"2355346";"172709";"2182637";"35839";"2146798";"50,3157141";"3,689469261";"46,62624484";"0,765605086";"45,86063975"
"01 Østfold";"1";"Østfold";"262523";"19355";"243168";"4282";"238886";"100";"7,372687345";"92,62731265";"1,63109518";"90,99621747";"129538";"9543";"119995";"2271";"117724";"49,34348609";"3,635110067";"45,70837603";"0,865067061";"44,84330897";"132985";"9812";"123173";"2011";"121162";"50,65651391";"3,737577279";"46,91893663";"0,766028119";"46,15290851"
"02 Akershus";"2";"Akershus";"509177";"43478";"465699";"9306";"456393";"100";"8,538877443";"91,46112256";"1,827655216";"89,63346734";"252118";"20764";"231354";"4765";"226589";"49,51480526";"4,077953246";"45,43685202";"0,935823888";"44,50102813";"257059";"22714";"234345";"4541";"229804";"50,48519474";"4,460924197";"46,02427054";"0,891831328";"45,13243921"
"03 Oslo";"3";"Oslo";"548617";"98479";"450138";"32211";"417927";"100";"17,95040985";"82,04959015";"5,871309128";"76,17828102";"268685";"50136";"218549";"16506";"202043";"48,97496796";"9,138615829";"39,83635214";"3,008656312";"36,82769582";"279932";"48343";"231589";"15705";"215884";"51,02503204";"8,81179402";"42,21323801";"2,862652816";"39,3505852"
"04 Hedmark";"4";"Hedmark";"188692";"8099";"180593";"1086";"179507";"100";"4,292179849";"95,70782015";"0,575541093";"95,13227906";"93180";"3804";"89376";"518";"88858";"49,38206177";"2,01598372";"47,36607805";"0,274521442";"47,09155661";"95512";"4295";"91217";"568";"90649";"50,61793823";"2,276196129";"48,3417421";"0,301019651";"48,04072245"
"05 Oppland";"5";"Oppland";"183037";"7608";"175429";"1028";"174401";"100";"4,156536657";"95,84346334";"0,561635079";"95,28182826";"90764";"3664";"87100";"498";"86602";"49,58778826";"2,001781061";"47,5860072";"0,272076138";"47,31393106";"92273";"3944";"88329";"530";"87799";"50,41221174";"2,154755596";"48,25745614";"0,289558942";"47,9678972"
"06 Buskerud";"6";"Buskerud";"247655";"19597";"228058";"4928";"223130";"100";"7,913024167";"92,08697583";"1,989864933";"90,0971109";"122404";"9529";"112875";"2516";"110359";"49,42520846";"3,847691345";"45,57751711";"1,015929418";"44,56158769";"125251";"10068";"115183";"2412";"112771";"50,57479154";"4,065332822";"46,50945872";"0,973935515";"45,53552321"
"07 Vestfold";"7";"Vestfold";"223804";"13898";"209906";"2459";"207447";"100";"6,209897946";"93,79010205";"1,098729245";"92,69137281";"110186";"6669";"103517";"1255";"102262";"49,23325767";"2,979839502";"46,25341817";"0,560758521";"45,69265965";"113618";"7229";"106389";"1204";"105185";"50,76674233";"3,230058444";"47,53668388";"0,537970724";"46,99871316"
"08 Telemark";"8";"Telemark";"166170";"9654";"156516";"1613";"154903";"100";"5,809712945";"94,19028706";"0,970692664";"93,21959439";"81975";"4652";"77323";"825";"76498";"49,33200939";"2,799542637";"46,53246675";"0,496479509";"46,03598724";"84195";"5002";"79193";"788";"78405";"50,66799061";"3,010170308";"47,6578203";"0,474213155";"47,18360715"
"09 Aust-Agder";"9";"Aust-Agder";"104759";"5718";"99041";"772";"98269";"100";"5,458242251";"94,54175775";"0,736929524";"93,80482822";"52162";"2711";"49451";"408";"49043";"49,79238061";"2,587844481";"47,20453613";"0,389465344";"46,81507078";"52597";"3007";"49590";"364";"49226";"50,20761939";"2,87039777";"47,33722162";"0,34746418";"46,98975744"
"10 Vest-Agder";"10";"Vest-Agder";"163702";"11469";"152233";"2034";"150199";"100";"7,00602314";"92,99397686";"1,242501619";"91,75147524";"81289";"5655";"75634";"1059";"74575";"49,65669326";"3,454447716";"46,20224554";"0,646907185";"45,55533836";"82413";"5814";"76599";"975";"75624";"50,34330674";"3,551575424";"46,79173132";"0,595594434";"46,19613688"
"11 Rogaland";"11";"Rogaland";"404566";"28222";"376344";"4863";"371481";"100";"6,975870439";"93,02412956";"1,202028841";"91,82210072";"203053";"14861";"188192";"2477";"185715";"50,19032741";"3,673319063";"46,51700835";"0,61226104";"45,90474731";"201513";"13361";"188152";"2386";"185766";"49,80967259";"3,302551376";"46,50712121";"0,589767801";"45,91735341"
"12 Hordaland";"12";"Hordaland";"456711";"25202";"431509";"3918";"427591";"100";"5,518150428";"94,48184957";"0,857872922";"93,62397665";"227755";"12777";"214978";"1950";"213028";"49,86851641";"2,797611619";"47,0709048";"0,426965849";"46,64393895";"228956";"12425";"216531";"1968";"214563";"50,13148359";"2,720538809";"47,41094478";"0,430907073";"46,9800377"
"14 Sogn og Fjordane";"14";"Sogn og Fjordane";"106194";"4286";"101908";"411";"101497";"100";"4,036009567";"95,96399043";"0,387027516";"95,57696292";"53584";"2071";"51513";"193";"51320";"50,45859465";"1,950204343";"48,5083903";"0,181742848";"48,32664746";"52610";"2215";"50395";"218";"50177";"49,54140535";"2,085805224";"47,45560013";"0,205284668";"47,25031546"
"15 Møre og Romsdal";"15";"Møte og Romsdal";"245385";"9545";"235840";"1013";"234827";"100";"3,889805815";"96,11019418";"0,41282067";"95,69737352";"123089";"4418";"118671";"535";"118136";"50,16158282";"1,800436049";"48,36114677";"0,218024737";"48,14312203";"122296";"5127";"117169";"478";"116691";"49,83841718";"2,089369766";"47,74904742";"0,194795933";"47,55425148"
"16 Sør-Trøndelag";"16";"Sør-Trøndelag";"278836";"14285";"264551";"1951";"262600";"100";"5,123083103";"94,8769169";"0,699694444";"94,17722245";"139047";"7192";"131855";"1017";"130838";"49,86694688";"2,579293922";"47,28765296";"0,364730523";"46,92292243";"139789";"7093";"132696";"934";"131762";"50,13305312";"2,543789181";"47,58926394";"0,334963921";"47,25430002"
"17 Nord-Trøndelag";"17";"Nord-Trøndelag";"129069";"3817";"125252";"324";"124928";"100";"2,957332899";"97,0426671";"0,25102852";"96,79163858";"64513";"1803";"62710";"181";"62529";"49,98334224";"1,396927225";"48,58641502";"0,140235068";"48,44617995";"64556";"2014";"62542";"143";"62399";"50,01665776";"1,560405674";"48,45625208";"0,110793452";"48,34545863"
"18 Nordland";"18";"Nordland";"235436";"8272";"227164";"583";"226581";"100";"3,513481371";"96,48651863";"0,247625682";"96,23889295";"117842";"3975";"113867";"315";"113552";"50,05266824";"1,688356921";"48,36431132";"0,133794322";"48,230517";"117594";"4297";"113297";"268";"113029";"49,94733176";"1,82512445";"48,12220731";"0,11383136";"48,00837595"
"19 Troms Romsa";"19";"Troms Romsa";"154136";"6888";"147248";"487";"146761";"100";"4,468780817";"95,53121918";"0,315954741";"95,21526444";"77649";"3271";"74378";"258";"74120";"50,37693985";"2,122151866";"48,25478798";"0,167384647";"48,08740333";"76487";"3617";"72870";"229";"72641";"49,62306015";"2,346628951";"47,2764312";"0,148570094";"47,12786111"
"20 Finnmark Finnmárku";"20";"Finnmark Finnmárku";"72665";"3958";"68707";"219";"68488";"100";"5,44691392";"94,55308608";"0,301383059";"94,25170302";"36955";"1626";"35329";"102";"35227";"50,85667102";"2,237666002";"48,61900502";"0,140370192";"48,47863483";"35710";"2332";"33378";"117";"33261";"49,14332898";"3,209247919";"45,93408106";"0,161012867";"45,77306819"
