"Kommune nr & navn";"kommune_nr";"Kommune
navn";"innvkat_5.alle";"innvkat_5.innvandrere";"innvkat_5.befolkningen_ellers";"innvkat_5.norskfodte_m_innvf";"innvkat_5.bef_u_innv_og_norskf";"innvkat_5.alle";"innvkat_5.innvandrere";"innvkat_5.befolkningen_ellers";"innvkat_5.norskfodte_m_innvf";"innvkat_5.bef_u_innv_og_norskf";"innvkat_5.alle";"innvkat_5.innvandrere";"innvkat_5.befolkningen_ellers";"innvkat_5.norskfodte_m_innvf";"innvkat_5.bef_u_innv_og_norskf";"innvkat_5.alle";"innvkat_5.innvandrere";"innvkat_5.befolkningen_ellers";"innvkat_5.norskfodte_m_innvf";"innvkat_5.bef_u_innv_og_norskf";"innvkat_5.alle";"innvkat_5.innvandrere";"innvkat_5.befolkningen_ellers";"innvkat_5.norskfodte_m_innvf";"innvkat_5.bef_u_innv_og_norskf";"innvkat_5.alle";"innvkat_5.innvandrere";"innvkat_5.befolkningen_ellers";"innvkat_5.norskfodte_m_innvf";"innvkat_5.bef_u_innv_og_norskf"
"Nedbrytninger";"";"";"kjonn.alle";"kjonn.alle";"kjonn.alle";"kjonn.alle";"kjonn.alle";"kjonn.alle";"kjonn.alle";"kjonn.alle";"kjonn.alle";"kjonn.alle";"kjonn.1";"kjonn.1";"kjonn.1";"kjonn.1";"kjonn.1";"kjonn.1";"kjonn.1";"kjonn.1";"kjonn.1";"kjonn.1";"kjonn.0";"kjonn.0";"kjonn.0";"kjonn.0";"kjonn.0";"kjonn.0";"kjonn.0";"kjonn.0";"kjonn.0";"kjonn.0"
"";"";"";"enhet.personer";"enhet.personer";"enhet.personer";"enhet.personer";"enhet.personer";"enhet.prosent";"enhet.prosent";"enhet.prosent";"enhet.prosent";"enhet.prosent";"enhet.personer";"enhet.personer";"enhet.personer";"enhet.personer";"enhet.personer";"enhet.prosent";"enhet.prosent";"enhet.prosent";"enhet.prosent";"enhet.prosent";"enhet.personer";"enhet.personer";"enhet.personer";"enhet.personer";"enhet.personer";"enhet.prosent";"enhet.prosent";"enhet.prosent";"enhet.prosent";"enhet.prosent"
"0101 Halden";"101";"Halden";"27464";"1723";"25741";"363";"25378";"100";"6,273667346";"93,72633265";"1,321730265";"92,40460239";"13600";"822";"12778";"188";"12590";"49,51937081";"2,99300903";"46,52636178";"0,684532479";"45,8418293";"13864";"901";"12963";"175";"12788";"50,48062919";"3,280658316";"47,19997087";"0,637197786";"46,56277308"
"0102 Sarpsborg (-1991)";"102";"Sarpsborg (-1991)";"0";"0";"0";"0";"0";".";".";".";".";".";"0";"0";"0";"0";"0";".";".";".";".";".";"0";"0";"0";"0";"0";".";".";".";".";"."
"0103 Fredrikstad (-1993)";"103";"Fredrikstad (-1993)";"0";"0";"0";"0";"0";".";".";".";".";".";"0";"0";"0";"0";"0";".";".";".";".";".";"0";"0";"0";"0";"0";".";".";".";".";"."
"0104 Moss";"104";"Moss";"27732";"2295";"25437";"674";"24763";"100";"8,275638252";"91,72436175";"2,430405308";"89,29395644";"13513";"1138";"12375";"365";"12010";"48,72710226";"4,103562671";"44,62353959";"1,316169047";"43,30737055";"14219";"1157";"13062";"309";"12753";"51,27289774";"4,172075581";"47,10082215";"1,114236261";"45,98658589"
"0105 Sarpsborg";"105";"Sarpsborg";"49423";"3083";"46340";"562";"45778";"100";"6,237986363";"93,76201364";"1,137122392";"92,62489124";"24353";"1548";"22805";"295";"22510";"49,27462922";"3,132144953";"46,14248427";"0,596888089";"45,54559618";"25070";"1535";"23535";"267";"23268";"50,72537078";"3,10584141";"47,61952937";"0,540234304";"47,07929507"
"0106 Fredrikstad";"106";"Fredrikstad";"69867";"4390";"65477";"713";"64764";"100";"6,283366969";"93,71663303";"1,020510398";"92,69612263";"34001";"2146";"31855";"374";"31481";"48,66532125";"3,071550231";"45,59377102";"0,53530279";"45,05846823";"35866";"2244";"33622";"339";"33283";"51,33467875";"3,211816738";"48,12286201";"0,485207609";"47,6376544"
"0111 Hvaler";"111";"Hvaler";"3694";"98";"3596";"10";"3586";"100";"2,652950731";"97,34704927";"0,270709258";"97,07634001";"1860";"47";"1813";"2";"1811";"50,35192204";"1,272333514";"49,07958852";"0,054141852";"49,02544667";"1834";"51";"1783";"8";"1775";"49,64807796";"1,380617217";"48,26746075";"0,216567407";"48,05089334"
"0113 Borge (-1993)";"113";"Borge (-1993)";"0";"0";"0";"0";"0";".";".";".";".";".";"0";"0";"0";"0";"0";".";".";".";".";".";"0";"0";"0";"0";"0";".";".";".";".";"."
"0114 Varteig (-1991)";"114";"Varteig (-1991)";"0";"0";"0";"0";"0";".";".";".";".";".";"0";"0";"0";"0";"0";".";".";".";".";".";"0";"0";"0";"0";"0";".";".";".";".";"."
"0115 Skjeberg (-1991)";"115";"Skjeberg (-1991)";"0";"0";"0";"0";"0";".";".";".";".";".";"0";"0";"0";"0";"0";".";".";".";".";".";"0";"0";"0";"0";"0";".";".";".";".";"."
"0116 Berg  (-1966)";"116";"Berg  (-1966)";"0";"0";"0";"0";"0";".";".";".";".";".";"0";"0";"0";"0";"0";".";".";".";".";".";"0";"0";"0";"0";"0";".";".";".";".";"."
"0117 Idd (-1966)";"117";"Idd (-1966)";"0";"0";"0";"0";"0";".";".";".";".";".";"0";"0";"0";"0";"0";".";".";".";".";".";"0";"0";"0";"0";"0";".";".";".";".";"."
"0118 Aremark";"118";"Aremark";"1437";"39";"1398";"8";"1390";"100";"2,713987474";"97,28601253";"0,556715379";"96,72929715";"695";"12";"683";"6";"677";"48,36464857";"0,835073069";"47,5295755";"0,417536534";"47,11203897";"742";"27";"715";"2";"713";"51,63535143";"1,878914405";"49,75643702";"0,139178845";"49,61725818"
"0119 Marker";"119";"Marker";"3409";"165";"3244";"9";"3235";"100";"4,84012907";"95,15987093";"0,26400704";"94,89586389";"1718";"69";"1649";"7";"1642";"50,39601056";"2,024053975";"48,37195659";"0,205338809";"48,16661778";"1691";"96";"1595";"2";"1593";"49,60398944";"2,816075095";"46,78791434";"0,058668231";"46,72924611"
"0121 Rømskog";"121";"Rømskog";"668";"20";"648";"0";"648";"100";"2,994011976";"97,00598802";"0";"97,00598802";"345";"9";"336";"0";"336";"51,64670659";"1,347305389";"50,2994012";"0";"50,2994012";"323";"11";"312";"0";"312";"48,35329341";"1,646706587";"46,70658683";"0";"46,70658683"
"0122 Trøgstad";"122";"Trøgstad";"4953";"158";"4795";"18";"4777";"100";"3,189985867";"96,81001413";"0,363416111";"96,44659802";"2466";"74";"2392";"8";"2384";"49,78800727";"1,494044014";"48,29396325";"0,161518272";"48,13244498";"2487";"84";"2403";"10";"2393";"50,21199273";"1,695941853";"48,51605088";"0,20189784";"48,31415304"
"0123 Spydeberg";"123";"Spydeberg";"4706";"182";"4524";"24";"4500";"100";"3,867403315";"96,13259669";"0,50998725";"95,62260943";"2367";"86";"2281";"15";"2266";"50,29749256";"1,827454314";"48,47003825";"0,318742031";"48,15129622";"2339";"96";"2243";"9";"2234";"49,70250744";"2,039949001";"47,66255844";"0,191245219";"47,47131322"
"0124 Askim";"124";"Askim";"13986";"1256";"12730";"366";"12364";"100";"8,98040898";"91,01959102";"2,616902617";"88,4026884";"6883";"649";"6234";"199";"6035";"49,21349921";"4,64035464";"44,57314457";"1,422851423";"43,15029315";"7103";"607";"6496";"167";"6329";"50,78650079";"4,34005434";"46,44644645";"1,194051194";"45,25239525"
"0125 Eidsberg";"125";"Eidsberg";"10121";"570";"9551";"77";"9474";"100";"5,63185456";"94,36814544";"0,760794388";"93,60735105";"4957";"273";"4684";"38";"4646";"48,97737378";"2,697361921";"46,28001186";"0,375456971";"45,90455489";"5164";"297";"4867";"39";"4828";"51,02262622";"2,934492639";"48,08813358";"0,385337417";"47,70279617"
"0127 Skiptvet";"127";"Skiptvet";"3336";"137";"3199";"18";"3181";"100";"4,106714628";"95,89328537";"0,539568345";"95,35371703";"1662";"53";"1609";"12";"1597";"49,82014388";"1,588729017";"48,23141487";"0,35971223";"47,87170264";"1674";"84";"1590";"6";"1584";"50,17985612";"2,517985612";"47,6618705";"0,179856115";"47,48201439"
"0128 Rakkestad";"128";"Rakkestad";"7232";"311";"6921";"70";"6851";"100";"4,300331858";"95,69966814";"0,967920354";"94,73174779";"3581";"151";"3430";"29";"3401";"49,51603982";"2,087942478";"47,42809735";"0,400995575";"47,02710177";"3651";"160";"3491";"41";"3450";"50,48396018";"2,212389381";"48,2715708";"0,566924779";"47,70464602"
"0130 Tune (-1991)";"130";"Tune (-1991)";"0";"0";"0";"0";"0";".";".";".";".";".";"0";"0";"0";"0";"0";".";".";".";".";".";"0";"0";"0";"0";"0";".";".";".";".";"."
"0131 Rolvsøy (1911-1993)";"131";"Rolvsøy (1911-1993)";"0";"0";"0";"0";"0";".";".";".";".";".";"0";"0";"0";"0";"0";".";".";".";".";".";"0";"0";"0";"0";"0";".";".";".";".";"."
"0133 Kråkerøy (1908-1993)";"133";"Kråkerøy (1908-1993)";"0";"0";"0";"0";"0";".";".";".";".";".";"0";"0";"0";"0";"0";".";".";".";".";".";"0";"0";"0";"0";"0";".";".";".";".";"."
"0134 Onsøy (-1993)";"134";"Onsøy (-1993)";"0";"0";"0";"0";"0";".";".";".";".";".";"0";"0";"0";"0";"0";".";".";".";".";".";"0";"0";"0";"0";"0";".";".";".";".";"."
"0135 Råde";"135";"Råde";"6380";"167";"6213";"22";"6191";"100";"2,617554859";"97,38244514";"0,344827586";"97,03761755";"3172";"85";"3087";"9";"3078";"49,71786834";"1,332288401";"48,38557994";"0,141065831";"48,24451411";"3208";"82";"3126";"13";"3113";"50,28213166";"1,285266458";"48,9968652";"0,203761755";"48,79310345"
"0136 Rygge";"136";"Rygge";"13753";"763";"12990";"265";"12725";"100";"5,547880462";"94,45211954";"1,926852323";"92,52526721";"6788";"349";"6439";"145";"6294";"49,35650404";"2,537628154";"46,81887588";"1,054315422";"45,76456046";"6965";"414";"6551";"120";"6431";"50,64349596";"3,010252309";"47,63324366";"0,872536901";"46,76070675"
"0137 Våler (Østf.)";"137";"Våler (Østf.)";"4003";"178";"3825";"31";"3794";"100";"4,446665001";"95,553335";"0,774419186";"94,77891581";"2059";"77";"1982";"19";"1963";"51,43642268";"1,923557332";"49,51286535";"0,474644017";"49,03822133";"1944";"101";"1843";"12";"1831";"48,56357732";"2,523107669";"46,04046965";"0,299775169";"45,74069448"
"0138 Hobøl";"138";"Hobøl";"4504";"223";"4281";"35";"4246";"100";"4,951154529";"95,04884547";"0,777087034";"94,27175844";"2262";"99";"2163";"13";"2150";"50,22202487";"2,198046181";"48,02397869";"0,288632327";"47,73534636";"2242";"124";"2118";"22";"2096";"49,77797513";"2,753108348";"47,02486679";"0,488454707";"46,53641208"
"0199 Uoppgitt kommune Østfold";"199";"Uoppgitt kommune Østfold";"0";"0";"0";"0";"0";".";".";".";".";".";"0";"0";"0";"0";"0";".";".";".";".";".";"0";"0";"0";"0";"0";".";".";".";".";"."
"0211 Vestby";"211";"Vestby";"12834";"810";"12024";"128";"11896";"100";"6,311360449";"93,68863955";"0,997350787";"92,69128876";"6397";"402";"5995";"64";"5931";"49,84416394";"3,132304815";"46,71185912";"0,498675393";"46,21318373";"6437";"408";"6029";"64";"5965";"50,15583606";"3,179055633";"46,97678043";"0,498675393";"46,47810503"
"0213 Ski";"213";"Ski";"26588";"1895";"24693";"404";"24289";"100";"7,127275463";"92,87272454";"1,519482473";"91,35324206";"13163";"898";"12265";"208";"12057";"49,50729652";"3,377463517";"46,12983301";"0,782307808";"45,3475252";"13425";"997";"12428";"196";"12232";"50,49270348";"3,749811945";"46,74289153";"0,737174665";"46,00571686"
"0214 Ås";"214";"Ås";"14323";"1328";"12995";"198";"12797";"100";"9,2718006";"90,7281994";"1,382391957";"89,34580744";"7165";"691";"6474";"97";"6377";"50,02443622";"4,824408294";"45,20002793";"0,677232423";"44,5227955";"7158";"637";"6521";"101";"6420";"49,97556378";"4,447392306";"45,52817147";"0,705159534";"44,82301194"
"0215 Frogn";"215";"Frogn";"13153";"735";"12418";"100";"12318";"100";"5,588078765";"94,41192123";"0,760282825";"93,65163841";"6457";"321";"6136";"48";"6088";"49,09146202";"2,440507869";"46,65095415";"0,364935756";"46,2860184";"6696";"414";"6282";"52";"6230";"50,90853798";"3,147570896";"47,76096708";"0,395347069";"47,36562001"
"0216 Nesodden";"216";"Nesodden";"16074";"1136";"14938";"126";"14812";"100";"7,067313674";"92,93268633";"0,78387458";"92,14881175";"7897";"501";"7396";"77";"7319";"49,12902824";"3,11683464";"46,0121936";"0,479034466";"45,53315914";"8177";"635";"7542";"49";"7493";"50,87097176";"3,950479034";"46,92049272";"0,304840114";"46,61565261"
"0217 Oppegård";"217";"Oppegård";"23343";"1574";"21769";"319";"21450";"100";"6,74292079";"93,25707921";"1,366576704";"91,89050251";"11475";"723";"10752";"178";"10574";"49,15820589";"3,097288266";"46,06091762";"0,762541233";"45,29837639";"11868";"851";"11017";"141";"10876";"50,84179411";"3,645632524";"47,19616159";"0,604035471";"46,59212612"
"0219 Bærum";"219";"Bærum";"103313";"9283";"94030";"1584";"92446";"100";"8,985316465";"91,01468353";"1,533204921";"89,48147861";"50144";"4160";"45984";"772";"45212";"48,53600225";"4,026598782";"44,50940346";"0,747243812";"43,76215965";"53169";"5123";"48046";"812";"47234";"51,46399775";"4,958717683";"46,50528007";"0,785961108";"45,71931896"
"0220 Asker";"220";"Asker";"50651";"4256";"46395";"726";"45669";"100";"8,402598172";"91,59740183";"1,43333794";"90,16406389";"24856";"1948";"22908";"401";"22507";"49,07306865";"3,845926043";"45,2271426";"0,791692168";"44,43545044";"25795";"2308";"23487";"325";"23162";"50,92693135";"4,556672129";"46,37025922";"0,641645772";"45,72861345"
