"Næringsregion 
nr & navn";"naringsregion_nr";"Næringsregion
navn";"innvkat_5.alle";"innvkat_5.innvandrere";"innvkat_5.befolkningen_ellers";"innvkat_5.norskfodte_m_innvf";"innvkat_5.bef_u_innv_og_norskf";"innvkat_5.alle";"innvkat_5.innvandrere";"innvkat_5.befolkningen_ellers";"innvkat_5.norskfodte_m_innvf";"innvkat_5.bef_u_innv_og_norskf";"innvkat_5.alle";"innvkat_5.innvandrere";"innvkat_5.befolkningen_ellers";"innvkat_5.norskfodte_m_innvf";"innvkat_5.bef_u_innv_og_norskf";"innvkat_5.alle";"innvkat_5.innvandrere";"innvkat_5.befolkningen_ellers";"innvkat_5.norskfodte_m_innvf";"innvkat_5.bef_u_innv_og_norskf";"innvkat_5.alle";"innvkat_5.innvandrere";"innvkat_5.befolkningen_ellers";"innvkat_5.norskfodte_m_innvf";"innvkat_5.bef_u_innv_og_norskf";"innvkat_5.alle";"innvkat_5.innvandrere";"innvkat_5.befolkningen_ellers";"innvkat_5.norskfodte_m_innvf";"innvkat_5.bef_u_innv_og_norskf"
"Nedbrytninger";"";"";"kjonn.alle";"kjonn.alle";"kjonn.alle";"kjonn.alle";"kjonn.alle";"kjonn.alle";"kjonn.alle";"kjonn.alle";"kjonn.alle";"kjonn.alle";"kjonn.1";"kjonn.1";"kjonn.1";"kjonn.1";"kjonn.1";"kjonn.1";"kjonn.1";"kjonn.1";"kjonn.1";"kjonn.1";"kjonn.0";"kjonn.0";"kjonn.0";"kjonn.0";"kjonn.0";"kjonn.0";"kjonn.0";"kjonn.0";"kjonn.0";"kjonn.0"
"";"";"";"enhet.personer";"enhet.personer";"enhet.personer";"enhet.personer";"enhet.personer";"enhet.prosent";"enhet.prosent";"enhet.prosent";"enhet.prosent";"enhet.prosent";"enhet.personer";"enhet.personer";"enhet.personer";"enhet.personer";"enhet.personer";"enhet.prosent";"enhet.prosent";"enhet.prosent";"enhet.prosent";"enhet.prosent";"enhet.personer";"enhet.personer";"enhet.personer";"enhet.personer";"enhet.personer";"enhet.prosent";"enhet.prosent";"enhet.prosent";"enhet.prosent";"enhet.prosent"
"01 Halden";"1";"Halden";"29543";"2670";"26873";"642";"26231";"100";"9,037673899";"90,9623261";"2,173103612";"88,78922249";"14760";"1325";"13435";"345";"13090";"49,96107369";"4,484987984";"45,47608571";"1,167789324";"44,30829638";"14783";"1345";"13438";"297";"13141";"50,03892631";"4,552685915";"45,4862404";"1,005314288";"44,48092611"
"02 Indre Østfold";"2";"Indre Østfold";"58581";"5908";"52673";"1203";"51470";"100";"10,0851812";"89,9148188";"2,053566856";"87,86125194";"29342";"3067";"26275";"620";"25655";"50,08791246";"5,235485908";"44,85242655";"1,058363633";"43,79406292";"29239";"2841";"26398";"583";"25815";"49,91208754";"4,849695294";"45,06239224";"0,995203223";"44,06718902"
"03 Mosseregionen";"3";"Mosseregionen";"57106";"6222";"50884";"1530";"49354";"100";"10,89552762";"89,10447238";"2,679228102";"86,42524428";"28403";"3212";"25191";"831";"24360";"49,73733058";"5,624627885";"44,11270269";"1,455188597";"42,6575141";"28703";"3010";"25693";"699";"24994";"50,26266942";"5,27089973";"44,99176969";"1,224039505";"43,76773019"
"04 Nedre Glomma";"4";"Nedre Glomma";"133122";"14735";"118387";"3270";"115117";"100";"11,06879404";"88,93120596";"2,456393384";"86,47481258";"66130";"7698";"58432";"1714";"56718";"49,67623684";"5,782665525";"43,89357131";"1,287540752";"42,60603056";"66992";"7037";"59955";"1556";"58399";"50,32376316";"5,286128514";"45,03763465";"1,168852631";"43,86878202"
"05 Akershus Vest";"5";"Akershus Vest";"170936";"24208";"146728";"4215";"142513";"100";"14,16202555";"85,83797445";"2,465835166";"83,37213928";"84407";"12071";"72336";"2151";"70185";"49,37929985";"7,061707306";"42,31759255";"1,258365704";"41,05922685";"86529";"12137";"74392";"2064";"72328";"50,62070015";"7,100318248";"43,5203819";"1,207469462";"42,31291244"
"06 Follo";"6";"Follo";"130367";"14222";"116145";"2602";"113543";"100";"10,90920248";"89,09079752";"1,995903871";"87,09489365";"64862";"7226";"57636";"1365";"56271";"49,75338851";"5,542813749";"44,21057476";"1,047044114";"43,16353065";"65505";"6996";"58509";"1237";"57272";"50,24661149";"5,366388733";"44,88022276";"0,948859757";"43,931363"
"07 Nedre Romerike";"7";"Nedre Romerike";"162653";"21487";"141166";"6157";"135009";"100";"13,2103312";"86,7896688";"3,785359016";"83,00430979";"81701";"11352";"70349";"3136";"67213";"50,23024475";"6,979274898";"43,25096986";"1,928030839";"41,32293902";"80952";"10135";"70817";"3021";"67796";"49,76975525";"6,231056298";"43,53869895";"1,857328177";"41,68137077"
"08 Øvre Romerike";"8";"Øvre Romerike";"92298";"9559";"82739";"1857";"80882";"100";"10,35667078";"89,64332922";"2,011961256";"87,63136796";"46703";"4986";"41717";"991";"40726";"50,60022969";"5,402067217";"45,19816247";"1,073696071";"44,1244664";"45595";"4573";"41022";"866";"40156";"49,39977031";"4,954603567";"44,44516674";"0,938265185";"43,50690156"
"09 Oslo";"9";"Oslo";"613285";"139081";"474204";"42262";"431942";"100";"22,67803713";"77,32196287";"6,891086526";"70,43087635";"304606";"72643";"231963";"21566";"210397";"49,66793579";"11,84490082";"37,82303497";"3,516472766";"34,3065622";"308679";"66438";"242241";"20696";"221545";"50,33206421";"10,83313631";"39,4989279";"3,37461376";"36,12431414"
"10 Fjellregionen";"10";"Fjellregionen";"15316";"986";"14330";"85";"14245";"100";"6,437712196";"93,5622878";"0,554975189";"93,00731261";"7694";"499";"7195";"41";"7154";"50,23504832";"3,258030817";"46,9770175";"0,267693915";"46,70932358";"7622";"487";"7135";"44";"7091";"49,76495168";"3,179681379";"46,58527031";"0,287281274";"46,29798903"
"11 Glåmdal";"11";"Glåmdal";"53263";"3251";"50012";"452";"49560";"100";"6,10367422";"93,89632578";"0,848619116";"93,04770666";"26343";"1551";"24792";"212";"24580";"49,4583482";"2,911965154";"46,54638304";"0,398024895";"46,14835815";"26920";"1700";"25220";"240";"24980";"50,5416518";"3,191709066";"47,34994274";"0,450594221";"46,89934852"
"12 Hamarregionen";"12";"Hamarregionen";"88903";"5929";"82974";"851";"82123";"100";"6,669066286";"93,33093371";"0,957223041";"92,37371067";"44103";"2998";"41105";"439";"40666";"49,60799973";"3,372214661";"46,23578507";"0,49379661";"45,74198846";"44800";"2931";"41869";"412";"41457";"50,39200027";"3,296851625";"47,09514865";"0,463426431";"46,63172221"
"13 Sør Østerdal";"13";"Sør Østerdal";"35309";"2404";"32905";"301";"32604";"100";"6,808462432";"93,19153757";"0,852473874";"92,33906369";"17586";"1188";"16398";"152";"16246";"49,80599847";"3,364581268";"46,4414172";"0,430485145";"46,01093206";"17723";"1216";"16507";"149";"16358";"50,19400153";"3,443881163";"46,75012037";"0,421988728";"46,32813164"
"14 Gjøvikregionen";"14";"Gjøvikregionen";"69406";"4772";"64634";"785";"63849";"100";"6,875486269";"93,12451373";"1,131026136";"91,99348759";"34473";"2400";"32073";"370";"31703";"49,66861655";"3,457914301";"46,21070224";"0,533095121";"45,67760712";"34933";"2372";"32561";"415";"32146";"50,33138345";"3,417571968";"46,91381149";"0,597931015";"46,31588047"
"15 Hadeland";"15";"Hadeland";"28752";"1805";"26947";"221";"26726";"100";"6,277824151";"93,72217585";"0,768642181";"92,95353367";"14300";"956";"13344";"119";"13225";"49,73567056";"3,324986088";"46,41068447";"0,413884252";"45,99680022";"14452";"849";"13603";"102";"13501";"50,26432944";"2,952838063";"47,31149137";"0,35475793";"46,95673344"
"16 Lillehammerregionen";"16";"Lillehammerregionen";"38020";"2891";"35129";"435";"34694";"100";"7,603892688";"92,39610731";"1,144134666";"91,25197265";"18792";"1462";"17330";"219";"17111";"49,42661757";"3,845344555";"45,58127301";"0,576012625";"45,00526039";"19228";"1429";"17799";"216";"17583";"50,57338243";"3,758548133";"46,8148343";"0,568122041";"46,24671226"
"17 Midt-Gudbrandsdal";"17";"Midt-Gudbrandsdal";"13599";"823";"12776";"72";"12704";"100";"6,051915582";"93,94808442";"0,529450695";"93,41863372";"6828";"451";"6377";"34";"6343";"50,20957423";"3,316420325";"46,89315391";"0,250018384";"46,64313552";"6771";"372";"6399";"38";"6361";"49,79042577";"2,735495257";"47,05493051";"0,279432311";"46,7754982"
"18 Nord-Gudbrandsdal";"18";"Nord-Gudbrandsdal";"19357";"915";"18442";"68";"18374";"100";"4,726972155";"95,27302785";"0,351294105";"94,92173374";"9799";"478";"9321";"41";"9280";"50,62251382";"2,469390918";"48,1531229";"0,211809681";"47,94131322";"9558";"437";"9121";"27";"9094";"49,37748618";"2,257581237";"47,11990494";"0,139484424";"46,98042052"
"19 Valdres";"19";"Valdres";"18013";"1301";"16712";"102";"16610";"100";"7,222561483";"92,77743852";"0,566257703";"92,21118081";"9114";"695";"8419";"59";"8360";"50,59679121";"3,858324543";"46,73846666";"0,32754122";"46,41092544";"8899";"606";"8293";"46";"8250";"49,40320879";"3,36423694";"46,03897185";"0,255371121";"45,80025537"
"20 Drammensregionen";"20";"Drammensregionen";"173497";"22947";"150550";"6065";"144485";"100";"13,22616529";"86,77383471";"3,495737678";"83,27809703";"86599";"11909";"74690";"3086";"71604";"49,91383136";"6,864095633";"43,04973573";"1,778705107";"41,27103062";"86898";"11038";"75860";"2979";"72881";"50,08616864";"6,362069661";"43,72409898";"1,717032571";"42,0070664"
"21 Hallingdal";"21";"Hallingdal";"20493";"2318";"18175";"221";"17954";"100";"11,31117943";"88,68882057";"1,07841702";"87,61040355";"10242";"1183";"9059";"116";"8943";"49,97804128";"5,772702874";"44,20533841";"0,566046943";"43,63929147";"10251";"1135";"9116";"105";"9011";"50,02195872";"5,538476553";"44,48348216";"0,512370078";"43,97111209"
"22 Kongsberg/Numedal";"22";"Kongsberg/Numedal";"32040";"3221";"28819";"376";"28443";"100";"10,05305868";"89,94694132";"1,173533084";"88,77340824";"16245";"1615";"14630";"185";"14445";"50,70224719";"5,040574282";"45,66167291";"0,577403246";"45,08426966";"15795";"1606";"14189";"191";"13998";"49,29775281";"5,012484395";"44,28526841";"0,596129838";"43,68913858"
"23 Midt-Buskerud";"23";"Midt-Buskerud";"18837";"1219";"17618";"178";"17440";"100";"6,471306471";"93,52869353";"0,944948771";"92,58374476";"9390";"612";"8778";"83";"8695";"49,84870202";"3,248924988";"46,59977703";"0,44062218";"46,15915485";"9447";"607";"8840";"95";"8745";"50,15129798";"3,222381483";"46,92891649";"0,504326591";"46,4245899"
"24 Ringerike/Hole";"24";"Ringerike/Hole";"35558";"3309";"32249";"490";"31759";"100";"9,305922718";"90,69407728";"1,37803026";"89,31604702";"17781";"1702";"16079";"245";"15834";"50,00562461";"4,786545925";"45,21907869";"0,68901513";"44,53006356";"17777";"1607";"16170";"245";"15925";"49,99437539";"4,519376793";"45,47499859";"0,68901513";"44,78598346"
"25 Tønsbergregionen";"25";"Tønsbergregionen";"131653";"12029";"119624";"1927";"117697";"100";"9,136897754";"90,86310225";"1,463696232";"89,39940601";"65284";"6027";"59257";"990";"58267";"49,58793191";"4,577943533";"45,00998838";"0,751976787";"44,25801159";"66369";"6002";"60367";"937";"59430";"50,41206809";"4,558954221";"45,85311387";"0,711719444";"45,14139442"
"26 Sandefjord/Larvik";"26";"Sandefjord/Larvik";"89510";"8779";"80731";"1809";"78922";"100";"9,807842699";"90,1921573";"2,02100324";"88,17115406";"44343";"4417";"39926";"937";"38989";"49,53971623";"4,934644174";"44,60507206";"1,046810412";"43,55826165";"45167";"4362";"40805";"872";"39933";"50,46028377";"4,873198525";"45,58708524";"0,974192828";"44,61289241"
"27 Grenland";"27";"Grenland";"119102";"10549";"108553";"2047";"106506";"100";"8,85711407";"91,14288593";"1,7186949";"89,42419103";"59051";"5275";"53776";"1059";"52717";"49,58019177";"4,428976843";"45,15121493";"0,889153835";"44,26206109";"60051";"5274";"54777";"988";"53789";"50,41980823";"4,428137227";"45,991671";"0,829541066";"45,16212994"
"28 Midt-Telemark";"28";"Midt-Telemark";"16659";"1367";"15292";"176";"15116";"100";"8,205774656";"91,79422534";"1,056485984";"90,73773936";"8318";"673";"7645";"99";"7546";"49,93096825";"4,039858335";"45,89110991";"0,594273366";"45,29683654";"8341";"694";"7647";"77";"7570";"50,06903175";"4,165916322";"45,90311543";"0,462212618";"45,44090282"
"29 Øst-Telemark";"29";"Øst-Telemark";"20053";"1456";"18597";"183";"18414";"100";"7,260758989";"92,73924101";"0,912581659";"91,82665935";"9905";"747";"9158";"90";"9068";"49,39410562";"3,72512841";"45,66897721";"0,448810652";"45,22016656";"10148";"709";"9439";"93";"9346";"50,60589438";"3,535630579";"47,0702638";"0,463771007";"46,60649279"
"30 Vest-Telemark";"30";"Vest-Telemark";"14209";"914";"13295";"82";"13213";"100";"6,432542755";"93,56745725";"0,577099022";"92,99035822";"7158";"433";"6725";"48";"6677";"50,37652192";"3,047364347";"47,32915758";"0,337814062";"46,99134351";"7051";"481";"6570";"34";"6536";"49,62347808";"3,385178408";"46,23829967";"0,23928496";"45,99901471"
"31 Setesdal";"31";"Setesdal";"6978";"661";"6317";"73";"6244";"100";"9,47262826";"90,52737174";"1,046145027";"89,48122671";"3542";"320";"3222";"40";"3182";"50,75952995";"4,585841215";"46,17368874";"0,573230152";"45,60045858";"3436";"341";"3095";"33";"3062";"49,24047005";"4,886787045";"44,353683";"0,472914875";"43,88076813"
"32 Arendalregionen";"32";"Arendalregionen";"88513";"7843";"80670";"1061";"79609";"100";"8,8608453";"91,1391547";"1,198693977";"89,94046072";"44278";"4058";"40220";"551";"39669";"50,02429022";"4,584637285";"45,43965293";"0,622507428";"44,8171455";"44235";"3785";"40450";"510";"39940";"49,97570978";"4,276208015";"45,69950177";"0,576186549";"45,12331522"
