Nr;Navn;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;X13;X14;X15;X16;X17;X18;X19;X20;X21;X22;X23;X24
1820;Alstahaug;40;37;38;38;10;41;42;13;68;49;26;39;18;11;32;47;0;0;0;0;5;0;0;0
2012;Alta;52;60;60;60;44;67;57;20;50;27;28;52;2;7;13;23;0;0;2;3;4;0;0;3
1871;Andøy;14;13;13;13;29;38;46;15;57;38;38;46;14;23;15;38;0;0;0;0;0;0;0;0
906;Arendal;91;112;112;111;33;56;53;14;59;38;26;47;8;5;21;39;0;0;0;0;0;0;0;0
220;Asker;159;194;195;195;45;62;72;35;46;33;19;49;8;5;8;15;1;1;0;1;1;0;0;0
124;Askim;19;25;25;25;63;72;76;28;26;20;12;64;11;4;8;0;0;4;4;0;0;0;0;0
1247;Askøy;46;45;45;45;30;49;58;11;54;44;27;53;11;7;13;31;0;0;2;0;4;0;0;0
1576;Aure;0;1;1;1;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
221;Aurskog-Høland;21;20;20;20;43;75;60;30;57;25;40;60;0;0;0;5;0;0;0;5;0;0;0;4
1244;Austevoll;22;23;23;23;45;52;74;13;36;43;17;61;5;4;9;26;0;0;0;0;14;0;0;0
1933;Balsfjord;7;9;9;9;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
814;Bamble;15;18;18;18;0;33;44;0;73;56;28;39;7;11;28;61;0;0;0;0;20;0;0;0
1201;Bergen;366;424;426;428;26;53;64;18;63;41;28;57;10;5;7;23;0;0;1;1;0;0;0;1
928;Birkenes;9;9;9;9;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
1627;Bjugn;0;2;2;2;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
1804;Bodø;77;71;71;71;32;61;61;30;52;30;28;46;10;10;10;24;0;0;1;0;5;0;0;0
1813;Brønnøy;2;5;5;5;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
941;Bykle;2;3;3;3;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
219;Bærum;220;280;280;280;43;67;75;24;45;29;18;59;5;4;6;16;0;0;0;0;8;0;0;0
9999;Bø;0;8;8;8;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
9999;Bø;5;9;9;9;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
1219;Bømlo;14;19;19;19;21;53;63;0;64;42;16;68;14;5;21;32;0;0;0;0;0;0;0;0
2028;Båtsfjord;21;23;23;23;14;30;61;4;43;57;26;70;43;13;13;26;0;0;0;0;0;0;0;0
602;Drammen;138;149;149;149;17;59;65;28;67;35;21;45;9;6;12;23;0;0;2;3;6;0;0;2
817;Drangedal;0;9;9;10;:;:;:;0;:;:;:;20;:;:;:;70;:;:;:;0;:;:;:;0
1827;Dønna;4;5;5;5;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
1443;Eid;14;18;18;18;43;44;39;11;50;44;28;50;7;11;22;33;0;0;11;0;0;0;0;0
1551;Eide;0;2;2;2;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
1101;Eigersund;17;32;32;32;29;66;72;19;59;25;19;59;6;9;3;22;0;0;6;0;6;0;0;0
427;Elverum;17;28;28;28;12;32;32;4;65;46;39;39;18;21;14;57;0;0;14;0;6;0;0;0
434;Engerdal;6;3;3;3;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
1211;Etne;10;12;12;12;40;42;83;25;60;58;17;50;0;0;0;25;0;0;0;0;0;0;0;0
541;Etnedal;2;1;2;2;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
1003;Farsund;17;18;18;18;47;61;72;33;53;28;17;39;0;11;6;28;0;0;6;0;0;0;0;0
1841;Fauske;6;6;6;6;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
1246;Fjell;23;27;27;27;13;37;52;11;83;52;33;48;4;11;15;41;0;0;0;0;0;0;0;0
1004;Flekkefjord;6;11;11;11;:;73;55;45;:;27;45;45;:;0;0;9;:;0;0;0;:;0;0;0
1401;Flora;38;43;43;43;13;42;47;14;45;37;30;51;21;19;16;30;0;2;7;2;21;0;0;2
106;Fredrikstad;84;121;121;121;42;61;58;19;55;31;28;55;4;7;14;26;0;0;0;0;0;0;0;0
919;Froland;3;4;4;4;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
1548;Fræna;0;1;1;1;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
1432;Førde;27;36;36;36;41;58;81;17;59;39;17;81;0;3;3;3;0;0;0;0;0;0;0;0
1940;Gáivuotna Kåfjord;2;3;3;3;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
1940;Gamvik;6;6;6;6;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
1838;Gildeskål;1;14;14;14;:;36;36;7;:;21;21;29;:;43;29;43;:;0;14;0;:;0;0;0
1557;Gjemnes;3;3;3;3;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
1122;Gjesdal;1;8;8;8;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
502;Gjøvik;80;93;93;93;29;58;61;25;54;41;29;49;10;1;10;24;0;0;0;0;8;0;0;0
1445;Gloppen;10;10;10;10;70;80;70;30;30;20;10;50;0;0;20;20;0;0;0;0;0;0;0;0
617;Gol;47;51;52;52;53;61;73;27;43;35;13;58;2;4;12;15;0;0;2;0;2;0;0;0
904;Grimstad;39;45;45;45;36;64;60;27;46;22;16;38;18;13;20;31;0;0;4;0;0;0;0;0
1411;Gulen;14;13;13;13;14;69;85;8;86;31;15;69;0;0;0;23;0;0;0;0;0;0;0;0
2011;Guovdageaidnu Kautokeino;0;4;4;4;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
1866;Hadsel;2;5;5;5;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
101;Halden;27;36;36;36;30;50;50;14;63;36;36;56;7;14;14;31;0;0;0;0;0;0;0;0
403;Hamar;21;37;37;37;38;70;68;11;52;24;27;73;10;5;3;16;0;0;3;0;0;0;0;0
1849;Hamarøy;18;17;17;16;17;29;35;0;83;59;35;44;0;12;29;44;0;0;0;6;0;0;0;6
