Kommunenr;Kommune;Anmodning 2012;Vedtak 2012
0101;Halden;30;10
0104;Moss;50;20
0105;Sarpsborg;60;60
0106;Fredrikstad;100;50
0111;Hvaler;10;4
0118;Aremark;15;
0119;Marker;15;3
0122;Trøgstad;15;5
0123;Spydeberg;15;10
0124;Askim;25;10
0125;Eidsberg;25;12
0127;Skiptvet;5;5
0128;Rakkestad;15;0
0135;Råde;15;10
0136;Rygge;10;2
0137;Våler (Østfold);5;
0138;Hobøl;15;
0211;Vestby;20;10
0213;Ski;50;50
0214;Ås;15;15
0215;Frogn;15;10
0216;Nesodden;30;20
0217;Oppegård;45;30
0219;Bærum;155;135
0220;Asker;85;50
0221;Aurskog Høland;16;10
0226;Sørum;15;10
0227;Fet;16;10
0228;Rælingen;32;10
0229;Enebakk;15;5
0230;Lørenskog;65;20
0231;Skedsmo;60;60
0233;Nittedal;21;15
0234;Gjerdrum;13;10
0235;Ullensaker;25;10
0236;Nes (Akershus);25;20
0237;Eidsvoll;20;15
0238;Nannestad;13;10
0239;Hurdal;13;
0301;Oslo;450;410
0402;Kongsvinger;31;25
0403;Hamar;47;40
0412;Ringsaker;31;25
0415;Løten;13;10
0417;Stange;36;25
0418;Nord-Odal;13;10
0419;Sør-Odal;13;10
0420;Eidskog;10;
0423;Grue;15;4
0425;Åsnes;15;19
0427;Elverum;41;35
0428;Trysil;14;8
0429;Åmot;2;2
0430;Stor-Elvdal;14;
0434;Engerdal;10;5
0436;Tolga;14;7
0437;Tynset;19;15
0438;Alvdal;10;10
0439;Folldal;8;8
0441;Os (Østerdalen);10;7
0501;Lillehammer;57;45
0502;Gjøvik;50;50
0511;Dovre;9;
0513;Skjåk;12;5
0514;Lom;10;11
0515;Vågå;14;12
0516;Nord-Fron;19;15
0517;Sel;9;5
0519;Sør-Fron;5;
0520;Ringebu;16;5
0521;Øyer;20;15
0522;Gausdal;10;5
0528;Østre Toten;19;15
0529;Vestre Toten;19;15
0532;Jevnaker;10;10
0533;Lunner;30;25
0534;Gran;35;30
0536;Søndre Land;10;10
0538;Nordre Land;19;15
0540;Sør-Aurdal;10;7
0541;Etnedal;10;
0542;Nord-Aurdal;14;10
0543;Vestre Slidre;9;5
0544;Øystre Slidre;9;5
0545;Vang;2;2
0602;Drammen;124;124
0604;Kongsberg;45;35
0605;Ringerike;39;30
0612;Hole;13;10
0616;Nes (Buskerud);12;10
