"";"nr";"navn";"bosatte";"anmodning";"vedtak";"ved_anm";"bos_anm";"Personer";"bos_pers"
"1";101;"Halden";6;30;10;0,333333333333333;0,2;29543;0,203093795484548
"2";104;"Moss";34;50;20;0,4;0,68;30723;1,1066627607981
"3";105;"Sarpsborg";44;60;60;1;0,733333333333333;53333;0,825005156282227
"4";106;"Fredrikstad";48;100;50;0,5;0,48;75583;0,635063440191577
"5";111;"Hvaler";5;10;4;0,4;0,5;4206;1,1887779362815
"6";118;"Aremark";0;15;0;0;0;1423;0
"7";119;"Marker";5;15;3;0,2;0,333333333333333;3518;1,42126208072769
"8";121;"Rømskog";0;0;0;NA;NA;688;0
"9";122;"Trøgstad";5;15;5;0,333333333333333;0,333333333333333;5219;0,958037938302357
"10";123;"Spydeberg";11;15;10;0,666666666666667;0,733333333333333;5348;2,05684367988033
"11";124;"Askim";9;25;10;0,4;0,36;15096;0,596184419713832
"12";125;"Eidsberg";7;25;12;0,48;0,28;11049;0,633541496968051
"13";127;"Skiptvet";8;5;5;1;1,6;3631;2,20324979344533
"14";128;"Rakkestad";0;15;0;0;0;7698;0
"15";135;"Råde";11;15;10;0,666666666666667;0,733333333333333;6987;1,5743523686847
"16";136;"Rygge";4;10;2;0,2;0,4;14691;0,272275542849364
"17";137;"Våler (Østfold)";0;5;0;0;0;4705;0
"18";138;"Hobøl";0;15;0;0;0;4911;0
"19";211;"Vestby";12;20;10;0,5;0,6;15143;0,79244535428911
"20";213;"Ski";33;50;50;1;0,66;28970;1,13910942354159
"21";214;"Ås";14;15;15;1;0,933333333333333;17284;0,809997685720898
"22";215;"Frogn";6;15;10;0,666666666666667;0,4;15154;0,39593506664907
"23";216;"Nesodden";12;30;20;0,666666666666667;0,4;17809;0,673816609579426
"24";217;"Oppegård";8;45;30;0,666666666666667;0,177777777777778;25520;0,313479623824451
"25";219;"Bærum";101;155;135;0,870967741935484;0,651612903225806;114489;0,882180820864887
"26";220;"Asker";48;85;50;0,588235294117647;0,564705882352941;56447;0,850355200453523
"27";221;"Aurskog Høland";9;16;10;0,625;0,5625;14905;0,603824220060382
"28";226;"Sørum";9;15;10;0,666666666666667;0,6;16091;0,559318873904667
"29";227;"Fet";13;16;10;0,625;0,8125;10626;1,22341426689253
"30";228;"Rælingen";15;32;10;0,3125;0,46875;16170;0,927643784786642
"31";229;"Enebakk";5;15;5;0,333333333333333;0,333333333333333;10487;0,476780776199104
"32";230;"Lørenskog";23;65;20;0,307692307692308;0,353846153846154;33709;0,682310362217805
"33";231;"Skedsmo";53;60;60;1;0,883333333333333;49698;1,06644130548513
"34";233;"Nittedal";10;21;15;0,714285714285714;0,476190476190476;21454;0,466113545259625
"35";234;"Gjerdrum";2;13;10;0,769230769230769;0,153846153846154;6152;0,325097529258778
"36";235;"Ullensaker";11;25;10;0,4;0,44;31044;0,35433578147146
"37";236;"Nes (Akershus)";19;25;20;0,8;0,76;19462;0,976261432535197
"38";237;"Eidsvoll";15;20;15;0,75;0,75;21621;0,693769945885944
"39";238;"Nannestad";8;13;10;0,769230769230769;0,615384615384615;11362;0,704101390600246
"40";239;"Hurdal";0;13;0;0;0;2657;0
"41";301;"Oslo";459;450;410;0,911111111111111;1,02;613285;0,748428544640746
"42";402;"Kongsvinger";8;31;25;0,806451612903226;0,258064516129032;17522;0,456568884830499
"43";403;"Hamar";40;47;40;0,851063829787234;0,851063829787234;29045;1,37717335169564
"44";412;"Ringsaker";7;31;25;0,806451612903226;0,225806451612903;33191;0,210900545328553
"45";415;"Løten";8;13;10;0,769230769230769;0,615384615384615;7477;1,0699478400428
"46";417;"Stange";26;36;25;0,694444444444444;0,722222222222222;19190;1,3548723293382
"47";418;"Nord-Odal";1;13;10;0,769230769230769;0,0769230769230769;5141;0,194514685858782
"48";419;"Sør-Odal";6;13;10;0,769230769230769;0,461538461538462;7859;0,763455910421173
"49";420;"Eidskog";1;10;0;0;0,1;6288;0,159033078880407
"50";423;"Grue";4;15;4;0,266666666666667;0,266666666666667;5003;0,799520287827304
"51";425;"Åsnes";14;15;19;1,26666666666667;0,933333333333333;7606;1,84065211674993
"52";426;"Våler (Hedm.)";0;0;0;NA;NA;3844;0
"53";427;"Elverum";27;41;35;0,853658536585366;0,658536585365854;20152;1,33981738785232
"54";428;"Trysil";9;14;8;0,571428571428571;0,642857142857143;6752;1,33293838862559
"55";429;"Åmot";0;2;2;1;0;4337;0
"56";430;"Stor-Elvdal";3;14;0;0;0,214285714285714;2678;1,12023898431665
"57";432;"Rendalen";0;0;0;NA;NA;1959;0
"58";434;"Engerdal";5;10;5;0,5;0,5;1390;3,59712230215827
"59";436;"Tolga";7;14;7;0,5;0,5;1681;4,16418798334325
"60";437;"Tynset";15;19;15;0,789473684210526;0,789473684210526;5564;2,69590222861251
"61";438;"Alvdal";5;10;10;1;0,5;2431;2,05676676264912
"62";439;"Folldal";0;8;8;1;0;1641;0
"63";441;"Os (Hedm.)";1;10;7;0,7;0,1;2040;0,490196078431373
"64";501;"Lillehammer";48;57;45;0,789473684210526;0,842105263157895;26765;1,7933868858584
"65";502;"Gjøvik";44;50;50;1;0,88;29202;1,50674611327991
"66";511;"Dovre";6;9;0;0;0,666666666666667;2742;2,18818380743982
"67";512;"Lesja";0;0;0;NA;NA;2195;0
"68";513;"Skjåk";3;12;5;0,416666666666667;0,25;2307;1,30039011703511
"69";514;"Lom";0;10;11;1,1;0;2382;0
"70";515;"Vågå";10;14;12;0,857142857142857;0,714285714285714;3739;2,67451190157796
"71";516;"Nord-Fron";13;19;15;0,789473684210526;0,684210526315789;5830;2,22984562607204
"72";517;"Sel";6;9;5;0,555555555555556;0,666666666666667;5992;1,00133511348465
"73";519;"Sør-Fron";1;5;0;0;0,2;3208;0,311720698254364
"74";520;"Ringebu";10;16;5;0,3125;0,625;4561;2,19250164437623
"75";521;"Øyer";16;20;15;0,75;0,8;5095;3,14033366045142
"76";522;"Gausdal";5;10;5;0,5;0,5;6160;0,811688311688312
"77";528;"Østre Toten";11;19;15;0,789473684210526;0,578947368421053;14747;0,74591442327253
"78";529;"Vestre Toten";12;19;15;0,789473684210526;0,631578947368421;12928;0,928217821782178
"79";532;"Jevnaker";5;10;10;1;0,5;6483;0,771247879068333
