;kommunesett.Fylkenr;bosatte;anmodning;vedtak;Personer;ved_anm;bos_anm;bos_pers;
1;1;197;425;201;278352;0,472941176;0,463529412;0,707736966;Østfold
2;2;426;764;525;556254;0,687172775;0,557591623;0,765837189;Akershus
3;3;459;450;410;613285;0,911111111;1,02;0,748428545;Oslo
4;4;187;366;265;192791;0,724043716;0,510928962;0,969962291;Hedmark
5;5;297;427;317;187147;0,742388759;0,695550351;1,586987769;Oppland
6;6;354;499;390;265164;0,781563126;0,709418838;1,335022854;Buskerud
7;7;192;395;216;236424;0,546835443;0,486075949;0,812100294;Vestfold
8;8;339;445;347;170023;0,779775281;0,761797753;1,993847891;Telemark
9;9;175;305;191;111495;0,626229508;0,573770492;1,569577111;Aust-Agder
10;10;283;450;330;174324;0,733333333;0,628888889;1,623413873;Vest-Agder
11;11;456;694;456;443115;0,657060519;0,657060519;1,02907823;Rogaland
12;12;464;834;441;490570;0,528776978;0,556354916;0,945838514;Hordaland
13;14;109;390;117;108201;0,3;0,279487179;1,007384405;Sogn og Fjordane
14;15;284;435;321;256628;0,737931034;0,652873563;1,106660224;Møre og Romsdal
15;16;339;436;358;297950;0,821100917;0,777522936;1,137774794;Sør-Trøndelag
16;17;263;286;251;133390;0,877622378;0,91958042;1,971662044;Nord-Trøndelag
17;18;470;685;549;238320;0,801459854;0,686131387;1,972138301;Nordland
18;19;293;305;233;134555;0,763934426;0,960655738;2,177548214;Troms
19;20;170;210;166;73787;0,79047619;0,80952381;2,303928876;Finmark
