"";"kommunesett.Naringregnr";"bosatte";"anmodning";"vedtak";"Personer";"ved_anm";"bos_anm";"bos_pers"
"1";"1";6;30;10;29543;0,333333333333333;0,2;0,203093795484548
"2";"2";45;145;45;58581;0,310344827586207;0,310344827586207;0,76816715317253
"3";"3";49;80;32;57106;0,4;0,6125;0,858053444471684
"4";"4";97;170;114;133122;0,670588235294118;0,570588235294118;0,728654918045101
"5";"5";149;240;185;170936;0,770833333333333;0,620833333333333;0,871671268778958
"6";"6";90;190;140;130367;0,736842105263158;0,473684210526316;0,69035875643376
"7";"7";132;225;135;162653;0,6;0,586666666666667;0,811543592801854
"8";"8";55;109;65;92298;0,596330275229358;0,504587155963303;0,595895902403086
"9";"9";459;450;410;613285;0,911111111111111;1,02;0,748428544640746
"10";"10";28;61;47;15316;0,770491803278688;0,459016393442623;1,82815356489945
"11";"11";34;97;68;53263;0,701030927835051;0,350515463917526;0,638341813266245
"12";"12";81;127;100;88903;0,78740157480315;0,637795275590551;0,911105362023779
"13";"13";44;81;50;35309;0,617283950617284;0,54320987654321;1,24614121045626
"14";"14";89;117;105;69406;0,897435897435897;0,760683760683761;1,28230988675331
"15";"15";68;75;65;28752;0,866666666666667;0,906666666666667;2,36505286588759
"16";"16";69;87;65;38020;0,747126436781609;0,793103448275862;1,81483429773803
"17";"17";24;40;20;13599;0,5;0,6;1,76483564968012
"18";"18";25;54;33;19357;0,611111111111111;0,462962962962963;1,29152244666012
"19";"19";22;54;29;18013;0,537037037037037;0,407407407407407;1,22134014322989
"20";"20";228;288;234;173497;0,8125;0,791666666666667;1,31414376041084
"21";"21";42;70;47;20493;0,671428571428571;0,6;2,04948031034988
"22";"22";42;87;59;32040;0,67816091954023;0,482758620689655;1,31086142322097
"23";"23";25;33;25;18837;0,757575757575758;0,757575757575758;1,32717524021872
"24";"24";33;52;40;35558;0,769230769230769;0,634615384615385;0,928061195792789
"25";"25";110;244;126;131653;0,516393442622951;0,450819672131148;0,835529763848906
"26";"26";66;120;75;89510;0,625;0,55;0,737347782370685
"27";"27";237;280;240;119102;0,857142857142857;0,846428571428571;1,98989101778308
"28";"28";40;70;35;16659;0,5;0,571428571428571;2,40110450807371
"29";"29";50;60;44;20053;0,733333333333333;0,833333333333333;2,4933925098489
"30";"30";12;35;28;14209;0,8;0,342857142857143;0,844535153775776
"31";"31";5;40;5;6978;0,125;0,125;0,716537689882488
"32";"32";144;215;156;88513;0,725581395348837;0,669767441860465;1,62687966739349
"33";"33";61;125;70;35689;0,56;0,488;1,7092101207655
"34";"34";34;75;55;24789;0,733333333333333;0,453333333333333;1,37157610230344
"35";"35";214;300;235;129850;0,783333333333333;0,713333333333333;1,64805544859453
"36";"36";27;65;30;23654;0,461538461538462;0,415384615384615;1,14145599053014
"37";"37";132;184;119;100225;0,646739130434783;0,717391304347826;1,31703666749813
"38";"38";26;65;25;22330;0,384615384615385;0,4;1,16435288849082
"39";"39";271;380;282;296906;0,742105263157895;0,713157894736842;0,912746795282008
"40";"40";278;300;265;263762;0,883333333333333;0,926666666666667;1,05398048240459
"41";"41";9;40;10;23954;0,25;0,225;0,375720130249645
"42";"42";28;90;30;22927;0,333333333333333;0,311111111111111;1,22126750119946
"43";"43";15;40;0;13978;0;0,375;1,07311489483474
"44";"44";12;75;17;31691;0,226666666666667;0,16;0,37865640087091
"45";"45";8;45;6;12029;0,133333333333333;0,177777777777778;0,665059439687422
"46";"46";59;139;53;62471;0,381294964028777;0,424460431654676;0,944438219333771
"47";"47";55;105;60;59758;0,571428571428571;0,523809523809524;0,920378861407678
"48";"48";0;40;0;10464;0;0;0
"49";"49";30;135;33;32765;0,244444444444444;0,222222222222222;0,91561117045628
"50";"50";24;115;34;32401;0,295652173913043;0,208695652173913;0,740717879077806
"51";"51";55;100;50;32571;0,5;0,55;1,68861870989531
"52";"52";67;115;77;61098;0,669565217391304;0,582608695652174;1,09659890667452
"53";"53";60;85;69;57220;0,811764705882353;0,705882352941177;1,04858441104509
"54";"54";12;20;14;17232;0,7;0,6;0,696378830083565
"55";"55";89;115;95;46622;0,826086956521739;0,773913043478261;1,90897001415641
"56";"56";56;100;66;74456;0,66;0,56;0,752122058665521
"57";"57";15;19;19;25037;1;0,789473684210526;0,599113312297799
"58";"58";0;10;10;8768;1;0;0
"59";"59";15;20;15;9324;0,75;0,75;1,60875160875161
"60";"60";25;30;25;22270;0,833333333333333;0,833333333333333;1,12258643915582
"61";"61";284;350;287;227591;0,82;0,811428571428571;1,24785250734871
"62";"62";7;15;10;8487;0,666666666666667;0,466666666666667;0,824790856604218
"63";"63";53;65;50;27189;0,769230769230769;0,815384615384615;1,94931773879142
"64";"64";112;125;110;63999;0,88;0,896;1,75002734417725
"65";"65";15;15;15;8657;1;1;1,73270185976666
"66";"66";31;30;25;9883;0,833333333333333;1,03333333333333;3,13669938277851
"67";"67";45;43;43;20135;1;1,04651162790698;2,23491432828408
"68";"68";24;50;40;13145;0,8;0,48;1,82578927348802
"69";"69";40;55;40;12623;0,727272727272727;0,727272727272727;3,16881882278381
"70";"70";0;0;0;3754;NA;NA;0
"71";"71";33;40;36;16169;0,9;0,825;2,04094254437504
"72";"72";64;80;70;32050;0,875;0,8;1,99687987519501
"73";"73";105;170;143;78794;0,841176470588235;0,617647058823529;1,33258877579511
"74";"74";42;80;60;25688;0,75;0,525;1,63500467144192
"75";"75";79;80;70;23779;0,875;0,9875;3,32225913621262
"76";"76";83;130;90;32318;0,692307692307692;0,638461538461538;2,56822823194505
"77";"77";104;55;45;11773;0,818181818181818;1,89090909090909;8,83377219060562
"78";"78";56;100;65;29691;0,65;0,56;1,88609342898521
"79";"79";112;110;100;76973;0,909090909090909;1,01818181818182;1,4550556688709
"80";"80";21;40;23;16118;0,575;0,525;1,30289117756545
"81";"81";58;75;45;36779;0,6;0,773333333333333;1,57698686750591
"82";"82";11;15;15;13888;1;0,733333333333333;0,79205069124424
"83";"83";101;120;106;23120;0,883333333333333;0,841666666666667;4,36851211072664
