"";"kommunesett.Fylkenr";"bosatte";"anmodning";"vedtak";"X2013";"ved_anm";"bos_anm";"bos_pers"
"1";"1";194;405;193;282000;0,476543209876543;0,479012345679012;0,687943262411348
"2";"2";516;696;521;566399;0,748563218390805;0,741379310344828;0,911018557589261
"3";"3";468;490;450;623966;0,918367346938776;0,955102040816327;0,750040867611376
"4";"4";252;368;257;193719;0,698369565217391;0,684782608695652;1,30085329781797
"5";"5";322;430;331;187254;0,769767441860465;0,748837209302326;1,71958943467162
"6";"6";366;515;390;269003;0,757281553398058;0,710679611650485;1,3605796217886
"7";"7";192;340;226;238748;0,664705882352941;0,564705882352941;0,804195218389264
"8";"8";328;455;347;170902;0,762637362637363;0,720879120879121;1,91922856373828
"9";"9";189;345;196;112772;0,568115942028986;0,547826086956522;1,67594793033732
"10";"10";350;525;357;176353;0,68;0,666666666666667;1,98465577563183
"11";"11";450;945;483;452159;0,511111111111111;0,476190476190476;0,995225130982685
"12";"12";550;1040;542;498135;0,521153846153846;0,528846153846154;1,10411836148835
"13";"14";184;440;192;108700;0,436363636363636;0,418181818181818;1,69273229070837
"14";"15";373;585;362;259404;0,618803418803419;0,637606837606838;1,43791152025412
"15";"16";361;565;369;302755;0,653097345132743;0,638938053097345;1,19238328021007
"16";"17";289;350;265;134443;0,757142857142857;0,825714285714286;2,1496098718416
"17";"18";565;745;589;239611;0,790604026845638;0,758389261744966;2,35798857314564
"18";"19";339;350;254;160418;0,725714285714286;0,968571428571429;2,11322918874441
"19";"20";223;235;205;74534;0,872340425531915;0,948936170212766;2,99192314916682
