"";"kommunesett.Naringregnr";"bosatte";"anmodning";"vedtak";"X2013";"ved_anm";"bos_anm";"bos_pers"
"1";"1";10;30;10;29880;0,333333333333333;0,333333333333333;0,334672021419009
"2";"2";39;145;51;59468;0,351724137931034;0,268965517241379;0,655814892042779
"3";"3";28;85;22;57865;0,258823529411765;0,329411764705882;0,483884904519139
"4";"4";117;145;110;134787;0,758620689655172;0,806896551724138;0,868036234948474
"5";"5";138;205;185;174095;0,902439024390244;0,673170731707317;0,792670668313277
"6";"6";146;180;120;132470;0,666666666666667;0,811111111111111;1,10213633275459
"7";"7";169;211;142;165676;0,672985781990521;0,800947867298578;1,02006325599363
"8";"8";63;100;74;94158;0,74;0,63;0,669088128464921
"9";"9";468;490;450;623966;0,918367346938776;0,955102040816327;0,750040867611376
"10";"10";43;62;42;15299;0,67741935483871;0,693548387096774;2,81064121838029
"11";"11";34;86;43;53339;0,5;0,395348837209302;0,637432272821013
"12";"12";116;143;115;89645;0,804195804195804;0,811188811188811;1,29399297227955
"13";"13";59;77;57;35436;0,74025974025974;0,766233766233766;1,66497347330398
"14";"14";104;120;105;69633;0,875;0,866666666666667;1,49354472735628
"15";"15";72;78;73;28874;0,935897435897436;0,923076923076923;2,49359285170049
"16";"16";67;90;65;38093;0,722222222222222;0,744444444444444;1,75885333263329
"17";"17";12;30;20;13516;0,666666666666667;0,4;0,887836638058597
"18";"18";39;55;38;19183;0,690909090909091;0,709090909090909;2,03305009643956
"19";"19";28;57;30;17955;0,526315789473684;0,491228070175439;1,55945419103314
"20";"20";219;290;230;176432;0,793103448275862;0,755172413793103;1,24127142468486
"21";"21";32;70;37;20585;0,528571428571429;0,457142857142857;1,55452999757105
"22";"22";62;91;59;32430;0,648351648351648;0,681318681318681;1,9118100524206
"23";"23";28;40;30;19098;0,75;0,7;1,46612210702691
"24";"24";33;54;39;35863;0,722222222222222;0,611111111111111;0,920168418704514
"25";"25";123;205;146;133147;0,712195121951219;0,6;0,923790997919593
"26";"26";61;105;75;90196;0,714285714285714;0,580952380952381;0,676304935917336
"27";"27";213;300;228;119801;0,76;0,71;1,77794843114832
