"";"narringsregionnr";"anmodning";"vedtak";"bosatt";"personer"
"1";"1";35;21;22;30328
"2";"2";135;0;35;60689
"3";"3";90;45;42;59350
"4";"4";175;149;130;136831
"5";"5";235;205;164;180256
"6";"6";196;0;181;135956
"7";"7";217;180;153;170769
"8";"8";119;92;92;97918
"9";"9";500;500;495;647676
"10";"10";75;54;51;15109
"11";"11";105;52;55;53232
"12";"12";175;113;123;91015
"13";"13";95;68;60;35797
"14";"14";140;120;111;70523
"15";"15";100;90;83;29287
"16";"16";85;75;63;38575
"17";"17";40;30;30;13417
"18";"18";67;47;59;19045
"19";"19";65;38;31;17960
"20";"20";345;248;261;180740
"21";"21";85;52;56;20566
"22";"22";80;51;53;33298
"23";"23";55;0;24;19473
"24";"24";65;60;34;36410
"25";"25";230;163;167;135662
"26";"26";115;115;99;91250
"27";"27";325;213;240;120748
"28";"28";65;48;47;16953
"29";"29";80;69;77;20106
"30";"30";70;38;24;14146
"31";"31";45;30;30;6940
"32";"32";265;213;200;91137
"33";"33";160;100;97;36479
"34";"34";100;75;73;25286
"35";"35";380;332;332;135802
"36";"36";80;65;51;24333
"37";"37";216;128;125;104049
"38";"38";98;0;47;23427
"39";"39";428;345;341;314493
"40";"40";350;350;323;275112
"41";"41";50;20;17;25378
"42";"42";100;0;48;22980
"43";"43";30;30;34;14347
"44";"44";103;0;59;33275
"45";"45";38;13;12;12316
"46";"46";150;0;86;64179
"47";"47";115;70;73;63770
"48";"48";48;0;17;10371
"49";"49";118;92;73;32838
"50";"50";135;0;73;32535
"51";"51";105;0;66;33426
"52";"52";190;147;130;61861
"53";"53";155;0;130;58841
"54";"54";60;19;9;17325
"55";"55";150;0;87;47750
"56";"56";180;106;95;77942
"57";"57";90;59;46;25315
"58";"58";30;25;10;9203
"59";"59";30;30;21;9419
"60";"60";70;0;38;22695
"61";"61";425;364;362;238451
"62";"62";35;15;25;8470
"63";"63";70;65;73;28139
"64";"64";155;138;140;65250
"65";"65";65;35;40;8655
"66";"66";45;35;34;10018
"67";"67";80;50;50;20170
"68";"68";80;0;43;13214
"69";"69";75;50;49;12786
"70";"70";40;0;0;3672
"71";"71";60;0;34;16343
"72";"72";80;0;53;32477
"73";"73";215;0;175;80338
"74";"74";100;0;64;26095
"75";"75";130;0;85;24178
"76";"76";135;0;95;32579
"77";"77";150;118;109;36514
"78";"78";145;0;103;30244
"79";"79";150;140;112;80690
"80";"80";80;0;17;16005
"81";"81";135;0;86;37913
"82";"82";90;0;27;13799
"83";"83";200;0;138;23893
"84";"99";0;0;65;0
