nr;navn;anmodning;vedtak;bosatt;personer;narringsregionnr
101;Halden;35;21;22;30328;1
104;Moss;45;20;20;31802;3
105;Sarpsborg;60;65;59;54192;4
106;Fredrikstad;100;69;59;78159;4
111;Hvaler;15;15;12;4480;4
118;Aremark;15;.;0;1406;2
119;Marker;10;4;5;3613;2
121;Rømskog;10;.;0;672;2
122;Trøgstad;10;3;0;5346;2
123;Spydeberg;15;10;8;5692;2
124;Askim;20;11;10;15513;2
125;Eidsberg;20;11;6;11353;2
127;Skiptvet;10;5;2;3731;2
128;Rakkestad;15;6;4;8020;2
135;Råde;15;5;6;7206;3
136;Rygge;20;10;11;15242;3
137;Våler (Østf.);10;10;5;5100;3
138;Hobøl;10;0;0;5343;2
211;Vestby;20;17;18;16310;6
213;Ski;57;57;54;29775;6
214;Ås;22;20;18;18503;6
215;Frogn;22;20;17;15656;6
216;Nesodden;20;.;24;18372;6
217;Oppegård;40;40;43;26580;6
219;Bærum;160;140;99;120685;5
220;Asker;75;65;65;59571;5
221;Aurskog-Høland;15;13;10;15726;7
226;Sørum;20;15;11;17089;7
227;Fet;15;15;2;11199;7
228;Rælingen;20;20;20;17185;7
229;Enebakk;15;5;7;10760;6
230;Lørenskog;47;27;29;35139;7
231;Skedsmo;75;75;68;51725;7
233;Nittedal;25;15;13;22706;7
234;Gjerdrum;9;7;7;6326;8
235;Ullensaker;35;20;22;33310;8
236;Nes (Ak.);25;25;25;20410;8
237;Eidsvoll;25;15;19;23238;8
238;Nannestad;15;15;15;11882;8
239;Hurdal;10;10;4;2752;8
301;Oslo kommune;500;500;495;647676;9
402;Kongsvinger;40;25;33;17881;11
403;Hamar;70;40;41;29847;12
412;Ringsaker;55;34;34;33603;12
415;Løten;15;9;9;7552;12
417;Stange;35;30;39;20013;12
418;Nord-Odal;10;6;6;5128;11
419;Sør-Odal;10;10;6;7800;11
420;Eidskog;10;5;6;6219;11
423;Grue;10;5;2;4853;11
425;Åsnes;15;1;2;7561;11
426;Våler (Hedm.);10;0;0;3790;11
427;Elverum;50;40;34;20794;13
428;Trysil;15;10;10;6569;13
429;Åmot;10;10;7;4456;13
430;Stor-Elvdal;10;8;2;2619;13
432;Rendalen;10;11;11;1885;10
434;Engerdal;10;0;7;1359;13
436;Tolga;15;7;5;1656;10
437;Tynset;20;20;16;5562;10
438;Alvdal;10;3;4;2418;10
439;Folldal;10;6;6;1597;10
441;Os (Hedm.);10;7;9;1991;10
501;Lillehammer;55;55;47;27300;16
502;Gjøvik;55;55;52;30063;14
511;Dovre;10;5;6;2745;18
512;Lesja;10;5;5;2059;18
513;Skjåk;10;5;5;2245;18
514;Lom;10;10;12;2356;18
515;Vågå;12;12;11;3675;18
516;Nord-Fron;20;15;18;5754;17
517;Sel;15;10;20;5965;18
519;Sør-Fron;10;5;2;3204;17
520;Ringebu;10;10;10;4459;17
521;Øyer;15;15;11;5065;16
522;Gausdal;15;5;5;6210;16
528;Østre Toten;25;20;16;14796;14
529;Vestre Toten;25;15;15;13152;14
532;Jevnaker;20;20;17;6599;15
533;Lunner;40;30;28;9003;15
534;Gran;40;40;38;13685;15
536;Søndre Land;15;10;8;5772;14
538;Nordre Land;20;20;20;6740;14
540;Sør-Aurdal;10;8;1;3094;19
541;Etnedal;10;5;3;1402;19
542;Nord-Aurdal;15;10;10;6466;19
543;Vestre Slidre;10;5;5;2180;19
544;Øystre Slidre;10;7;7;3199;19
545;Vang;10;3;5;1619;19
602;Drammen;130;130;124;67016;20
604;Kongsberg;50;27;28;26711;22
605;Ringerike;50;50;33;29712;24
612;Hole;15;10;1;6698;24
615;Flå;10;10;10;1033;21
616;Nes (Busk.);15;5;3;3414;21
617;Gol;15;10;16;4588;21
618;Hemsedal;15;7;7;2344;21
619;Ål;15;15;15;4716;21
620;Hol;15;5;5;4471;21
621;Sigdal;10;0;2;3520;23
622;Krødsherad;10;.;0;2268;23
