Nr;Navn;2010;2011;2012;2013;2014
101;Halden;28776;29220;29543;29880;30132
104;Moss;30030;30265;30723;30988;31308
105;Sarpsborg;52159;52805;53333;53696;54059
106;Fredrikstad;73638;74579;75583;76807;77591
111;Hvaler;4085;4160;4206;4284;4386
118;Aremark;1424;1414;1423;1425;1408
119;Marker;3471;3476;3518;3587;3596
121;Rømskog;688;678;688;691;672
122;Trøgstad;5092;5142;5219;5273;5366
123;Spydeberg;5167;5265;5348;5474;5620
124;Askim;14864;14909;15096;15315;15430
125;Eidsberg;10821;10940;11049;11195;11323
127;Skiptvet;3541;3576;3631;3668;3727
128;Rakkestad;7517;7601;7698;7860;7974
135;Råde;6882;6946;6987;7053;7104
136;Rygge;14293;14426;14691;14967;15101
137;Våler (Østf.);4472;4573;4705;4857;4978
138;Hobøl;4742;4852;4911;4980;5187
211;Vestby;14373;14708;15143;15605;15944
213;Ski;28023;28587;28970;29307;29542
214;Ås;16386;16733;17284;17568;17969
215;Frogn;14622;14814;15154;15469;15671
216;Nesodden;17348;17515;17809;17998;18297
217;Oppegård;24882;25072;25520;25963;26255
219;Bærum;111213;112789;114489;116677;118588
220;Asker;54623;55284;56447;57418;58338
221;Aurskog-Høland;14294;14632;14905;15260;15500
226;Sørum;15369;15686;16091;16363;16918
227;Fet;10238;10431;10626;10810;11048
228;Rælingen;15591;15920;16170;16420;16806
229;Enebakk;10176;10262;10487;10560;10626
230;Lørenskog;32730;33308;33709;34320;34697
231;Skedsmo;47723;48752;49698;50532;51188
233;Nittedal;20939;21165;21454;21971;22385
234;Gjerdrum;5821;5990;6152;6264;6292
235;Ullensaker;29088;30081;31044;31743;32438
236;Nes (Ak.);18827;19049;19462;19819;20164
237;Eidsvoll;20689;21128;21621;22142;22689
238;Nannestad;10927;11128;11362;11505;11707
239;Hurdal;2617;2619;2657;2685;2695
301;Oslo kommune;586860;599230;613285;623966;634463
402;Kongsvinger;17377;17436;17522;17638;17825
403;Hamar;28344;28662;29045;29353;29520
412;Ringsaker;32524;32842;33191;33406;33463
415;Løten;7272;7353;7477;7479;7546
417;Stange;19104;19154;19190;19407;19737
418;Nord-Odal;5118;5113;5141;5190;5118
419;Sør-Odal;7791;7831;7859;7806;7847
420;Eidskog;6327;6299;6288;6282;6253
423;Grue;5078;5024;5003;4997;4948
425;Åsnes;7607;7597;7606;7600;7544
426;Våler (Hedm.);3870;3882;3844;3826;3783
427;Elverum;19834;19979;20152;20343;20563
428;Trysil;6763;6754;6752;6689;6621
429;Åmot;4285;4317;4337;4387;4455
430;Stor-Elvdal;2679;2665;2678;2641;2699
