"";"naregnr";"X2011";"X2012";"X2013";"X2014";"X2015"
"1";"1";29220;29543;29880;30132;30328
"2";"2";57853;58581;59468;60303;60689
"3";"3";56210;57106;57865;58491;59350
"4";"4";131544;133122;134787;136036;136831
"5";"5";168073;170936;174095;176926;180256
"6";"6";127691;130367;132470;134304;135956
"7";"7";159894;162653;165676;168542;170769
"8";"8";89995;92298;94158;95985;97918
"9";"9";599230;613285;623966;634463;647676
"10";"10";15305;15316;15299;15166;15109
"11";"11";53182;53263;53339;53318;53232
"12";"12";88011;88903;89645;90266;91015
"13";"13";35124;35309;35436;35683;35797
"14";"14";68934;69406;69633;69921;70523
"15";"15";28447;28752;28874;29075;29287
"16";"16";37804;38020;38093;38355;38575
"17";"17";13602;13599;13516;13451;13417
"18";"18";19367;19357;19183;19065;19045
"19";"19";17933;18013;17955;17953;17960
"20";"20";170508;173497;176432;178686;180740
"21";"21";20323;20493;20585;20569;20566
"22";"22";31588;32040;32430;33015;33298
"23";"23";18628;18837;19098;19355;19473
"24";"24";35086;35558;35863;36219;36410
"25";"25";129976;131653;133147;134550;135662
"26";"26";88706;89510;90196;90694;91250
"27";"27";118388;119102;119801;120308;120748
"28";"28";16578;16659;16785;16802;16953
"29";"29";20030;20053;20079;20168;20106
"30";"30";14189;14209;14237;14191;14146
"31";"31";6987;6978;6969;6967;6940
"32";"32";87267;88513;89552;90367;91137
"33";"33";35489;35689;35911;36043;36479
"34";"34";24483;24789;24965;25158;25286
"35";"35";128230;129850;131728;133690;135802
"36";"36";23448;23654;23874;24159;24333
"37";"37";98927;100225;101792;103106;104049
"38";"38";22128;22330;22795;23107;23427
"39";"39";291584;296906;303698;309253;314493
"40";"40";260392;263762;267950;271949;275112
"41";"41";23455;23954;24394;24943;25378
"42";"42";22897;22927;22990;23008;22980
"43";"43";13957;13978;14061;14168;14347
"44";"44";31284;31691;32268;32739;33275
"45";"45";11988;12029;12189;12298;12316
"46";"46";61880;62471;63098;63604;64179
"47";"47";58387;59758;61185;62537;63770
"48";"48";10553;10464;10464;10385;10371
"49";"49";32585;32765;32792;32800;32838
"50";"50";32303;32401;32474;32542;32535
"51";"51";32301;32571;32970;33238;33426
"52";"52";60773;61098;61480;61677;61861
"53";"53";56522;57220;57941;58250;58841
"54";"54";17140;17232;17341;17367;17325
"55";"55";46286;46622;47078;47343;47750
"56";"56";73183;74456;75564;76893;77942
"57";"57";25016;25037;25246;25301;25315
"58";"58";8666;8768;8983;9069;9203
"59";"59";9320;9324;9328;9370;9419
"60";"60";22237;22270;22411;22538;22695
"61";"61";223852;227591;231834;235003;238451
"62";"62";8497;8487;8484;8471;8470
"63";"63";26700;27189;27516;27889;28139
"64";"64";56835;63999;64535;64837;65250
"65";"65";8632;8657;8688;8667;8655
"66";"66";9723;9883;9971;9941;10018
"67";"67";20011;20135;20202;20253;20170
"68";"68";13126;13145;13175;13165;13214
"69";"69";12554;12623;12695;12735;12786
"70";"70";3696;3754;3732;3695;3672
"71";"71";16257;16169;16182;16251;16343
"72";"72";31907;32050;32247;32398;32477
"73";"73";78204;78794;79448;79965;80338
"74";"74";25669;25688;25740;25943;26095
"75";"75";23636;23779;23890;24039;24178
"76";"76";32231;32318;32502;32686;32579
"77";"77";11662;11773;36085;36307;36514
"78";"78";29731;29691;29933;30103;30244
"79";"79";76113;76973;78237;79517;80690
"80";"80";16149;16118;16163;16123;16005
"81";"81";36483;36779;37292;37678;37913
"82";"82";13916;13888;13851;13816;13799
"83";"83";23018;23120;23391;23713;23893
