Nr;Navn;Personer
101;Halden;29543
104;Moss;30723
105;Sarpsborg;53333
106;Fredrikstad;75583
111;Hvaler;4206
118;Aremark;1423
119;Marker;3518
121;Rømskog;688
122;Trøgstad;5219
123;Spydeberg;5348
124;Askim;15096
125;Eidsberg;11049
127;Skiptvet;3631
128;Rakkestad;7698
135;Råde;6987
136;Rygge;14691
137;Våler (Østf.);4705
138;Hobøl;4911
211;Vestby;15143
213;Ski;28970
214;Ås;17284
215;Frogn;15154
216;Nesodden;17809
217;Oppegård;25520
219;Bærum;114489
220;Asker;56447
221;Aurskog-Høland;14905
226;Sørum;16091
227;Fet;10626
228;Rælingen;16170
229;Enebakk;10487
230;Lørenskog;33709
231;Skedsmo;49698
233;Nittedal;21454
234;Gjerdrum;6152
235;Ullensaker;31044
236;Nes (Ak.);19462
237;Eidsvoll;21621
238;Nannestad;11362
239;Hurdal;2657
301;Oslo kommune;613285
402;Kongsvinger;17522
403;Hamar;29045
412;Ringsaker;33191
415;Løten;7477
417;Stange;19190
418;Nord-Odal;5141
419;Sør-Odal;7859
420;Eidskog;6288
423;Grue;5003
425;Åsnes;7606
426;Våler (Hedm.);3844
427;Elverum;20152
428;Trysil;6752
429;Åmot;4337
430;Stor-Elvdal;2678
432;Rendalen;1959
434;Engerdal;1390
436;Tolga;1681
437;Tynset;5564
438;Alvdal;2431
439;Folldal;1641
441;Os (Hedm.);2040
501;Lillehammer;26765
502;Gjøvik;29202
511;Dovre;2742
512;Lesja;2195
513;Skjåk;2307
514;Lom;2382
515;Vågå;3739
516;Nord-Fron;5830
517;Sel;5992
519;Sør-Fron;3208
520;Ringebu;4561
521;Øyer;5095
522;Gausdal;6160
528;Østre Toten;14747
529;Vestre Toten;12928
532;Jevnaker;6483
533;Lunner;8776
534;Gran;13493
536;Søndre Land;5761
538;Nordre Land;6768
540;Sør-Aurdal;3154
541;Etnedal;1408
542;Nord-Aurdal;6428
543;Vestre Slidre;2232
544;Øystre Slidre;3174
545;Vang;1617
602;Drammen;64597
604;Kongsberg;25479
605;Ringerike;29236
612;Hole;6322
615;Flå;1034
616;Nes (Busk.);3452
617;Gol;4581
618;Hemsedal;2228
619;Ål;4741
620;Hol;4457
621;Sigdal;3535
622;Krødsherad;2186
623;Modum;13116
624;Øvre Eiker;17421
625;Nedre Eiker;23262
626;Lier;24177
627;Røyken;19594
628;Hurum;9185
631;Flesberg;2638
632;Rollag;1383
633;Nore og Uvdal;2540
701;Horten;26307
702;Holmestrand;10251
704;Tønsberg;40677
706;Sandefjord;44150
709;Larvik;42947
711;Svelvik;6581
713;Sande (Vestf.);8680
714;Hof;3048
716;Re;8936
719;Andebu;5448
720;Stokke;11178
722;Nøtterøy;20995
723;Tjøme;4813
728;Lardal;2413
805;Porsgrunn;35219
806;Skien;52509
807;Notodden;12469
811;Siljan;2432
814;Bamble;14106
815;Kragerø;10710
817;Drangedal;4126
819;Nome;6579
821;Bø (Telem.);5766
822;Sauherad;4314
826;Tinn;5982
827;Hjartdal;1602
828;Seljord;2959
829;Kviteseid;2498
830;Nissedal;1430
831;Fyresdal;1335
833;Tokke;2287
834;Vinje;3700
901;Risør;6899
904;Grimstad;21301
906;Arendal;42801
911;Gjerstad;2478
912;Vegårshei;1933
914;Tvedestrand;6019
919;Froland;5257
926;Lillesand;9878
928;Birkenes;4828
929;Åmli;1825
935;Iveland;1298
937;Evje og Hornnes;3496
938;Bygland;1219
940;Valle;1293
941;Bykle;970
1001;Kristiansand;83243
1002;Mandal;15149
1003;Farsund;9433
1004;Flekkefjord;9046
1014;Vennesla;13583
1017;Songdalen;6165
1018;Søgne;10855
1021;Marnardal;2286
1026;Åseral;912
1027;Audnedal;1689
1029;Lindesnes;4753
1032;Lyngdal;7895
1034;Hægebostad;1665
1037;Kvinesdal;5834
1046;Sirdal;1816
1101;Eigersund;14475
1102;Sandnes;67814
1103;Stavanger;127506
1106;Haugesund;35099
1111;Sokndal;3257
1112;Lund;3183
1114;Bjerkreim;2739
1119;Hå;17244
1120;Klepp;17746
1121;Time;16769
1122;Gjesdal;10778
1124;Sola;23877
1127;Randaberg;10265
1129;Forsand;1190
1130;Strand;11533
1133;Hjelmeland;2807
1134;Suldal;3845
1135;Sauda;4754
1141;Finnøy;2955
1142;Rennesøy;4388
1144;Kvitsøy;519
1145;Bokn;851
1146;Tysvær;10320
1149;Karmøy;40536
1151;Utsira;218
1160;Vindafjord;8447
1201;Bergen;263762
1211;Etne;3963
1216;Sveio;5228
1219;Bømlo;11503
1221;Stord;17957
1222;Fitjar;2944
1223;Tysnes;2766
1224;Kvinnherad;13318
1227;Jondal;1050
1228;Odda;6946
1231;Ullensvang;3417
1232;Eidfjord;957
1233;Ulvik;1112
1234;Granvin;923
1235;Voss;13978
1238;Kvam;8522
1241;Fusa;3811
1242;Samnanger;2417
1243;Os (Hord.);17726
1244;Austevoll;4792
1245;Sund;6409
1246;Fjell;22720
1247;Askøy;26210
1251;Vaksdal;4138
1252;Modalen;370
1253;Osterøy;7521
1256;Meland;7036
1259;Øygarden;4419
1260;Radøy;4952
1263;Lindås;14668
1264;Austrheim;2776
1265;Fedje;576
1266;Masfjorden;1683
1401;Flora;11654
1411;Gulen;2310
1412;Solund;851
1413;Hyllestad;1461
1416;Høyanger;4216
1417;Vik;2748
1418;Balestrand;1338
1419;Leikanger;2236
1420;Sogndal;7348
1421;Aurland;1712
1422;Lærdal;2205
1424;Årdal;5572
1426;Luster;5026
1428;Askvoll;3010
1429;Fjaler;2832
1430;Gaular;2848
1431;Jølster;3052
1432;Førde;12307
1433;Naustdal;2710
1438;Bremanger;3891
1439;Vågsøy;6129
1441;Selje;2831
1443;Eid;5950
1444;Hornindal;1220
1445;Gloppen;5679
1449;Stryn;7065
1502;Molde;25488
1504;Ålesund;44416
1505;Kristiansund;23813
1511;Vanylven;3388
1514;Sande (M. og R.);2588
1515;Herøy (M. og R.);8727
1516;Ulstein;7828
1517;Hareid;5000
1519;Volda;8693
1520;Ørsta;10398
1523;Ørskog;2202
1524;Norddal;1738
1525;Stranda;4602
1526;Stordal;1026
1528;Sykkylven;7664
1529;Skodje;4184
1531;Sula;8256
1532;Giske;7312
1534;Haram;8973
1535;Vestnes;6539
1539;Rauma;7428
1543;Nesset;3004
1545;Midsund;1988
1546;Sandøy;1315
1547;Aukra;3289
1548;Fræna;9484
1551;Eide;3442
1554;Averøy;5593
1557;Gjemnes;2579
1560;Tingvoll;3101
1563;Sunndal;7196
1566;Surnadal;5952
1567;Rindal;2088
1571;Halsa;1641
1573;Smøla;2182
1576;Aure;3511
1601;Trondheim;176348
1612;Hemne;4221
1613;Snillfjord;981
1617;Hitra;4399
1620;Frøya;4369
1621;Ørland;5119
1622;Agdenes;1715
1624;Rissa;6543
1627;Bjugn;4584
1630;Åfjord;3257
1632;Roan;987
1633;Osen;1020
1634;Oppdal;6755
1635;Rennebu;2569
1636;Meldal;3924
1638;Orkdal;11429
1640;Røros;5604
1644;Holtålen;2013
1648;Midtre Gauldal;6153
1653;Melhus;15392
1657;Skaun;6941
1662;Klæbu;5930
1663;Malvik;12785
1664;Selbu;4042
1665;Tydal;870
1702;Steinkjer;21303
1703;Namsos;12953
1711;Meråker;2513
1714;Stjørdal;22058
1717;Frosta;2618
1718;Leksvik;3527
1719;Levanger;18922
1721;Verdal;14387
1724;Verran;2705
1725;Namdalseid;1694
1736;Snåase Snåsa;2164
1738;Lierne;1410
1739;Raarvihke Røyrvik;494
1740;Namsskogan;916
1742;Grong;2409
1743;Høylandet;1264
1744;Overhalla;3679
1748;Fosnes;668
1749;Flatanger;1141
1750;Vikna;4241
1751;Nærøy;5069
1755;Leka;573
1756;Inderøy;6682
1804;Bodø;48422
1805;Narvik;18473
1811;Bindal;1562
1812;Sømna;2038
1813;Brønnøy;7778
1815;Vega;1256
1816;Vevelstad;511
1818;Herøy (Nordl.);1711
1820;Alstahaug;7372
1822;Leirfjord;2107
1824;Vefsn;13258
1825;Grane;1455
1826;Hattfjelldal;1456
1827;Dønna;1433
1828;Nesna;1813
1832;Hemnes;4585
1833;Rana;25652
1834;Lurøy;1937
1835;Træna;497
1836;Rødøy;1320
1837;Meløy;6657
1838;Gildeskål;2000
1839;Beiarn;1097
1840;Saltdal;4710
1841;Fauske;9513
1845;Sørfold;2003
1848;Steigen;2609
1849;Hábmer Hamarøy;1783
1850;Divtasvuodna Tysfjord;1956
1851;Lødingen;2179
1852;Tjeldsund;1284
1853;Evenes;1359
1854;Ballangen;2616
1856;Røst;595
1857;Værøy;751
1859;Flakstad;1383
1860;Vestvågøy;10848
1865;Vågan;9086
1866;Hadsel;7937
1867;Bø (Nordl.);2720
1868;Øksnes;4467
1870;Sortland;9983
1871;Andøy;5032
1874;Moskenes;1116
1902;Tromsø;69116
1903;Harstad;0
1911;Kvæfjord;3025
1913;Skånland;2972
1917;Ibestad;1410
1919;Gratangen;1136
1920;Lavangen;1016
1922;Bardu;3875
1923;Salangen;2214
1924;Målselv;6599
1925;Sørreisa;3381
1926;Dyrøy;1188
1927;Tranøy;1524
1928;Torsken;892
1929;Berg;887
1931;Lenvik;11345
1933;Balsfjord;5502
1936;Karlsøy;2355
1938;Lyngen;3028
1939;Omasvuotna Storfjord Omasvuonon;1909
1940;Gáivuotna Kåfjord;2210
1941;Skjervøy;2880
1942;Nordreisa;4807
1943;Kvænangen;1284
2002;Vardø;2122
2003;Vadsø;6125
2004;Hammerfest;9934
2011;Guovdageaidnu Kautokeino;2927
2012;Alta;19282
2014;Loppa;1087
2015;Hasvik;995
2017;Kvalsund;1010
2018;Måsøy;1243
2019;Nordkapp;3228
2020;Porsanger Porsángu Porsanki;3946
2021;Kárásjohka Karasjok;2763
2022;Lebesby;1356
2023;Gamvik;1008
2024;Berlevåg;1015
2025;Deatnu Tana;2896
2027;Unjárga Nesseby;901
2028;Båtsfjord;2089
2030;Sør-Varanger;9860
