nr;navn;2011;2012;2013;2014;2015;naregnr
101;Halden;29220;29543;29880;30132;30328;1
104;Moss;30265;30723;30988;31308;31802;3
105;Sarpsborg;52805;53333;53696;54059;54192;4
106;Fredrikstad;74579;75583;76807;77591;78159;4
111;Hvaler;4160;4206;4284;4386;4480;4
118;Aremark;1414;1423;1425;1408;1406;2
119;Marker;3476;3518;3587;3596;3613;2
121;Rømskog;678;688;691;672;672;2
122;Trøgstad;5142;5219;5273;5366;5346;2
123;Spydeberg;5265;5348;5474;5620;5692;2
124;Askim;14909;15096;15315;15430;15513;2
125;Eidsberg;10940;11049;11195;11323;11353;2
127;Skiptvet;3576;3631;3668;3727;3731;2
128;Rakkestad;7601;7698;7860;7974;8020;2
135;Råde;6946;6987;7053;7104;7206;3
136;Rygge;14426;14691;14967;15101;15242;3
137;Våler (Østf.);4573;4705;4857;4978;5100;3
138;Hobøl;4852;4911;4980;5187;5343;2
211;Vestby;14708;15143;15605;15944;16310;6
213;Ski;28587;28970;29307;29542;29775;6
214;Ås;16733;17284;17568;17969;18503;6
215;Frogn;14814;15154;15469;15671;15656;6
216;Nesodden;17515;17809;17998;18297;18372;6
217;Oppegård;25072;25520;25963;26255;26580;6
219;Bærum;112789;114489;116677;118588;120685;5
220;Asker;55284;56447;57418;58338;59571;5
221;Aurskog-Høland;14632;14905;15260;15500;15726;7
226;Sørum;15686;16091;16363;16918;17089;7
227;Fet;10431;10626;10810;11048;11199;7
228;Rælingen;15920;16170;16420;16806;17185;7
229;Enebakk;10262;10487;10560;10626;10760;6
230;Lørenskog;33308;33709;34320;34697;35139;7
231;Skedsmo;48752;49698;50532;51188;51725;7
233;Nittedal;21165;21454;21971;22385;22706;7
234;Gjerdrum;5990;6152;6264;6292;6326;8
235;Ullensaker;30081;31044;31743;32438;33310;8
236;Nes (Ak.);19049;19462;19819;20164;20410;8
237;Eidsvoll;21128;21621;22142;22689;23238;8
238;Nannestad;11128;11362;11505;11707;11882;8
239;Hurdal;2619;2657;2685;2695;2752;8
301;Oslo kommune;599230;613285;623966;634463;647676;9
402;Kongsvinger;17436;17522;17638;17825;17881;11
403;Hamar;28662;29045;29353;29520;29847;12
412;Ringsaker;32842;33191;33406;33463;33603;12
415;Løten;7353;7477;7479;7546;7552;12
417;Stange;19154;19190;19407;19737;20013;12
418;Nord-Odal;5113;5141;5190;5118;5128;11
419;Sør-Odal;7831;7859;7806;7847;7800;11
420;Eidskog;6299;6288;6282;6253;6219;11
423;Grue;5024;5003;4997;4948;4853;11
425;Åsnes;7597;7606;7600;7544;7561;11
426;Våler (Hedm.);3882;3844;3826;3783;3790;11
427;Elverum;19979;20152;20343;20563;20794;13
428;Trysil;6754;6752;6689;6621;6569;13
429;Åmot;4317;4337;4387;4455;4456;13
430;Stor-Elvdal;2665;2678;2641;2699;2619;13
432;Rendalen;1974;1959;1910;1883;1885;10
434;Engerdal;1409;1390;1376;1345;1359;13
436;Tolga;1684;1681;1681;1658;1656;10
437;Tynset;5495;5564;5570;5549;5562;10
438;Alvdal;2447;2431;2449;2432;2418;10
439;Folldal;1660;1641;1654;1631;1597;10
441;Os (Hedm.);2045;2040;2035;2013;1991;10
501;Lillehammer;26571;26765;26850;27028;27300;16
502;Gjøvik;28974;29202;29407;29668;30063;14
511;Dovre;2748;2742;2727;2704;2745;18
512;Lesja;2197;2195;2145;2076;2059;18
513;Skjåk;2299;2307;2279;2264;2245;18
514;Lom;2401;2382;2364;2361;2356;18
515;Vågå;3718;3739;3716;3686;3675;18
516;Nord-Fron;5834;5830;5827;5765;5754;17
517;Sel;6004;5992;5952;5974;5965;18
519;Sør-Fron;3212;3208;3193;3191;3204;17
520;Ringebu;4556;4561;4496;4495;4459;17
521;Øyer;5092;5095;5102;5090;5065;16
522;Gausdal;6141;6160;6141;6237;6210;16
528;Østre Toten;14604;14747;14766;14777;14796;14
529;Vestre Toten;12803;12928;12999;13075;13152;14
532;Jevnaker;6359;6483;6444;6516;6599;15
533;Lunner;8654;8776;8880;8952;9003;15
534;Gran;13434;13493;13550;13607;13685;15
536;Søndre Land;5837;5761;5703;5701;5772;14
538;Nordre Land;6716;6768;6758;6700;6740;14
540;Sør-Aurdal;3164;3154;3147;3133;3094;19
541;Etnedal;1388;1408;1399;1408;1402;19
542;Nord-Aurdal;6402;6428;6396;6417;6466;19
543;Vestre Slidre;2217;2232;2219;2187;2180;19
544;Øystre Slidre;3171;3174;3197;3206;3199;19
545;Vang;1591;1617;1597;1602;1619;19
602;Drammen;63582;64597;65473;66214;67016;20
604;Kongsberg;25090;25479;25887;26406;26711;22
605;Ringerike;28946;29236;29400;29624;29712;24
612;Hole;6140;6322;6463;6595;6698;24
615;Flå;1000;1034;1050;1033;1033;21
616;Nes (Busk.);3445;3452;3435;3445;3414;21
617;Gol;4572;4581;4667;4631;4588;21
618;Hemsedal;2140;2228;2224;2295;2344;21
619;Ål;4713;4741;4761;4713;4716;21
620;Hol;4453;4457;4448;4452;4471;21
621;Sigdal;3524;3535;3538;3509;3520;23
622;Krødsherad;2164;2186;2223;2265;2268;23
623;Modum;12940;13116;13337;13581;13685;23
624;Øvre Eiker;16987;17421;17752;17919;18039;20
625;Nedre Eiker;22917;23262;23640;23811;24154;20
626;Lier;23580;24177;24763;25175;25378;20
627;Røyken;19264;19594;20078;20621;21038;20
628;Hurum;9155;9185;9321;9330;9365;20
631;Flesberg;2592;2638;2657;2683;2671;22
632;Rollag;1382;1383;1355;1369;1375;22
633;Nore og Uvdal;2524;2540;2531;2557;2541;22
701;Horten;26036;26307;26595;26751;26903;25
702;Holmestrand;10152;10251;10350;10456;10661;25
704;Tønsberg;39758;40677;41239;41550;41920;25
706;Sandefjord;43648;44150;44629;44976;45281;26
709;Larvik;42638;42947;43132;43258;43506;26
711;Svelvik;6494;6581;6570;6580;6601;20
713;Sande (Vestf.);8529;8680;8835;9036;9149;20
714;Hof;3073;3048;3060;3091;3114;25
716;Re;8821;8936;8994;9144;9253;25
719;Andebu;5372;5448;5546;5719;5860;25
720;Stokke;11129;11178;11398;11509;11506;25
722;Nøtterøy;20897;20995;21100;21403;21483;25
723;Tjøme;4738;4813;4865;4927;4962;25
728;Lardal;2420;2413;2435;2460;2463;26
805;Porsgrunn;35043;35219;35392;35516;35755;27
806;Skien;52077;52509;53015;53439;53745;27
807;Notodden;12396;12469;12497;12609;12599;29
811;Siljan;2419;2432;2426;2404;2361;27
814;Bamble;14030;14106;14129;14193;14140;27
815;Kragerø;10695;10710;10700;10621;10636;27
817;Drangedal;4124;4126;4139;4135;4111;27
819;Nome;6561;6579;6625;6643;6630;28
821;Bø (Telem.);5659;5766;5791;5834;5977;28
822;Sauherad;4358;4314;4369;4325;4346;28
