"fylke_nr","tabell_navn","aar","enhet","barnehage_tilsk","ekstra_bosetting_tilsk","eldre_tilsk","em_tilsk","funkhem","inttilsk_1","inttilsk_1_5","inttilsk_2_5","norsk_samf_tilsk","skole_tilsk","totalt","totalt_2","sjekk"
0,"tilskudd",2015,"kroner",30150600,47400000,22455400,411469841,377920734.94,2222942960,6233792860,4254362950,1795889532.89,326400,8890647925.4,8919405368.83,-28757443.4300003
1,"tilskudd",2015,"kroner",763200,400000,624700,20363124,2894399.49,64442000,199686600,135244600,75853769.13,0,300585792.62,300585792.62,0
2,"tilskudd",2015,"kroner",1664600,1550000,1097200,36510560,27756442,171477000,419523137.5,332234937.5,121765960.82,-1312.5,583830495.49,609866587.82,-26036092.3299999
3,"tilskudd",2015,"kroner",1365800,100000,2194400,29103555,14592693,125216500,459729712.5,334513212.5,176671987.5,23712.5,683781860.5,683781860.5,0
4,"tilskudd",2015,"kroner",1216000,1525000,982000,20357319,25846825,77511600,222161100,152508800,75503663.3,11400,355462607.3,347603307.3,7859300
5,"tilskudd",2015,"kroner",1406200,2250000,619400,14874830,35183560,106157000,287101150,211323700,96554384.97,0,468369074.97,437989524.97,30379550
6,"tilskudd",2015,"kroner",1793600,2400000,2768200,18983282,24861791,122430000,351439450,229009450,93501667.47,0,495747990.51,495747990.47,0.0399999618530273
7,"tilskudd",2015,"kroner",1284200,3000000,1254700,24142194,15140130,90675000,231190000,140515000,59044187.5,64600,335120011.5,335120011.5,0
8,"tilskudd",2015,"kroner",1867800,2650000,2871600,25658218,31491188,119429000,337987450,218558450,73029608.32,0,475555864.33,475555864.32,0.00999999046325684
9,"tilskudd",2015,"kroner",1139800,1800000,467200,13482228,15804997,64118800,187969150,123850350,50749933.31,0,271413308.31,271413308.31,0
10,"tilskudd",2015,"kroner",1279600,3500000,1083700,13325268,43491599,125448500,357178600,231730100,92453339.15,20700,512332806.19,512332806.15,0.0400000214576721
11,"tilskudd",2015,"kroner",2154100,2800000,2047500,22649668,18654468.45,163851900,468108250,304256350,134974712.48,0,651388698.93,651388698.93,0
12,"tilskudd",2015,"kroner",2528700,1150000,939700,30134876,12314856,164115200,531934550,367819350,130048141.62,11400,709062223.62,709062223.62,0
14,"tilskudd",2015,"kroner",946100,3825000,630000,5436108,8297640,78877000,196070000,117193000,63155606.63,0,278360454.63,278360454.63,0
15,"tilskudd",2015,"kroner",1920100,3950000,939700,23040100,18125258,144232400,263524500,240377500,110166396.64,0,380705853.48,421666054.64,-40960201.16
16,"tilskudd",2015,"kroner",2276100,3100000,1583500,18155101,41560934,169218700,416730900,247512200,89642262.49,128800,573177597.5,573177597.49,0.00999999046325684
17,"tilskudd",2015,"kroner",909200,2375000,157500,15140861,8920725,78686400,261736350,183049950,66288864.15,0,355528500.15,355528500.15,0
18,"tilskudd",2015,"kroner",2921700,4175000,782200,33883626,16687872,181174960,547755960,366581000,140554519.12,0,746760877.09,746760877.12,-0.0299999713897705
19,"tilskudd",2015,"kroner",1797600,4900000,782200,19038344,11094462,118364500,316439200,198074700,96229049.14,0,450280855.13,450280855.14,-0.00999999046325684
20,"tilskudd",2015,"kroner",916200,1950000,630000,27190579,5200895,57516500,177526800,120010300,49628679.15,67100,263110253.15,263110253.15,0
99,"tilskudd",2015,"kroner",0,0,0,0,0,0,0,0,72800,0,72800,72800,0
