"kommune_nr","aar","enhet","tabell_navn","barnehage_tilsk","ekstra_bosetting_tilsk","eldre_tilsk","em_tilsk","funkhem","inttilsk_1","inttilsk_1_5","inttilsk_2_5","norsk_samf_tilsk","skole_tilsk","totalt","totalt_2","sjekk"
101,2015,"kroner","tilskudd",24400,100000,467200,908675,823720,10132000,19989400,9857400,4038962.5,0,26352357.5,26352357.5,0
104,2015,"kroner","tilskudd",24400,0,0,2341950,-249781,6843000,26483200,19640200,13674795.82,0,42274564.82,42274564.82,0
105,2015,"kroner","tilskudd",144400,0,0,1529417,763312,8226000,38468000,30242000,11170575,0,52075704,52075704,0
106,2015,"kroner","tilskudd",47800,150000,0,6838483,1876300,12633000,45511600,32878600,15013529.16,0,69437712.16,69437712.16,0
111,2015,"kroner","tilskudd",0,50000,0,3760757,157148.49,3372000,9410600,6038600,1476825,0,14855330.49,14855330.49,0
118,2015,"kroner","tilskudd",0,0,0,0,0,0,0,0,793300,0,793300,793300,0
119,2015,"kroner","tilskudd",24400,0,0,0,0,1242000,2843000,1601000,881337.5,0,3748737.5,3748737.5,0
121,2015,"kroner","tilskudd",0,0,0,0,0,0,0,0,237800,0,237800,237800,0
122,2015,"kroner","tilskudd",0,0,0,956500,0,696000,2077000,1381000,1290212.5,0,4323712.5,4323712.5,0
123,2015,"kroner","tilskudd",0,100000,0,0,0,4148000,10048200,5900200,6539159.16,0,16687359.16,16687359.16,0
124,2015,"kroner","tilskudd",70200,0,0,1285375,0,5044000,12211400,7167400,3564275,0,17131250,17131250,0
125,2015,"kroner","tilskudd",234400,0,0,0,0,905000,7540800,6635800,3532593.33,0,11307793.33,11307793.33,0
127,2015,"kroner","tilskudd",48800,0,0,940558,0,1810000,3027600,1217600,938800,0,4955758,4955758,0
128,2015,"kroner","tilskudd",0,0,0,0,0,596000,2640000,2044000,1868700,0,4508700,4508700,0
135,2015,"kroner","tilskudd",47800,0,0,318834,0,2080000,5446000,3366000,1708200,0,7520834,7520834,0
136,2015,"kroner","tilskudd",0,0,0,1482575,-476300,3541000,8165800,4624800,2624612.5,0,11796687.5,11796687.5,0
137,2015,"kroner","tilskudd",96600,0,157500,0,0,3174000,5368000,2194000,2038429.16,0,7660529.16,7660529.16,0
138,2015,"kroner","tilskudd",0,0,0,0,0,0,456000,456000,4461662.5,0,4917662.5,4917662.5,0
211,2015,"kroner","tilskudd",46800,0,0,717375,729400,4777000,16167600,11390600,3461925,0,21123100,21123100,0
213,2015,"kroner","tilskudd",121000,0,0,1067108,830578,16786000,41245450,24459450,6125912.5,0,49390048.5,49390048.5,0
214,2015,"kroner","tilskudd",47800,25000,152200,701433,0,5779000,15200300,9421300,7428270.83,0,23555003.83,23555003.83,0
215,2015,"kroner","tilskudd",48800,225000,0,1943900,0,5192000,14515887.5,9323887.5,2610212.5,-1312.5,19342487.5,19342487.5,0
216,2015,"kroner","tilskudd",23400,0,0,573900,3180464,1971000,11228800,9257800,3313525,0,18320089,18320089,0
217,2015,"kroner","tilskudd",167800,0,0,1496550,3668014,10897000,34592000,23695000,5156737.5,0,45081101.5,45081101.5,0
219,2015,"kroner","tilskudd",194200,0,0,8895451,9289374,26362000,93878100,67516100,19701050,0,131958175,131958175,0
220,2015,"kroner","tilskudd",144400,0,315000,7171292,3124238,14635000,45345000,30710000,14068069.16,0,70167999.16,70167999.16,0
221,2015,"kroner","tilskudd",24400,175000,0,0,66867,3876000,10861800,6985800,2708550,0,13836617,13836617,0
226,2015,"kroner","tilskudd",48800,125000,0,0,0,3676000,11469800,7793800,3139225,0,14782825,14782825,0
227,2015,"kroner","tilskudd",0,0,0,0,0,2070000,5872400,3802400,1868625,0,7741025,7741025,0
228,2015,"kroner","tilskudd",24400,125000,0,765200,335600,7281000,18747900,11466900,3782737.5,0,23780837.5,23780837.5,0
229,2015,"kroner","tilskudd",23400,0,0,223183,0,2182000,6749000,4567000,2171237.5,0,9166820.5,9166820.5,0
230,2015,"kroner","tilskudd",143400,0,0,4910034,2391812,7952000,26968600,19016600,7731737.5,0,42145583.5,42145583.5,0
231,2015,"kroner","tilskudd",267400,575000,315000,3283984,2960912,25339000,0,40167800,14036595.83,0,0,21438891.83,-21438891.83
233,2015,"kroner","tilskudd",72200,300000,0,191300,-153987,8646000,0,10036000,4187687.5,0,0,4597200.5,-4597200.5
234,2015,"kroner","tilskudd",24400,0,0,0,0,1010000,3873000,2863000,1394950,0,5292350,5292350,0
235,2015,"kroner","tilskudd",97600,0,157500,1482575,0,9941000,19886500,9945500,7230012.5,0,28854187.5,28854187.5,0
236,2015,"kroner","tilskudd",73200,0,0,3087275,0,5608000,19062900,13454900,4201212.5,0,26424587.5,26424587.5,0
237,2015,"kroner","tilskudd",0,0,157500,0,1333170,3202000,12065700,8863700,3645300,0,17201670,17201670,0
238,2015,"kroner","tilskudd",46800,0,0,0,0,3699000,10204400,6505400,2799787.5,0,13050987.5,13050987.5,0
239,2015,"kroner","tilskudd",24400,0,0,0,0,596000,1588000,992000,1002600,0,2615000,2615000,0
301,2015,"kroner","tilskudd",1365800,100000,2194400,29103555,14592693,125216500,459729712.5,334513212.5,176671987.5,23712.5,683781860.5,683781860.5,0
402,2015,"kroner","tilskudd",168800,0,157500,0,1056082,8820000,20356400,11536400,9043354.16,0,30782136.16,30782136.16,0
403,2015,"kroner","tilskudd",195200,0,0,4095041,7652705,8520000,30157700,21637700,7663337.5,0,49763983.5,49763983.5,0
412,2015,"kroner","tilskudd",97600,0,509500,2222583,1471335,10081000,25665800,15584800,4567312.5,11400,34545530.5,34545530.5,0
415,2015,"kroner","tilskudd",122000,0,0,191300,1568182,2174000,8414000,6240000,1797062.5,0,12092544.5,12092544.5,0
417,2015,"kroner","tilskudd",48800,250000,0,1386925,5824542,7870000,28923800,21053800,7906266.66,0,44340333.66,44340333.66,0
418,2015,"kroner","tilskudd",24400,0,0,0,0,1274000,3526000,2252000,966700,0,4517100,4517100,0
419,2015,"kroner","tilskudd",0,0,0,0,0,1856000,6413400,4557400,1495262.5,0,7908662.5,7908662.5,0
420,2015,"kroner","tilskudd",0,75000,0,0,0,2184000,4776200,2592200,1187325,0,6038525,6038525,0
423,2015,"kroner","tilskudd",97600,0,0,573900,0,2416000,4275400,1859400,1162100,0,6109000,6109000,0
425,2015,"kroner","tilskudd",0,0,0,382600,160000,878000,4821000,3943000,8180344.16,0,13543944.16,13543944.16,0
