"naringsregion_nr","tabell_navn","aar","enhet","barnehage_tilsk","ekstra_bosetting_tilsk","eldre_tilsk","em_tilsk","funkhem","inttilsk_1","inttilsk_1_5","inttilsk_2_5","norsk_samf_tilsk","skole_tilsk","totalt","totalt_2","sjekk"
1,"tilskudd",2015,"kroner",24400,100000,467200,908675,823720,10132000,19989400,9857400,4038962.5,0,26352357.5,26352357.5,0
2,"tilskudd",2015,"kroner",377800,100000,0,3182433,0,14441000,40844000,26403000,24107839.99,0,68612072.99,68612072.99,0
3,"tilskudd",2015,"kroner",168800,0,157500,4143359,-726081,15638000,45463000,29825000,20046037.48,0,69252615.48,69252615.48,0
4,"tilskudd",2015,"kroner",192200,200000,0,12128657,2796760.49,24231000,93390200,69159200,27660929.16,0,136368746.65,136368746.65,0
5,"tilskudd",2015,"kroner",338600,0,315000,16066743,12413612,40997000,139223100,98226100,33769119.16,0,202126174.16,202126174.16,0
6,"tilskudd",2015,"kroner",479000,250000,152200,6723449,8408456,47584000,139699037.5,92115037.5,30267820.83,-1312.5,185978650.83,185978650.83,0.0000000298023223876953
7,"tilskudd",2015,"kroner",580600,1300000,315000,9150518,5601204,58840000,73920500,99269300,37455158.33,0,102286888,128322980.33,-26036092.33
8,"tilskudd",2015,"kroner",266400,0,315000,4569850,1333170,24056000,66680500,42624500,20273862.5,0,93438782.5,93438782.5,0
9,"tilskudd",2015,"kroner",1365800,100000,2194400,29103555,14592693,125216500,459729712.5,334513212.5,176671987.5,23712.5,683781860.5,683781860.5,0
10,"tilskudd",2015,"kroner",122000,750000,315000,5324519,2451282,14592800,31016400,24282900,7771600,0,55610101,47750801,7859300
11,"tilskudd",2015,"kroner",290800,75000,157500,956500,1216082,17428000,44168400,26740400,24898367.48,0,71762649.48,71762649.48,0
12,"tilskudd",2015,"kroner",463600,250000,509500,7895849,16516764,28645000,93161300,64516300,21933979.16,11400,140742392.16,140742392.16,0
13,"tilskudd",2015,"kroner",339600,450000,0,6180451,5662697,16845800,53815000,36969200,20899716.66,0,87347464.66,87347464.66,0
14,"tilskudd",2015,"kroner",438200,550000,467200,8282499,13292623,32881000,97017600,64136600,30041492.49,0,150089614.49,150089614.49,0
15,"tilskudd",2015,"kroner",143400,250000,0,1620150,2390734,21263000,70894400,49631400,13301363.32,0,88600047.32,88600047.32,0
16,"tilskudd",2015,"kroner",268400,1050000,0,3379981,18875203,21648000,32486000,41217550,9316600,0,95755734,65376184,30379550
